日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.31409,0.32531,0.32662,0.31136,4.04M,3.38%
2019年6月9日,0.33779,0.31467,0.33901,0.30992,4.01M,-6.84%
2019年6月8日,0.33355,0.33779,0.37486,0.32972,9.68M,1.27%
2019年6月7日,0.32257,0.33355,0.33968,0.31698,4.47M,3.40%
2019年6月6日,0.31577,0.32257,0.33070,0.30577,5.48M,2.16%
2019年6月5日,0.30298,0.31577,0.31988,0.30245,3.67M,4.22%
2019年6月4日,0.31571,0.30298,0.31881,0.29289,6.23M,-4.15%
2019年6月3日,0.34114,0.31610,0.34459,0.31190,5.32M,-7.34%
2019年6月2日,0.33406,0.34114,0.34236,0.33286,3.45M,2.12%
2019年6月1日,0.34286,0.33406,0.34442,0.33175,3.06M,-2.57%
2019年5月31日,0.32532,0.34286,0.34387,0.31395,4.23M,5.39%
2019年5月30日,0.34432,0.32532,0.37318,0.31089,13.10M,-5.52%
2019年5月29日,0.33562,0.34432,0.35892,0.32377,8.43M,2.59%
2019年5月28日,0.33652,0.33562,0.34072,0.32685,6.10M,-0.56%
2019年5月27日,0.32867,0.33752,0.33985,0.32506,6.50M,2.69%
2019年5月26日,0.32384,0.32867,0.33028,0.31029,4.87M,1.49%
2019年5月25日,0.31564,0.32384,0.32385,0.31321,2.69M,2.60%
2019年5月24日,0.31278,0.31564,0.33928,0.30806,5.02M,0.91%
2019年5月23日,0.30418,0.31278,0.31528,0.29303,5.04M,2.83%
2019年5月22日,0.33278,0.30418,0.33675,0.30027,5.77M,-8.59%
2019年5月21日,0.31990,0.33278,0.33351,0.31060,4.61M,4.03%
2019年5月20日,0.33665,0.31990,0.33876,0.30606,6.24M,-4.98%
2019年5月19日,0.32440,0.33665,0.34274,0.32163,7.67M,3.78%
2019年5月18日,0.31434,0.32440,0.33905,0.30837,5.51M,3.20%
2019年5月17日,0.33446,0.31434,0.33892,0.29239,10.75M,-6.01%
2019年5月16日,0.36518,0.33446,0.38225,0.32502,16.55M,-8.42%
2019年5月15日,0.30325,0.36520,0.38530,0.30186,19.35M,20.43%
2019年5月14日,0.28037,0.30325,0.30569,0.27701,9.95M,8.16%
2019年5月13日,0.27324,0.28037,0.29377,0.27090,5.68M,2.61%
2019年5月12日,0.29361,0.27324,0.29704,0.26332,6.94M,-7.09%
2019年5月11日,0.26321,0.29408,0.30770,0.26262,9.72M,11.73%
2019年5月10日,0.25580,0.26321,0.26489,0.25407,3.26M,2.90%
2019年5月9日,0.26823,0.25580,0.27255,0.25264,3.65M,-4.64%
