日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.51371,0.50420,0.52804,0.50332,15.68M,-1.85%
2019年6月10日,0.49797,0.51371,0.52273,0.48716,20.66M,3.06%
2019年6月9日,0.49941,0.49845,0.51506,0.48050,12.94M,0.41%
2019年6月8日,0.51833,0.49642,0.51861,0.48939,12.84M,-4.23%
2019年6月7日,0.49520,0.51836,0.52043,0.48902,12.54M,4.68%
2019年6月6日,0.50652,0.49520,0.51629,0.48048,12.45M,-2.24%
2019年6月5日,0.49086,0.50653,0.52739,0.48751,13.44M,3.09%
2019年6月4日,0.49558,0.49133,0.51647,0.47651,14.33M,-0.86%
2019年6月3日,0.55015,0.49560,0.55076,0.49486,11.32M,-9.92%
2019年6月2日,0.52345,0.55015,0.55310,0.52223,11.97M,5.11%
2019年6月1日,0.54066,0.52341,0.55045,0.51527,10.45M,-3.19%
2019年5月31日,0.52054,0.54064,0.54150,0.51035,13.91M,3.86%
2019年5月30日,0.55001,0.52054,0.58356,0.51120,22.13M,-5.36%
2019年5月29日,0.55940,0.55001,0.56269,0.52719,12.41M,-1.68%
2019年5月28日,0.57587,0.55940,0.57646,0.54932,15.44M,-2.86%
2019年5月27日,0.56408,0.57587,0.59268,0.55704,21.15M,2.09%
2019年5月26日,0.54902,0.56407,0.57038,0.52939,20.64M,2.74%
2019年5月25日,0.53282,0.54902,0.55651,0.52921,16.60M,3.04%
2019年5月24日,0.52607,0.53282,0.55364,0.51150,18.27M,1.28%
2019年5月23日,0.53008,0.52607,0.53693,0.49621,16.67M,-0.76%
2019年5月22日,0.52450,0.53008,0.55952,0.51764,25.08M,1.06%
2019年5月21日,0.51092,0.52450,0.52906,0.50400,16.70M,2.67%
2019年5月20日,0.53818,0.51088,0.53820,0.49747,15.72M,-5.07%
2019年5月19日,0.49700,0.53816,0.54162,0.48463,18.28M,8.28%
2019年5月18日,0.49909,0.49700,0.52431,0.48416,17.10M,-4.20%
2019年5月17日,0.54128,0.51879,0.55632,0.46745,26.03M,-4.22%
2019年5月16日,0.55450,0.54162,0.61495,0.51250,34.13M,-2.32%
2019年5月15日,0.50146,0.55450,0.56517,0.49830,25.35M,10.58%
2019年5月14日,0.45894,0.50146,0.52094,0.44924,21.41M,9.25%
2019年5月13日,0.44446,0.45902,0.48144,0.43873,16.17M,3.28%
2019年5月12日,0.45892,0.44446,0.48256,0.43893,16.92M,-3.15%
2019年5月11日,0.43718,0.45892,0.48901,0.42978,18.91M,4.97%
2019年5月10日,0.44620,0.43718,0.45465,0.42651,16.27M,-2.04%
2019年5月9日,0.47356,0.44627,0.47759,0.44385,13.98M,-5.77%
2019年5月8日,0.46390,0.47357,0.48822,0.45794,9.84M,2.08%
2019年5月7日,0.48382,0.46390,0.49572,0.46389,14.35M,-4.13%
2019年5月6日,0.45532,0.48388,0.50435,0.44736,24.55M,6.27%
2019年5月5日,0.45659,0.45532,0.46318,0.45253,10.72M,-0.27%
2019年5月4日,0.47689,0.45654,0.49630,0.44188,12.94M,-4.27%
2019年5月3日,0.48522,0.47689,0.48768,0.46933,13.23M,-1.72%
2019年5月2日,0.45926,0.48522,0.49005,0.43641,40.67M,5.66%
2019年5月1日,0.44992,0.45924,0.46768,0.43190,14.21M,5.37%
2019年4月30日,0.44285,0.43583,0.46819,0.42668,13.60M,-1.58%
2019年4月29日,0.44826,0.44285,0.46268,0.42606,14.58M,-1.21%
2019年4月28日,0.45208,0.44826,0.46817,0.44758,13.42M,-0.84%
2019年4月27日,0.44975,0.45208,0.48912,0.43157,13.88M,0.52%
2019年4月26日,0.45602,0.44976,0.49047,0.42602,17.69M,-1.37%
2019年4月25日,0.45254,0.45601,0.50501,0.44654,17.90M,0.77%
2019年4月24日,0.52524,0.45254,0.52728,0.43153,22.80M,-14.27%
2019年4月23日,0.55659,0.52784,0.56368,0.52512,19.51M,-5.17%
2019年4月22日,0.53512,0.55659,0.56385,0.52146,20.40M,4.01%
2019年4月21日,0.56904,0.53511,0.58271,0.51241,24.61M,-5.96%
2019年4月20日,0.53677,0.56904,0.58534,0.53592,25.00M,6.01%
2019年4月19日,0.54657,0.53677,0.54662,0.53328,13.24M,-1.79%
2019年4月18日,0.54119,0.54657,0.55009,0.54090,13.02M,0.99%
2019年4月17日,0.54580,0.54120,0.54888,0.53374,11.59M,-0.90%
2019年4月16日,0.53459,0.54611,0.54611,0.52693,9.93M,2.16%
2019年4月15日,0.55888,0.53459,0.56678,0.53125,13.86M,-4.35%
2019年4月14日,0.53681,0.55889,0.56394,0.52662,11.73M,4.11%
2019年4月13日,0.54493,0.53681,0.55601,0.53290,10.70M,-1.49%
2019年4月12日,0.54868,0.54493,0.56152,0.50268,13.11M,-0.68%
2019年4月11日,0.61967,0.54868,0.62007,0.50751,16.28M,-11.45%
2019年4月10日,0.59486,0.61963,0.63087,0.59265,11.93M,4.15%
2019年4月9日,0.62365,0.59494,0.62600,0.58240,12.16M,-4.60%
2019年4月8日,0.66086,0.62365,0.67262,0.59515,18.20M,-5.63%
