日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.58800,0.60400,0.61800,0.58200,32.88K,2.72%
2019年6月9日,0.59500,0.58800,0.66800,0.57900,34.04K,-1.18%
2019年6月8日,0.60100,0.59500,0.60700,0.58800,4.62K,-1.00%
2019年6月7日,0.56100,0.60100,0.62800,0.55900,25.93K,7.13%
2019年6月6日,0.56700,0.56100,0.56800,0.53900,18.29K,-1.06%
2019年6月5日,0.53600,0.56700,0.59100,0.53300,16.94K,5.78%
2019年6月4日,0.57300,0.53600,0.58800,0.52700,22.14K,-6.46%
2019年6月3日,0.61300,0.57300,0.61400,0.57000,5.33K,-6.53%
2019年6月2日,0.59400,0.61300,0.63400,0.59400,14.18K,3.20%
2019年6月1日,0.61600,0.59400,0.62300,0.58900,7.09K,-3.57%
2019年5月31日,0.58900,0.61600,0.61600,0.58200,17.38K,4.58%
2019年5月30日,0.62800,0.58900,0.64900,0.58000,44.98K,-6.21%
2019年5月29日,0.62500,0.62800,0.66900,0.61300,17.31K,0.48%
2019年5月28日,0.64700,0.62500,0.66900,0.62200,35.15K,-3.40%
2019年5月27日,0.62800,0.64700,0.67100,0.62400,27.34K,3.03%
2019年5月26日,0.64300,0.62800,0.67000,0.61800,20.78K,-2.33%
2019年5月25日,0.65000,0.64300,0.72900,0.64100,67.02K,-1.08%
2019年5月24日,0.61600,0.65000,0.66300,0.61000,46.36K,5.52%
2019年5月23日,0.62200,0.61600,0.62700,0.57600,32.00K,-0.96%
2019年5月22日,0.62300,0.62200,0.63900,0.61700,34.78K,-0.16%
2019年5月21日,0.57200,0.62300,0.62300,0.57200,40.11K,8.92%
2019年5月20日,0.60200,0.57200,0.60200,0.55400,25.98K,-4.98%
2019年5月19日,0.56900,0.60200,0.70000,0.56700,45.96K,5.80%
2019年5月18日,0.57900,0.56900,0.58100,0.55300,23.80K,-1.73%
2019年5月17日,0.61300,0.57900,0.61600,0.53300,83.35K,-5.55%
2019年5月16日,0.62100,0.61300,0.70600,0.59300,117.06K,-1.29%
2019年5月15日,0.57600,0.62100,0.64000,0.57300,140.82K,7.81%
2019年5月14日,0.54000,0.57600,0.64000,0.52900,49.21K,6.67%
2019年5月13日,0.52100,0.54000,0.56400,0.51200,54.69K,3.65%
2019年5月12日,0.50300,0.52100,0.52100,0.48800,50.71K,3.58%
2019年5月11日,0.45000,0.50300,0.57300,0.44500,66.22K,11.78%
2019年5月10日,0.42900,0.45000,0.46500,0.42000,42.78K,4.90%
2019年5月9日,0.47500,0.42900,0.48700,0.42100,59.71K,-9.68%
2019年5月8日,0.46000,0.47500,0.51600,0.45100,47.90K,3.26%
2019年5月7日,0.49500,0.46000,0.51400,0.46000,34.26K,-7.07%
2019年5月6日,0.47800,0.49500,0.50900,0.45900,13.92K,3.56%
2019年5月5日,0.46600,0.47800,0.49100,0.46600,18.82K,2.58%
2019年5月4日,0.49100,0.46600,0.50000,0.45400,16.83K,-5.09%
2019年5月3日,0.48500,0.49100,0.50000,0.48300,41.77K,1.24%
2019年5月2日,0.47000,0.48500,0.48500,0.46500,2.95K,3.19%
2019年5月1日,0.48300,0.47000,0.48700,0.46800,15.31K,-2.69%
2019年4月30日,0.46300,0.48300,0.48300,0.45700,7.25K,4.32%
2019年4月29日,0.50600,0.46300,0.52000,0.46300,5.06K,-8.50%
2019年4月28日,0.51900,0.50600,0.53000,0.50600,12.58K,-2.50%
2019年4月27日,0.49700,0.51900,0.51900,0.49000,16.44K,4.43%
2019年4月26日,0.51400,0.49700,0.51400,0.49700,32.67K,-3.31%
2019年4月25日,0.54000,0.51400,0.63600,0.51400,30.19K,-4.81%
2019年4月24日,0.56800,0.54000,0.56800,0.50800,32.35K,-4.93%
2019年4月23日,0.59400,0.56800,0.59600,0.56500,17.22K,-4.38%
2019年4月22日,0.59000,0.59400,0.60000,0.59000,5.94K,0.68%
2019年4月21日,0.62400,0.59000,0.62800,0.56400,22.10K,-5.45%
2019年4月20日,0.64100,0.62400,0.64700,0.62400,6.58K,-2.65%
2019年4月19日,0.63400,0.64100,0.64500,0.62000,12.71K,1.10%
