日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,18.888,18.766,19.682,18.680,25.88K,-0.64%
2019年6月10日,17.968,18.888,19.044,17.574,26.16K,5.12%
2019年6月9日,19.224,17.968,20.954,17.508,59.22K,-6.53%
2019年6月8日,18.480,19.224,19.284,18.241,17.48K,4.03%
2019年6月7日,17.610,18.480,18.588,17.494,18.54K,4.94%
2019年6月6日,17.627,17.610,17.876,16.891,13.14K,-0.10%
2019年6月5日,17.095,17.627,18.965,17.019,22.01K,3.11%
2019年6月4日,18.544,17.095,18.544,16.682,29.19K,-7.81%
2019年6月3日,19.762,18.544,19.851,18.421,15.42K,-6.16%
2019年6月2日,19.442,19.762,19.854,19.266,12.35K,1.65%
2019年6月1日,19.684,19.442,19.786,19.300,14.24K,-1.23%
2019年5月31日,19.276,19.684,19.725,18.282,33.35K,2.12%
2019年5月30日,20.560,19.276,21.206,18.909,64.22K,-6.24%
2019年5月29日,20.454,20.560,21.151,19.934,44.60K,0.51%
2019年5月28日,20.295,20.454,20.637,20.067,28.95K,0.79%
2019年5月27日,20.112,20.295,20.969,19.853,58.68K,1.20%
2019年5月26日,19.571,20.054,20.480,19.153,31.66K,2.47%
2019年5月25日,19.286,19.571,19.977,19.286,14.84K,1.48%
2019年5月24日,19.622,19.286,20.680,19.209,36.75K,-1.71%
2019年5月23日,19.351,19.622,19.754,18.391,24.84K,1.40%
2019年5月22日,20.531,19.351,21.318,19.256,30.52K,-5.74%
2019年5月21日,21.248,20.531,21.248,20.022,54.83K,-3.38%
2019年5月20日,22.658,21.248,22.818,20.653,15.60K,-6.22%
2019年5月19日,21.782,22.658,22.893,21.781,28.42K,4.02%
2019年5月18日,21.205,21.782,22.163,21.010,20.44K,2.72%
2019年5月17日,22.950,21.205,23.198,19.143,44.31K,-7.61%
2019年5月16日,24.303,22.950,25.965,22.354,54.54K,-5.57%
2019年5月15日,21.197,24.303,24.846,20.932,57.82K,14.65%
2019年5月14日,20.671,21.197,21.397,20.492,34.11K,2.54%
2019年5月13日,20.109,20.671,21.330,19.918,29.37K,2.80%
2019年5月12日,21.254,20.109,21.484,19.846,32.74K,-5.39%
2019年5月11日,19.878,21.254,21.867,19.774,46.07K,6.92%
2019年5月10日,19.117,19.878,20.119,18.663,20.53K,3.98%
2019年5月9日,19.813,19.117,20.157,18.805,11.62K,-3.51%
2019年5月8日,19.923,19.813,20.001,19.557,10.25K,-0.55%
2019年5月7日,20.737,19.923,21.106,19.709,16.13K,-3.93%
2019年5月6日,20.011,20.737,20.749,19.572,15.19K,3.63%
2019年5月5日,20.092,20.011,20.327,19.841,5.48K,-0.40%
2019年5月4日,20.458,20.092,21.137,19.749,14.64K,-1.79%
2019年5月3日,20.071,20.458,20.840,19.640,23.10K,1.93%
2019年5月2日,20.373,20.071,20.802,19.991,11.69K,-1.48%
2019年5月1日,21.018,20.373,21.204,20.061,19.31K,-3.07%
2019年4月30日,20.327,21.018,21.641,20.106,27.06K,3.40%
2019年4月29日,21.097,20.327,21.358,19.472,26.88K,-3.65%
2019年4月28日,21.425,21.097,21.954,20.846,14.68K,-1.53%
2019年4月27日,21.718,21.425,22.019,21.174,10.44K,-1.35%
2019年4月26日,21.112,21.718,22.150,20.530,31.62K,2.87%
2019年4月25日,21.806,21.112,23.060,20.502,44.83K,-3.18%
2019年4月24日,21.743,21.806,22.248,20.344,28.55K,0.29%
2019年4月23日,22.870,21.743,22.918,21.374,30.55K,-4.93%
2019年4月22日,20.690,22.870,23.756,20.682,89.33K,10.54%
2019年4月21日,21.506,20.690,21.529,20.000,0.79K,-3.80%
2019年4月20日,22.057,21.506,22.135,21.388,0.90K,-2.50%
2019年4月19日,21.425,22.057,22.300,20.769,2.42K,2.95%
2019年4月18日,20.081,21.425,23.077,20.081,6.11K,6.69%
2019年4月17日,18.797,20.081,20.081,18.797,1.93K,6.83%
2019年4月16日,18.694,18.797,19.094,18.310,1.52K,0.55%
2019年4月15日,20.205,18.694,20.409,18.250,3.21K,-7.48%
2019年4月14日,18.571,20.205,20.205,18.571,1.14K,8.80%
2019年4月13日,19.288,18.571,19.297,18.275,0.85K,-3.72%
2019年4月12日,18.356,19.288,20.463,17.781,4.88K,5.07%
2019年4月11日,19.930,18.356,19.930,16.945,6.72K,-7.90%
2019年4月10日,20.486,19.930,20.630,19.522,4.15K,-2.71%
2019年4月9日,22.264,20.486,22.264,20.111,2.86K,-7.99%
2019年4月8日,22.393,22.264,24.733,20.658,5.42K,-0.58%
2019年4月7日,21.610,22.393,22.945,20.530,3.06K,3.62%
2019年4月6日,19.490,21.610,23.886,19.340,4.05K,10.88%
2019年4月5日,19.295,19.490,20.000,18.950,3.48K,1.01%
