日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.0258,0.0254,0.0259,0.0246,-,-1.76%
2019年6月10日,0.0258,0.0258,0.0261,0.0230,-,0.00%
2019年6月9日,0.0258,0.0258,0.0271,0.0249,-,0.00%
2019年6月8日,0.0260,0.0258,0.0264,0.0248,-,-0.84%
2019年6月7日,0.0255,0.0260,0.0279,0.0244,-,2.00%
2019年6月6日,0.0244,0.0255,0.0266,0.0243,-,4.26%
2019年6月5日,0.0249,0.0244,0.0260,0.0234,-,-1.75%
2019年6月4日,0.0260,0.0249,0.0285,0.0237,-,-4.17%
2019年6月3日,0.0252,0.0260,0.0272,0.0245,-,2.87%
2019年6月2日,0.0243,0.0252,0.0261,0.0239,-,3.93%
2019年6月1日,0.0241,0.0243,0.0250,0.0237,-,0.69%
2019年5月31日,0.0231,0.0241,0.0242,0.0226,-,4.41%
2019年5月30日,0.0222,0.0231,0.0263,0.0219,-,4.06%
2019年5月29日,0.0233,0.0222,0.0274,0.0212,-,-4.92%
2019年5月28日,0.0236,0.0233,0.0271,0.0229,-,-1.19%
2019年5月27日,0.0240,0.0236,0.0252,0.0219,-,-1.48%
2019年5月26日,0.0230,0.0240,0.0243,0.0216,-,4.12%
2019年5月25日,0.0223,0.0230,0.0238,0.0220,-,3.22%
2019年5月24日,0.0191,0.0223,0.0271,0.0184,-,16.84%
2019年5月23日,0.0195,0.0191,0.0199,0.0185,-,-1.89%
2019年5月22日,0.0196,0.0195,0.0214,0.0188,-,-0.58%
2019年5月21日,0.0181,0.0196,0.0226,0.0181,-,8.33%
2019年5月20日,0.0194,0.0181,0.0194,0.0176,-,-6.92%
2019年5月19日,0.0176,0.0194,0.0197,0.0175,-,10.46%
2019年5月18日,0.0184,0.0176,0.0189,0.0175,-,-4.38%
2019年5月17日,0.0196,0.0184,0.0197,0.0168,-,-6.35%
2019年5月16日,0.0210,0.0196,0.0218,0.0184,-,-6.46%
2019年5月15日,0.0204,0.0210,0.0237,0.0195,-,2.63%
2019年5月14日,0.0200,0.0204,0.0221,0.0196,-,2.04%
2019年5月13日,0.0200,0.0200,0.0211,0.0196,-,0.00%
2019年5月12日,0.0210,0.0200,0.0217,0.0193,-,-4.64%
2019年5月11日,0.0210,0.0210,0.0218,0.0198,-,0.00%
2019年5月10日,0.0194,0.0210,0.0220,0.0191,-,8.46%
2019年5月9日,0.0197,0.0194,0.0202,0.0186,-,-1.70%
2019年5月8日,0.0206,0.0197,0.0209,0.0194,-,-3.96%
2019年5月7日,0.0181,0.0206,0.0225,0.0181,-,13.46%
2019年5月6日,0.0182,0.0181,0.0187,0.0174,-,-0.37%
2019年5月5日,0.0179,0.0182,0.0185,0.0177,-,1.50%
2019年5月4日,0.0183,0.0179,0.0187,0.0174,-,-2.29%
2019年5月3日,0.0185,0.0183,0.0194,0.0175,-,-0.93%
2019年5月2日,0.0165,0.0185,0.0197,0.0163,-,12.15%
2019年5月1日,0.0168,0.0165,0.0170,0.0163,-,-1.50%
2019年4月30日,0.0159,0.0168,0.0170,0.0150,-,5.25%
2019年4月29日,0.0164,0.0159,0.0171,0.0147,-,-3.09%
2019年4月28日,0.0160,0.0164,0.0172,0.0159,-,2.70%
2019年4月27日,0.0155,0.0160,0.0165,0.0154,-,3.43%
2019年4月26日,0.0161,0.0155,0.0168,0.0154,-,-3.70%
2019年4月25日,0.0161,0.0161,0.0186,0.0158,-,-0.39%
2019年4月24日,0.0171,0.0161,0.0172,0.0147,-,-5.75%
2019年4月23日,0.0168,0.0171,0.0182,0.0166,-,1.78%
2019年4月22日,0.0171,0.0168,0.0175,0.0164,-,-1.83%
2019年4月21日,0.0175,0.0171,0.0176,0.0169,-,-2.37%
2019年4月20日,0.0179,0.0175,0.0182,0.0172,-,-2.01%
2019年4月19日,0.0186,0.0179,0.0186,0.0176,-,-3.71%
2019年4月18日,0.0174,0.0186,0.0189,0.0174,-,6.73%
2019年4月17日,0.0168,0.0174,0.0177,0.0165,-,3.77%
2019年4月16日,0.0164,0.0168,0.0171,0.0162,-,2.62%
2019年4月15日,0.0172,0.0164,0.0178,0.0160,-,-5.16%
2019年4月14日,0.0165,0.0172,0.0175,0.0163,-,4.26%
2019年4月13日,0.0170,0.0165,0.0175,0.0160,-,-2.60%
2019年4月12日,0.0161,0.0170,0.0170,0.0154,-,5.51%
2019年4月11日,0.0172,0.0161,0.0172,0.0151,-,-6.48%
2019年4月10日,0.0174,0.0172,0.0184,0.0165,-,-1.24%
2019年4月9日,0.0177,0.0174,0.0180,0.0172,-,-1.78%
2019年4月8日,0.0181,0.0177,0.0192,0.0170,-,-2.22%
2019年4月7日,0.0177,0.0181,0.0192,0.0175,-,2.74%
2019年4月6日,0.0167,0.0177,0.0205,0.0160,-,5.85%
2019年4月5日,0.0134,0.0167,0.0330,0.0131,-,24.96%
2019年4月4日,0.0132,0.0134,0.0136,0.0129,-,1.15%
2019年4月3日,0.0142,0.0132,0.0147,0.0123,-,-7.00%
2019年4月2日,0.0131,0.0142,0.0152,0.0130,-,8.33%
2019年4月1日,0.0132,0.0131,0.0134,0.0129,-,-1.23%
2019年3月31日,0.0132,0.0133,0.0135,0.0128,-,0.00%
2019年3月30日,0.0138,0.0132,0.0141,0.0129,-,-4.41%
2019年3月29日,0.0136,0.0138,0.0143,0.0126,-,2.03%
2019年3月28日,0.0141,0.0136,0.0141,0.0127,-,-3.71%
2019年3月27日,0.0134,0.0141,0.0145,0.0132,-,5.19%
2019年3月26日,0.0142,0.0134,0.0143,0.0131,-,-5.73%
2019年3月25日,0.0146,0.0142,0.0150,0.0142,-,-2.72%
2019年3月24日,0.0148,0.0146,0.0148,0.0145,-,-1.19%
2019年3月23日,0.0144,0.0148,0.0153,0.0144,-,2.39%
2019年3月22日,0.0139,0.0144,0.0166,0.0136,-,3.83%
2019年3月21日,0.0137,0.0139,0.0140,0.0133,-,1.34%
2019年3月20日,0.0139,0.0137,0.0139,0.0135,-,-1.29%
2019年3月19日,0.0143,0.0139,0.0145,0.0132,-,-2.77%
2019年3月18日,0.0152,0.0143,0.0156,0.0143,-,-6.11%
2019年3月17日,0.0154,0.0152,0.0159,0.0148,-,-1.08%
2019年3月16日,0.0156,0.0154,0.0164,0.0147,-,-1.66%
2019年3月15日,0.0159,0.0156,0.0170,0.0154,-,-1.47%
2019年3月14日,0.0161,0.0159,0.0161,0.0149,-,-1.34%
2019年3月13日,0.0164,0.0161,0.0176,0.0160,-,-2.14%
2019年3月12日,0.0165,0.0164,0.0180,0.0148,-,0.00%
2019年3月11日,0.0170,0.0165,0.0174,0.0157,-,-2.77%
2019年3月10日,0.0185,0.0170,0.0185,0.0159,-,-8.32%
2019年3月9日,0.0171,0.0185,0.0199,0.0166,-,8.34%
2019年3月8日,0.0134,0.0171,0.0210,0.0132,-,27.76%
2019年3月7日,0.0109,0.0134,0.0138,0.0108,-,22.96%
2019年3月6日,0.0097,0.0109,0.0111,0.0096,-,11.74%
2019年3月5日,0.0087,0.0097,0.0106,0.0084,-,11.61%
