日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,31.9863,31.6842,32.0248,31.4202,6.02M,-0.95%
2019年6月10日,30.1507,31.9867,32.0031,29.7529,6.26M,6.09%
2019年6月9日,31.7045,30.1507,31.8398,29.7700,2.53M,-4.90%
2019年6月8日,31.4274,31.7045,32.2896,31.1256,3.23M,0.88%
2019年6月7日,31.1601,31.4274,31.9600,30.9494,2.76M,0.88%
2019年6月6日,30.8500,31.1543,31.9887,29.7500,2.99M,0.99%
2019年6月5日,29.1971,30.8500,31.1826,29.0068,3.35M,5.66%
2019年6月4日,30.8659,29.1971,31.4500,28.7327,2.88M,-5.41%
2019年6月3日,33.1568,30.8659,33.1619,30.5111,2.85M,-6.91%
2019年6月2日,33.3010,33.1568,33.7493,32.6938,3.13M,-0.43%
2019年6月1日,32.9196,33.3010,34.3199,32.5273,3.65M,1.13%
2019年5月31日,31.6304,32.9303,32.9634,30.6122,3.63M,4.11%
2019年5月30日,33.6151,31.6304,34.9494,30.3764,3.80M,-5.90%
2019年5月29日,33.1176,33.6151,33.8748,30.9299,3.64M,1.50%
2019年5月28日,33.4601,33.1176,34.4900,32.5000,3.59M,-1.02%
2019年5月27日,33.2659,33.4601,35.0758,32.7598,3.94M,0.58%
2019年5月26日,35.0736,33.2659,35.0736,32.3660,3.85M,-5.27%
2019年5月25日,34.1011,35.1153,35.4724,33.6490,4.18M,2.97%
2019年5月24日,31.4220,34.1011,34.6999,31.2120,4.53M,8.53%
2019年5月23日,30.6654,31.4220,32.2339,30.1972,3.79M,1.20%
2019年5月22日,32.4127,31.0499,32.4127,30.6926,3.80M,-4.20%
2019年5月21日,29.2653,32.4127,32.7003,28.0629,4.71M,10.75%
2019年5月20日,29.1700,29.2653,29.2999,27.5987,3.98M,0.33%
2019年5月19日,28.8655,29.1700,29.8363,27.6218,4.44M,1.05%
2019年5月18日,25.7991,28.8655,29.0989,25.1336,4.32M,11.89%
2019年5月17日,26.2900,25.7991,26.6547,23.3998,3.43M,-1.87%
2019年5月16日,26.8205,26.2900,27.7392,25.0800,4.20M,-1.98%
2019年5月15日,23.6417,26.8205,27.4000,23.4601,3.43M,13.45%
2019年5月14日,23.5000,23.6417,24.4900,22.6204,3.82M,0.60%
2019年5月13日,20.9587,23.5000,23.9900,20.7381,4.57M,12.13%
2019年5月12日,20.8491,20.9587,21.4925,20.1289,3.23M,0.53%
2019年5月11日,19.6224,20.8491,22.0000,18.8883,3.75M,6.25%
2019年5月10日,18.8521,19.6224,19.9884,18.3322,2.43M,4.24%
2019年5月9日,20.6673,18.8243,20.9633,18.5780,2.33M,-8.92%
2019年5月8日,20.6603,20.6673,21.4000,19.6000,2.74M,0.03%
2019年5月7日,22.1895,20.6603,22.4500,20.3006,1.81M,-6.86%
2019年5月6日,22.9849,22.1820,22.9946,21.4701,1.77M,-3.49%
2019年5月5日,22.8950,22.9849,23.1696,22.6573,1.79M,0.39%
2019年5月4日,23.7034,22.8950,23.7910,22.3118,1.90M,-3.41%
2019年5月3日,23.6087,23.7034,23.9720,23.0194,2.23M,0.40%
2019年5月2日,21.8788,23.6087,24.0948,21.7497,2.44M,7.91%
2019年5月1日,22.0429,21.8788,22.0989,21.4774,2.07M,-0.74%
2019年4月30日,21.6724,22.0429,22.2999,21.3363,2.20M,1.71%
2019年4月29日,23.0127,21.6724,23.0767,21.3400,2.39M,-5.82%
2019年4月28日,22.4200,23.0127,23.2060,22.4200,3.02M,2.64%
2019年4月27日,23.0573,22.4200,23.1200,22.3900,2.99M,-2.76%
2019年4月26日,22.4800,23.0573,23.7845,21.6794,3.27M,2.57%
2019年4月25日,23.0090,22.4800,23.4424,21.6099,3.12M,-2.30%
2019年4月24日,22.5488,23.0090,23.1053,20.9665,2.96M,2.04%
2019年4月23日,23.7830,22.5488,24.5981,22.4800,2.88M,-5.19%
2019年4月22日,24.0301,23.7830,24.6060,23.1809,3.01M,-1.03%
2019年4月21日,24.8873,24.0301,24.8873,22.4937,3.31M,-3.44%
2019年4月20日,24.3199,24.8873,25.4899,23.7892,3.54M,2.33%
2019年4月19日,21.8800,24.3199,24.7000,21.1736,4.25M,11.15%
2019年4月18日,19.4900,21.8800,21.9907,19.4335,3.69M,12.26%
2019年4月17日,19.6438,19.4900,19.7690,19.2697,2.00M,-0.78%
2019年4月16日,19.2677,19.6438,19.7132,18.7133,2.24M,1.95%
2019年4月15日,19.3650,19.2677,19.7770,18.6868,2.22M,-0.60%
2019年4月14日,18.6183,19.3838,19.9000,18.4285,2.44M,4.11%
2019年4月13日,18.3238,18.6183,18.6308,17.9527,2.21M,1.61%
2019年4月12日,17.5331,18.3238,18.5430,16.6200,2.33M,4.51%
2019年4月11日,18.2302,17.5331,18.2302,16.3156,1.81M,-3.87%
2019年4月10日,18.2996,18.2391,18.6089,17.8934,2.56M,-0.33%
