日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,393.13,388.55,395.96,385.20,1.58M,-1.17%
2019年6月10日,380.37,393.14,397.96,374.29,1.83M,3.36%
2019年6月9日,392.07,380.37,395.44,371.98,1.62M,-2.98%
2019年6月8日,399.22,392.07,403.43,385.69,1.62M,-1.79%
2019年6月7日,394.72,399.21,408.57,390.17,1.84M,1.14%
2019年6月6日,396.70,394.72,402.68,370.90,1.96M,-0.48%
2019年6月5日,382.59,396.61,412.18,380.20,2.52M,3.66%
2019年6月4日,405.55,382.61,405.55,366.24,2.73M,-5.67%
2019年6月3日,441.58,405.60,446.38,400.96,2.34M,-8.14%
2019年6月2日,432.99,441.56,448.83,432.10,1.39M,1.98%
2019年6月1日,443.38,433.00,448.40,429.13,1.60M,-2.34%
2019年5月31日,421.96,443.38,444.40,415.53,2.11M,5.08%
2019年5月30日,455.61,421.94,480.79,407.20,3.12M,-7.39%
2019年5月29日,433.90,455.61,464.88,421.10,15.61M,5.03%
2019年5月28日,439.40,433.79,443.76,426.43,1.68M,-1.28%
2019年5月27日,428.69,439.41,456.25,421.15,2.62M,2.48%
2019年5月26日,404.93,428.78,434.57,390.88,2.22M,5.89%
2019年5月25日,407.79,404.94,413.93,398.44,1.49M,-0.71%
2019年5月24日,403.86,407.85,420.28,393.85,2.49M,0.98%
2019年5月23日,388.15,403.87,406.62,368.41,2.77M,4.11%
2019年5月22日,414.78,387.92,422.29,382.55,2.65M,-6.49%
2019年5月21日,412.03,414.82,443.73,399.57,2.85M,0.70%
2019年5月20日,416.19,411.94,420.82,381.18,3.34M,-1.01%
2019年5月19日,357.51,416.16,429.88,356.59,3.65M,16.41%
2019年5月18日,367.20,357.51,373.63,350.22,2.45M,-2.66%
2019年5月17日,398.51,367.26,411.17,338.48,4.33M,-7.85%
2019年5月16日,401.87,398.53,447.42,382.64,5.10M,-0.91%
2019年5月15日,389.22,402.19,407.01,370.50,3.27M,3.33%
2019年5月14日,383.94,389.21,408.07,365.06,3.79M,1.40%
2019年5月13日,355.54,383.83,402.31,347.97,4.53M,7.95%
2019年5月12日,352.57,355.57,376.86,333.24,5.95M,0.81%
2019年5月11日,286.91,352.70,382.51,286.91,4.89M,22.93%
2019年5月10日,284.42,286.92,295.04,278.60,2.77M,0.89%
2019年5月9日,286.29,284.39,293.37,277.70,2.30M,-0.68%
2019年5月8日,285.65,286.33,288.72,275.81,2.26M,0.20%
2019年5月7日,288.25,285.75,299.46,285.51,2.87M,-0.74%
2019年5月6日,293.35,287.87,296.21,276.39,2.75M,-1.87%
2019年5月5日,290.49,293.35,300.90,286.34,3.01M,0.97%
2019年5月4日,292.64,290.55,312.98,271.86,4.17M,-0.72%
2019年5月3日,269.47,292.64,296.96,267.47,3.19M,8.60%
2019年5月2日,270.75,269.46,279.92,266.92,2.34M,-0.48%
2019年5月1日,267.19,270.77,277.82,264.20,2.57M,1.34%
2019年4月30日,238.30,267.19,267.53,235.24,2.96M,12.15%
2019年4月29日,255.86,238.25,256.15,232.07,2.37M,-6.89%
2019年4月28日,264.82,255.88,268.08,251.80,1.58M,-3.37%
2019年4月27日,265.98,264.81,268.49,261.32,1.36M,-0.43%
2019年4月26日,267.67,265.95,279.96,257.67,2.22M,-0.68%
2019年4月25日,277.46,267.77,282.72,266.20,2.02M,-3.51%
2019年4月24日,287.49,277.52,290.05,268.20,2.52M,-3.46%
2019年4月23日,291.21,287.48,308.05,286.68,2.19M,-1.29%
2019年4月22日,288.52,291.23,294.52,284.94,1.79M,0.94%
2019年4月21日,298.96,288.53,301.78,278.55,1.99M,-3.49%
2019年4月20日,305.32,298.95,308.24,293.86,1.41M,-2.08%
2019年4月19日,305.57,305.32,309.63,290.79,1.98M,-0.08%
2019年4月18日,308.87,305.57,313.03,303.04,1.66M,-1.07%
2019年4月17日,315.38,308.87,319.86,303.30,1.84M,-2.07%
2019年4月16日,312.49,315.40,324.31,302.28,1.62M,0.93%
2019年4月15日,287.72,312.48,333.42,286.00,2.72M,8.60%
2019年4月14日,277.28,287.74,289.34,272.34,827.30K,3.77%
2019年4月13日,280.53,277.29,285.16,270.98,1.06M,-1.16%
2019年4月12日,270.15,280.53,287.24,256.56,1.68M,3.84%
2019年4月11日,304.47,270.16,305.13,254.16,2.26M,-11.25%
2019年4月10日,293.66,304.40,311.97,292.84,1.06M,3.66%
2019年4月9日,307.26,293.66,307.26,289.78,1.04M,-4.43%
2019年4月8日,319.11,307.27,328.68,291.96,1.57M,-3.71%
2019年4月7日,305.60,319.10,326.59,298.87,1.47M,4.41%
2019年4月6日,291.93,305.63,330.95,283.71,1.61M,4.69%
2019年4月5日,285.44,291.95,299.96,280.81,1.36M,2.27%
2019年4月4日,300.80,285.46,319.12,273.19,2.51M,-5.10%
2019年4月3日,241.25,300.81,345.59,240.79,35.51M,24.69%
2019年4月2日,167.47,241.25,246.03,167.16,8.18M,44.06%
2019年4月1日,168.84,167.47,169.79,166.83,1.13M,-0.81%
2019年3月31日,167.11,168.84,169.03,165.07,1.15M,1.03%
2019年3月30日,170.41,167.11,171.64,164.84,1.74M,-1.93%
2019年3月29日,168.07,170.41,174.76,167.78,1.49M,1.39%
2019年3月28日,170.86,168.06,171.35,165.82,1.48M,-1.64%
2019年3月27日,159.30,170.86,173.17,158.62,2.78M,7.26%
2019年3月26日,160.02,159.30,160.60,153.55,1.81M,-0.45%
2019年3月25日,164.39,160.02,165.21,156.24,1.60M,-2.66%
2019年3月24日,166.23,164.39,166.23,161.43,1.38M,-1.11%
2019年3月23日,156.59,166.24,169.50,155.52,3.03M,6.17%
2019年3月22日,152.96,156.58,159.12,151.33,1.19M,2.37%
2019年3月21日,158.87,152.96,159.60,147.34,2.09M,-3.72%
2019年3月20日,160.02,158.87,160.02,154.30,1.86M,-0.73%
2019年3月19日,161.30,160.03,161.62,155.45,2.71M,-0.78%
2019年3月18日,154.25,161.30,166.16,153.86,5.24M,4.57%
2019年3月17日,155.73,154.25,157.40,147.01,3.85M,-0.95%
2019年3月16日,143.38,155.73,160.80,143.37,5.66M,8.61%
2019年3月15日,132.18,143.38,146.17,132.13,2.45M,8.47%
2019年3月14日,127.98,132.18,134.83,127.61,1.60M,3.29%
2019年3月13日,128.43,127.98,129.08,126.53,608.87K,-0.35%
2019年3月12日,128.65,128.43,129.45,125.83,847.50K,-0.19%
2019年3月11日,131.11,128.67,131.68,126.69,869.46K,-1.86%
2019年3月10日,133.28,131.11,133.73,130.30,699.44K,-1.63%
2019年3月9日,127.74,133.28,136.19,127.46,1.37M,4.35%
2019年3月8日,130.54,127.73,132.07,126.12,886.66K,-2.15%
2019年3月7日,131.15,130.54,133.21,130.11,924.25K,-0.46%
2019年3月6日,132.03,131.15,133.05,128.97,1.22M,-0.67%
2019年3月5日,123.26,132.03,133.18,122.74,1.05M,7.11%
2019年3月4日,129.53,123.26,130.47,120.79,950.38K,-4.84%
2019年3月3日,130.31,129.53,131.58,128.91,391.28K,-0.59%
2019年3月2日,131.31,130.31,131.82,128.19,623.76K,-0.77%
2019年3月1日,130.31,131.31,133.03,129.99,563.41K,0.77%
2019年2月28日,131.16,130.31,132.99,128.90,931.04K,-0.64%
