日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,1.14144,1.20021,1.29972,1.11652,3.26M,4.96%
2019年6月9日,1.18614,1.14352,1.19542,1.11630,2.13M,-3.59%
2019年6月8日,1.21507,1.18614,1.22946,1.16673,2.06M,-2.38%
2019年6月7日,1.16541,1.21507,1.23987,1.16345,2.04M,4.19%
2019年6月6日,1.19699,1.16617,1.20841,1.11911,2.06M,-2.57%
2019年6月5日,1.16363,1.19699,1.22236,1.15109,2.67M,2.60%
2019年6月4日,1.30603,1.16666,1.30603,1.12888,4.18M,-10.67%
2019年6月3日,1.37248,1.30603,1.45790,1.29864,4.04M,-4.84%
2019年6月2日,1.35299,1.37248,1.43489,1.33085,2.85M,1.44%
2019年6月1日,1.50834,1.35299,1.52541,1.32073,4.10M,-10.30%
2019年5月31日,1.31472,1.50834,1.52510,1.26482,6.11M,14.94%
2019年5月30日,1.28716,1.31232,1.78191,1.24843,18.27M,1.95%
2019年5月29日,1.07601,1.28716,1.31619,1.03562,7.34M,19.62%
2019年5月28日,1.08952,1.07601,1.09491,1.05768,2.08M,-1.24%
2019年5月27日,1.06224,1.08952,1.11424,1.05645,2.80M,2.57%
2019年5月26日,1.03151,1.06224,1.07437,0.99813,2.23M,2.98%
2019年5月25日,1.04149,1.03151,1.05293,1.01669,1.78M,-0.96%
2019年5月24日,1.03168,1.04149,1.07452,1.01062,2.64M,0.95%
2019年5月23日,1.05679,1.03168,1.06382,0.97702,2.49M,-2.38%
2019年5月22日,1.04527,1.05679,1.14739,1.02294,3.93M,1.10%
2019年5月21日,0.98436,1.04527,1.14306,0.97619,3.71M,6.19%
2019年5月20日,1.01107,0.98436,1.01107,0.95592,2.07M,-2.64%
2019年5月19日,0.94710,1.01107,1.01802,0.94558,2.30M,6.75%
2019年5月18日,0.95733,0.94710,0.97967,0.93423,1.91M,-1.07%
2019年5月17日,1.01970,0.95733,1.03513,0.91167,2.63M,-6.27%
2019年5月16日,1.08514,1.02141,1.17496,0.98371,3.52M,-5.87%
2019年5月15日,0.96956,1.08514,1.10447,0.96776,3.09M,11.77%
2019年5月14日,0.92367,0.97083,0.98229,0.92129,2.55M,5.10%
2019年5月13日,0.88668,0.92367,0.94955,0.88433,1.85M,4.17%
2019年5月12日,0.98127,0.88668,0.99822,0.88668,2.85M,-10.10%
2019年5月11日,0.84363,0.98629,0.99469,0.83869,2.61M,16.91%
2019年5月10日,0.86120,0.84363,0.86147,0.81749,2.22M,-2.04%
2019年5月9日,0.88485,0.86120,0.89799,0.84226,1.93M,-2.67%
2019年5月8日,0.89371,0.88485,0.89829,0.87244,1.73M,-0.99%
2019年5月7日,0.90627,0.89371,0.93380,0.89141,2.05M,-1.39%
2019年5月6日,0.91666,0.90627,0.92136,0.89177,1.97M,-1.13%
2019年5月5日,0.93492,0.91666,0.93580,0.91061,1.57M,-1.95%
2019年5月4日,0.94044,0.93492,0.96568,0.91211,2.14M,-0.59%
2019年5月3日,0.91636,0.94044,0.96516,0.90649,2.07M,2.63%
2019年5月2日,0.91093,0.91636,0.92552,0.90399,1.61M,0.60%
2019年5月1日,0.90898,0.91093,0.91796,0.90500,1.66M,0.21%
2019年4月30日,0.87607,0.90898,0.90933,0.86172,1.83M,3.76%
2019年4月29日,0.91705,0.87607,0.91797,0.86663,1.80M,-4.47%
2019年4月28日,0.94908,0.91705,1.08941,0.89649,2.51M,-3.37%
2019年4月27日,0.93903,0.94908,0.96813,0.92125,1.88M,1.07%
2019年4月26日,0.95459,0.93903,0.97875,0.89340,2.95M,-1.63%
2019年4月25日,0.94206,0.95460,1.08823,0.93733,4.89M,1.33%
2019年4月24日,1.05174,0.94206,1.05324,0.91801,2.96M,-10.43%
2019年4月23日,1.06329,1.05174,1.10656,1.05014,1.95M,-1.09%
2019年4月22日,1.05234,1.06329,1.07318,1.01388,2.28M,1.04%
2019年4月21日,1.10219,1.05234,1.12838,1.03266,2.67M,-4.52%
2019年4月20日,1.14295,1.10219,1.15411,1.10057,2.35M,-3.57%
2019年4月19日,1.11693,1.14295,1.18293,1.07437,5.08M,2.33%
2019年4月18日,1.07165,1.11693,1.13548,1.07155,5.66M,4.23%
2019年4月17日,1.06318,1.07165,1.08971,1.03987,5.04M,0.88%
2019年4月16日,1.06627,1.06232,1.07510,1.03952,4.54M,-0.37%
2019年4月15日,1.06959,1.06627,1.10397,1.05340,4.60M,-0.31%
2019年4月14日,1.05542,1.06959,1.08783,1.03272,4.06M,1.34%
2019年4月13日,1.07252,1.05542,1.08615,1.04346,3.74M,-1.59%
2019年4月12日,1.07398,1.07252,1.09229,1.01422,5.27M,-0.14%
2019年4月11日,1.22942,1.07398,1.25349,1.01672,6.94M,-12.64%
2019年4月10日,1.12413,1.22942,1.30249,1.12413,9.28M,9.37%
2019年4月9日,1.18729,1.12413,1.18970,1.08564,6.80M,-5.32%
2019年4月8日,1.23235,1.18729,1.25157,1.14458,2.07M,-3.66%
2019年4月7日,1.21714,1.23235,1.27413,1.19768,2.33M,1.25%
2019年4月6日,1.26253,1.21714,1.26882,1.19836,2.02M,-3.60%
2019年4月5日,1.18800,1.26253,1.30233,1.13005,3.54M,6.06%
2019年4月4日,1.17957,1.19039,1.30859,1.07079,5.04M,0.85%
2019年4月3日,0.99804,1.18037,1.36586,0.99521,6.21M,18.27%
2019年4月2日,0.90482,0.99804,0.99804,0.89911,2.07M,10.30%
2019年4月1日,0.87785,0.90482,0.90671,0.87785,1.25M,3.11%
2019年3月31日,0.85527,0.87749,0.90927,0.84106,1.19M,2.60%
2019年3月30日,0.84710,0.85527,0.86758,0.84485,782.89K,0.96%
