日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,25.788,25.696,25.896,25.197,233.40K,-0.36%
2019年6月10日,24.367,25.788,26.102,24.118,254.12K,5.83%
2019年6月9日,25.927,24.367,25.960,24.131,232.80K,-6.02%
2019年6月8日,26.336,25.927,26.971,25.423,236.67K,-1.55%
2019年6月7日,25.406,26.336,26.784,25.144,239.65K,3.66%
2019年6月6日,25.392,25.406,25.487,24.359,239.29K,0.05%
2019年6月5日,25.272,25.392,26.135,24.703,234.89K,0.48%
2019年6月4日,27.380,25.272,27.380,24.803,264.74K,-7.70%
2019年6月3日,28.854,27.380,30.120,27.339,260.26K,-5.11%
2019年6月2日,28.400,28.854,29.511,28.079,225.76K,1.60%
2019年6月1日,29.328,28.400,29.460,27.905,225.29K,-3.16%
2019年5月31日,26.602,29.328,29.416,26.378,241.75K,10.36%
2019年5月30日,26.429,26.575,30.871,26.424,487.76K,0.49%
2019年5月29日,24.470,26.445,26.445,23.575,332.95K,8.07%
2019年5月28日,24.758,24.470,25.018,24.032,222.01K,-1.16%
2019年5月27日,24.300,24.758,25.189,23.959,242.68K,1.88%
2019年5月26日,22.687,24.300,24.477,22.246,241.94K,7.11%
2019年5月25日,23.136,22.687,23.312,22.465,216.94K,-2.00%
2019年5月24日,23.076,23.149,23.610,22.603,212.01K,0.32%
2019年5月23日,22.750,23.076,23.328,21.960,227.08K,1.43%
2019年5月22日,23.378,22.750,24.652,22.524,254.06K,-2.68%
2019年5月21日,21.518,23.378,24.531,21.209,310.24K,8.64%
2019年5月20日,22.630,21.518,22.634,20.791,223.50K,-4.91%
2019年5月19日,20.362,22.630,22.856,20.206,165.01K,11.14%
2019年5月18日,20.992,20.362,21.315,20.134,216.19K,-3.01%
2019年5月17日,23.037,20.993,23.205,20.234,258.80K,-8.85%
2019年5月16日,24.590,23.031,25.470,22.571,268.70K,-6.36%
2019年5月15日,22.915,24.596,24.772,22.438,290.25K,7.33%
2019年5月14日,22.755,22.915,23.911,22.050,229.72K,0.71%
2019年5月13日,21.583,22.755,23.719,21.511,208.76K,5.43%
2019年5月12日,22.282,21.583,24.814,21.455,293.96K,-3.37%
2019年5月11日,20.263,22.336,22.878,20.263,245.87K,10.23%
2019年5月10日,19.956,20.263,20.533,19.161,228.41K,1.51%
2019年5月9日,19.304,19.961,20.804,18.571,239.62K,3.40%
2019年5月8日,18.633,19.304,19.562,18.445,214.24K,3.60%
2019年5月7日,18.217,18.633,19.682,18.217,206.54K,2.25%
2019年5月6日,18.590,18.222,18.597,17.489,205.80K,-1.98%
2019年5月5日,18.508,18.590,19.058,18.338,205.90K,0.44%
2019年5月4日,18.735,18.508,19.204,17.738,207.78K,-1.21%
2019年5月3日,16.916,18.735,19.235,16.649,247.13K,10.74%
2019年5月2日,16.885,16.918,17.260,16.486,210.77K,0.20%
2019年5月1日,16.383,16.885,17.359,16.362,205.45K,3.07%
2019年4月30日,15.826,16.383,16.410,15.679,193.09K,3.52%
2019年4月29日,16.214,15.826,16.410,15.757,178.25K,-2.39%
2019年4月28日,16.361,16.214,16.528,16.161,184.03K,-0.90%
2019年4月27日,16.611,16.361,16.629,15.939,187.02K,-1.51%
2019年4月26日,15.041,16.611,16.687,14.547,229.69K,10.44%
2019年4月25日,15.848,15.041,16.028,14.576,251.03K,-5.09%
2019年4月24日,16.792,15.848,16.849,15.661,221.99K,-5.62%
2019年4月23日,16.854,16.792,17.372,16.788,206.04K,-0.37%
2019年4月22日,16.607,16.854,17.269,16.590,219.12K,1.49%
2019年4月21日,17.219,16.607,17.245,16.299,211.39K,-3.58%
2019年4月20日,17.238,17.224,17.551,17.117,201.97K,-0.08%
2019年4月19日,17.275,17.238,18.706,17.064,251.76K,-0.21%
2019年4月18日,17.086,17.275,17.497,17.052,161.14K,1.11%
2019年4月17日,16.868,17.086,17.410,16.781,152.12K,1.27%
2019年4月16日,16.275,16.872,16.948,15.776,147.55K,3.67%
2019年4月15日,16.852,16.275,17.491,15.962,36.23K,-3.43%
2019年4月14日,16.036,16.852,16.889,15.850,17.43K,5.09%
2019年4月13日,16.191,16.036,16.837,15.943,11.58K,-0.96%
2019年4月12日,16.524,16.191,16.825,15.728,20.42K,-2.01%
2019年4月11日,18.112,16.524,18.187,16.136,41.86K,-8.76%
2019年4月10日,17.420,18.112,19.195,17.420,30.31K,3.97%
2019年4月9日,17.820,17.420,18.375,17.131,33.10K,-2.24%
2019年4月8日,18.884,17.820,19.085,17.566,48.83K,-5.63%
2019年4月7日,18.730,18.884,19.177,18.170,41.30K,0.75%
2019年4月6日,18.105,18.744,20.164,17.761,96.87K,3.50%
2019年4月5日,15.279,18.110,20.295,15.270,105.93K,18.53%
2019年4月4日,15.776,15.279,16.698,15.072,31.94K,-3.15%
2019年4月3日,14.865,15.776,17.572,14.865,84.19K,6.13%
2019年4月2日,13.559,14.865,15.144,13.527,57.50K,9.63%
2019年4月1日,12.973,13.559,14.236,12.850,52.07K,4.51%
2019年3月31日,13.844,12.973,14.065,12.633,19.31K,-6.29%
2019年3月30日,13.854,13.844,13.938,12.713,15.72K,-0.07%
2019年3月29日,12.767,13.854,14.053,12.728,22.08K,8.52%
2019年3月28日,13.504,12.767,13.891,12.733,13.01K,-5.46%
2019年3月27日,13.259,13.504,13.598,12.429,32.69K,1.85%
2019年3月26日,12.865,13.259,13.263,12.260,16.69K,3.07%
2019年3月25日,13.155,12.865,14.366,12.730,34.28K,-2.20%
2019年3月24日,12.962,13.155,14.226,12.802,11.75K,1.49%
2019年3月23日,13.014,12.962,13.956,12.860,16.46K,-0.40%
2019年3月22日,13.678,13.014,14.275,12.966,13.37K,-4.85%
2019年3月21日,13.405,13.678,14.369,13.280,24.41K,2.04%
2019年3月20日,13.346,13.405,14.167,13.232,19.33K,0.44%
2019年3月19日,13.284,13.346,14.352,13.133,17.93K,0.46%
2019年3月18日,14.352,13.284,14.582,13.275,15.47K,-7.44%
2019年3月17日,13.973,14.352,14.423,13.094,14.33K,2.71%
2019年3月16日,13.471,13.973,14.731,13.471,40.02K,3.72%
2019年3月15日,13.272,13.471,14.251,13.226,22.92K,1.50%
2019年3月14日,12.731,13.272,14.130,12.691,47.00K,4.25%
2019年3月13日,13.233,12.731,13.570,12.605,31.32K,-3.79%
2019年3月12日,12.162,13.233,13.267,11.986,27.37K,8.79%
2019年3月11日,13.325,12.165,13.339,12.059,28.26K,-8.71%
2019年3月10日,12.552,13.325,13.499,12.463,19.71K,6.16%
2019年3月9日,12.570,12.552,13.374,12.465,21.04K,-0.14%
2019年3月8日,13.330,12.570,13.711,12.567,43.62K,-5.69%
2019年3月7日,13.211,13.328,13.395,12.412,19.65K,5.68%
