日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,191.57,186.52,191.99,184.97,895.91K,-2.65%
2019年6月10日,185.48,191.60,193.37,181.08,1.05M,3.30%
2019年6月9日,194.81,185.48,197.82,184.08,1.04M,-4.79%
2019年6月8日,202.65,194.80,204.12,188.92,938.46K,-3.87%
2019年6月7日,198.44,202.65,208.29,191.01,1.14M,2.13%
2019年6月6日,215.54,198.43,218.89,181.06,1.52M,-8.07%
2019年6月5日,228.71,215.86,232.35,202.71,1.52M,-5.63%
2019年6月4日,218.57,228.73,233.04,204.95,1.67M,4.63%
2019年6月3日,190.85,218.60,236.24,190.77,2.18M,14.54%
2019年6月2日,188.71,190.85,192.74,183.78,716.99K,1.14%
2019年6月1日,195.12,188.71,195.45,185.47,831.43K,-3.29%
2019年5月31日,182.52,195.13,199.76,175.84,1.51M,6.91%
2019年5月30日,204.84,182.52,250.77,173.77,3.26M,-10.89%
2019年5月29日,121.72,204.83,206.59,114.27,37.40M,68.29%
2019年5月28日,115.44,121.71,126.30,114.25,1.06M,5.44%
2019年5月27日,105.38,115.44,122.14,103.61,1.42M,9.54%
2019年5月26日,91.97,105.38,113.86,87.47,1.26M,14.60%
2019年5月25日,98.71,91.96,99.22,87.63,907.12K,-6.84%
2019年5月24日,101.61,98.71,101.66,96.12,993.23K,-2.89%
2019年5月23日,105.53,101.65,105.53,95.32,1.02M,-3.24%
2019年5月22日,105.76,105.05,118.34,97.58,1.47M,-0.65%
2019年5月21日,63.01,105.73,139.08,61.52,2.49M,67.84%
2019年5月20日,65.16,63.00,65.16,60.33,627.72K,-3.32%
2019年5月19日,59.67,65.16,66.58,59.51,843.78K,9.19%
2019年5月18日,60.59,59.67,61.19,59.07,481.13K,-1.52%
2019年5月17日,64.66,60.59,65.45,55.91,1.00M,-6.29%
2019年5月16日,71.91,64.66,75.20,63.44,1.33M,-10.23%
2019年5月15日,60.16,72.03,74.36,59.93,543.97K,19.67%
2019年5月14日,60.19,60.19,63.86,58.55,368.48K,-0.05%
2019年5月13日,57.91,60.22,61.59,57.23,349.53K,3.99%
2019年5月12日,60.52,57.91,64.37,56.21,379.24K,-4.35%
