日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.06179,0.06139,0.06220,0.06069,164.75M,-0.65%
2019年6月10日,0.05930,0.06179,0.06251,0.05854,185.03M,4.20%
2019年6月9日,0.06237,0.05930,0.06306,0.05813,174.28M,-4.91%
2019年6月8日,0.06367,0.06237,0.06417,0.06140,160.49M,-2.04%
2019年6月7日,0.06105,0.06367,0.06425,0.06012,166.08M,4.29%
2019年6月6日,0.05977,0.06105,0.06158,0.05872,178.54M,2.14%
2019年6月5日,0.05879,0.05977,0.06059,0.05732,165.72M,1.67%
2019年6月4日,0.06403,0.05879,0.06410,0.05651,190.50M,-8.18%
2019年6月3日,0.06882,0.06403,0.06918,0.06156,163.03M,-6.96%
2019年6月2日,0.06819,0.06882,0.07027,0.06780,151.25M,0.92%
2019年6月1日,0.06948,0.06819,0.07080,0.06730,148.08M,-1.86%
2019年5月31日,0.06737,0.06948,0.06978,0.06440,147.72M,3.14%
2019年5月30日,0.06872,0.06737,0.07243,0.06320,215.94M,-1.96%
2019年5月29日,0.07000,0.06872,0.07159,0.06565,154.74M,-1.84%
2019年5月28日,0.07153,0.07000,0.07237,0.06859,151.78M,-2.14%
2019年5月27日,0.06872,0.07153,0.07234,0.06676,162.69M,3.96%
2019年5月26日,0.06563,0.06881,0.07032,0.06112,154.94M,4.84%
2019年5月25日,0.06386,0.06563,0.06862,0.06321,157.99M,2.78%
2019年5月24日,0.06401,0.06386,0.06566,0.06067,160.79M,-0.24%
2019年5月23日,0.06319,0.06401,0.06455,0.05994,167.26M,1.30%
2019年5月22日,0.06486,0.06319,0.06682,0.06107,158.51M,-2.58%
2019年5月21日,0.06625,0.06486,0.06732,0.06060,157.01M,-2.09%
2019年5月20日,0.06955,0.06625,0.06955,0.06132,166.21M,-3.99%
2019年5月19日,0.06393,0.06900,0.07078,0.06239,155.44M,7.93%
2019年5月18日,0.06485,0.06393,0.06581,0.06103,164.45M,-1.37%
2019年5月17日,0.07033,0.06482,0.07216,0.06040,209.97M,-7.83%
2019年5月16日,0.06847,0.07033,0.07936,0.06586,218.25M,2.73%
2019年5月15日,0.06004,0.06846,0.07091,0.05967,195.12M,14.02%
2019年5月14日,0.05619,0.06004,0.06245,0.05514,170.32M,6.85%
2019年5月13日,0.05371,0.05619,0.05872,0.05264,176.18M,4.62%
2019年5月12日,0.05650,0.05371,0.05870,0.04805,215.83M,-4.94%
2019年5月11日,0.05045,0.05650,0.05895,0.04968,236.50M,11.99%
2019年5月10日,0.05126,0.05045,0.05282,0.04885,207.20M,-1.58%
2019年5月9日,0.05287,0.05126,0.05382,0.04955,215.21M,-2.01%
