日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.00123100,0.00119280,0.00123170,0.00118570,10.73B,-3.02%
2019年6月10日,0.00115720,0.00122990,0.00124780,0.00113320,12.11B,6.13%
2019年6月9日,0.00127130,0.00115890,0.00128280,0.00113190,9.54B,-8.42%
2019年6月8日,0.00131670,0.00126550,0.00132800,0.00125180,7.37B,-4.14%
2019年6月7日,0.00126600,0.00132010,0.00136310,0.00124980,13.35B,4.36%
2019年6月6日,0.00129930,0.00126500,0.00132510,0.00120030,11.47B,-2.71%
2019年6月5日,0.00130410,0.00130020,0.00135360,0.00122770,16.83B,-0.10%
2019年6月4日,0.00137840,0.00130150,0.00141880,0.00124380,19.67B,-7.02%
2019年6月3日,0.00161940,0.00139970,0.00161950,0.00137490,21.17B,-13.65%
2019年6月2日,0.00167240,0.00162100,0.00171250,0.00156960,12.31B,-2.95%
2019年6月1日,0.00158100,0.00167030,0.00172320,0.00155760,21.86B,4.92%
2019年5月31日,0.00145920,0.00159200,0.00159690,0.00141650,21.91B,9.15%
2019年5月30日,0.00166880,0.00145860,0.00173230,0.00133300,26.80B,-12.72%
2019年5月29日,0.00178760,0.00167110,0.00179680,0.00160460,22.73B,-6.64%
2019年5月28日,0.00169990,0.00178990,0.00185840,0.00166240,36.10B,5.47%
2019年5月27日,0.00142350,0.00169700,0.00173430,0.00141200,43.78B,18.69%
2019年5月26日,0.00121240,0.00142980,0.00145700,0.00117840,31.14B,17.88%
2019年5月25日,0.00125690,0.00121290,0.00127860,0.00120470,8.90B,-3.55%
2019年5月24日,0.00124200,0.00125760,0.00134200,0.00121010,30.39B,1.38%
2019年5月23日,0.00103980,0.00124050,0.00127630,0.00102320,47.66B,19.99%
2019年5月22日,0.00113900,0.00103380,0.00121900,0.00102150,34.29B,-9.12%
2019年5月21日,0.00120700,0.00113750,0.00134820,0.00111680,70.74B,-3.94%
2019年5月20日,0.00104500,0.00118410,0.00120660,0.00097520,57.53B,13.47%
