日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.14058,0.13757,0.14129,0.13614,50.19M,-2.17%
2019年6月10日,0.13079,0.14062,0.14477,0.12793,81.97M,7.52%
2019年6月9日,0.13438,0.13079,0.13594,0.12523,39.93M,-2.68%
2019年6月8日,0.13607,0.13438,0.13829,0.13129,25.75M,-1.24%
2019年6月7日,0.13648,0.13607,0.13869,0.13396,27.10M,-0.27%
2019年6月6日,0.13882,0.13644,0.13966,0.12927,51.32M,-1.72%
2019年6月5日,0.14552,0.13882,0.14552,0.12936,89.45M,-4.60%
2019年6月4日,0.12235,0.14552,0.15345,0.11487,144.37M,18.94%
2019年6月3日,0.13238,0.12235,0.13259,0.12127,30.97M,-7.57%
2019年6月2日,0.13003,0.13238,0.13648,0.12991,25.76M,1.81%
2019年6月1日,0.13035,0.13003,0.13768,0.12776,36.81M,-0.25%
2019年5月31日,0.12373,0.13035,0.13068,0.12294,24.26M,5.35%
2019年5月30日,0.13093,0.12373,0.13956,0.12216,61.40M,-5.50%
2019年5月29日,0.12691,0.13093,0.13916,0.12059,36.55M,3.17%
2019年5月28日,0.12912,0.12691,0.13214,0.12219,32.04M,-1.72%
2019年5月27日,0.12626,0.12912,0.13296,0.12164,40.52M,2.27%
2019年5月26日,0.12038,0.12626,0.12666,0.11612,25.28M,4.89%
2019年5月25日,0.11817,0.12038,0.12497,0.11774,27.01M,1.87%
2019年5月24日,0.11474,0.11817,0.12125,0.11424,25.48M,2.98%
2019年5月23日,0.11484,0.11474,0.11590,0.10851,22.42M,-0.08%
2019年5月22日,0.12021,0.11484,0.12126,0.11481,26.67M,-4.47%
2019年5月21日,0.12008,0.12021,0.12241,0.11648,26.70M,0.11%
2019年5月20日,0.12434,0.12008,0.12434,0.11380,29.92M,-3.31%
2019年5月19日,0.11584,0.12420,0.12651,0.11495,32.02M,7.21%
2019年5月18日,0.11981,0.11584,0.12080,0.11419,25.01M,-3.29%
2019年5月17日,0.12995,0.11978,0.13203,0.11107,57.46M,-7.80%
2019年5月16日,0.14006,0.12992,0.14926,0.12051,88.15M,-7.24%
2019年5月15日,0.11454,0.14006,0.14248,0.11425,74.94M,22.29%
2019年5月14日,0.10378,0.11454,0.11712,0.10353,43.06M,10.37%
2019年5月13日,0.10181,0.10378,0.10751,0.09969,25.37M,1.93%
2019年5月12日,0.10566,0.10181,0.10597,0.09723,34.18M,-3.64%
2019年5月11日,0.09342,0.10566,0.10710,0.09275,39.01M,13.10%
2019年5月10日,0.09245,0.09342,0.09412,0.09005,16.93M,1.06%
2019年5月9日,0.09669,0.09245,0.09782,0.09098,20.75M,-4.37%
2019年5月8日,0.09695,0.09667,0.09800,0.09572,12.50M,-0.35%
2019年5月7日,0.09767,0.09701,0.10085,0.09583,18.01M,-0.68%
2019年5月6日,0.09845,0.09767,0.09968,0.09520,15.92M,-0.79%
2019年5月5日,0.09972,0.09845,0.10127,0.09814,13.03M,-1.27%
2019年5月4日,0.10527,0.09972,0.10927,0.09610,24.48M,-5.27%
2019年5月3日,0.10109,0.10527,0.10586,0.10045,20.44M,4.13%
2019年5月2日,0.10007,0.10109,0.10162,0.09912,13.90M,1.02%
2019年5月1日,0.10112,0.10007,0.10200,0.09852,13.68M,-1.03%
2019年4月30日,0.09731,0.10112,0.10125,0.09579,22.45M,3.91%
2019年4月29日,0.09780,0.09731,0.09865,0.09354,19.91M,-0.50%
2019年4月28日,0.10040,0.09780,0.10077,0.09683,20.83M,-2.59%
2019年4月27日,0.09761,0.10040,0.10134,0.09702,14.63M,2.86%
2019年4月26日,0.09649,0.09761,0.10036,0.09379,20.77M,1.16%
2019年4月25日,0.09908,0.09649,0.10359,0.09620,22.39M,-2.61%
2019年4月24日,0.10552,0.09908,0.10591,0.09444,29.88M,-6.10%
2019年4月23日,0.11056,0.10552,0.11312,0.10547,20.94M,-4.56%
2019年4月22日,0.10998,0.11056,0.11447,0.10312,31.10M,0.50%
2019年4月21日,0.11755,0.11001,0.11818,0.10669,30.18M,-6.41%
2019年4月20日,0.11854,0.11755,0.12113,0.11708,16.10M,-0.84%
2019年4月19日,0.12004,0.11854,0.12004,0.11582,17.17M,-1.21%
2019年4月18日,0.11934,0.11999,0.12205,0.11886,19.74M,0.54%
2019年4月17日,0.12154,0.11934,0.12231,0.11792,15.75M,-1.81%
2019年4月16日,0.12011,0.12154,0.12272,0.11810,17.55M,1.19%
2019年4月15日,0.12368,0.12011,0.12696,0.11853,23.80M,-2.86%
2019年4月14日,0.11950,0.12365,0.12375,0.11635,11.06M,3.47%
2019年4月13日,0.12168,0.11950,0.12433,0.11758,14.10M,-1.79%
2019年4月12日,0.12012,0.12168,0.12493,0.11197,24.24M,1.30%
2019年4月11日,0.13151,0.12012,0.13234,0.11298,39.49M,-8.64%
2019年4月10日,0.12894,0.13147,0.13526,0.12825,23.26M,1.96%
2019年4月9日,0.13981,0.12894,0.13981,0.12438,28.57M,-7.77%
2019年4月8日,0.14604,0.13981,0.15186,0.13084,38.97M,-4.27%
2019年4月7日,0.14885,0.14604,0.15073,0.14000,27.14M,-1.89%
2019年4月6日,0.15406,0.14885,0.15416,0.14570,28.43M,-3.38%
2019年4月5日,0.13752,0.15405,0.15565,0.13744,40.28M,12.02%
2019年4月4日,0.13351,0.13752,0.14491,0.13015,35.42M,3.00%
2019年4月3日,0.12840,0.13351,0.14691,0.12586,45.61M,3.98%
2019年4月2日,0.11742,0.12840,0.13001,0.11736,38.74M,9.35%
2019年4月1日,0.11212,0.11742,0.11885,0.11115,18.03M,4.73%
2019年3月31日,0.11124,0.11212,0.11326,0.10995,10.55M,0.80%
2019年3月30日,0.11409,0.11124,0.11566,0.11047,13.52M,-2.50%
2019年3月29日,0.11034,0.11409,0.11503,0.11030,12.87M,3.40%
2019年3月28日,0.11411,0.11034,0.11411,0.10905,10.97M,-3.31%
2019年3月27日,0.10651,0.11411,0.11425,0.10543,14.86M,7.06%
2019年3月26日,0.10884,0.10659,0.10999,0.10106,13.20M,-2.11%
2019年3月25日,0.11348,0.10888,0.11465,0.10577,16.22M,-3.95%
2019年3月24日,0.11769,0.11336,0.11801,0.11035,13.08M,-3.68%
2019年3月23日,0.11473,0.11769,0.12134,0.11259,21.50M,2.58%
2019年3月22日,0.10655,0.11473,0.12194,0.10589,44.42M,7.67%
2019年3月21日,0.10772,0.10655,0.11250,0.10181,33.34M,-0.81%
2019年3月20日,0.10032,0.10743,0.10930,0.09925,24.61M,7.09%
2019年3月19日,0.10077,0.10032,0.10198,0.09868,10.18M,-0.45%
2019年3月18日,0.10213,0.10077,0.10436,0.09897,9.39M,-1.33%
2019年3月17日,0.10154,0.10213,0.10578,0.09757,14.79M,0.58%
2019年3月16日,0.10116,0.10154,0.10309,0.09985,14.52M,0.38%
2019年3月15日,0.09947,0.10116,0.10327,0.09872,13.63M,1.70%
2019年3月14日,0.09376,0.09947,0.10288,0.09314,34.97M,6.09%
2019年3月13日,0.09367,0.09376,0.09475,0.09120,6.27M,0.27%
2019年3月12日,0.09268,0.09352,0.09628,0.08947,12.88M,0.90%
2019年3月11日,0.09684,0.09268,0.09686,0.09072,14.66M,-4.30%
2019年3月10日,0.09531,0.09684,0.09899,0.09128,17.96M,1.61%
2019年3月9日,0.09356,0.09531,0.09897,0.09126,28.87M,1.87%
