日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.08507,0.08412,0.08547,0.08301,116.96M,-1.12%
2019年6月10日,0.07895,0.08507,0.08509,0.07782,124.44M,7.75%
2019年6月9日,0.08357,0.07895,0.08384,0.07705,96.68M,-5.52%
2019年6月8日,0.08503,0.08357,0.08609,0.08154,68.15M,-1.72%
2019年6月7日,0.08302,0.08503,0.08701,0.08202,118.17M,2.41%
2019年6月6日,0.08253,0.08302,0.08379,0.07801,145.77M,0.60%
2019年6月5日,0.08260,0.08253,0.08427,0.07966,119.11M,-0.08%
2019年6月4日,0.08753,0.08260,0.08824,0.07949,299.38M,-5.63%
2019年6月3日,0.09631,0.08753,0.09814,0.08710,343.22M,-9.10%
2019年6月2日,0.09046,0.09629,0.09742,0.09029,316.40M,6.45%
2019年6月1日,0.08910,0.09046,0.09268,0.08553,174.91M,1.52%
2019年5月31日,0.08389,0.08910,0.08968,0.08139,178.43M,6.21%
2019年5月30日,0.09085,0.08389,0.09670,0.08048,374.94M,-7.66%
2019年5月29日,0.09285,0.09085,0.09359,0.08561,191.70M,-2.15%
2019年5月28日,0.09040,0.09285,0.09341,0.08706,208.91M,2.71%
2019年5月27日,0.08531,0.09040,0.09333,0.08446,246.56M,5.97%
2019年5月26日,0.08013,0.08531,0.08667,0.07821,140.38M,6.47%
2019年5月25日,0.08068,0.08013,0.08218,0.07921,92.29M,-0.68%
2019年5月24日,0.08035,0.08068,0.08302,0.07796,148.20M,0.40%
2019年5月23日,0.07747,0.08035,0.08035,0.07394,163.71M,3.72%
2019年5月22日,0.08395,0.07747,0.08529,0.07707,151.45M,-7.72%
2019年5月21日,0.08447,0.08395,0.08600,0.08197,141.37M,-0.58%
2019年5月20日,0.08623,0.08443,0.08667,0.07925,239.52M,-2.08%
2019年5月19日,0.07882,0.08623,0.08778,0.07843,270.20M,9.40%
2019年5月18日,0.08276,0.07882,0.08491,0.07847,174.82M,-5.42%
2019年5月17日,0.08798,0.08333,0.09045,0.07576,397.02M,-5.19%
2019年5月16日,0.09389,0.08790,0.10063,0.08359,509.93M,-6.38%
2019年5月15日,0.08449,0.09389,0.09525,0.08338,279.69M,11.09%
2019年5月14日,0.07265,0.08451,0.08453,0.07241,396.80M,16.34%
2019年5月13日,0.07022,0.07265,0.07630,0.06961,243.18M,3.45%
2019年5月12日,0.07410,0.07022,0.07700,0.06786,321.47M,-6.01%
2019年5月11日,0.06316,0.07472,0.07852,0.06301,386.88M,18.30%
2019年5月10日,0.06165,0.06316,0.06501,0.05923,178.67M,2.44%
2019年5月9日,0.06467,0.06165,0.06521,0.06038,105.98M,-4.66%
2019年5月8日,0.06417,0.06467,0.06542,0.06204,75.60M,0.78%
2019年5月7日,0.06693,0.06417,0.06878,0.06396,101.23M,-4.13%
