日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,1.05840,1.10910,1.12200,1.03940,29.34K,4.79%
2019年6月9日,1.14080,1.05840,1.14560,1.01470,28.95K,-7.22%
2019年6月8日,1.17770,1.14080,1.19150,1.12020,33.08K,-3.13%
2019年6月7日,1.10900,1.17770,1.25490,1.07350,98.03K,6.19%
2019年6月6日,1.09530,1.10900,1.26190,1.06400,161.58K,1.25%
2019年6月5日,0.87920,1.09530,1.09620,0.87920,78.06K,24.58%
2019年6月4日,0.91570,0.87920,0.92770,0.84860,34.17K,-3.99%
2019年6月3日,1.02440,0.91570,1.02440,0.90000,37.09K,-10.61%
2019年6月2日,0.95430,1.02440,1.05400,0.93580,82.84K,7.35%
2019年6月1日,1.01890,0.95430,1.05400,0.95300,29.84K,-6.34%
2019年5月31日,1.01000,1.01890,1.04180,0.93070,87.24K,0.88%
2019年5月30日,1.16970,1.01000,1.22000,0.92580,97.80K,-13.65%
2019年5月29日,1.28000,1.16970,1.28000,1.14700,72.98K,-8.62%
2019年5月28日,1.21570,1.28000,1.34110,1.14560,110.85K,5.29%
2019年5月27日,1.08370,1.21570,1.25420,1.08370,132.73K,12.18%
2019年5月26日,1.11390,1.08370,1.18000,1.03940,92.20K,-2.71%
2019年5月25日,1.31310,1.11390,1.32750,1.10000,93.99K,-15.17%
2019年5月24日,1.33820,1.31310,1.43230,1.20020,101.62K,-1.88%
2019年5月23日,1.22000,1.33820,1.38650,1.15000,86.71K,9.69%
2019年5月22日,1.19580,1.22000,1.47050,1.14030,133.28K,2.02%
2019年5月21日,1.11680,1.19580,1.23120,1.06390,57.31K,7.07%
2019年5月20日,1.01720,1.11680,1.16870,0.95690,28.09K,9.79%
2019年5月19日,0.93550,1.01720,1.11000,0.93550,62.09K,8.73%
2019年5月18日,0.87590,0.93550,0.95600,0.86000,18.65K,6.80%
2019年5月17日,0.92440,0.87590,0.98360,0.82080,47.88K,-5.25%
2019年5月16日,0.84820,0.92440,0.92800,0.73900,47.94K,8.98%
2019年5月15日,0.79670,0.84820,0.88080,0.78210,75.11K,6.46%
2019年5月14日,0.66620,0.79670,0.97550,0.63820,114.29K,19.59%
2019年5月13日,0.65210,0.66620,0.69010,0.64760,8.74K,2.16%
2019年5月12日,0.68610,0.65210,0.69510,0.62930,13.86K,-4.96%
2019年5月11日,0.68700,0.68610,0.75560,0.65020,48.50K,-0.13%
2019年5月10日,0.67910,0.68700,0.76000,0.65010,62.76K,1.16%
2019年5月9日,0.59330,0.67910,0.75000,0.58920,70.85K,14.46%
2019年5月8日,0.54790,0.59330,0.61930,0.52750,22.96K,8.29%
2019年5月7日,0.57540,0.54790,0.61050,0.54790,13.97K,-4.78%
2019年5月6日,0.50260,0.57540,0.59380,0.50240,17.48K,14.48%
2019年5月5日,0.49960,0.50260,0.50350,0.48890,1.53K,0.60%
2019年5月4日,0.52050,0.49960,0.52050,0.48720,6.58K,-4.02%
2019年5月3日,0.46160,0.52050,0.52050,0.45790,3.18K,12.76%
2019年5月2日,0.47590,0.46160,0.47590,0.46160,3.95K,-3.00%
2019年5月1日,0.46320,0.47590,0.48560,0.46050,15.82K,2.74%
2019年4月30日,0.42030,0.46320,0.47490,0.42030,2.68K,10.21%
2019年4月29日,0.44780,0.42030,0.45440,0.42030,1.29K,-6.14%
2019年4月28日,0.45270,0.44780,0.46000,0.44340,4.17K,-1.08%
2019年4月27日,0.42570,0.45270,0.46000,0.42570,4.14K,6.34%
2019年4月26日,0.45000,0.42570,0.45050,0.42570,3.04K,-5.40%
2019年4月25日,0.46980,0.45000,0.49020,0.44850,7.46K,-4.21%
2019年4月24日,0.48510,0.46980,0.52920,0.42990,9.04K,-3.15%
2019年4月23日,0.49180,0.48510,0.50270,0.47820,7.52K,-1.36%
2019年4月22日,0.49050,0.49180,0.60250,0.49050,39.64K,0.27%
2019年4月21日,0.50310,0.49050,0.51100,0.40290,1.26K,-2.50%
2019年4月20日,0.51560,0.50310,0.52840,0.50310,0.48K,-2.42%
2019年4月19日,0.51880,0.51560,0.52410,0.51560,1.33K,-0.62%
2019年4月18日,0.50160,0.51880,0.52000,0.49500,0.27K,3.43%
2019年4月17日,0.51010,0.50160,0.51010,0.47850,7.40K,-1.67%
2019年4月16日,0.49610,0.51010,0.51460,0.48560,6.03K,2.82%
2019年4月15日,0.52470,0.49610,0.52710,0.47970,21.78K,-5.45%
2019年4月14日,0.53080,0.52470,0.54170,0.50950,10.03K,-1.15%
2019年4月13日,0.50540,0.53080,0.53500,0.50000,11.43K,5.03%
2019年4月12日,0.49100,0.50540,0.51080,0.45580,22.47K,2.93%
2019年4月11日,0.51930,0.49100,0.51980,0.46790,28.31K,-5.45%
2019年4月10日,0.53320,0.51930,0.53720,0.50880,3.53K,-2.61%
2019年4月9日,0.54720,0.53320,0.55220,0.48790,5.58K,-2.56%
2019年4月8日,0.56920,0.54720,0.60500,0.48790,10.46K,-3.87%
2019年4月7日,0.57790,0.56920,0.58310,0.56360,5.04K,-1.51%
2019年4月6日,0.56430,0.57790,0.58820,0.56430,7.40K,2.41%
2019年4月5日,0.53610,0.56430,0.57850,0.53610,6.88K,5.26%
2019年4月4日,0.55670,0.53610,0.57810,0.52350,15.65K,-3.70%
2019年4月3日,0.58190,0.55670,0.60240,0.55670,9.70K,-4.33%
2019年4月2日,0.55690,0.58190,0.59320,0.51260,9.28K,4.49%
2019年4月1日,0.51540,0.55690,0.55690,0.51540,12.67K,9.39%
2019年3月31日,0.49200,0.50910,0.53650,0.49040,13.48K,3.48%
2019年3月30日,0.49000,0.49200,0.50110,0.48400,3.82K,0.41%
2019年3月29日,0.49340,0.49000,0.49930,0.48890,4.84K,-0.69%
2019年3月28日,0.48700,0.49340,0.50560,0.48100,5.93K,1.31%
2019年3月27日,0.45760,0.48700,0.49620,0.45480,2.61K,6.42%
2019年3月26日,0.47220,0.45760,0.49180,0.45180,4.50K,-3.09%
2019年3月25日,0.45440,0.47220,0.47810,0.44460,8.41K,3.92%
2019年3月24日,0.45700,0.45440,0.46570,0.45440,1.49K,-0.57%
2019年3月23日,0.46320,0.45700,0.49650,0.45570,2.24K,-1.34%
2019年3月22日,0.46330,0.46320,0.46330,0.44410,5.92K,-0.02%
2019年3月21日,0.48160,0.46330,0.48160,0.44070,3.42K,-3.80%
2019年3月20日,0.48550,0.48160,0.49540,0.47250,1.60K,-0.80%
2019年3月19日,0.47450,0.48550,0.48550,0.47000,0.70K,2.32%
2019年3月18日,0.47970,0.47450,0.47970,0.46380,2.15K,-1.08%
2019年3月17日,0.47500,0.47970,0.49710,0.47000,3.49K,0.99%
2019年3月16日,0.48230,0.47500,0.48960,0.47120,2.57K,-1.51%
2019年3月15日,0.48760,0.48230,0.50550,0.48230,1.01K,-1.09%
2019年3月14日,0.48320,0.48760,0.49320,0.47440,6.92K,0.91%
2019年3月13日,0.52560,0.48320,0.52560,0.46830,3.18K,-8.07%
2019年3月12日,0.45920,0.52560,0.53460,0.45470,14.33K,14.46%
2019年3月11日,0.50270,0.45920,0.50800,0.45920,13.10K,-8.65%
2019年3月10日,0.46820,0.50270,0.53770,0.46820,14.40K,7.37%
2019年3月9日,0.46770,0.46820,0.48160,0.44950,8.83K,0.11%
2019年3月8日,0.46630,0.46770,0.50270,0.45580,15.81K,0.30%
2019年3月7日,0.43380,0.46630,0.46660,0.42460,2.92K,7.49%
2019年3月6日,0.41760,0.43380,0.43820,0.41760,1.73K,3.88%
2019年3月5日,0.41610,0.41760,0.43230,0.39760,4.12K,0.36%
2019年3月4日,0.42580,0.41610,0.42580,0.39660,1.31K,-2.28%
2019年3月3日,0.41840,0.42580,0.42800,0.41840,1.00K,1.77%
2019年3月2日,0.42770,0.41840,0.43340,0.41840,2.77K,-2.17%
2019年3月1日,0.42500,0.42770,0.43560,0.41840,3.25K,0.64%
2019年2月28日,0.42400,0.42500,0.44060,0.41850,2.03K,0.24%
2019年2月27日,0.43930,0.42400,0.43930,0.42400,0.81K,-3.48%
2019年2月26日,0.46500,0.43930,0.46500,0.42890,4.00K,-5.53%
2019年2月25日,0.40490,0.46500,0.46500,0.40080,4.80K,14.84%
2019年2月24日,0.45950,0.40490,0.46330,0.39880,10.66K,-11.88%
2019年2月23日,0.44580,0.45950,0.46230,0.44560,3.14K,3.07%
2019年2月22日,0.44850,0.44580,0.44980,0.44110,3.28K,-0.60%
2019年2月21日,0.46160,0.44850,0.47660,0.43990,21.79K,-2.84%
2019年2月20日,0.46800,0.46160,0.47490,0.44830,7.17K,-1.37%
2019年2月19日,0.47000,0.46800,0.47000,0.46720,2.99K,-0.43%
2019年2月18日,0.44940,0.47000,0.47940,0.44940,7.59K,4.58%
2019年2月17日,0.43690,0.44940,0.47050,0.42140,5.40K,2.86%
2019年2月16日,0.43780,0.43690,0.44460,0.43000,7.23K,-0.21%
2019年2月15日,0.42740,0.43780,0.43860,0.42200,8.37K,2.43%
2019年2月14日,0.43820,0.42740,0.44680,0.42740,5.13K,-2.46%
2019年2月13日,0.43200,0.43820,0.43820,0.41780,11.19K,1.44%
2019年2月12日,0.43070,0.43200,0.43200,0.42000,1.46K,0.30%
2019年2月11日,0.45220,0.43070,0.45220,0.42100,14.24K,-4.75%
2019年2月10日,0.46890,0.45220,0.48190,0.44560,7.78K,-3.56%
2019年2月9日,0.44700,0.46890,0.48640,0.43150,24.68K,4.90%
2019年2月8日,0.40450,0.44700,0.44700,0.40440,11.60K,10.51%
2019年2月7日,0.40150,0.40450,0.42000,0.39440,5.26K,0.75%
2019年2月6日,0.41940,0.40150,0.41940,0.39300,6.39K,-4.27%
2019年2月5日,0.39490,0.41940,0.43250,0.39300,6.40K,6.20%
2019年2月4日,0.38580,0.39490,0.39530,0.38000,6.64K,2.36%
2019年2月3日,0.40770,0.38580,0.40880,0.38580,7.15K,-5.37%
2019年2月2日,0.40720,0.40770,0.42780,0.39860,10.13K,0.12%
2019年2月1日,0.39800,0.40720,0.42320,0.38000,21.78K,2.31%
2019年1月31日,0.41420,0.39800,0.42280,0.39180,13.73K,-3.91%
2019年1月30日,0.45210,0.41420,0.47000,0.41420,17.79K,-8.38%
2019年1月29日,0.40400,0.45210,0.46370,0.40200,65.93K,11.91%
2019年1月28日,0.43000,0.40400,0.43000,0.35590,27.09K,-6.05%
2019年1月27日,0.47260,0.43000,0.54030,0.42890,9.86K,-9.01%
2019年1月26日,0.48270,0.47260,0.48410,0.46520,3.09K,-2.09%
2019年1月25日,0.49730,0.48270,0.50950,0.47450,25.25K,-2.94%
2019年1月24日,0.50070,0.49730,0.50070,0.47550,32.03K,-0.68%
2019年1月23日,0.53380,0.50070,0.54150,0.49610,28.31K,-6.20%
2019年1月22日,0.49990,0.53380,0.55080,0.49520,23.12K,6.78%
2019年1月21日,0.47400,0.49990,0.51620,0.46950,16.26K,5.46%
2019年1月20日,0.48110,0.47400,0.48330,0.45580,22.39K,-1.37%
2019年1月19日,0.49150,0.48060,0.49150,0.46920,24.61K,-2.22%
2019年1月18日,0.47350,0.49150,0.49830,0.45880,18.70K,3.80%
2019年1月17日,0.48980,0.47350,0.51960,0.45830,60.88K,-3.33%
2019年1月16日,0.50680,0.48980,0.56820,0.47000,78.65K,-3.35%
2019年1月15日,0.46500,0.50680,0.58080,0.46300,152.08K,8.99%
2019年1月14日,0.44500,0.46500,0.49000,0.40960,41.46K,4.49%
2019年1月13日,0.40500,0.44500,0.44500,0.37130,7.95K,9.88%
2019年1月12日,0.43330,0.40500,0.45980,0.39230,25.40K,-6.53%
2019年1月11日,0.35220,0.43330,0.44470,0.35200,19.21K,23.03%
2019年1月10日,0.39690,0.35220,0.40300,0.33820,26.40K,-11.26%
2019年1月9日,0.41440,0.39690,0.43110,0.39480,7.92K,-4.22%
2019年1月8日,0.36800,0.41440,0.41440,0.36020,9.05K,12.61%
2019年1月7日,0.38830,0.36800,0.38830,0.36800,2.22K,-5.23%
2019年1月6日,0.36730,0.38830,0.39540,0.35440,3.31K,5.72%
2019年1月5日,0.41910,0.36730,0.41910,0.36620,1.00K,-12.36%
2019年1月4日,0.36010,0.41910,0.45760,0.34400,12.52K,16.38%
2019年1月3日,0.31630,0.36010,0.36920,0.29910,14.97K,13.85%
2019年1月2日,0.31630,0.31630,0.31630,0.31630,-,0.00%
2019年1月1日,0.31630,0.31630,0.31630,0.31630,-,0.00%
2018年12月31日,0.28950,0.31630,0.31630,0.28950,0.57K,9.26%
2018年12月30日,0.28950,0.28950,0.28950,0.28950,-,0.00%
2018年12月29日,0.28560,0.28950,0.30970,0.28560,5.14K,1.37%
2018年12月28日,0.26950,0.28560,0.30840,0.26000,1.77K,5.97%
2018年12月27日,0.29240,0.26950,0.29240,0.26950,0.69K,-7.83%
2018年12月26日,0.30160,0.29240,0.31650,0.27680,3.88K,-3.05%
2018年12月25日,0.30510,0.30160,0.31260,0.27410,4.27K,-1.15%
2018年12月24日,0.30000,0.30510,0.32580,0.30000,17.52K,1.70%
2018年12月23日,0.28080,0.30000,0.31630,0.28080,14.40K,6.84%
2018年12月22日,0.29360,0.28080,0.30870,0.27940,12.29K,-4.36%
2018年12月21日,0.32590,0.29360,0.32720,0.29360,16.67K,-9.91%
2018年12月20日,0.28830,0.32590,0.33950,0.28720,58.05K,13.04%
2018年12月19日,0.26000,0.28830,0.30920,0.25220,93.66K,10.88%
2018年12月18日,0.22500,0.26000,0.26000,0.22200,34.17K,15.56%
2018年12月17日,0.20620,0.22500,0.22970,0.20610,87.08K,9.12%
2018年12月16日,0.19260,0.20620,0.36630,0.19260,56.12K,7.06%
2018年12月15日,0.20410,0.19260,0.20410,0.19260,0.20K,-5.63%
2018年12月14日,0.20410,0.20410,0.20410,0.20410,-,0.00%
2018年12月13日,0.21680,0.20410,0.22230,0.20410,8.86K,-5.86%
2018年12月12日,0.27980,0.21680,0.27980,0.21400,12.80K,-22.52%
2018年12月11日,0.23800,0.27980,0.31210,0.21250,12.75K,17.56%
2018年12月10日,0.23800,0.23800,0.23800,0.23800,-,0.00%
2018年12月9日,0.23800,0.23800,0.23800,0.21680,2.56K,0.00%
2018年12月8日,0.20530,0.23800,0.23800,0.20530,1.49K,15.93%
2018年12月7日,0.22050,0.20530,0.22050,0.20350,3.97K,-6.89%
2018年12月6日,0.26630,0.22050,0.26630,0.22050,3.25K,-17.20%
2018年12月5日,0.28960,0.26630,0.28960,0.26630,1.07K,-8.05%
2018年12月4日,0.29000,0.28960,0.29520,0.27730,9.04K,-0.14%
2018年12月3日,0.32020,0.29000,0.32020,0.28400,2.74K,-9.43%
2018年12月2日,0.33070,0.32020,0.38930,0.28830,19.80K,-3.18%
2018年12月1日,0.32200,0.33070,0.33550,0.32190,3.13K,2.70%
2018年11月30日,0.33880,0.32200,0.37690,0.32200,31.73K,-4.96%
2018年11月29日,0.33560,0.33880,0.36000,0.32000,5.10K,0.95%
2018年11月28日,0.30060,0.33560,0.34200,0.28540,17.43K,11.64%
2018年11月27日,0.28700,0.30060,0.30550,0.26810,32.67K,4.74%
2018年11月26日,0.26480,0.28700,0.28700,0.25280,3.24K,8.38%
2018年11月25日,0.28470,0.26480,0.28470,0.24230,10.79K,-6.99%
2018年11月24日,0.34760,0.28470,0.38460,0.28470,3.90K,-18.10%
2018年11月23日,0.36760,0.34760,0.36760,0.34760,0.73K,-5.44%
2018年11月22日,0.33980,0.36760,0.37000,0.33980,2.73K,8.18%
2018年11月21日,0.38170,0.33980,0.38170,0.33980,4.13K,-10.98%
2018年11月20日,0.39300,0.38170,0.40470,0.32090,9.56K,-2.88%
2018年11月19日,0.45560,0.39300,0.52640,0.39300,5.55K,-13.74%
2018年11月18日,0.48550,0.45560,0.55930,0.45560,6.36K,-6.16%
2018年11月17日,0.51470,0.48550,0.51470,0.48230,3.98K,-5.67%
2018年11月16日,0.55060,0.51470,0.55060,0.50920,2.09K,-6.52%
2018年11月15日,0.53690,0.55060,0.56000,0.47650,32.13K,2.55%
2018年11月14日,0.58500,0.53690,0.62550,0.51000,38.43K,-8.22%
2018年11月13日,0.57400,0.58500,0.62800,0.54160,36.94K,1.92%
2018年11月12日,0.51360,0.57400,0.57400,0.50390,11.16K,11.76%
2018年11月11日,0.51330,0.51360,0.51570,0.50130,2.78K,0.06%
2018年11月10日,0.50020,0.51330,0.52830,0.50000,15.52K,2.62%
2018年11月9日,0.50370,0.50020,0.50370,0.49170,2.09K,-0.69%
2018年11月8日,0.49050,0.50370,0.54120,0.48700,13.39K,2.69%
2018年11月7日,0.50910,0.49050,0.50910,0.47630,2.33K,-3.65%
2018年11月6日,0.48240,0.50910,0.50910,0.41170,11.40K,5.53%
2018年11月5日,0.51370,0.48240,0.51370,0.48160,7.20K,-6.09%
