日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,5.8343,5.9147,5.9698,5.7408,333.44K,1.27%
2019年6月9日,6.0912,5.8402,6.1789,5.6958,305.88K,-4.12%
2019年6月8日,6.2931,6.0912,6.3115,5.9446,253.62K,-3.21%
2019年6月7日,5.9828,6.2931,6.5500,5.8879,389.44K,5.09%
2019年6月6日,6.1447,5.9882,6.1447,5.6394,385.45K,-2.55%
2019年6月5日,5.9297,6.1447,6.2576,5.6343,497.24K,3.65%
2019年6月4日,6.5193,5.9283,6.8442,5.7894,873.78K,-9.08%
2019年6月3日,6.3899,6.5201,7.2342,5.9938,973.26K,2.04%
2019年6月2日,5.7715,6.3899,6.4050,5.5919,715.45K,10.76%
2019年6月1日,5.7889,5.7690,6.3197,5.6271,1.10M,-0.45%
2019年5月31日,5.9165,5.7951,5.9553,5.2238,902.34K,-1.48%
2019年5月30日,4.6937,5.8823,6.5758,4.6838,1.10M,25.30%
2019年5月29日,4.7828,4.6945,4.8625,4.5046,794.52K,-1.85%
2019年5月28日,4.6594,4.7828,4.8722,4.4849,1.14M,2.65%
2019年5月27日,4.4870,4.6593,4.6877,4.4778,2.83M,3.84%
2019年5月26日,4.3866,4.4868,4.5436,4.2685,1.32M,2.28%
2019年5月25日,4.4584,4.3866,4.5948,4.3049,945.19K,-1.61%
2019年5月24日,4.3360,4.4584,4.7616,4.2669,1.31M,2.82%
2019年5月23日,4.3078,4.3360,4.3580,4.1208,798.08K,0.65%
2019年5月22日,4.7393,4.3078,4.8087,4.3078,972.24K,-9.11%
2019年5月21日,4.6682,4.7393,4.7991,4.4943,735.27K,1.56%
2019年5月20日,4.8694,4.6664,4.8694,4.4533,952.76K,-4.15%
2019年5月19日,4.6999,4.8683,5.1632,4.6529,1.08M,3.58%
2019年5月18日,4.4733,4.6999,4.9659,4.3411,516.11K,5.07%
2019年5月17日,4.2728,4.4733,4.7942,3.9808,1.57M,4.69%
2019年5月16日,4.5473,4.2728,4.7858,4.0073,1.87M,-6.04%
2019年5月15日,4.0217,4.5473,4.6744,4.0139,1.52M,13.02%
最高: ,差价: ,最低: ,平均: ,涨跌幅: ,,
