日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,6.1890,6.3571,6.9576,6.1890,254.42K,2.72%
2019年6月10日,5.8900,6.1890,6.4693,5.7700,252.88K,5.26%
2019年6月9日,6.1002,5.8800,6.4097,5.7500,241.29K,-3.61%
2019年6月8日,5.9300,6.1002,6.8198,5.9100,262.15K,2.87%
2019年6月7日,5.8499,5.9300,6.1399,5.7800,322.20K,1.37%
2019年6月6日,5.8300,5.8499,5.9799,5.5502,249.52K,0.34%
2019年6月5日,5.9598,5.8300,6.0899,5.7601,243.12K,-2.18%
2019年6月4日,6.1501,5.9598,6.5097,5.7603,243.19K,-3.09%
2019年6月3日,6.8100,6.1501,6.9399,6.0901,248.67K,-9.69%
2019年6月2日,6.5200,6.8100,6.9999,6.4900,238.80K,4.45%
2019年6月1日,6.6596,6.5200,6.8097,6.4197,250.35K,-2.10%
2019年5月31日,6.3701,6.6596,6.8587,6.2300,244.31K,4.55%
2019年5月30日,6.6630,6.3701,7.2004,6.2213,251.19K,-4.40%
2019年5月29日,6.7499,6.6630,7.2085,6.5504,270.89K,-1.29%
2019年5月28日,7.1590,6.7499,7.1985,6.4508,258.77K,-5.71%
2019年5月27日,5.8399,7.1590,7.8480,5.7704,287.73K,22.59%
2019年5月26日,5.1800,5.8399,6.5375,5.1800,270.39K,12.74%
2019年5月25日,5.1900,5.1800,5.3599,5.1300,248.44K,-0.19%
2019年5月24日,5.2800,5.1900,5.3599,5.1300,262.94K,-1.70%
2019年5月23日,5.0300,5.2800,5.4100,4.9006,259.21K,4.97%
2019年5月22日,4.9800,5.0300,5.3401,4.9104,261.42K,1.00%
2019年5月21日,4.9302,4.9800,5.1001,4.8903,243.96K,1.01%
2019年5月20日,5.0200,4.9302,5.0299,4.7000,263.18K,-1.79%
2019年5月19日,4.9200,5.0200,5.0801,4.8303,256.51K,2.03%
2019年5月18日,4.9100,4.9200,5.0699,4.8301,258.39K,0.20%
2019年5月17日,5.2201,4.9100,5.4590,4.4413,259.17K,-5.94%
2019年5月16日,5.0499,5.2201,5.8783,4.8407,250.73K,3.37%
2019年5月15日,4.6299,5.0499,5.4488,4.5900,255.17K,9.07%
2019年5月14日,4.7000,4.6299,4.9493,4.5202,220.90K,-1.49%
2019年5月13日,4.7899,4.7000,5.1298,4.5907,209.27K,-1.88%
2019年5月12日,4.9600,4.7899,5.0596,4.5409,249.80K,-3.43%
2019年5月11日,4.7502,4.9600,5.1396,4.6704,256.88K,4.42%
