日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.9887,0.9887,0.9887,0.9887,-,0.00%
2019年6月10日,0.9887,0.9887,0.9887,0.9887,-,0.00%
2019年6月9日,0.9887,0.9887,0.9887,0.9887,-,0.00%
2019年6月8日,0.9887,0.9887,0.9887,0.9887,-,0.00%
2019年6月7日,0.9887,0.9887,0.9887,0.9887,-,0.00%
2019年6月6日,0.9887,0.9887,0.9887,0.9887,-,0.00%
2019年6月5日,2.7894,0.9887,2.7894,0.9887,-,-64.55%
2019年6月4日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年6月3日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年6月2日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年6月1日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年5月31日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年5月30日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年5月29日,2.7894,2.7894,2.7894,2.7894,-,0.00%
2019年5月28日,0.7563,2.7894,2.7894,0.7563,-,268.84%
2019年5月27日,0.7563,0.7563,0.7563,0.7563,-,0.00%
2019年5月26日,0.7563,0.7563,0.7563,0.7563,-,0.00%
2019年5月25日,0.7563,0.7563,0.7563,0.7563,-,0.00%
2019年5月24日,0.7563,0.7563,0.7563,0.7563,-,0.00%
2019年5月23日,0.7563,0.7563,0.7563,0.7563,-,0.00%
2019年5月22日,1.3382,0.7563,1.3382,0.7563,0.00K,-43.49%
2019年5月21日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月20日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月19日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月18日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月17日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月16日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月15日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月14日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月13日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月12日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月11日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月10日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月9日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月8日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月7日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月6日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月5日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月4日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月3日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月2日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年5月1日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月29日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月28日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月27日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月26日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月25日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月24日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月23日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月22日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月21日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月20日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月19日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月18日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月17日,1.3382,1.3382,1.3382,1.3382,-,0.00%
2019年4月16日,1.3382,1.3382,1.3382,1.3382,-,0.00%
