日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,150.59,147.70,150.77,147.55,642.15K,-2.03%
2019年6月10日,142.17,150.77,151.20,140.62,630.32K,6.04%
2019年6月9日,145.02,142.18,146.26,139.38,475.51K,-1.96%
2019年6月8日,149.12,145.02,149.80,142.73,601.71K,-2.75%
2019年6月7日,143.53,149.12,151.93,141.81,627.08K,3.90%
2019年6月6日,146.91,143.53,148.60,139.06,613.90K,-2.30%
2019年6月5日,143.68,146.91,148.48,142.43,604.60K,2.25%
2019年6月4日,156.86,143.68,156.87,141.12,746.41K,-8.42%
2019年6月3日,165.15,156.88,165.24,155.83,670.26K,-5.01%
2019年6月2日,162.97,165.15,167.60,156.81,669.26K,1.34%
2019年6月1日,165.70,162.96,167.04,161.49,575.94K,-1.64%
2019年5月31日,162.81,165.68,166.15,157.27,459.43K,1.74%
2019年5月30日,168.04,162.85,175.44,157.38,605.57K,-3.09%
2019年5月29日,169.22,168.05,173.48,160.96,694.62K,-0.70%
2019年5月28日,166.30,169.24,172.92,158.43,512.32K,1.76%
2019年5月27日,161.47,166.32,169.33,160.37,501.08K,3.00%
2019年5月26日,155.65,161.47,162.73,152.05,568.81K,3.74%
2019年5月25日,155.82,155.65,159.85,153.36,527.69K,-0.11%
2019年5月24日,153.88,155.83,162.00,153.41,638.92K,1.26%
2019年5月23日,154.25,153.88,155.91,146.00,535.82K,-0.24%
2019年5月22日,165.73,154.26,166.81,152.16,555.10K,-6.92%
2019年5月21日,166.90,165.73,168.59,159.73,540.20K,-0.70%
2019年5月20日,172.87,166.89,175.78,158.41,642.65K,-3.48%
2019年5月19日,140.76,172.90,176.35,137.35,543.17K,22.83%
2019年5月18日,137.41,140.77,144.11,134.36,515.49K,2.43%
2019年5月17日,148.68,137.43,150.05,128.87,527.79K,-7.57%
2019年5月16日,147.51,148.68,161.36,143.94,832.04K,0.78%
2019年5月15日,141.43,147.53,153.35,141.30,774.88K,4.33%
2019年5月14日,132.28,141.41,142.63,132.04,502.22K,6.91%
2019年5月13日,124.54,132.27,135.77,124.35,492.92K,6.20%
2019年5月12日,123.75,124.55,128.63,118.39,704.77K,0.70%
2019年5月11日,112.75,123.68,125.86,112.27,790.71K,9.69%
2019年5月10日,112.57,112.75,115.61,111.38,598.95K,0.16%
2019年5月9日,117.24,112.57,117.66,110.32,625.96K,-3.98%
2019年5月8日,116.29,117.24,117.45,114.81,619.12K,0.80%
2019年5月7日,119.56,116.31,122.12,116.24,650.81K,-2.71%
2019年5月6日,118.81,119.55,121.26,116.52,679.57K,0.62%
2019年5月5日,120.33,118.81,120.76,117.89,616.37K,-1.27%
2019年5月4日,120.93,120.33,123.80,117.19,699.10K,-0.49%
2019年5月3日,116.93,120.93,121.52,115.86,674.89K,3.42%
2019年5月2日,116.75,116.93,118.84,115.03,613.30K,0.16%
2019年5月1日,110.88,116.75,118.98,110.88,629.57K,5.30%
2019年4月30日,107.73,110.88,111.54,106.96,634.70K,2.92%
2019年4月29日,110.72,107.73,111.47,106.87,660.44K,-2.70%
2019年4月28日,110.17,110.72,111.45,109.39,630.54K,0.50%
2019年4月27日,110.34,110.17,111.27,108.99,569.52K,-0.15%
2019年4月26日,109.01,110.34,113.98,106.89,642.83K,1.21%
2019年4月25日,114.95,109.01,117.95,108.72,696.88K,-5.16%
2019年4月24日,117.44,114.95,120.04,111.38,727.29K,-2.12%
2019年4月23日,121.95,117.44,124.95,117.44,623.68K,-3.70%
2019年4月22日,120.93,121.95,122.51,119.24,614.88K,0.85%
2019年4月21日,123.22,120.93,123.56,117.55,644.67K,-1.86%
2019年4月20日,121.86,123.22,124.08,121.49,613.56K,1.12%
2019年4月19日,123.59,121.86,123.68,120.77,568.50K,-1.40%
2019年4月18日,120.27,123.59,125.12,120.20,623.23K,2.77%
2019年4月17日,120.82,120.27,122.47,118.98,563.93K,-0.46%
2019年4月16日,118.76,120.82,121.18,116.22,867.19K,1.74%
2019年4月15日,122.50,118.76,123.73,115.32,628.81K,-3.05%
2019年4月14日,119.26,122.50,122.94,118.21,390.30K,2.71%
2019年4月13日,118.83,119.26,119.90,117.51,385.29K,0.37%
2019年4月12日,122.38,118.83,122.59,115.59,476.72K,-2.91%
2019年4月11日,129.61,122.38,129.67,114.48,432.55K,-5.57%
2019年4月10日,131.24,129.61,133.07,127.53,341.31K,-1.24%
2019年4月9日,135.19,131.24,135.36,129.52,362.20K,-2.92%
2019年4月8日,135.10,135.19,138.03,129.34,554.19K,0.07%
2019年4月7日,130.78,135.10,135.13,130.35,692.14K,3.30%
2019年4月6日,132.61,130.78,136.47,129.27,422.94K,-1.37%
