日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,26.671,26.807,28.334,26.019,1.01K,0.51%
2019年6月9日,26.468,26.671,27.284,25.835,0.45K,0.77%
2019年6月8日,27.039,26.468,29.244,25.963,1.39K,-2.11%
2019年6月7日,25.654,27.039,27.039,25.095,0.30K,5.40%
2019年6月6日,25.823,25.654,26.217,24.617,0.56K,-0.65%
2019年6月5日,25.209,25.823,26.691,25.209,0.60K,2.43%
2019年6月4日,26.539,25.209,27.490,24.825,2.14K,-5.01%
2019年6月3日,28.946,26.539,28.946,26.537,0.85K,-8.32%
2019年6月2日,28.205,28.946,29.244,28.205,0.34K,2.63%
2019年6月1日,27.882,28.205,29.405,27.878,0.31K,1.16%
2019年5月31日,27.765,27.882,29.369,27.019,0.42K,0.42%
2019年5月30日,28.570,27.765,31.704,27.082,1.86K,-2.82%
2019年5月29日,28.016,28.570,28.677,27.269,12.91K,1.98%
2019年5月28日,29.106,28.016,29.141,27.954,1.90K,-3.75%
2019年5月27日,28.968,29.106,29.882,27.080,12.79K,0.48%
2019年5月26日,27.821,28.968,29.286,27.299,0.75K,4.12%
2019年5月25日,27.368,27.821,28.361,27.368,0.87K,1.65%
2019年5月24日,26.597,27.368,28.557,26.597,0.91K,2.90%
2019年5月23日,27.915,26.597,28.335,25.550,1.03K,-4.72%
2019年5月22日,29.869,27.915,29.869,27.889,0.32K,-6.54%
2019年5月21日,29.231,29.869,29.904,28.538,0.43K,2.18%
2019年5月20日,31.049,29.231,31.049,28.333,0.60K,-5.86%
2019年5月19日,29.008,31.049,32.348,29.008,1.00K,7.04%
2019年5月18日,28.338,29.008,29.426,28.157,1.38K,2.36%
2019年5月17日,31.157,28.338,31.165,26.338,1.85K,-9.05%
2019年5月16日,32.533,31.157,35.504,30.833,1.28K,-4.23%
2019年5月15日,29.244,32.533,34.787,28.927,2.23K,11.25%
2019年5月14日,28.530,29.244,33.748,25.785,3.71K,2.50%
2019年5月13日,27.509,28.530,29.215,26.991,0.64K,3.71%
2019年5月12日,29.273,27.509,29.926,26.557,4.66K,-6.03%
2019年5月11日,25.817,29.273,30.625,25.100,2.35K,13.39%
2019年5月10日,25.468,25.817,26.436,25.468,2.36K,1.37%
2019年5月9日,25.402,25.468,26.097,25.358,1.13K,0.26%
2019年5月8日,25.305,25.402,25.786,25.169,0.47K,0.38%
2019年5月7日,26.109,25.305,27.232,25.305,5.27K,-3.08%
2019年5月6日,26.560,26.109,26.564,24.944,1.75K,-1.70%
