日期,开盘,收盘,高,低,交易量,涨跌幅
2019年5月10日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年5月9日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年5月8日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年5月7日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年5月6日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年5月2日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年5月1日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月30日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月29日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月28日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月27日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月26日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月25日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月24日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月23日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月22日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月21日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月20日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月19日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月18日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月17日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月16日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月15日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月14日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月13日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月12日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月11日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月10日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月9日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月8日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月7日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月6日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月5日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月4日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月3日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月2日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年4月1日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月31日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月30日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月29日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月28日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月27日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月26日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月25日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月24日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月23日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月22日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月21日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月20日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月19日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月18日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月17日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月16日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月15日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月14日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月13日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月12日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月11日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月10日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月9日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月8日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月7日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月6日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月5日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月4日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月3日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月2日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年3月1日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月28日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月27日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月26日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月25日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月24日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月23日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月22日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月21日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月20日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月19日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月18日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月17日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月16日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月15日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月14日,0.001200,0.001200,0.001200,0.001200,-,0.00%
2019年2月13日,0.001200,0.001200,0.001200,0.001200,-,0.00%
