日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.003076,0.003068,0.003085,0.003062,2.86B,-0.20%
2019年6月10日,0.002988,0.003074,0.003081,0.002965,2.97B,2.88%
2019年6月9日,0.003101,0.002988,0.003108,0.002872,2.77B,-3.63%
2019年6月8日,0.003148,0.003101,0.003153,0.002886,2.47B,-1.50%
2019年6月7日,0.003083,0.003148,0.003153,0.003065,2.71B,2.10%
2019年6月6日,0.003031,0.003083,0.003087,0.003012,2.88B,1.79%
2019年6月5日,0.002966,0.003029,0.003098,0.002960,3.10B,2.11%
2019年6月4日,0.003165,0.002966,0.003187,0.002936,4.77B,-6.29%
2019年6月3日,0.003370,0.003165,0.003376,0.003165,4.56B,-6.08%
2019年6月2日,0.003351,0.003370,0.003412,0.003332,3.71B,0.59%
2019年6月1日,0.003401,0.003350,0.003425,0.003318,4.83B,-1.35%
2019年5月31日,0.003207,0.003396,0.003464,0.003138,4.95B,5.95%
2019年5月30日,0.003166,0.003206,0.003576,0.003129,7.18B,1.10%
2019年5月29日,0.003145,0.003171,0.003199,0.003042,3.44B,0.80%
2019年5月28日,0.003124,0.003146,0.003150,0.003085,3.57B,0.69%
2019年5月27日,0.003047,0.003124,0.003220,0.003012,5.21B,2.56%
2019年5月26日,0.002975,0.003046,0.003058,0.002944,3.33B,2.38%
2019年5月25日,0.002989,0.002975,0.003001,0.002937,2.56B,-0.47%
2019年5月24日,0.002949,0.002989,0.003015,0.002903,3.23B,1.26%
2019年5月23日,0.002936,0.002952,0.002968,0.002828,2.74B,0.67%
2019年5月22日,0.003032,0.002932,0.003126,0.002922,2.90B,-3.30%
2019年5月21日,0.002982,0.003032,0.003063,0.002954,2.48B,1.91%
2019年5月20日,0.003132,0.002976,0.003134,0.002925,3.05B,-4.92%
2019年5月19日,0.002957,0.003130,0.003144,0.002956,2.31B,5.81%
2019年5月18日,0.002915,0.002958,0.003019,0.002873,2.66B,1.47%
2019年5月17日,0.003134,0.002915,0.003151,0.002731,5.03B,-7.03%
2019年5月16日,0.003336,0.003135,0.003549,0.003041,6.73B,-5.97%
2019年5月15日,0.003067,0.003334,0.003353,0.003038,5.25B,8.48%
2019年5月14日,0.002728,0.003074,0.003231,0.002726,5.07B,12.68%
2019年5月13日,0.002627,0.002728,0.002785,0.002608,3.57B,3.80%
2019年5月12日,0.002773,0.002628,0.002829,0.002592,4.09B,-5.32%
2019年5月11日,0.002497,0.002776,0.002841,0.002494,5.19B,11.18%
2019年5月10日,0.002496,0.002496,0.002510,0.002466,2.75B,0.00%
2019年5月9日,0.002554,0.002497,0.002555,0.002469,2.55B,-2.23%
2019年5月8日,0.002561,0.002554,0.002561,0.002520,2.63B,-0.11%
2019年5月7日,0.002596,0.002556,0.002681,0.002539,2.76B,-1.50%
2019年5月6日,0.002643,0.002596,0.002667,0.002548,2.58B,-1.79%
2019年5月5日,0.002690,0.002643,0.002696,0.002638,2.16B,-1.81%
2019年5月4日,0.002705,0.002692,0.002804,0.002586,3.16B,-0.51%
2019年5月3日,0.002601,0.002705,0.002719,0.002597,3.25B,4.08%
2019年5月2日,0.002539,0.002599,0.002617,0.002538,2.87B,2.36%
2019年5月1日,0.002510,0.002539,0.002546,0.002496,2.43B,1.18%
2019年4月30日,0.002461,0.002510,0.002514,0.002442,2.62B,2.01%
2019年4月29日,0.002548,0.002461,0.002618,0.002452,2.98B,-3.41%
2019年4月28日,0.002511,0.002547,0.002603,0.002496,2.19B,1.41%
2019年4月27日,0.002509,0.002512,0.002587,0.002414,2.13B,-0.12%
2019年4月26日,0.002444,0.002515,0.002527,0.002405,3.43B,2.91%
2019年4月25日,0.002598,0.002444,0.002612,0.002435,3.43B,-5.92%
2019年4月24日,0.002747,0.002598,0.002752,0.002523,4.59B,-5.44%
2019年4月23日,0.002772,0.002747,0.002853,0.002742,3.38B,-0.91%
2019年4月22日,0.002787,0.002772,0.002810,0.002693,2.85B,-0.53%
2019年4月21日,0.002929,0.002787,0.002935,0.002738,3.50B,-4.87%
2019年4月20日,0.002888,0.002929,0.002933,0.002820,2.84B,1.43%
2019年4月19日,0.002952,0.002888,0.002955,0.002856,3.13B,-2.15%
2019年4月18日,0.002812,0.002952,0.002988,0.002806,4.60B,5.00%
2019年4月17日,0.002814,0.002811,0.002857,0.002786,2.46B,-0.10%
2019年4月16日,0.002775,0.002814,0.002828,0.002729,2.61B,1.36%
2019年4月15日,0.002883,0.002776,0.002995,0.002732,3.44B,-3.62%
2019年4月14日,0.002869,0.002881,0.002884,0.002811,2.60B,0.45%
2019年4月13日,0.002840,0.002868,0.002906,0.002772,3.92B,1.00%
2019年4月12日,0.002768,0.002839,0.002876,0.002688,4.28B,2.57%
2019年4月11日,0.002965,0.002768,0.002983,0.002646,5.55B,-6.63%
2019年4月10日,0.002859,0.002965,0.003098,0.002840,1.31B,3.70%
2019年4月9日,0.002988,0.002859,0.003001,0.002702,1.87B,-4.33%
2019年4月8日,0.003407,0.002988,0.003408,0.002901,2.13B,-12.36%
2019年4月7日,0.003367,0.003410,0.003572,0.003224,2.25B,1.29%
2019年4月6日,0.003551,0.003367,0.003575,0.003318,1.47B,-5.20%
2019年4月5日,0.003652,0.003551,0.003749,0.003311,2.15B,-2.77%
2019年4月4日,0.003143,0.003652,0.004162,0.003102,9.37B,16.20%
2019年4月3日,0.002796,0.003143,0.003702,0.002780,286.51M,12.41%
2019年4月2日,0.002453,0.002796,0.002923,0.002374,372.43M,13.99%
2019年4月1日,0.002076,0.002453,0.002581,0.002069,488.96M,18.15%
2019年3月31日,0.002084,0.002076,0.002092,0.002060,421.39M,-0.36%
2019年3月30日,0.002090,0.002084,0.002101,0.002060,289.35M,-0.29%
2019年3月29日,0.002058,0.002090,0.002099,0.002044,385.48M,1.54%
2019年3月28日,0.002068,0.002058,0.002076,0.002029,482.80M,-0.49%
2019年3月27日,0.002025,0.002068,0.002075,0.001946,386.73M,2.13%
2019年3月26日,0.002023,0.002025,0.002045,0.002012,470.14M,0.06%
2019年3月25日,0.002017,0.002023,0.002066,0.001990,387.30M,0.33%
2019年3月24日,0.002023,0.002017,0.002029,0.001996,245.35M,-0.28%
2019年3月23日,0.002025,0.002023,0.002035,0.002012,232.01M,-0.13%
2019年3月22日,0.002017,0.002025,0.002036,0.002008,174.53M,0.41%
2019年3月21日,0.002043,0.002017,0.002049,0.002003,331.44M,-1.28%
2019年3月20日,0.002051,0.002043,0.002067,0.002021,219.27M,-0.36%
2019年3月19日,0.002061,0.002051,0.002075,0.002039,248.18M,-0.51%
2019年3月18日,0.002051,0.002061,0.002081,0.002037,343.09M,0.48%
2019年3月17日,0.002053,0.002051,0.002068,0.002026,422.87M,-0.10%
2019年3月16日,0.002035,0.002053,0.002079,0.002027,383.69M,0.91%
2019年3月15日,0.002023,0.002035,0.002049,0.002011,400.94M,0.58%
2019年3月14日,0.002007,0.002023,0.002029,0.001990,338.49M,0.78%
2019年3月13日,0.001995,0.002007,0.002073,0.001985,239.80M,0.59%
2019年3月12日,0.001929,0.001995,0.002029,0.001900,347.03M,3.45%
2019年3月11日,0.001959,0.001929,0.001967,0.001920,515.79M,-1.55%
2019年3月10日,0.001978,0.001959,0.001978,0.001947,346.39M,-0.95%
