日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.142119,0.148362,0.149429,0.142119,18.51K,4.39%
2019年6月9日,0.152441,0.142119,0.153220,0.142119,22.93K,-6.77%
2019年6月8日,0.152675,0.152441,0.154650,0.148352,68.04K,-0.15%
2019年6月7日,0.150000,0.152675,0.156417,0.144205,59.89K,1.78%
2019年6月6日,0.141419,0.150000,0.150000,0.141419,5.30K,6.07%
2019年6月5日,0.141822,0.141419,0.149715,0.137535,89.37K,-0.28%
2019年6月4日,0.150000,0.141822,0.151138,0.139076,10.56K,-5.45%
2019年6月3日,0.164683,0.150000,0.164683,0.150000,19.25K,-8.92%
2019年6月2日,0.150709,0.164683,0.171325,0.147500,62.25K,9.27%
2019年6月1日,0.153836,0.150709,0.153836,0.149266,23.92K,-2.03%
2019年5月31日,0.151305,0.153836,0.153836,0.146489,76.45K,1.67%
2019年5月30日,0.166682,0.151305,0.170856,0.148319,69.92K,-9.23%
2019年5月29日,0.165192,0.166682,0.174966,0.162768,27.73K,0.90%
2019年5月28日,0.164442,0.165192,0.166083,0.159924,85.07K,0.46%
2019年5月27日,0.161368,0.164442,0.166956,0.159530,10.63K,1.91%
2019年5月26日,0.167227,0.161368,0.172440,0.157039,25.51K,-3.50%
2019年5月25日,0.161631,0.167227,0.171368,0.160938,3.41K,3.46%
2019年5月24日,0.167875,0.161631,0.175189,0.160401,17.26K,-3.72%
2019年5月23日,0.155803,0.167875,0.169406,0.154029,4.62K,7.75%
2019年5月22日,0.169969,0.155803,0.190000,0.152207,145.13K,-8.33%
2019年5月21日,0.153515,0.169969,0.173866,0.148294,72.39K,10.72%
2019年5月20日,0.151591,0.153515,0.153515,0.145473,38.02K,1.27%
2019年5月19日,0.146804,0.151591,0.153469,0.095329,70.74K,3.26%
2019年5月18日,0.160597,0.146804,0.161063,0.143403,73.21K,-8.59%
2019年5月17日,0.151195,0.160597,0.161000,0.132050,35.22K,6.22%
2019年5月16日,0.154033,0.151195,0.167605,0.143860,111.00K,-1.84%
2019年5月15日,0.143214,0.154033,0.157500,0.140440,29.50K,7.55%
2019年5月14日,0.134957,0.143214,0.143814,0.134957,20.44K,6.12%
2019年5月13日,0.133500,0.134957,0.142337,0.131029,16.78K,1.09%
2019年5月12日,0.141930,0.133500,0.149999,0.129770,144.08K,-5.94%
2019年5月11日,0.136746,0.141930,0.147607,0.134300,178.57K,3.79%
2019年5月10日,0.117065,0.136746,0.141460,0.117065,18.34K,16.81%
2019年5月9日,0.132223,0.117065,0.132708,0.116260,56.70K,-11.46%
2019年5月8日,0.134814,0.132223,0.136952,0.130714,7.25K,-1.92%
2019年5月7日,0.144343,0.134814,0.147140,0.134058,4.76K,-6.60%
2019年5月6日,0.146206,0.144343,0.146903,0.140319,3.35K,-1.27%
2019年5月5日,0.142514,0.146206,0.147316,0.140304,1.37K,2.59%
2019年5月4日,0.149448,0.142514,0.149803,0.137407,5.17K,-4.64%
2019年5月3日,0.151376,0.149448,0.154641,0.146839,3.24K,-1.27%
2019年5月2日,0.149018,0.151376,0.153776,0.148557,0.91K,1.58%
2019年5月1日,0.151586,0.149018,0.153102,0.146430,1.35K,-1.69%
2019年4月30日,0.147262,0.151586,0.151615,0.144991,4.25K,2.94%
2019年4月29日,0.154169,0.147262,0.157781,0.145861,8.69K,-4.48%
2019年4月28日,0.160051,0.154169,0.161896,0.153925,6.73K,-3.67%
2019年4月27日,0.156489,0.160051,0.161736,0.155772,26.14K,2.28%
2019年4月26日,0.153314,0.156489,0.160619,0.146597,21.76K,2.07%
2019年4月25日,0.159187,0.153314,0.171655,0.150000,44.43K,-3.69%
2019年4月24日,0.173480,0.159187,0.173480,0.152000,26.58K,-8.24%
2019年4月23日,0.187334,0.173480,0.187744,0.172512,10.23K,-7.40%
2019年4月22日,0.186594,0.187334,0.192337,0.180000,19.97K,0.40%
2019年4月21日,0.200131,0.186594,0.200131,0.178073,83.95K,-6.76%
2019年4月20日,0.187898,0.200131,0.209049,0.186076,118.60K,6.51%
2019年4月19日,0.178492,0.187898,0.196143,0.169638,29.33K,5.27%
2019年4月18日,0.169772,0.178492,0.180614,0.151510,119.51K,5.14%
2019年4月17日,0.150293,0.169772,0.175188,0.148506,47.92K,12.96%
2019年4月16日,0.147333,0.150293,0.154469,0.145000,8.38K,2.01%
2019年4月15日,0.160105,0.147333,0.162768,0.146471,17.07K,-7.98%
2019年4月14日,0.161174,0.160105,0.172827,0.159368,35.10K,-0.66%
2019年4月13日,0.142147,0.161174,0.175146,0.142147,105.84K,13.39%
2019年4月12日,0.138291,0.142147,0.146906,0.132731,25.64K,2.79%
2019年4月11日,0.147494,0.138291,0.147579,0.120509,23.88K,-6.24%
2019年4月10日,0.149669,0.147494,0.150589,0.143445,41.82K,-1.45%
2019年4月9日,0.144619,0.149669,0.156685,0.143284,27.90K,3.49%
2019年4月8日,0.155186,0.144619,0.157771,0.140002,80.98K,-6.81%
2019年4月7日,0.152605,0.155186,0.156891,0.151000,15.07K,1.69%
2019年4月6日,0.156429,0.152605,0.157742,0.150000,3.06K,-2.44%
2019年4月5日,0.164341,0.156429,0.165084,0.151923,25.54K,-4.81%
2019年4月4日,0.147847,0.164341,0.175833,0.147847,207.84K,11.16%
2019年4月3日,0.152598,0.147847,0.158117,0.143702,117.03K,-3.11%
2019年4月2日,0.148045,0.152598,0.160000,0.145020,25.36K,3.08%
2019年4月1日,0.153753,0.148045,0.153753,0.145203,11.92K,-3.71%
2019年3月31日,0.150400,0.153753,0.162116,0.147136,15.67K,2.23%
2019年3月30日,0.158783,0.150400,0.160103,0.145651,53.06K,-5.28%
2019年3月29日,0.163332,0.158783,0.163332,0.158783,11.84K,-2.79%
2019年3月28日,0.166287,0.163332,0.166755,0.162420,4.19K,-1.78%
2019年3月27日,0.164274,0.166287,0.168623,0.160275,20.38K,1.23%
2019年3月26日,0.168675,0.164274,0.168675,0.157013,18.84K,-2.61%
2019年3月25日,0.185567,0.168675,0.185567,0.164852,38.44K,-9.10%
2019年3月24日,0.182799,0.185567,0.185567,0.173149,36.42K,1.51%
2019年3月23日,0.190569,0.182799,0.190569,0.180349,10.14K,-4.08%
2019年3月22日,0.189839,0.190569,0.195521,0.185848,15.70K,0.38%
2019年3月21日,0.187300,0.189839,0.197296,0.179085,20.90K,1.36%
2019年3月20日,0.188858,0.187300,0.193671,0.181066,10.03K,-0.83%
2019年3月19日,0.200850,0.188858,0.202955,0.178618,64.66K,-5.97%
2019年3月18日,0.167160,0.200850,0.219967,0.161530,201.56K,20.15%
2019年3月17日,0.165731,0.167160,0.169302,0.156726,24.61K,0.86%
2019年3月16日,0.171254,0.165731,0.172407,0.162528,20.41K,-3.23%
2019年3月15日,0.165828,0.171254,0.174905,0.163898,21.11K,3.27%
2019年3月14日,0.177730,0.165828,0.177730,0.163793,38.95K,-6.70%
2019年3月13日,0.187129,0.177730,0.191262,0.164241,81.90K,-5.02%
