日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,6.4376,6.3394,6.4716,6.3135,116.87M,-1.53%
2019年6月10日,6.1448,6.4381,6.4785,6.0489,128.83M,4.73%
2019年6月9日,6.3433,6.1472,6.4559,5.9848,117.03M,-3.10%
2019年6月8日,6.6278,6.3436,6.6782,6.2059,112.67M,-4.29%
2019年6月7日,6.3570,6.6278,6.7759,6.2952,133.59M,4.26%
2019年6月6日,6.4161,6.3569,6.4526,5.9541,137.00M,-0.92%
2019年6月5日,6.2931,6.4160,6.5127,6.1499,168.59M,1.95%
2019年6月4日,6.7020,6.2932,6.8790,6.0582,230.73M,-6.10%
2019年6月3日,7.7252,6.7020,7.7279,6.6109,214.70M,-13.25%
2019年6月2日,7.7251,7.7257,7.9759,7.4739,170.75M,-0.00%
2019年6月1日,8.5613,7.7260,8.6201,7.5464,237.19M,-9.78%
2019年5月31日,7.3168,8.5631,8.6511,7.2030,227.01M,17.02%
2019年5月30日,7.9636,7.3174,8.4708,6.9924,250.85M,-8.10%
2019年5月29日,8.0791,7.9627,8.2118,7.5401,166.97M,-1.44%
2019年5月28日,7.9912,8.0791,8.1888,7.5535,183.76M,1.13%
2019年5月27日,6.8618,7.9887,8.2036,6.8018,231.46M,16.40%
2019年5月26日,6.3618,6.8629,6.9345,6.2097,126.11M,7.90%
2019年5月25日,6.4063,6.3605,6.5353,6.2648,94.47M,-0.71%
2019年5月24日,6.0141,6.4063,6.5764,5.9659,137.97M,6.52%
2019年5月23日,5.9323,6.0141,6.0815,5.7333,106.22M,1.40%
2019年5月22日,6.2602,5.9310,6.3352,5.8358,118.47M,-5.27%
2019年5月21日,6.2143,6.2608,6.3509,6.0833,96.11M,0.75%
2019年5月20日,6.4611,6.2145,6.4611,5.9907,129.58M,-3.82%
2019年5月19日,5.8866,6.4613,6.5599,5.8778,154.70M,9.74%
2019年5月18日,6.0310,5.8879,6.0759,5.8227,113.47M,-2.36%
2019年5月17日,6.4946,6.0302,6.5684,5.7274,242.10M,-7.15%
2019年5月16日,6.4635,6.4944,6.8882,6.2620,244.76M,0.48%
2019年5月15日,6.0393,6.4632,6.5378,5.9770,191.43M,7.03%
2019年5月14日,5.5309,6.0389,6.2045,5.5155,209.54M,9.19%
2019年5月13日,5.3340,5.5306,5.7375,5.3000,136.51M,3.68%
2019年5月12日,5.5096,5.3343,5.7460,5.2058,197.27M,-3.19%
2019年5月11日,4.8139,5.5101,5.7883,4.8139,249.36M,14.47%
2019年5月10日,4.8525,4.8137,4.9411,4.5973,132.09M,-0.80%
2019年5月9日,4.9022,4.8522,4.9936,4.7885,92.39M,-1.02%
2019年5月8日,4.8516,4.9022,4.9362,4.7687,93.75M,1.03%
2019年5月7日,4.8953,4.8521,5.0488,4.8137,131.25M,-0.88%
2019年5月6日,4.8814,4.8951,4.9898,4.6511,132.41M,0.28%
2019年5月5日,4.9494,4.8814,5.0119,4.8347,94.26M,-1.37%
2019年5月4日,5.0853,4.9494,5.1914,4.7863,142.43M,-2.69%
2019年5月3日,4.7857,5.0862,5.1438,4.7600,142.94M,6.28%
2019年5月2日,4.7640,4.7858,4.8137,4.6478,105.14M,0.46%
2019年5月1日,4.8179,4.7640,4.8519,4.6691,91.21M,-1.11%
2019年4月30日,4.5179,4.8177,4.8349,4.5179,116.64M,6.69%
2019年4月29日,4.7480,4.5158,4.7591,4.4620,115.26M,-4.82%
2019年4月28日,4.7394,4.7447,4.7945,4.6471,79.86M,0.13%
2019年4月27日,4.7941,4.7385,4.8322,4.7015,79.75M,-1.16%
2019年4月26日,4.6091,4.7941,4.9548,4.5311,147.82M,4.01%
2019年4月25日,4.7823,4.6094,4.8465,4.5512,141.70M,-3.62%
2019年4月24日,5.1084,4.7826,5.1421,4.5646,203.64M,-6.40%
2019年4月23日,5.2205,5.1095,5.3629,5.0875,117.41M,-2.13%
2019年4月22日,5.1985,5.2205,5.2780,5.0916,110.17M,0.42%
2019年4月21日,5.4286,5.1985,5.4445,4.9665,144.97M,-4.24%
2019年4月20日,5.4557,5.4287,5.4897,5.3748,81.45M,-0.50%
