日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,246.85,245.28,247.77,243.17,7.46M,-0.64%
2019年6月10日,231.21,246.86,246.99,227.38,8.39M,6.74%
2019年6月9日,243.43,231.27,244.36,227.00,7.80M,-4.99%
2019年6月8日,248.98,243.42,250.51,241.09,6.23M,-2.23%
2019年6月7日,248.63,248.98,253.12,244.33,7.41M,0.18%
2019年6月6日,245.81,248.54,250.00,236.40,7.72M,1.10%
2019年6月5日,241.27,245.83,248.24,237.94,8.64M,1.89%
2019年6月4日,250.26,241.26,251.47,235.35,11.39M,-3.64%
2019年6月3日,269.03,250.37,269.77,248.77,9.23M,-6.93%
2019年6月2日,264.26,269.01,272.64,263.59,7.31M,1.78%
2019年6月1日,267.94,264.31,274.94,261.14,9.06M,-1.37%
2019年5月31日,254.57,267.99,268.70,246.61,11.63M,5.29%
2019年5月30日,268.62,254.52,287.99,241.51,15.52M,-5.24%
2019年5月29日,271.16,268.61,273.72,260.85,22.33M,-0.95%
2019年5月28日,270.97,271.18,275.39,265.50,9.35M,0.08%
2019年5月27日,264.66,270.98,279.07,262.96,11.58M,2.38%
2019年5月26日,250.69,264.68,268.75,245.92,10.06M,5.59%
2019年5月25日,249.20,250.68,256.90,247.90,8.58M,0.61%
2019年5月24日,244.68,249.17,254.22,241.74,10.07M,1.83%
2019年5月23日,244.35,244.68,247.30,231.89,13.07M,0.14%
2019年5月22日,253.70,244.34,259.70,241.68,10.83M,-3.71%
2019年5月21日,250.72,253.76,261.59,246.85,10.24M,1.21%
2019年5月20日,259.68,250.72,259.68,238.64,12.38M,-3.43%
2019年5月19日,233.87,259.63,263.05,232.85,14.38M,11.01%
2019年5月18日,244.38,233.89,247.84,232.13,13.93M,-4.32%
2019年5月17日,264.68,244.45,267.80,224.62,22.54M,-7.65%
2019年5月16日,248.14,264.69,278.52,244.27,25.14M,6.66%
2019年5月15日,217.34,248.15,249.78,217.32,18.66M,14.13%
2019年5月14日,196.00,217.42,220.02,195.22,16.80M,10.92%
2019年5月13日,188.09,196.02,206.10,185.69,14.80M,4.22%
2019年5月12日,192.17,188.07,202.93,182.81,18.52M,-2.18%
2019年5月11日,172.78,192.27,204.72,172.75,20.90M,11.28%
2019年5月10日,170.85,172.77,175.78,168.86,12.73M,1.13%
2019年5月9日,170.76,170.84,173.28,167.03,10.03M,0.04%
2019年5月8日,169.34,170.77,172.68,165.70,9.75M,0.84%
2019年5月7日,172.99,169.34,181.39,169.06,15.23M,-2.11%
2019年5月6日,163.03,173.00,176.98,159.66,12.97M,6.11%
2019年5月5日,163.67,163.03,165.25,159.56,8.54M,-0.39%
2019年5月4日,167.87,163.68,171.04,160.36,10.23M,-2.49%
2019年5月3日,161.66,167.86,169.80,160.86,10.23M,3.83%
2019年5月2日,160.35,161.66,162.88,159.22,8.13M,0.80%
2019年5月1日,161.84,160.38,163.70,158.85,7.74M,-0.88%
2019年4月30日,154.94,161.80,162.56,154.94,9.57M,4.44%
2019年4月29日,158.30,154.93,159.16,152.60,10.69M,-2.11%
2019年4月28日,159.43,158.27,160.28,157.54,8.28M,-0.71%
2019年4月27日,157.96,159.41,161.95,156.74,8.51M,0.91%
2019年4月26日,155.16,157.97,161.82,152.32,11.52M,1.80%
2019年4月25日,165.23,155.18,165.81,151.73,10.78M,-6.07%
2019年4月24日,169.94,165.22,170.53,154.87,11.61M,-2.78%
2019年4月23日,170.87,169.95,175.92,169.01,10.17M,-0.54%
2019年4月22日,168.50,170.87,172.32,167.07,8.62M,1.39%
2019年4月21日,172.89,168.52,173.42,164.81,8.78M,-2.43%
2019年4月20日,172.79,172.73,176.71,170.17,8.19M,-0.04%
2019年4月19日,173.34,172.79,173.41,169.15,9.26M,-0.31%
2019年4月18日,165.91,173.33,175.02,165.38,10.16M,4.48%
2019年4月17日,165.61,165.90,167.21,164.26,7.56M,0.16%
2019年4月16日,160.16,165.65,166.64,159.52,7.66M,3.42%
2019年4月15日,167.30,160.17,168.63,153.65,7.71M,-4.25%
2019年4月14日,163.19,167.29,168.18,161.52,5.89M,2.51%
2019年4月13日,163.46,163.19,165.27,161.34,5.52M,-0.17%
2019年4月12日,164.37,163.47,166.08,158.93,7.12M,-0.54%
2019年4月11日,177.39,164.36,177.63,159.60,11.11M,-7.33%
2019年4月10日,175.09,177.37,183.49,171.61,12.10M,1.30%
2019年4月9日,179.16,175.09,179.24,172.15,10.82M,-2.27%
2019年4月8日,174.32,179.16,185.54,171.87,14.83M,2.77%
2019年4月7日,165.58,174.33,175.37,164.17,9.88M,5.30%
2019年4月6日,164.93,165.55,172.53,160.22,10.37M,0.37%
2019年4月5日,157.43,164.93,167.34,156.42,10.06M,4.77%
2019年4月4日,160.34,157.43,164.33,153.26,13.55M,-1.81%
2019年4月3日,163.47,160.34,177.29,152.24,47.66M,-1.92%
2019年4月2日,141.50,163.47,165.42,141.29,36.03M,15.53%
2019年4月1日,141.77,141.50,143.28,140.26,11.85M,-0.20%
2019年3月31日,142.65,141.79,142.69,140.71,9.33M,-0.60%
2019年3月30日,143.38,142.65,145.85,140.43,12.81M,-0.51%
2019年3月29日,138.17,143.38,143.53,138.13,12.09M,3.79%
2019年3月28日,139.63,138.15,140.33,137.68,9.52M,-1.08%
2019年3月27日,134.37,139.65,140.08,133.89,15.47M,3.93%
2019年3月26日,134.25,134.37,134.99,132.61,9.47M,0.08%
2019年3月25日,136.44,134.25,137.05,132.36,11.49M,-1.60%
2019年3月24日,137.53,136.44,137.53,135.50,9.66M,-0.79%
2019年3月23日,136.42,137.53,138.30,135.76,9.16M,0.81%
2019年3月22日,135.11,136.42,137.44,134.65,10.18M,0.97%
2019年3月21日,139.32,135.11,139.74,133.05,12.95M,-3.02%
2019年3月20日,138.72,139.31,139.75,136.56,10.46M,0.42%
2019年3月19日,137.92,138.72,139.50,137.10,10.84M,0.58%
2019年3月18日,138.91,137.92,141.87,136.86,12.87M,-0.71%
