日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,8.1024,8.1005,8.1472,7.9713,30.15M,-0.02%
2019年6月9日,8.3945,8.1025,8.4854,7.6435,31.46M,-3.47%
2019年6月8日,8.2079,8.3942,8.7575,8.0158,37.65M,2.28%
2019年6月7日,7.9467,8.2073,8.3350,7.7978,33.11M,3.27%
2019年6月6日,8.1013,7.9472,8.1714,7.3446,31.22M,-1.90%
2019年6月5日,8.2441,8.1014,8.3676,7.7927,36.54M,-1.77%
2019年6月4日,9.3646,8.2474,9.3646,7.6515,49.39M,-11.99%
2019年6月3日,9.5271,9.3709,9.8385,9.0413,43.74M,-1.64%
2019年6月2日,8.5807,9.5273,9.5920,8.5654,32.42M,11.01%
2019年6月1日,8.6534,8.5824,8.8683,8.4471,28.43M,-0.82%
2019年5月31日,8.0929,8.6534,8.7237,7.9093,30.57M,6.90%
2019年5月30日,8.1871,8.0951,8.8623,7.8276,40.48M,-1.11%
2019年5月29日,8.2440,8.1864,8.3995,7.6736,30.98M,-0.70%
2019年5月28日,8.1494,8.2445,8.4423,8.0249,34.70M,1.15%
2019年5月27日,7.5952,8.1504,8.3226,7.5457,33.11M,7.30%
2019年5月26日,7.2728,7.5959,7.7086,7.0790,25.56M,4.44%
2019年5月25日,7.2857,7.2728,7.3450,7.1591,20.08M,-0.18%
2019年5月24日,7.0453,7.2856,7.3972,6.9474,27.74M,3.40%
2019年5月23日,6.9106,7.0459,7.0892,6.6684,26.25M,1.94%
2019年5月22日,7.3943,6.9117,7.4809,6.8304,25.37M,-6.54%
2019年5月21日,7.3686,7.3950,7.6109,7.2163,22.51M,0.36%
2019年5月20日,7.7692,7.3688,7.7692,7.1297,29.00M,-5.15%
2019年5月19日,7.1611,7.7690,7.8770,7.1487,28.01M,8.49%
2019年5月18日,7.2603,7.1610,7.4336,7.0662,27.76M,-1.37%
2019年5月17日,7.6489,7.2603,7.7994,6.8431,39.54M,-5.08%
2019年5月16日,7.5713,7.6491,8.4683,6.9539,55.29M,1.02%
2019年5月15日,6.5713,7.5718,7.6141,6.5057,40.76M,15.23%
2019年5月14日,6.0669,6.5713,6.6792,6.0621,36.81M,8.32%
2019年5月13日,5.8365,6.0667,6.2456,5.7934,31.82M,3.94%
2019年5月12日,6.0416,5.8365,6.2235,5.7317,38.56M,-3.44%
2019年5月11日,5.6372,6.0442,6.3570,5.6087,39.09M,7.22%
2019年5月10日,5.5691,5.6371,5.6912,5.5021,24.86M,1.22%
2019年5月9日,5.7094,5.5690,5.7854,5.5046,22.32M,-2.46%
2019年5月8日,5.6674,5.7094,5.7758,5.6139,21.44M,0.79%
2019年5月7日,5.6931,5.6645,5.9099,5.6272,24.77M,-0.50%
2019年5月6日,5.7298,5.6930,5.7826,5.5046,24.27M,-0.64%
2019年5月5日,5.8448,5.7298,5.8743,5.6680,22.09M,-1.98%
2019年5月4日,6.0553,5.8455,6.1531,5.6938,25.16M,-3.47%
2019年5月3日,5.7917,6.0554,6.1341,5.7762,29.49M,4.55%
2019年5月2日,5.8179,5.7916,5.8373,5.7578,23.57M,-0.45%
2019年5月1日,5.8742,5.8178,5.9337,5.7480,25.46M,-0.96%
2019年4月30日,5.5837,5.8739,5.8884,5.5805,40.44M,5.24%
2019年4月29日,5.6215,5.5816,5.7381,5.4963,33.42M,-0.71%
2019年4月28日,5.5409,5.6215,5.6957,5.4844,21.35M,1.46%
2019年4月27日,5.4797,5.5407,5.6213,5.4625,18.90M,1.12%
2019年4月26日,5.4323,5.4795,5.5927,5.3103,25.30M,0.88%
2019年4月25日,5.5545,5.4318,5.6653,5.3094,23.21M,-2.21%
2019年4月24日,5.8811,5.5545,5.8902,5.2949,28.85M,-5.55%
2019年4月23日,5.8976,5.8811,6.0608,5.8624,19.61M,-0.27%
2019年4月22日,5.8818,5.8972,5.9351,5.7777,19.56M,0.26%
2019年4月21日,6.2412,5.8819,6.2423,5.6787,23.88M,-5.75%
2019年4月20日,6.2584,6.2410,6.2989,6.1606,15.79M,-0.27%
2019年4月19日,6.3198,6.2582,6.3352,6.1914,16.44M,-0.97%
2019年4月18日,6.1869,6.3196,6.3777,6.1711,18.43M,2.15%
2019年4月17日,6.2412,6.1869,6.2978,6.1085,12.36M,-0.88%
2019年4月16日,6.1668,6.2416,6.2702,6.0304,13.68M,1.21%
2019年4月15日,6.4150,6.1669,6.5206,5.9712,16.88M,-3.87%
2019年4月14日,6.2962,6.4151,6.4161,6.1515,12.17M,1.89%
2019年4月13日,6.3211,6.2963,6.3981,6.1384,13.72M,-0.42%
2019年4月12日,6.2417,6.3226,6.4615,5.8983,19.17M,1.30%
2019年4月11日,7.0227,6.2418,7.0378,5.9589,25.28M,-11.12%
2019年4月10日,6.9363,7.0230,7.1874,6.9046,19.27M,1.25%
2019年4月9日,7.1344,6.9363,7.3414,6.6652,22.62M,-2.77%
2019年4月8日,7.7042,7.1342,7.9418,6.7759,34.95M,-7.40%
2019年4月7日,5.9906,7.7045,7.9676,5.9894,51.65M,28.59%
2019年4月6日,5.7268,5.9917,6.0458,5.5138,17.69M,4.64%
2019年4月5日,5.3378,5.7261,5.8797,5.3378,18.96M,7.28%
2019年4月4日,5.4230,5.3378,5.5903,5.2259,22.25M,-1.50%
2019年4月3日,5.4301,5.4189,6.1027,5.1958,34.72M,-0.17%
2019年4月2日,4.8099,5.4282,5.4383,4.7798,27.15M,12.85%
2019年4月1日,4.8266,4.8102,4.8485,4.7849,11.33M,-0.34%
2019年3月31日,4.7842,4.8267,4.8425,4.7445,7.04M,0.89%
2019年3月30日,4.8745,4.7842,4.9112,4.7301,10.91M,-1.84%
2019年3月29日,4.7064,4.8742,4.9650,4.7049,14.08M,3.57%
2019年3月28日,4.7806,4.7063,4.7806,4.7013,11.07M,-1.55%
2019年3月27日,4.6622,4.7806,4.8067,4.4199,11.61M,2.54%
2019年3月26日,4.6884,4.6621,4.7061,4.2602,10.83M,-0.56%
2019年3月25日,4.8234,4.6884,4.8275,4.0733,13.39M,-2.80%
2019年3月24日,4.8688,4.8235,4.8708,4.7458,12.30M,-0.93%
2019年3月23日,4.8549,4.8688,4.8960,4.8137,12.07M,0.26%
2019年3月22日,4.7595,4.8561,4.9716,4.6737,16.96M,2.01%
2019年3月21日,4.6515,4.7605,4.8828,4.4995,19.87M,2.34%
2019年3月20日,4.6001,4.6516,4.7028,4.4910,14.60M,1.12%
2019年3月19日,4.3919,4.6001,4.6496,4.3599,14.96M,4.74%
2019年3月18日,4.4155,4.3918,4.4862,4.3248,18.96M,-0.54%
2019年3月17日,4.4759,4.4155,4.4807,4.3210,12.67M,-1.33%
2019年3月16日,4.4003,4.4751,4.5806,4.3971,13.19M,1.70%
2019年3月15日,4.2950,4.4004,4.4693,4.2950,11.52M,2.45%
