日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.09598,0.10188,0.10618,0.09511,9.17M,6.15%
2019年6月10日,0.08758,0.09598,0.09611,0.08731,2.00M,9.59%
2019年6月9日,0.09624,0.08758,0.09718,0.08613,2.33M,-8.99%
2019年6月8日,0.09083,0.09624,0.10621,0.09083,7.81M,5.95%
2019年6月7日,0.08638,0.09083,0.09391,0.08518,2.15M,5.05%
2019年6月6日,0.08621,0.08647,0.08744,0.08303,456.94K,0.29%
2019年6月5日,0.08399,0.08621,0.08729,0.08318,810.30K,2.64%
2019年6月4日,0.09011,0.08399,0.09011,0.08237,2.30M,-7.07%
2019年6月3日,0.09732,0.09038,0.10046,0.08968,2.14M,-7.13%
2019年6月2日,0.09357,0.09732,0.09805,0.09334,1.27M,4.00%
2019年6月1日,0.09741,0.09357,0.09850,0.09289,983.74K,-3.94%
2019年5月31日,0.09319,0.09741,0.09856,0.09013,2.28M,4.53%
2019年5月30日,0.10400,0.09319,0.10779,0.09213,4.54M,-10.40%
2019年5月29日,0.10198,0.10400,0.10840,0.09877,5.11M,1.98%
2019年5月28日,0.10021,0.10198,0.10320,0.09808,1.76M,1.76%
2019年5月27日,0.09712,0.10021,0.10190,0.09696,2.86M,3.19%
2019年5月26日,0.09609,0.09712,0.09996,0.09290,4.80M,1.07%
2019年5月25日,0.09550,0.09609,0.10049,0.09462,2.34M,0.62%
2019年5月24日,0.08891,0.09550,0.11191,0.08819,8.04M,7.41%
2019年5月23日,0.08814,0.08891,0.08921,0.08220,1.43M,0.87%
2019年5月22日,0.09261,0.08814,0.09919,0.08814,3.24M,-4.82%
2019年5月21日,0.08859,0.09261,0.09878,0.08692,5.22M,4.54%
2019年5月20日,0.09131,0.08859,0.09141,0.08441,2.21M,-2.99%
2019年5月19日,0.08501,0.09131,0.09229,0.08371,2.83M,7.42%
2019年5月18日,0.08607,0.08501,0.09157,0.08402,2.47M,-1.34%
2019年5月17日,0.09340,0.08617,0.09466,0.08035,4.10M,-7.75%
2019年5月16日,0.08939,0.09340,0.12149,0.08884,17.06M,4.48%
2019年5月15日,0.07939,0.08939,0.09057,0.07935,2.34M,12.60%
2019年5月14日,0.07152,0.07939,0.07978,0.07123,1.83M,11.01%
2019年5月13日,0.07099,0.07152,0.07480,0.06992,969.72K,0.74%
2019年5月12日,0.07411,0.07099,0.07580,0.06961,963.77K,-4.21%
2019年5月11日,0.06982,0.07411,0.07686,0.06904,1.20M,6.15%
2019年5月10日,0.06749,0.06982,0.07234,0.06528,1.46M,3.45%
2019年5月9日,0.07163,0.06749,0.07229,0.06661,743.08K,-5.79%
2019年5月8日,0.07278,0.07163,0.07317,0.07070,412.81K,-1.57%
