日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.001854,0.001811,0.001856,0.001780,1.04B,-2.33%
2019年6月10日,0.001741,0.001854,0.001878,0.001703,1.02B,6.52%
2019年6月9日,0.001893,0.001741,0.001893,0.001685,1.20B,-8.01%
2019年6月8日,0.001934,0.001893,0.001957,0.001844,605.26M,-2.14%
2019年6月7日,0.001873,0.001934,0.001974,0.001858,1.09B,2.86%
2019年6月6日,0.001949,0.001880,0.001961,0.001790,1.27B,-3.52%
2019年6月5日,0.001836,0.001949,0.001999,0.001793,1.51B,6.51%
2019年6月4日,0.001959,0.001830,0.001989,0.001756,2.14B,-6.62%
2019年6月3日,0.002240,0.001959,0.002240,0.001957,1.77B,-12.53%
2019年6月2日,0.002249,0.002240,0.002313,0.002214,825.34M,-0.40%
2019年6月1日,0.002278,0.002249,0.002340,0.002209,1.58B,-1.27%
2019年5月31日,0.002109,0.002278,0.002354,0.002036,2.11B,8.02%
2019年5月30日,0.002417,0.002109,0.002434,0.001954,3.43B,-12.77%
2019年5月29日,0.002412,0.002417,0.002622,0.002301,4.40B,0.23%
2019年5月28日,0.002124,0.002412,0.002495,0.002094,4.50B,13.56%
2019年5月27日,0.002052,0.002124,0.002229,0.002025,2.82B,4.83%
2019年5月26日,0.001917,0.002026,0.002026,0.001858,1.95B,5.68%
2019年5月25日,0.001974,0.001917,0.002004,0.001842,1.32B,-2.89%
2019年5月24日,0.002053,0.001974,0.002127,0.001924,2.22B,-3.83%
2019年5月23日,0.001732,0.002053,0.002174,0.001675,4.49B,18.17%
2019年5月22日,0.001839,0.001737,0.001966,0.001706,2.57B,-5.51%
2019年5月21日,0.001723,0.001839,0.002280,0.001723,9.05B,6.74%
2019年5月20日,0.001516,0.001723,0.001748,0.001475,4.35B,13.60%
2019年5月19日,0.001497,0.001516,0.001579,0.001466,1.86B,1.26%
2019年5月18日,0.001515,0.001497,0.001640,0.001460,3.02B,-1.15%
2019年5月17日,0.001428,0.001515,0.001589,0.001281,3.24B,6.05%
2019年5月16日,0.001492,0.001428,0.001522,0.001321,2.07B,-4.26%
2019年5月15日,0.001285,0.001492,0.001550,0.001270,2.53B,16.08%
2019年5月14日,0.001215,0.001285,0.001309,0.001213,1.23B,5.90%
2019年5月13日,0.001210,0.001214,0.001272,0.001170,1.15B,0.29%
2019年5月12日,0.001282,0.001210,0.001307,0.001192,674.54M,-5.60%
2019年5月11日,0.001160,0.001282,0.001324,0.001143,1.18B,10.48%
2019年5月10日,0.001117,0.001160,0.001175,0.001092,638.71M,3.85%
2019年5月9日,0.001221,0.001117,0.001230,0.001111,538.26M,-8.51%
2019年5月8日,0.001223,0.001221,0.001235,0.001195,406.03M,-0.20%
2019年5月7日,0.001266,0.001224,0.001296,0.001222,634.38M,-3.30%
2019年5月6日,0.001282,0.001266,0.001283,0.001230,335.80M,-1.29%
2019年5月5日,0.001284,0.001282,0.001299,0.001260,293.49M,-0.16%
2019年5月4日,0.001302,0.001284,0.001316,0.001245,541.41M,-1.40%
2019年5月3日,0.001298,0.001302,0.001332,0.001287,549.39M,0.34%
2019年5月2日,0.001290,0.001298,0.001302,0.001274,212.33M,0.64%
2019年5月1日,0.001292,0.001290,0.001300,0.001279,289.14M,-0.18%
2019年4月30日,0.001232,0.001292,0.001299,0.001221,393.33M,4.83%
2019年4月29日,0.001276,0.001232,0.001300,0.001222,360.46M,-3.39%
2019年4月28日,0.001298,0.001276,0.001311,0.001274,438.60M,-1.73%
2019年4月27日,0.001276,0.001298,0.001309,0.001262,420.74M,1.72%
2019年4月26日,0.001249,0.001276,0.001297,0.001221,434.30M,2.21%
2019年4月25日,0.001278,0.001249,0.001340,0.001221,682.16M,-2.27%
2019年4月24日,0.001327,0.001278,0.001342,0.001239,934.93M,-3.74%
2019年4月23日,0.001376,0.001327,0.001415,0.001324,652.91M,-3.54%
2019年4月22日,0.001371,0.001376,0.001399,0.001359,531.37M,0.38%
2019年4月21日,0.001440,0.001371,0.001461,0.001371,876.77K,-4.81%
2019年4月20日,0.001378,0.001440,0.001447,0.001378,293.88K,4.52%
2019年4月19日,0.001416,0.001378,0.001416,0.001378,319.89K,-2.74%
2019年4月18日,0.001498,0.001416,0.001502,0.001410,1.21M,-5.46%
2019年4月17日,0.001323,0.001498,0.001528,0.001316,2.52M,13.21%
2019年4月16日,0.001245,0.001323,0.001323,0.001245,267.24K,6.33%
2019年4月15日,0.001235,0.001245,0.001321,0.001235,899.92K,0.79%
2019年4月14日,0.001234,0.001235,0.001235,0.001221,314.85K,0.00%
2019年4月13日,0.001217,0.001235,0.001235,0.001212,24.22K,1.50%
2019年4月12日,0.001201,0.001217,0.001234,0.001190,381.46K,1.32%
2019年4月11日,0.001304,0.001201,0.001304,0.001201,434.78K,-7.88%
2019年4月10日,0.001300,0.001304,0.001308,0.001279,360.65K,0.28%
2019年4月9日,0.001310,0.001300,0.001310,0.001269,702.56K,-0.76%
2019年4月8日,0.001308,0.001310,0.001345,0.001258,3.17M,0.12%
2019年4月7日,0.001335,0.001308,0.001340,0.001302,803.96K,-2.00%
2019年4月6日,0.001310,0.001335,0.001349,0.001310,832.90K,1.92%
2019年4月5日,0.001201,0.001310,0.001314,0.001201,1.89M,9.08%
2019年4月4日,0.001295,0.001201,0.001295,0.001201,3.13M,-7.30%
2019年4月3日,0.001254,0.001295,0.001316,0.001254,1.47M,3.34%
2019年4月2日,0.001151,0.001254,0.001254,0.001151,1.70M,8.94%
2019年4月1日,0.001154,0.001151,0.001154,0.001151,1.10M,-0.46%
2019年3月31日,0.001152,0.001156,0.001158,0.001147,515.74K,0.38%
2019年3月30日,0.001162,0.001152,0.001162,0.001152,513.62K,-0.89%
2019年3月29日,0.001151,0.001162,0.001162,0.001138,389.28K,0.94%
2019年3月28日,0.001104,0.001151,0.001180,0.001098,1.63M,4.24%
2019年3月27日,0.001080,0.001104,0.001104,0.001080,698.05K,2.20%
2019年3月26日,0.001100,0.001080,0.001120,0.001080,623.48K,-1.77%
2019年3月25日,0.001150,0.001100,0.001150,0.001100,641.30K,-4.35%
2019年3月24日,0.001170,0.001150,0.001180,0.001130,83.05K,-1.71%
2019年3月23日,0.001190,0.001170,0.001210,0.001170,1.47M,-1.68%
2019年3月22日,0.001160,0.001190,0.001190,0.001160,244.72K,2.59%
2019年3月21日,0.001190,0.001160,0.001230,0.001150,418.86K,-2.52%
2019年3月20日,0.001170,0.001190,0.001200,0.001160,973.51K,1.71%
2019年3月19日,0.001140,0.001170,0.001170,0.001140,117.20K,2.63%
2019年3月18日,0.001190,0.001140,0.001200,0.001140,555.51K,-4.20%
2019年3月17日,0.001230,0.001190,0.001230,0.001150,1.26M,-3.25%
2019年3月16日,0.001120,0.001230,0.001350,0.001120,4.29M,9.82%
2019年3月15日,0.001050,0.001120,0.001120,0.001050,400.64K,6.67%
2019年3月14日,0.001040,0.001050,0.001050,0.001030,407.63K,0.96%
2019年3月13日,0.001060,0.001040,0.001070,0.001040,251.78K,-1.89%
2019年3月12日,0.001030,0.001060,0.001180,0.001000,960.70K,2.91%
2019年3月11日,0.001060,0.001030,0.001090,0.001030,389.45K,-2.83%
2019年3月10日,0.001070,0.001060,0.001080,0.001060,597.17K,-0.93%
2019年3月9日,0.001120,0.001070,0.001130,0.001070,1.71M,-4.46%
2019年3月8日,0.001030,0.001120,0.001180,0.001030,5.39M,8.74%
2019年3月7日,0.001050,0.001030,0.001060,0.001000,1.15M,-1.90%
2019年3月6日,0.001080,0.001050,0.001100,0.001030,365.20K,-2.78%
2019年3月5日,0.001000,0.001080,0.001110,0.001000,2.69M,8.00%
2019年3月4日,0.001060,0.001000,0.001080,0.000980,1.33M,-5.66%
2019年3月3日,0.001120,0.001060,0.001150,0.001060,908.06K,-5.36%
2019年3月2日,0.001070,0.001120,0.001200,0.001070,3.81M,4.67%
2019年3月1日,0.001080,0.001070,0.001090,0.001060,1.37M,-0.93%
2019年2月28日,0.001090,0.001080,0.001120,0.001050,7.59M,-0.92%
2019年2月27日,0.001170,0.001090,0.001170,0.001050,8.22M,-6.84%
2019年2月26日,0.001200,0.001170,0.001200,0.001130,929.87K,-2.50%
2019年2月25日,0.001170,0.001200,0.001250,0.001160,2.51M,2.56%
2019年2月24日,0.001380,0.001170,0.001400,0.001170,4.45M,-15.22%
2019年2月23日,0.001340,0.001380,0.001390,0.001330,2.57M,2.99%
2019年2月22日,0.001360,0.001340,0.001370,0.001320,2.85M,-1.47%
2019年2月21日,0.001400,0.001360,0.001400,0.001330,2.07M,-2.86%
2019年2月20日,0.001450,0.001400,0.001460,0.001400,1.07M,-3.45%
2019年2月19日,0.001470,0.001450,0.001520,0.001440,1.07M,-1.36%
2019年2月18日,0.001250,0.001470,0.001510,0.001250,4.94M,17.60%
2019年2月17日,0.001350,0.001250,0.001350,0.001220,1.91M,-7.41%
2019年2月16日,0.001310,0.001350,0.001400,0.001260,3.07M,3.05%
2019年2月15日,0.001200,0.001310,0.001320,0.001150,1.65M,9.17%
2019年2月14日,0.001170,0.001200,0.001210,0.001170,152.24K,2.56%
2019年2月13日,0.001170,0.001170,0.001210,0.001160,844.17K,0.00%
2019年2月12日,0.001250,0.001170,0.001260,0.001170,5.26M,-6.40%
2019年2月11日,0.001170,0.001250,0.001250,0.001150,4.13M,6.84%
2019年2月10日,0.001130,0.001170,0.001180,0.001100,989.82K,3.54%
2019年2月9日,0.001100,0.001130,0.001210,0.001100,2.82M,2.73%
2019年2月8日,0.001070,0.001100,0.001150,0.001050,2.29M,2.80%
2019年2月7日,0.001140,0.001070,0.001150,0.001070,5.78M,-6.14%
2019年2月6日,0.001240,0.001140,0.001240,0.001090,2.47M,-8.06%
2019年2月5日,0.001190,0.001240,0.001380,0.001170,5.61M,4.20%
2019年2月4日,0.001140,0.001190,0.001270,0.001140,2.69M,4.39%
2019年2月3日,0.001210,0.001140,0.001210,0.001140,521.68K,-5.79%
2019年2月2日,0.001280,0.001210,0.001290,0.001150,2.82M,-5.47%
2019年2月1日,0.001050,0.001280,0.001310,0.001050,6.16M,21.90%
2019年1月31日,0.001090,0.001050,0.001130,0.000990,1.94M,-3.67%
2019年1月30日,0.001170,0.001090,0.001290,0.001090,4.60M,-6.84%
2019年1月29日,0.001462,0.001170,0.001462,0.001130,18.18M,-19.99%
2019年1月28日,0.001462,0.001462,0.001462,0.001462,-,0.00%
2019年1月27日,0.001261,0.001462,0.001532,0.001184,4.77M,15.97%
2019年1月26日,0.001018,0.001261,0.001282,0.000985,7.53M,23.85%
2019年1月25日,0.001046,0.001018,0.001057,0.001010,2.08M,-2.62%
2019年1月24日,0.000775,0.001046,0.001046,0.000775,9.97M,34.88%
2019年1月23日,0.000702,0.000775,0.000775,0.000692,3.22M,10.43%
2019年1月22日,0.000702,0.000702,0.000715,0.000696,1.04M,0.00%
2019年1月21日,0.000715,0.000702,0.000725,0.000702,1.59M,-1.80%
2019年1月20日,0.000728,0.000715,0.000739,0.000623,5.55M,-1.80%
2019年1月19日,0.000588,0.000728,0.000728,0.000588,1.70M,23.85%
2019年1月18日,0.000584,0.000588,0.000588,0.000576,750.15K,0.56%
2019年1月17日,0.000599,0.000584,0.000601,0.000582,985.89K,-2.48%
2019年1月16日,0.000582,0.000599,0.000599,0.000580,1.19M,2.98%
2019年1月15日,0.000609,0.000582,0.000627,0.000582,2.83M,-4.51%
2019年1月14日,0.000537,0.000609,0.000609,0.000537,3.56M,13.41%
2019年1月13日,0.000584,0.000537,0.000584,0.000531,2.13M,-8.05%
2019年1月12日,0.000579,0.000584,0.000584,0.000570,1.01M,0.98%
2019年1月11日,0.000546,0.000579,0.000585,0.000543,28.42M,6.09%
2019年1月10日,0.000647,0.000546,0.000650,0.000541,33.23M,-15.71%
2019年1月9日,0.000683,0.000647,0.000752,0.000647,34.05M,-5.29%
2019年1月8日,0.000560,0.000683,0.000697,0.000550,54.29M,21.95%
2019年1月7日,0.000504,0.000560,0.000564,0.000504,53.91M,11.29%
2019年1月6日,0.000449,0.000504,0.000510,0.000445,53.38M,12.23%
2019年1月5日,0.000447,0.000449,0.000453,0.000443,52.91M,0.42%
2019年1月4日,0.000443,0.000447,0.000452,0.000436,56.49M,0.91%
2019年1月3日,0.000455,0.000443,0.000457,0.000441,58.75M,-2.76%
2019年1月2日,0.000449,0.000455,0.000458,0.000449,65.59M,1.34%
2019年1月1日,0.000447,0.000449,0.000451,0.000435,64.36M,0.63%
2018年12月31日,0.000454,0.000447,0.000456,0.000445,69.49M,-1.66%
2018年12月30日,0.000443,0.000454,0.000456,0.000435,67.49M,2.48%
2018年12月29日,0.000459,0.000443,0.000465,0.000443,76.90M,-3.43%
2018年12月28日,0.000425,0.000459,0.000460,0.000418,56.75M,8.08%
2018年12月27日,0.000454,0.000425,0.000456,0.000425,81.74M,-6.56%
2018年12月26日,0.000453,0.000454,0.000462,0.000442,68.05M,0.28%
2018年12月25日,0.000489,0.000453,0.000490,0.000445,72.12M,-7.34%
2018年12月24日,0.000505,0.000489,0.000541,0.000486,80.64M,-3.23%
2018年12月23日,0.000492,0.000505,0.000517,0.000491,74.48M,2.62%
2018年12月22日,0.000476,0.000492,0.000492,0.000473,71.80M,3.34%
2018年12月21日,0.000505,0.000476,0.000520,0.000475,63.08M,-5.70%
2018年12月20日,0.000466,0.000505,0.000513,0.000463,62.92M,8.45%
2018年12月19日,0.000470,0.000466,0.000497,0.000464,65.79M,-0.90%
2018年12月18日,0.000469,0.000470,0.000473,0.000461,65.96M,0.35%
2018年12月17日,0.000418,0.000469,0.000469,0.000416,64.42M,12.07%
2018年12月16日,0.000414,0.000418,0.000422,0.000414,59.79M,0.91%
2018年12月15日,0.000419,0.000414,0.000420,0.000407,54.76M,-1.04%
2018年12月14日,0.000428,0.000419,0.000428,0.000416,71.01M,-2.28%
2018年12月13日,0.000443,0.000428,0.000443,0.000427,70.37M,-3.30%
2018年12月12日,0.000433,0.000443,0.000445,0.000430,51.97M,2.26%
2018年12月11日,0.000462,0.000433,0.000463,0.000431,66.29M,-6.42%
2018年12月10日,0.000490,0.000463,0.000498,0.000457,922.54B,-5.51%
2018年12月9日,0.000473,0.000490,0.000521,0.000463,-,3.51%
2018年12月8日,0.000484,0.000473,0.000508,0.000437,-,-2.23%
2018年12月7日,0.000416,0.000484,0.000504,0.000374,-,16.44%
2018年12月6日,0.000461,0.000416,0.000474,0.000412,-,-9.88%
2018年12月5日,0.000499,0.000461,0.000501,0.000461,-,-7.46%
2018年12月4日,0.000492,0.000499,0.000519,0.000479,-,1.46%
2018年12月3日,0.000526,0.000492,0.000528,0.000481,-,-6.55%
2018年12月2日,0.000538,0.000526,0.000549,0.000525,-,-2.32%
2018年12月1日,0.000512,0.000538,0.000551,0.000503,-,5.07%
2018年11月30日,0.000533,0.000512,0.000543,0.000505,-,-3.91%
2018年11月29日,0.000558,0.000533,0.000562,0.000519,-,-4.47%
2018年11月28日,0.000503,0.000558,0.000575,0.000503,-,11.00%
2018年11月27日,0.000498,0.000503,0.000515,0.000464,-,1.08%
2018年11月26日,0.000536,0.000498,0.000545,0.000482,-,-7.23%
2018年11月25日,0.000519,0.000536,0.000544,0.000467,-,3.36%
2018年11月24日,0.000564,0.000519,0.000583,0.000504,-,-7.91%
2018年11月23日,0.000573,0.000564,0.000578,0.000540,-,-1.71%
2018年11月22日,0.000624,0.000573,0.000631,0.000573,-,-8.15%
2018年11月21日,0.000606,0.000624,0.000636,0.000574,-,3.08%
2018年11月20日,0.000681,0.000606,0.000694,0.000577,-,-11.07%
2018年11月19日,0.000805,0.000681,0.000805,0.000668,-,-15.43%
2018年11月18日,0.000792,0.000805,0.000819,0.000792,-,1.72%
2018年11月17日,0.000797,0.000792,0.000799,0.000784,-,-0.67%
2018年11月16日,0.000829,0.000797,0.000831,0.000782,-,-3.83%
2018年11月15日,0.000837,0.000829,0.000852,0.000774,-,-0.94%
2018年11月14日,0.000946,0.000837,0.000951,0.000800,-,-11.54%
2018年11月13日,0.000957,0.000946,0.000960,0.000941,-,-1.19%
2018年11月12日,0.000960,0.000957,0.000964,0.000949,-,-0.32%
2018年11月11日,0.000959,0.000960,0.000962,0.000941,-,0.15%
2018年11月10日,0.000950,0.000959,0.000970,0.000947,-,0.88%
2018年11月9日,0.000957,0.000950,0.000969,0.000943,-,-0.72%
2018年11月8日,0.000985,0.000957,0.000992,0.000957,-,-2.84%
2018年11月7日,0.000994,0.000985,0.001013,0.000978,-,-0.87%
2018年11月6日,0.000949,0.000994,0.000994,0.000941,-,4.73%
2018年11月5日,0.000954,0.000949,0.000957,0.000936,-,-0.56%
2018年11月4日,0.000900,0.000954,0.000983,0.000896,-,5.98%
2018年11月3日,0.000910,0.000900,0.000911,0.000897,-,-1.06%
2018年11月2日,0.000899,0.000910,0.000920,0.000885,-,1.26%
2018年11月1日,0.001166,0.000899,0.001169,0.000880,-,-22.94%
2018年10月31日,0.000891,0.001166,0.001173,0.000873,-,30.87%
2018年10月30日,0.000888,0.000891,0.000895,0.000884,-,0.33%
2018年10月29日,0.000924,0.000888,0.000926,0.000883,-,-3.90%
2018年10月28日,0.000921,0.000924,0.000926,0.000919,-,0.37%
2018年10月27日,0.000925,0.000921,0.000928,0.000916,-,-0.42%
