日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,2.9882,3.1294,3.1544,2.9769,8.16M,4.73%
2019年6月9日,3.0358,2.9882,3.0780,2.9452,6.01M,-1.57%
2019年6月8日,3.0653,3.0358,3.1241,2.9862,5.58M,-0.96%
2019年6月7日,3.0649,3.0653,3.1218,3.0270,5.53M,0.01%
2019年6月6日,3.0734,3.0649,3.0799,2.9409,6.92M,-0.28%
2019年6月5日,2.9291,3.0734,3.1779,2.9291,12.21M,4.93%
2019年6月4日,2.9371,2.9291,3.0709,2.8197,19.31M,-0.27%
2019年6月3日,3.2770,2.9371,3.3358,2.9371,25.81M,-10.37%
2019年6月2日,3.1665,3.2770,3.3131,3.1341,17.39M,3.50%
2019年6月1日,3.2698,3.1663,3.3521,3.1270,17.83M,-3.17%
2019年5月31日,3.1151,3.2698,3.2933,3.0667,18.30M,4.97%
2019年5月30日,3.3392,3.1151,3.3760,3.0600,23.77M,-6.71%
2019年5月29日,3.3360,3.3392,3.3884,3.2697,18.62M,0.10%
2019年5月28日,3.3309,3.3360,3.5159,3.2504,14.72M,0.15%
2019年5月27日,3.2822,3.3309,3.4235,3.2283,15.86M,1.48%
2019年5月26日,3.3021,3.2822,3.3900,3.1116,14.07M,-0.60%
2019年5月25日,3.2771,3.3021,3.4874,3.1794,18.98M,0.65%
2019年5月24日,2.9845,3.2807,3.3901,2.9551,22.92M,9.92%
2019年5月23日,2.8400,2.9845,3.0387,2.7895,12.84M,5.09%
2019年5月22日,2.6997,2.8400,3.0507,2.6450,38.40M,5.20%
2019年5月21日,2.6542,2.6997,2.7844,2.5740,13.07M,1.71%
2019年5月20日,2.7009,2.6542,2.7035,2.5569,6.22M,-1.73%
2019年5月19日,2.7506,2.7010,2.7560,2.6552,8.69M,-1.80%
2019年5月18日,2.6195,2.7506,2.7534,2.5307,7.24M,5.00%
2019年5月17日,2.6500,2.6195,2.6750,2.4523,16.25M,-1.15%
2019年5月16日,2.9458,2.6500,3.0982,2.5716,27.54M,-10.04%
2019年5月15日,2.4943,2.9458,2.9840,2.4592,28.24M,18.10%
2019年5月14日,2.3959,2.4943,2.5671,2.3853,14.15M,4.13%
2019年5月13日,2.3764,2.3953,2.4390,2.3577,12.30M,0.74%
2019年5月12日,2.3364,2.3778,2.3980,2.2800,12.84M,1.77%
2019年5月11日,2.2804,2.3364,2.3903,2.2200,16.47M,2.46%
