日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,2.3522,2.1821,2.3804,2.1740,1.98M,-7.21%
2019年6月10日,2.2661,2.3516,2.5667,2.2134,3.14M,3.77%
2019年6月9日,2.5899,2.2661,2.9958,2.1589,5.79M,-12.50%
2019年6月8日,2.1151,2.5899,2.6259,2.1094,3.66M,22.45%
2019年6月7日,2.1312,2.1151,2.1793,2.0519,1.65M,-0.64%
2019年6月6日,1.7656,2.1289,2.2203,1.7489,2.32M,20.57%
2019年6月5日,1.8424,1.7656,1.8642,1.7234,1.70M,-4.17%
2019年6月4日,1.6897,1.8424,1.9204,1.5683,2.81M,9.04%
2019年6月3日,1.8565,1.6897,1.8641,1.6253,1.78M,-8.98%
2019年6月2日,1.7402,1.8565,1.8565,1.7224,1.59M,6.68%
2019年6月1日,1.8132,1.7402,1.9884,1.6931,3.49M,-4.03%
2019年5月31日,1.5362,1.8132,1.8846,1.4691,5.66M,18.09%
2019年5月30日,1.2906,1.5354,1.5841,1.2827,4.39M,18.97%
2019年5月29日,1.3117,1.2906,1.3299,1.2199,650.37K,-1.61%
2019年5月28日,1.3155,1.3117,1.3213,1.2588,511.36K,-0.37%
2019年5月27日,1.2864,1.3166,1.3477,1.2603,857.94K,2.34%
2019年5月26日,1.2200,1.2864,1.2874,1.2098,451.29K,5.26%
2019年5月25日,1.2345,1.2221,1.2558,1.2008,207.47K,-1.00%
2019年5月24日,1.2257,1.2345,1.2658,1.2135,345.30K,0.72%
2019年5月23日,1.2269,1.2257,1.2411,1.1639,323.07K,-0.10%
2019年5月22日,1.2931,1.2269,1.3140,1.2231,325.68K,-5.12%
2019年5月21日,1.2531,1.2931,1.3254,1.2517,404.28K,3.19%
2019年5月20日,1.3142,1.2531,1.3142,1.2128,376.75K,-4.65%
2019年5月19日,1.2308,1.3142,1.3315,1.2272,611.02K,6.78%
2019年5月18日,1.2631,1.2308,1.3249,1.2210,462.11K,-2.56%
2019年5月17日,1.3525,1.2631,1.3778,1.1968,981.35K,-6.61%
2019年5月16日,1.4202,1.3525,1.5707,1.2524,2.13M,-4.77%
2019年5月15日,1.2229,1.4202,1.4221,1.2170,1.23M,16.13%
2019年5月14日,1.1259,1.2229,1.2229,1.1254,370.04K,8.62%
2019年5月13日,1.1015,1.1259,1.1568,1.0900,334.85K,2.21%
2019年5月12日,1.1713,1.1015,1.1886,1.0870,615.05K,-5.96%
2019年5月11日,1.0803,1.1713,1.1981,1.0713,746.98K,8.43%
2019年5月10日,1.0494,1.0803,1.1094,1.0104,389.90K,2.94%
2019年5月9日,1.0933,1.0494,1.1173,1.0377,277.51K,-4.02%
2019年5月8日,1.0950,1.0933,1.1144,1.0801,292.82K,-0.31%
2019年5月7日,1.1104,1.0967,1.1479,1.0927,293.11K,-1.23%
2019年5月6日,1.1047,1.1104,1.1207,1.0623,261.25K,0.51%
2019年5月5日,1.1268,1.1047,1.1367,1.1033,153.84K,-1.94%
2019年5月4日,1.1881,1.1266,1.2034,1.1015,372.29K,-5.18%
2019年5月3日,1.1766,1.1881,1.2198,1.1534,345.40K,0.98%
2019年5月2日,1.1413,1.1766,1.2063,1.1319,447.46K,3.10%
2019年5月1日,1.1503,1.1413,1.1633,1.1351,155.35K,-0.78%
2019年4月30日,1.1083,1.1503,1.1504,1.1072,144.16K,3.79%
2019年4月29日,1.1722,1.1083,1.1731,1.0930,221.61K,-5.45%
2019年4月28日,1.1779,1.1722,1.1848,1.1495,177.37K,-0.49%
2019年4月27日,1.1720,1.1779,1.1910,1.1461,187.85K,0.52%
2019年4月26日,1.1240,1.1718,1.2064,1.1055,639.61K,4.25%
2019年4月25日,1.1761,1.1240,1.1947,1.1065,389.77K,-4.43%
2019年4月24日,1.2683,1.1761,1.2685,1.1428,583.89K,-7.27%
2019年4月23日,1.2965,1.2683,1.3216,1.2677,476.26K,-2.18%
2019年4月22日,1.3001,1.2965,1.3172,1.2553,395.72K,-0.27%
2019年4月21日,1.3968,1.3001,1.4024,1.2600,610.47K,-6.92%
2019年4月20日,1.4047,1.3968,1.4267,1.3911,231.00K,-0.57%
2019年4月19日,1.4309,1.4047,1.4322,1.3875,230.09K,-1.83%
2019年4月18日,1.4032,1.4309,1.4515,1.3939,229.79K,1.98%
2019年4月17日,1.4146,1.4032,1.4317,1.3962,183.17K,-0.81%
2019年4月16日,1.4011,1.4146,1.4290,1.3667,364.78K,0.97%
2019年4月15日,1.4877,1.4011,1.4924,1.3988,336.15K,-5.82%
2019年4月14日,1.4849,1.4877,1.4929,1.4319,384.41K,0.20%
2019年4月13日,1.4593,1.4848,1.5620,1.4401,692.40K,1.75%
2019年4月12日,1.4415,1.4593,1.4888,1.3628,662.80K,1.23%
2019年4月11日,1.6033,1.4415,1.6037,1.3754,1.03M,-10.09%
2019年4月10日,1.5213,1.6033,1.6931,1.5193,1.28M,5.39%
2019年4月9日,1.5825,1.5213,1.5827,1.4714,589.23K,-3.86%
2019年4月8日,1.6414,1.5824,1.6841,1.5188,820.94K,-3.59%
2019年4月7日,1.6101,1.6414,1.7377,1.5811,1.42M,1.94%
2019年4月6日,1.6260,1.6101,1.6592,1.5734,682.47K,-0.98%
