日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.37867,0.38018,0.38084,0.37389,805.96K,0.40%
2019年6月10日,0.35292,0.37867,0.37912,0.34959,845.82K,7.30%
2019年6月9日,0.37590,0.35292,0.37709,0.34693,744.07K,-6.11%
2019年6月8日,0.38049,0.37590,0.38845,0.36971,771.66K,-1.14%
2019年6月7日,0.36734,0.38022,0.38801,0.36363,736.14K,3.51%
2019年6月6日,0.36042,0.36734,0.36969,0.34824,821.13K,1.92%
2019年6月5日,0.35919,0.36042,0.37211,0.35109,980.25K,0.34%
2019年6月4日,0.38739,0.35919,0.39109,0.34907,996.82K,-7.31%
2019年6月3日,0.43112,0.38754,0.43170,0.38615,1.26M,-10.11%
2019年6月2日,0.38605,0.43112,0.45546,0.38544,1.53M,11.67%
2019年6月1日,0.39919,0.38605,0.40080,0.38182,1.12M,-3.29%
2019年5月31日,0.38898,0.39919,0.39938,0.36573,1.02M,2.63%
2019年5月30日,0.40734,0.38898,0.44947,0.37073,2.02M,-4.51%
2019年5月29日,0.39893,0.40734,0.42156,0.37936,1.03M,2.11%
2019年5月28日,0.39283,0.39893,0.40659,0.37777,823.51K,1.55%
2019年5月27日,0.37898,0.39283,0.40767,0.37855,1.18M,3.58%
2019年5月26日,0.37642,0.37924,0.38332,0.36235,914.82K,0.75%
2019年5月25日,0.38544,0.37642,0.38630,0.37131,803.37K,-2.34%
2019年5月24日,0.38260,0.38544,0.39413,0.37552,905.67K,0.74%
2019年5月23日,0.37581,0.38260,0.38820,0.35100,835.61K,1.80%
2019年5月22日,0.40274,0.37581,0.42379,0.36883,1.13M,-6.76%
2019年5月21日,0.36944,0.40305,0.42989,0.36759,1.03M,9.10%
2019年5月20日,0.38237,0.36944,0.38250,0.35645,779.52K,-3.38%
2019年5月19日,0.37140,0.38237,0.39045,0.37070,784.10K,2.96%
2019年5月18日,0.37275,0.37140,0.38994,0.36251,900.40K,-0.36%
2019年5月17日,0.38840,0.37275,0.38969,0.33458,1.19M,-3.99%
2019年5月16日,0.39858,0.38825,0.43050,0.36429,1.17M,-2.59%
2019年5月15日,0.35836,0.39858,0.40027,0.35348,2.65M,11.22%
2019年5月14日,0.33453,0.35836,0.36089,0.32970,1.74M,7.11%
2019年5月13日,0.32348,0.33456,0.34191,0.32164,1.25M,3.43%
2019年5月12日,0.34343,0.32348,0.34852,0.31326,1.18M,-5.81%
2019年5月11日,0.32079,0.34343,0.35860,0.31319,1.74M,7.06%
2019年5月10日,0.30069,0.32079,0.32413,0.29829,1.27M,6.68%
2019年5月9日,0.31698,0.30069,0.31974,0.29456,1.26M,-5.14%
2019年5月8日,0.32038,0.31698,0.32356,0.30886,769.96K,-1.17%
2019年5月7日,0.33615,0.32072,0.34702,0.31946,896.79K,-4.59%
2019年5月6日,0.33539,0.33615,0.34212,0.31955,826.67K,0.23%
2019年5月5日,0.33499,0.33539,0.34244,0.33128,752.87K,0.12%
