日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.010850,0.011315,0.012180,0.010668,1.06B,4.20%
2019年6月9日,0.011372,0.010859,0.011471,0.010515,671.44M,-4.51%
2019年6月8日,0.011390,0.011372,0.011795,0.011207,704.70M,-0.33%
2019年6月7日,0.011043,0.011410,0.011694,0.010972,835.67M,3.31%
2019年6月6日,0.011129,0.011044,0.011326,0.010523,839.56M,-0.69%
2019年6月5日,0.011119,0.011121,0.011483,0.010785,538.51M,0.16%
2019年6月4日,0.011673,0.011103,0.012249,0.010620,871.57M,-5.09%
2019年6月3日,0.012907,0.011698,0.012960,0.011581,807.05M,-9.46%
2019年6月2日,0.012761,0.012920,0.013288,0.012710,294.45M,1.25%
2019年6月1日,0.013334,0.012761,0.013490,0.012674,573.09M,-4.29%
2019年5月31日,0.012817,0.013333,0.013376,0.012755,422.09M,4.16%
2019年5月30日,0.013498,0.012801,0.014678,0.012600,1.02B,-5.10%
2019年5月29日,0.013692,0.013489,0.014040,0.012987,838.20M,-1.44%
2019年5月28日,0.013890,0.013686,0.014311,0.013287,670.56M,-1.53%
2019年5月27日,0.012900,0.013898,0.014289,0.012830,869.42M,7.70%
2019年5月26日,0.012176,0.012904,0.012997,0.012001,435.50M,6.15%
2019年5月25日,0.012053,0.012156,0.012315,0.011916,601.27M,0.85%
2019年5月24日,0.011783,0.012054,0.012450,0.011729,560.35M,2.39%
2019年5月23日,0.011508,0.011773,0.012000,0.011124,463.51M,2.16%
2019年5月22日,0.012889,0.011524,0.013092,0.011464,803.36M,-10.62%
2019年5月21日,0.012033,0.012893,0.013158,0.011881,677.99M,6.77%
2019年5月20日,0.012388,0.012075,0.012530,0.011666,574.61M,-2.73%
2019年5月19日,0.011818,0.012414,0.012685,0.011775,300.04M,4.98%
2019年5月18日,0.012271,0.011825,0.012421,0.011478,623.54M,-3.73%
2019年5月17日,0.013272,0.012283,0.013500,0.011420,604.62M,-7.46%
2019年5月16日,0.014993,0.013273,0.015946,0.012787,918.40M,-11.39%
2019年5月15日,0.013549,0.014979,0.015150,0.013540,726.70M,10.60%
2019年5月14日,0.012810,0.013544,0.013798,0.012779,802.95M,5.73%
2019年5月13日,0.012729,0.012810,0.013371,0.012450,735.50M,0.64%
2019年5月12日,0.013230,0.012729,0.013577,0.012151,502.91M,-4.29%
2019年5月11日,0.011957,0.013299,0.013747,0.011957,741.01M,11.17%
2019年5月10日,0.011559,0.011963,0.012375,0.011200,640.86M,3.85%
2019年5月9日,0.011250,0.011519,0.011991,0.011092,544.52M,2.27%
2019年5月8日,0.011080,0.011263,0.011807,0.010667,458.80M,1.60%
2019年5月7日,0.010915,0.011086,0.012200,0.010915,544.93M,1.57%
2019年5月6日,0.010826,0.010915,0.011167,0.010400,455.56M,0.74%
2019年5月5日,0.010827,0.010835,0.011285,0.010680,535.98M,0.54%
2019年5月4日,0.011622,0.010777,0.011958,0.010289,302.46M,-7.42%
2019年5月3日,0.011330,0.011641,0.011912,0.011226,286.79M,2.73%
2019年5月2日,0.011348,0.011332,0.011690,0.011068,196.39M,-0.04%
2019年5月1日,0.011335,0.011336,0.011542,0.011208,605.75M,0.10%
2019年4月30日,0.010981,0.011325,0.011435,0.010600,475.08M,3.75%
2019年4月29日,0.010840,0.010916,0.011339,0.010128,446.88M,0.67%
2019年4月28日,0.011752,0.010843,0.012028,0.010600,486.96M,-7.48%
2019年4月27日,0.010715,0.011720,0.011799,0.010637,559.89M,9.42%
2019年4月26日,0.010278,0.010711,0.010975,0.009871,513.86M,4.17%
2019年4月25日,0.011448,0.010282,0.011606,0.010126,603.85M,-10.44%
2019年4月24日,0.011971,0.011480,0.012112,0.010380,579.10M,-4.24%
2019年4月23日,0.013408,0.011988,0.013632,0.011963,385.23M,-10.59%
2019年4月22日,0.013823,0.013408,0.013839,0.013099,591.68M,-2.85%
2019年4月21日,0.013659,0.013801,0.014316,0.012418,531.34M,1.31%
