日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.40612,0.41952,0.42573,0.39881,32.34M,3.30%
2019年6月9日,0.42864,0.40612,0.43179,0.39598,32.03M,-5.25%
2019年6月8日,0.44297,0.42864,0.44954,0.41749,38.65M,-3.23%
2019年6月7日,0.42227,0.44297,0.45659,0.41781,41.08M,4.90%
2019年6月6日,0.42917,0.42227,0.43426,0.40110,33.33M,-1.61%
2019年6月5日,0.42468,0.42917,0.43546,0.41590,19.39M,1.06%
2019年6月4日,0.44475,0.42468,0.44762,0.41202,36.28M,-4.51%
2019年6月3日,0.48946,0.44475,0.49134,0.44119,47.58M,-9.13%
2019年6月2日,0.47932,0.48946,0.49988,0.47523,37.29M,2.11%
2019年6月1日,0.50847,0.47934,0.51428,0.46669,48.48M,-5.73%
2019年5月31日,0.47351,0.50847,0.51064,0.45911,37.90M,7.38%
2019年5月30日,0.51266,0.47351,0.54672,0.46105,82.66M,-7.64%
2019年5月29日,0.48234,0.51266,0.55601,0.45835,113.64M,6.32%
2019年5月28日,0.43550,0.48220,0.50034,0.41703,85.71M,10.72%
2019年5月27日,0.40684,0.43550,0.44678,0.39798,47.43M,7.00%
2019年5月26日,0.38239,0.40703,0.41610,0.37302,30.26M,6.44%
2019年5月25日,0.38253,0.38239,0.39211,0.37584,27.34M,-0.04%
2019年5月24日,0.38687,0.38253,0.39991,0.37828,35.36M,-1.12%
2019年5月23日,0.38369,0.38687,0.39011,0.36443,40.47M,0.82%
2019年5月22日,0.41315,0.38370,0.42343,0.38303,33.86M,-7.13%
2019年5月21日,0.40510,0.41316,0.42589,0.39848,23.74M,1.99%
2019年5月20日,0.42260,0.40510,0.42260,0.38542,26.53M,-4.14%
2019年5月19日,0.37998,0.42260,0.42870,0.37979,35.91M,11.22%
2019年5月18日,0.39437,0.37998,0.40037,0.37516,17.75M,-3.65%
2019年5月17日,0.41438,0.39437,0.42541,0.35511,48.22M,-4.83%
2019年5月16日,0.43890,0.41438,0.46452,0.39788,64.32M,-5.71%
2019年5月15日,0.37412,0.43946,0.44254,0.37357,56.91M,17.46%
2019年5月14日,0.33593,0.37412,0.37846,0.33524,61.26M,11.38%
2019年5月13日,0.30112,0.33590,0.34602,0.29907,39.91M,11.54%
