日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,1.61621,1.57939,1.61646,1.55923,-,-2.28%
2019年6月10日,1.50122,1.61621,1.74499,1.49768,-,7.66%
2019年6月9日,1.62755,1.50122,1.68832,1.48988,-,-7.69%
2019年6月8日,1.58550,1.62632,1.70201,1.56037,-,2.57%
2019年6月7日,1.54340,1.58550,1.59239,1.52356,-,2.73%
2019年6月6日,1.47344,1.54340,1.54764,1.45016,-,4.75%
2019年6月5日,1.55609,1.47344,1.59040,1.39090,-,-5.31%
2019年6月4日,1.49646,1.55609,1.56404,1.38348,-,3.98%
2019年6月3日,1.59469,1.49646,1.63787,1.46931,-,-6.16%
2019年6月2日,1.45296,1.59469,1.73971,1.44268,-,9.75%
2019年6月1日,1.42764,1.45296,1.52621,1.36220,-,1.77%
2019年5月31日,1.36987,1.42764,1.44368,1.31323,-,4.22%
2019年5月30日,1.50981,1.36987,1.83100,1.31585,-,-9.27%
2019年5月29日,1.40751,1.50981,1.54207,1.32761,-,7.27%
2019年5月28日,1.31969,1.40751,1.44995,1.24870,-,6.65%
2019年5月27日,1.27265,1.31969,1.40173,1.25020,-,3.70%
2019年5月26日,1.19486,1.27265,1.35282,1.17243,-,6.51%
2019年5月25日,1.19500,1.19486,1.25979,1.16839,-,0.10%
2019年5月24日,1.18465,1.19369,1.24909,1.16753,-,0.76%
2019年5月23日,1.10449,1.18465,1.20728,1.06322,-,7.26%
2019年5月22日,1.17267,1.10449,1.25691,1.09889,-,-5.81%
2019年5月21日,1.10581,1.17267,1.21319,1.09194,-,6.05%
2019年5月20日,1.14163,1.10581,1.17109,1.08055,-,-3.14%
2019年5月19日,1.12026,1.14163,1.18331,1.11904,-,1.86%
2019年5月18日,1.20892,1.12084,1.21359,1.10128,-,-7.48%
2019年5月17日,1.20540,1.21149,1.21291,1.02111,-,0.51%
2019年5月16日,1.25963,1.20540,1.32688,1.14235,-,-4.30%
2019年5月15日,1.13221,1.25963,1.27842,1.10324,-,11.25%
2019年5月14日,1.10098,1.13221,1.15393,1.05720,-,2.84%
2019年5月13日,1.09985,1.10098,1.17238,1.08105,-,0.10%
2019年5月12日,1.16976,1.09985,1.19086,1.07102,-,-5.98%
2019年5月11日,1.12997,1.16976,1.19525,1.10429,-,3.52%
2019年5月10日,1.15003,1.12997,1.19895,1.10398,-,-1.75%
2019年5月9日,1.16540,1.15003,1.18029,1.11967,-,-1.32%
2019年5月8日,1.16184,1.16540,1.20898,1.14039,-,0.31%
2019年5月7日,1.12479,1.16184,1.19727,1.10393,-,3.29%
2019年5月6日,1.09382,1.12479,1.14363,1.05934,-,2.83%
2019年5月5日,1.08058,1.09382,1.10187,1.06049,-,1.22%
2019年5月4日,1.08536,1.08069,1.10668,1.04239,-,-0.43%
2019年5月3日,1.07472,1.08530,1.11036,1.04711,-,0.98%
2019年5月2日,1.01580,1.07472,1.08835,1.01008,-,5.80%
2019年5月1日,1.03099,1.01580,1.03950,0.99620,-,-1.47%
2019年4月30日,0.97748,1.03099,1.03099,0.97419,-,5.47%
2019年4月29日,1.04173,0.97748,1.07304,0.96689,-,-6.17%
2019年4月28日,1.02967,1.04173,1.05919,1.01913,-,1.01%
2019年4月27日,0.98840,1.03130,1.04317,0.96309,-,4.28%
2019年4月26日,0.93723,0.98894,1.01013,0.92264,-,5.52%
2019年4月25日,0.99551,0.93723,1.07487,0.92517,-,-5.85%
2019年4月24日,1.05126,0.99551,1.08359,0.95979,-,-5.30%
2019年4月23日,1.09346,1.05126,1.10533,1.04618,-,-3.86%
2019年4月22日,1.08818,1.09346,1.11556,1.07478,-,0.49%
2019年4月21日,1.10889,1.08818,1.11981,1.05012,-,-1.87%
2019年4月20日,1.15514,1.10889,1.17485,1.09665,-,-4.00%
2019年4月19日,1.12915,1.15508,1.15662,1.10774,-,2.30%
2019年4月18日,1.16457,1.12915,1.17166,1.11153,-,-3.04%
2019年4月17日,1.05368,1.16457,1.19540,1.04314,-,10.52%
2019年4月16日,1.02663,1.05368,1.05850,1.01132,-,2.64%
2019年4月15日,1.08803,1.02663,1.09489,1.01015,-,-5.64%
2019年4月14日,1.10148,1.08803,1.10652,1.06255,-,-1.22%
2019年4月13日,1.12501,1.10148,1.15311,1.08671,-,-2.12%
2019年4月12日,1.04878,1.12535,1.14805,0.99334,-,7.30%
2019年4月11日,1.15090,1.04878,1.15266,1.00227,-,-8.87%
2019年4月10日,1.17438,1.15090,1.22040,1.12808,-,-2.00%
2019年4月9日,1.23527,1.17438,1.26244,1.17438,-,-4.93%
2019年4月8日,1.24327,1.23527,1.25116,1.19477,-,-0.64%
2019年4月7日,1.20538,1.24327,1.25429,1.20270,-,3.36%
2019年4月6日,1.24584,1.20280,1.26477,1.18028,-,-3.45%
