日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,1.0707,1.0751,1.0885,1.0555,4.26M,0.41%
2019年6月9日,1.1420,1.0707,1.1600,1.0707,4.90M,-6.24%
2019年6月8日,1.1867,1.1420,1.1893,1.1270,6.97M,-3.77%
2019年6月7日,1.0901,1.1867,1.1899,1.0830,5.34M,8.86%
2019年6月6日,1.1397,1.0901,1.1682,1.0830,5.61M,-4.36%
2019年6月5日,1.1031,1.1397,1.1890,1.0958,8.23M,3.33%
2019年6月4日,1.1327,1.1031,1.1663,1.0400,9.97M,-2.62%
2019年6月3日,1.1660,1.1327,1.2450,1.1295,4.30M,-2.86%
2019年6月2日,1.1230,1.1660,1.2301,1.1223,3.53M,3.83%
2019年6月1日,1.1755,1.1230,1.2182,1.1120,5.58M,-4.46%
2019年5月31日,1.1018,1.1755,1.1900,1.0984,3.72M,6.69%
2019年5月30日,1.1325,1.1018,1.1953,1.0720,3.91M,-2.71%
2019年5月29日,1.1461,1.1325,1.1506,1.1226,2.67M,-1.19%
2019年5月28日,1.1075,1.1461,1.1490,1.0682,3.75M,3.48%
2019年5月27日,1.0942,1.1075,1.1210,1.0485,3.97M,1.22%
2019年5月26日,1.0893,1.0942,1.1146,1.0818,3.36M,0.45%
2019年5月25日,1.0571,1.0893,1.1030,1.0555,3.62M,3.05%
2019年5月24日,1.0401,1.0571,1.0867,1.0365,4.06M,1.63%
2019年5月23日,1.0460,1.0401,1.0571,1.0126,3.59M,-0.59%
2019年5月22日,1.0611,1.0462,1.0887,1.0129,4.05M,-1.40%
2019年5月21日,1.0319,1.0611,1.0900,1.0143,4.05M,2.83%
2019年5月20日,1.0438,1.0319,1.0581,1.0146,3.57M,-0.91%
2019年5月19日,1.0132,1.0414,1.0630,1.0000,2.76M,2.79%
2019年5月18日,1.0132,1.0132,1.0200,0.9910,3.62M,0.00%
2019年5月17日,1.0347,1.0132,1.0631,0.9650,4.59M,-1.59%
2019年5月16日,1.0347,1.0296,1.0832,1.0127,3.53M,-0.49%
2019年5月15日,0.9220,1.0347,1.0750,0.8970,4.29M,12.22%
2019年5月14日,0.9989,0.9220,1.0470,0.9213,4.37M,-7.34%
2019年5月13日,1.0201,0.9950,1.1249,0.9950,4.02M,-2.46%
2019年5月12日,1.0336,1.0201,1.1081,0.9880,2.78M,-1.30%
2019年5月11日,1.0353,1.0336,1.0927,1.0059,2.84M,-0.17%
2019年5月10日,1.0620,1.0353,1.1224,1.0306,1.93M,-2.51%
2019年5月9日,1.0612,1.0620,1.0678,0.9708,1.96M,0.07%
2019年5月8日,1.0880,1.0612,1.0965,1.0300,1.26M,-2.46%
2019年5月7日,1.0850,1.0880,1.1540,1.0850,964.19K,0.28%
2019年5月6日,1.1629,1.0850,1.1670,1.0735,1.13M,-6.69%
2019年5月5日,1.1621,1.1629,1.1923,1.1520,675.16K,0.07%
2019年5月4日,1.1990,1.1621,1.2203,1.1500,816.73K,-3.08%
2019年5月3日,1.1851,1.1990,1.2300,1.1779,984.78K,1.18%
2019年5月2日,1.1707,1.1851,1.1950,1.1653,815.46K,1.23%
2019年5月1日,1.1871,1.1707,1.1900,1.1625,830.87K,-1.38%
2019年4月30日,1.1660,1.1871,1.2000,1.1500,946.81K,1.78%
2019年4月29日,1.1641,1.1663,1.2400,1.1503,1.36M,0.19%
2019年4月28日,1.1714,1.1641,1.1855,1.1503,875.09K,-0.63%
2019年4月27日,1.1551,1.1714,1.2286,1.1510,761.38K,1.41%
2019年4月26日,1.1663,1.1551,1.2245,1.1510,990.83K,-0.96%
2019年4月25日,1.1754,1.1663,1.2790,1.1618,1.59M,-0.78%
2019年4月24日,1.2173,1.1754,1.2200,1.1650,1.34M,-3.44%
2019年4月23日,1.1739,1.2173,1.2790,1.1673,3.73M,3.70%
2019年4月22日,1.1748,1.1739,1.1925,1.1686,4.22M,-0.07%
2019年4月21日,1.2536,1.1748,1.2553,1.1700,1.25M,-6.29%
2019年4月20日,1.2318,1.2536,1.2787,1.2307,699.20K,1.77%
2019年4月19日,1.2713,1.2318,1.2715,1.2300,5.50M,-3.11%
2019年4月18日,1.2100,1.2713,1.2782,1.2090,7.17M,5.07%
2019年4月17日,1.1927,1.2100,1.2100,1.1836,1.21M,1.45%
2019年4月16日,1.1168,1.1927,1.1927,1.1150,1.22M,6.79%
2019年4月15日,1.1695,1.1168,1.1796,1.1150,831.43K,-4.51%
2019年4月14日,1.1497,1.1695,1.1838,1.1165,600.16K,1.73%
2019年4月13日,1.0170,1.1497,1.1497,1.0071,1.05M,13.05%
2019年4月12日,1.0470,1.0170,1.0569,1.0000,816.54K,-2.86%
2019年4月11日,1.1592,1.0470,1.1798,1.0120,1.20M,-9.68%
2019年4月10日,1.0821,1.1592,1.1875,1.0821,1.66M,7.02%
2019年4月9日,1.2758,1.0831,1.3030,1.0410,4.52M,-15.10%
2019年4月8日,1.4346,1.2758,1.4850,1.2758,697.55K,-11.07%
2019年4月7日,1.3677,1.4346,1.4900,1.3622,405.78K,4.89%
2019年4月6日,1.5538,1.3677,1.5538,1.2801,1.30M,-11.98%
2019年4月5日,1.5327,1.5538,1.6638,1.5300,1.01M,1.38%
2019年4月4日,1.6773,1.5327,1.8413,1.4592,4.50M,-8.40%
2019年4月3日,2.0831,1.6732,2.4900,1.6000,9.56M,-19.68%
2019年4月2日,1.7680,2.0831,2.1010,1.5650,3.30M,17.83%
2019年4月1日,1.6631,1.7680,1.7680,1.6435,926.07K,6.31%
2019年3月31日,1.7177,1.6631,1.7191,1.6121,720.28K,-3.18%
2019年3月30日,1.5900,1.7177,1.7559,1.5890,1.33M,8.03%
2019年3月29日,1.3438,1.5900,1.6200,1.3438,2.20M,18.33%
2019年3月28日,1.3208,1.3438,1.3592,1.2940,643.54K,1.74%
2019年3月27日,1.3500,1.3208,1.3500,1.2535,3.43M,-2.16%
2019年3月26日,1.3959,1.3500,1.3959,1.2480,1.08M,-3.29%
2019年3月25日,1.2520,1.3959,1.4500,1.2357,1.73M,11.49%
2019年3月24日,1.0814,1.2520,1.2520,1.0409,1.55M,15.78%
2019年3月23日,1.1673,1.0814,1.1694,1.0800,403.26K,-7.37%
2019年3月22日,1.1000,1.1673,1.1797,0.9900,1.77M,6.12%
2019年3月21日,1.0759,1.1000,1.1388,0.9700,2.49M,2.24%
2019年3月20日,0.9297,1.0759,1.0759,0.8280,1.82M,15.72%
2019年3月19日,0.8714,0.9297,0.9800,0.8694,902.92K,6.69%
2019年3月18日,0.7939,0.8714,0.8781,0.7902,896.63K,9.77%
2019年3月17日,0.8000,0.7939,0.8078,0.7520,206.81K,-0.77%
2019年3月16日,0.7990,0.8000,0.8110,0.7518,645.32K,0.13%
2019年3月15日,0.6879,0.7990,0.8000,0.6879,650.38K,16.15%
2019年3月14日,0.7165,0.6879,0.7165,0.6446,341.03K,-4.00%
2019年3月13日,0.6202,0.7165,0.7304,0.6202,1.02M,15.54%
2019年3月12日,0.5804,0.6202,0.6318,0.5493,677.30K,6.85%
2019年3月11日,0.5214,0.5804,0.5904,0.5193,433.78K,11.32%
2019年3月10日,0.5723,0.5214,0.5723,0.5116,404.62K,-8.89%
2019年3月9日,0.5572,0.5723,0.5890,0.5550,277.39K,2.72%
2019年3月8日,0.5965,0.5572,0.6050,0.5359,417.82K,-6.60%
2019年3月7日,0.4920,0.5965,0.6042,0.4900,590.22K,21.25%
2019年3月6日,0.4981,0.4920,0.5000,0.4733,322.56K,-1.23%
2019年3月5日,0.4675,0.4981,0.4998,0.4650,305.18K,6.54%
2019年3月4日,0.4750,0.4675,0.4800,0.4500,419.81K,-1.57%
2019年3月3日,0.4658,0.4750,0.4793,0.4560,332.18K,1.98%
2019年3月2日,0.4692,0.4658,0.4800,0.4571,338.38K,-0.72%
2019年3月1日,0.4444,0.4692,0.4790,0.4400,469.31K,5.57%
2019年2月28日,0.4498,0.4444,0.4600,0.4331,528.07K,-1.20%
2019年2月27日,0.4500,0.4498,0.4658,0.4385,534.49K,-0.04%
