日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,2.0599,2.0760,2.0897,2.0254,2.10K,0.79%
2019年6月10日,1.9320,2.0599,2.0599,1.9244,2.17K,6.62%
2019年6月9日,2.0604,1.9320,2.0987,1.9120,3.57K,-6.23%
2019年6月8日,2.1649,2.0604,2.1784,2.0208,2.30K,-4.83%
2019年6月7日,1.9322,2.1649,2.1909,1.9263,2.04K,12.04%
2019年6月6日,1.9360,1.9322,2.0105,1.8159,2.66K,-0.20%
2019年6月5日,1.9255,1.9360,2.0442,1.9249,2.90K,0.54%
2019年6月4日,2.0717,1.9255,2.0717,1.9121,7.10K,-7.06%
2019年6月3日,2.1406,2.0717,2.1436,2.0429,3.72K,-3.22%
2019年6月2日,2.0729,2.1406,2.1746,2.0354,3.41K,3.26%
2019年6月1日,2.0271,2.0729,2.1309,2.0030,6.40K,2.26%
2019年5月31日,2.0014,2.0271,2.1196,1.9327,3.95K,1.29%
2019年5月30日,2.1126,2.0014,2.2491,1.9234,10.00K,-5.26%
2019年5月29日,2.0919,2.1126,2.1171,1.9849,6.29K,0.99%
2019年5月28日,2.0025,2.0919,2.1530,1.9984,6.31K,4.47%
2019年5月27日,2.0152,2.0025,2.0562,1.9558,5.17K,-0.63%
2019年5月26日,1.9538,2.0152,2.0272,1.9390,2.68K,3.12%
2019年5月25日,1.8837,1.9542,2.0723,1.8836,3.32K,3.74%
2019年5月24日,1.9048,1.8837,1.9714,1.8731,3.87K,-1.11%
2019年5月23日,1.8740,1.9048,1.9300,1.8315,3.18K,1.64%
2019年5月22日,2.0179,1.8740,2.0308,1.8681,3.00K,-7.13%
2019年5月21日,1.9750,2.0179,2.0396,1.9239,5.28K,2.17%
2019年5月20日,2.0402,1.9750,2.0402,1.9373,3.28K,-3.19%
2019年5月19日,1.9999,2.0402,2.1091,1.9566,5.38K,2.01%
2019年5月18日,1.9732,1.9999,2.0059,1.9344,1.86K,1.35%
2019年5月17日,2.1771,1.9732,2.1923,1.8544,8.14K,-9.36%
2019年5月16日,2.0742,2.1771,2.3167,2.0527,5.19K,6.84%
2019年5月15日,1.8929,2.0377,2.1981,1.8386,4.87K,7.65%
2019年5月14日,1.7631,1.8929,1.9535,1.7595,4.44K,7.36%
2019年5月13日,1.7545,1.7631,2.0603,1.7319,4.65K,0.49%
2019年5月12日,1.9450,1.7545,2.0014,1.6506,6.05K,-9.79%
2019年5月11日,1.7776,1.9450,1.9899,1.7540,4.60K,9.42%
2019年5月10日,1.7416,1.7775,1.8441,1.6896,2.63K,2.06%
2019年5月9日,1.6579,1.7416,1.7556,1.6579,2.28K,5.05%
2019年5月8日,1.6893,1.6579,1.6971,1.6249,3.91K,-1.86%
2019年5月7日,1.7102,1.6893,1.7237,1.6294,3.61K,-1.22%
2019年5月6日,1.6863,1.7102,1.7347,1.6098,2.61K,1.41%
2019年5月5日,1.7811,1.6863,1.7840,1.6800,2.96K,-5.32%
