日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,129.292,128.188,129.836,126.415,15.91M,-0.86%
2019年6月10日,114.702,129.300,129.791,112.668,15.62M,12.72%
2019年6月9日,118.015,114.705,118.686,111.855,13.36M,-2.82%
2019年6月8日,116.982,118.036,119.152,113.827,13.43M,0.90%
2019年6月7日,110.770,116.985,120.569,109.349,15.56M,5.62%
2019年6月6日,103.670,110.759,111.394,101.460,12.58M,6.84%
2019年6月5日,102.128,103.667,105.045,100.369,11.67M,1.51%
2019年6月4日,106.441,102.122,106.536,98.578,15.51M,-4.09%
2019年6月3日,114.451,106.483,115.933,105.438,11.71M,-6.95%
2019年6月2日,112.364,114.434,116.063,111.417,9.12M,1.80%
2019年6月1日,114.478,112.409,116.079,111.130,10.86M,-1.81%
2019年5月31日,108.446,114.479,114.692,105.310,12.52M,5.56%
2019年5月30日,114.828,108.447,119.890,103.631,16.20M,-5.55%
2019年5月29日,114.797,114.817,118.040,109.210,20.06M,-0.01%
2019年5月28日,116.644,114.824,118.094,112.093,11.58M,-1.58%
2019年5月27日,110.647,116.664,121.587,110.200,18.51M,5.43%
2019年5月26日,102.712,110.655,111.949,99.242,19.50M,7.73%
2019年5月25日,100.251,102.714,104.597,98.768,17.28M,2.46%
2019年5月24日,88.591,100.243,102.423,88.352,21.36M,13.16%
2019年5月23日,87.906,88.587,89.416,85.228,11.77M,0.78%
2019年5月22日,90.868,87.901,91.930,87.160,12.17M,-3.27%
2019年5月21日,91.104,90.871,92.194,89.027,11.91M,-0.26%
2019年5月20日,94.639,91.103,94.643,88.577,15.09M,-3.74%
2019年5月19日,86.635,94.642,96.058,86.386,19.29M,9.26%
2019年5月18日,89.511,86.624,90.281,85.169,15.38M,-3.22%
2019年5月17日,95.417,89.510,97.341,84.518,24.56M,-6.19%
2019年5月16日,101.599,95.415,106.543,92.077,28.46M,-6.09%
2019年5月15日,91.567,101.601,103.834,90.700,25.39M,10.97%
2019年5月14日,87.682,91.560,93.772,86.986,18.74M,4.41%
2019年5月13日,84.795,87.695,92.522,84.424,15.89M,3.42%
2019年5月12日,88.047,84.794,93.804,83.800,21.95M,-3.89%
2019年5月11日,77.052,88.224,95.247,77.052,23.10M,14.53%
2019年5月10日,74.192,77.035,79.138,72.801,12.15M,3.87%
2019年5月9日,74.425,74.166,76.562,72.874,9.24M,-0.36%
2019年5月8日,74.725,74.432,75.493,72.848,9.16M,-0.39%
