日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.06420,0.06541,0.07042,0.06271,25.37M,1.89%
2019年6月9日,0.06298,0.06420,0.06627,0.06161,19.63M,1.94%
2019年6月8日,0.06303,0.06298,0.06467,0.06130,16.79M,-0.08%
2019年6月7日,0.06010,0.06303,0.06499,0.05969,16.20M,4.87%
2019年6月6日,0.05909,0.06010,0.06049,0.05760,15.38M,1.71%
2019年6月5日,0.05960,0.05909,0.06096,0.05732,15.65M,-0.85%
2019年6月4日,0.06160,0.05960,0.06160,0.05809,19.09M,-3.39%
2019年6月3日,0.06770,0.06169,0.06831,0.06109,16.85M,-8.88%
2019年6月2日,0.06709,0.06770,0.06856,0.06619,16.92M,0.91%
2019年6月1日,0.07008,0.06709,0.07118,0.06682,17.73M,-4.27%
2019年5月31日,0.06833,0.07008,0.07050,0.06583,15.23M,2.56%
2019年5月30日,0.07230,0.06833,0.07628,0.06787,22.47M,-5.49%
2019年5月29日,0.07430,0.07230,0.07439,0.07005,16.27M,-2.69%
2019年5月28日,0.07086,0.07430,0.07753,0.07033,20.01M,4.85%
2019年5月27日,0.06985,0.07086,0.07374,0.06885,21.58M,1.45%
2019年5月26日,0.06743,0.06985,0.07097,0.06601,18.90M,3.59%
2019年5月25日,0.06975,0.06743,0.07061,0.06661,17.15M,-3.33%
2019年5月24日,0.06900,0.06975,0.07673,0.06900,24.88M,1.09%
2019年5月23日,0.06400,0.06900,0.07158,0.06182,23.56M,7.82%
2019年5月22日,0.06539,0.06400,0.07200,0.06208,21.91M,-2.13%
2019年5月21日,0.06366,0.06539,0.06727,0.06207,20.98M,2.72%
2019年5月20日,0.06354,0.06366,0.06400,0.05872,16.43M,0.18%
2019年5月19日,0.06005,0.06354,0.06412,0.05996,17.74M,5.81%
2019年5月18日,0.05889,0.06005,0.06267,0.05827,19.82M,1.98%
2019年5月17日,0.06410,0.05889,0.06484,0.05560,21.21M,-8.13%
2019年5月16日,0.06977,0.06410,0.07752,0.06100,30.47M,-8.13%
2019年5月15日,0.06030,0.06977,0.07056,0.05995,24.12M,15.72%
2019年5月14日,0.05555,0.06030,0.06046,0.05495,18.40M,8.54%
