日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.18755,0.18745,0.19284,0.18500,447.87K,-0.05%
2019年6月9日,0.18678,0.18755,0.18972,0.18500,374.39K,0.41%
2019年6月8日,0.19063,0.18678,0.19097,0.18500,204.11K,-2.02%
2019年6月7日,0.19400,0.19063,0.19633,0.18000,351.55K,-2.24%
2019年6月6日,0.20580,0.19500,0.21053,0.18659,295.13K,-5.25%
2019年6月5日,0.21044,0.20580,0.21374,0.20243,399.69K,-2.20%
2019年6月4日,0.22650,0.21044,0.22650,0.20401,308.62K,-7.09%
2019年6月3日,0.22945,0.22650,0.24080,0.22650,553.33K,-1.28%
2019年6月2日,0.22478,0.22945,0.23074,0.22320,293.97K,2.08%
2019年6月1日,0.22515,0.22478,0.22727,0.22173,287.23K,-0.17%
2019年5月31日,0.22854,0.22515,0.23171,0.21532,232.22K,-1.48%
2019年5月30日,0.25858,0.22854,0.25935,0.22400,316.02K,-11.62%
2019年5月29日,0.26647,0.25858,0.26695,0.25084,254.40K,-2.96%
2019年5月28日,0.26907,0.26647,0.27417,0.26175,243.13K,-0.97%
2019年5月27日,0.23813,0.26907,0.27726,0.23813,410.69K,12.99%
2019年5月26日,0.22874,0.23813,0.23825,0.21943,260.51K,4.11%
2019年5月25日,0.22967,0.22874,0.23860,0.22303,336.95K,-0.41%
2019年5月24日,0.21520,0.22967,0.23572,0.21107,291.38K,6.73%
2019年5月23日,0.18928,0.21520,0.23192,0.17829,535.62K,13.69%
2019年5月22日,0.17808,0.18928,0.19814,0.17748,376.46K,6.29%
2019年5月21日,0.17589,0.17808,0.18216,0.17127,395.08K,1.24%
2019年5月20日,0.18141,0.17589,0.18213,0.16700,351.85K,-3.04%
2019年5月19日,0.16048,0.18141,0.18446,0.15968,225.38K,13.02%
2019年5月18日,0.16033,0.16051,0.16346,0.15742,558.11K,0.24%
2019年5月17日,0.17156,0.16012,0.17303,0.15207,207.48K,-6.67%
2019年5月16日,0.17713,0.17156,0.18096,0.16632,269.57K,-3.14%
2019年5月15日,0.16618,0.17713,0.17905,0.16291,260.88K,7.07%
2019年5月14日,0.16771,0.16544,0.17095,0.15843,257.21K,-1.35%
2019年5月13日,0.15808,0.16771,0.17939,0.15651,500.82K,6.09%
2019年5月12日,0.15983,0.15808,0.16842,0.15556,608.94K,-1.09%
2019年5月11日,0.14094,0.15983,0.16316,0.14094,733.05K,13.40%
2019年5月10日,0.13957,0.14094,0.14364,0.13841,713.54K,0.98%
2019年5月9日,0.13780,0.13957,0.14155,0.13547,706.40K,1.28%
2019年5月8日,0.13597,0.13780,0.13860,0.13315,709.18K,1.35%
2019年5月7日,0.13237,0.13597,0.13813,0.13228,327.56K,2.74%
2019年5月6日,0.13960,0.13234,0.14171,0.13162,685.59K,-5.21%
2019年5月5日,0.13418,0.13960,0.14233,0.13185,437.68K,4.04%
2019年5月4日,0.13649,0.13418,0.13904,0.12760,361.33K,-1.69%
2019年5月3日,0.12870,0.13649,0.13796,0.12851,464.55K,6.05%
2019年5月2日,0.13072,0.12870,0.13095,0.12589,384.44K,-1.54%
2019年5月1日,0.13126,0.13072,0.13223,0.12823,496.53K,-0.41%
2019年4月30日,0.12878,0.13126,0.13200,0.11743,541.28K,1.93%
2019年4月29日,0.13898,0.12878,0.14077,0.12784,463.94K,-7.34%
2019年4月28日,0.12837,0.13898,0.14112,0.12644,494.35K,8.26%
2019年4月27日,0.12444,0.12837,0.12920,0.12391,370.56K,3.16%
2019年4月26日,0.11607,0.12444,0.12482,0.11478,694.90K,7.22%
2019年4月25日,0.12486,0.11607,0.12931,0.11427,727.57K,-7.04%
2019年4月24日,0.12625,0.12486,0.12794,0.12235,595.74K,-1.10%
2019年4月23日,0.12893,0.12625,0.13255,0.12350,563.05K,-2.05%
2019年4月22日,0.13711,0.12889,0.13828,0.12153,626.10K,-6.00%
2019年4月21日,0.14233,0.13711,0.14257,0.13400,351.21K,-3.66%
2019年4月20日,0.14078,0.14233,0.14336,0.13885,639.69K,1.10%
2019年4月19日,0.14064,0.14078,0.14301,0.13857,679.48K,0.10%
2019年4月18日,0.13783,0.14064,0.14173,0.13776,738.35K,2.04%
2019年4月17日,0.13751,0.13783,0.13888,0.13697,691.80K,0.24%
2019年4月16日,0.13177,0.13751,0.13783,0.13052,605.65K,4.35%
2019年4月15日,0.13650,0.13177,0.13783,0.13049,571.63K,-3.47%
2019年4月14日,0.13350,0.13650,0.13771,0.13252,489.04K,2.25%
2019年4月13日,0.13486,0.13350,0.13712,0.13284,560.96K,-1.00%
2019年4月12日,0.13568,0.13486,0.13568,0.13080,633.74K,-0.61%
2019年4月11日,0.14613,0.13568,0.14744,0.12908,566.70K,-7.15%
2019年4月10日,0.14383,0.14613,0.14929,0.14267,453.02K,1.60%
2019年4月9日,0.14751,0.14383,0.14751,0.14193,546.16K,-2.49%
2019年4月8日,0.14766,0.14751,0.15023,0.14333,529.10K,-0.11%
2019年4月7日,0.14256,0.14766,0.14891,0.13648,457.78K,3.58%
2019年4月6日,0.14737,0.14256,0.15187,0.13598,511.18K,-3.26%
2019年4月5日,0.14324,0.14737,0.14892,0.14279,612.00K,2.88%
2019年4月4日,0.14582,0.14324,0.15001,0.14209,606.58K,-1.77%
2019年4月3日,0.14462,0.14582,0.15620,0.14322,274.52K,0.82%
2019年4月2日,0.12801,0.14462,0.14579,0.12771,597.32K,13.12%
2019年4月1日,0.12628,0.12785,0.12845,0.12606,294.74K,1.24%
2019年3月31日,0.12556,0.12628,0.12661,0.12439,422.54K,0.58%
2019年3月30日,0.12563,0.12556,0.12660,0.12463,371.30K,-0.06%
2019年3月29日,0.12275,0.12563,0.12624,0.12129,378.34K,2.34%
2019年3月28日,0.12765,0.12275,0.12779,0.12112,545.33K,-3.84%
2019年3月27日,0.12455,0.12765,0.12783,0.12392,534.30K,2.49%
2019年3月26日,0.12475,0.12455,0.12553,0.12385,500.21K,-0.16%
2019年3月25日,0.12748,0.12475,0.12832,0.12337,551.96K,-2.14%
2019年3月24日,0.12815,0.12748,0.12904,0.12648,760.14K,-0.53%
2019年3月23日,0.12774,0.12815,0.13014,0.12708,495.17K,0.33%
2019年3月22日,0.12753,0.12774,0.12858,0.12705,387.91K,0.17%
2019年3月21日,0.13017,0.12753,0.13180,0.12587,382.46K,-2.03%
2019年3月20日,0.12947,0.13017,0.13020,0.12751,747.60K,0.54%
2019年3月19日,0.13026,0.12947,0.13085,0.12883,448.70K,-0.61%
2019年3月18日,0.12630,0.13026,0.13032,0.12620,442.90K,3.14%
2019年3月17日,0.12518,0.12630,0.12718,0.12317,499.76K,0.89%
2019年3月16日,0.12251,0.12518,0.12598,0.12211,768.73K,2.18%
2019年3月15日,0.12020,0.12251,0.12256,0.12005,649.84K,1.93%
2019年3月14日,0.11930,0.12020,0.12209,0.11890,856.62K,0.75%
2019年3月13日,0.11743,0.11930,0.11993,0.11620,643.66K,1.59%
2019年3月12日,0.11703,0.11743,0.11770,0.11511,396.76K,0.33%
