日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,722.55,700.53,730.68,673.59,0.37K,-3.05%
2019年6月9日,759.39,722.55,768.33,721.83,0.01K,-4.85%
2019年6月8日,763.71,759.39,766.88,747.07,0.02K,-0.56%
2019年6月7日,731.96,763.71,776.06,725.63,0.03K,4.34%
2019年6月6日,682.07,731.96,731.96,681.48,0.08K,7.31%
2019年6月5日,644.66,682.07,706.59,644.24,0.01K,5.80%
2019年6月4日,676.43,644.66,721.48,632.41,0.03K,-4.70%
2019年6月3日,732.78,676.43,738.36,676.43,0.09K,-7.69%
2019年6月2日,725.54,732.78,745.10,716.99,0.00K,1.00%
2019年6月1日,726.01,725.54,737.95,721.65,0.02K,-0.06%
2019年5月31日,717.52,726.01,758.22,698.19,0.03K,1.18%
2019年5月30日,749.72,717.52,802.71,690.46,0.25K,-4.30%
2019年5月29日,758.33,749.72,761.51,729.57,1.50K,-1.13%
2019年5月28日,753.79,758.33,758.88,721.83,0.03K,0.60%
2019年5月27日,727.97,753.79,761.32,704.36,0.61K,3.55%
2019年5月26日,722.30,727.97,740.63,692.17,0.69K,0.79%
2019年5月25日,690.95,722.30,722.30,685.63,0.23K,4.54%
2019年5月24日,648.19,690.95,697.20,647.37,0.02K,6.60%
2019年5月23日,640.07,648.19,658.75,616.48,0.01K,1.27%
2019年5月22日,664.38,640.07,674.53,584.44,0.08K,-3.66%
2019年5月21日,661.39,664.38,681.77,649.56,0.02K,0.45%
2019年5月20日,682.01,661.39,682.01,635.36,0.03K,-3.02%
2019年5月19日,630.93,682.01,691.43,618.06,0.05K,8.10%
2019年5月18日,623.96,630.93,646.31,623.96,0.01K,1.12%
2019年5月17日,666.11,623.96,675.21,599.74,0.05K,-6.33%
2019年5月16日,692.36,666.11,732.29,658.01,0.21K,-3.79%
2019年5月15日,628.68,692.36,725.32,627.87,0.76K,10.13%
2019年5月14日,578.96,628.68,628.86,578.96,0.35K,8.59%
2019年5月13日,553.91,578.96,609.40,552.25,0.52K,4.52%
2019年5月12日,594.42,553.91,594.58,547.67,0.16K,-6.82%
2019年5月11日,528.41,594.42,613.01,528.41,0.09K,12.49%
