日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.0433,0.0414,0.0439,0.0410,45.73M,-4.30%
2019年6月10日,0.0455,0.0433,0.0456,0.0412,45.10M,-4.80%
2019年6月9日,0.0452,0.0455,0.0470,0.0442,47.57M,0.58%
2019年6月8日,0.0447,0.0452,0.0469,0.0435,44.44M,1.18%
2019年6月7日,0.0449,0.0447,0.0490,0.0407,68.18M,-0.30%
2019年6月6日,0.0529,0.0448,0.0529,0.0440,128.94M,-15.35%
2019年6月5日,0.0605,0.0529,0.0622,0.0518,143.06M,-12.44%
2019年6月4日,0.0637,0.0605,0.0644,0.0570,156.09M,-5.15%
2019年6月3日,0.0640,0.0637,0.0676,0.0615,122.45M,-0.48%
2019年6月2日,0.0559,0.0640,0.0660,0.0545,199.49M,14.48%
2019年6月1日,0.0543,0.0559,0.0567,0.0530,114.21M,3.03%
2019年5月31日,0.0480,0.0543,0.0550,0.0475,162.60M,13.07%
2019年5月30日,0.0420,0.0480,0.0510,0.0403,176.02M,14.31%
2019年5月29日,0.0465,0.0420,0.0478,0.0420,126.97M,-9.66%
2019年5月28日,0.0494,0.0465,0.0501,0.0440,185.59M,-5.95%
2019年5月27日,0.0410,0.0494,0.0519,0.0356,208.55M,20.60%
2019年5月26日,0.0268,0.0410,0.0410,0.0261,203.77M,53.22%
2019年5月25日,0.0290,0.0268,0.0310,0.0253,112.63M,-7.70%
2019年5月24日,0.0290,0.0290,0.0290,0.0290,-,0.00%
2019年5月23日,0.0290,0.0290,0.0291,0.0290,82.59M,0.00%
2019年5月22日,0.0290,0.0290,0.0291,0.0290,84.69M,0.00%
2019年5月21日,0.0290,0.0290,0.0292,0.0290,89.16M,0.00%
2019年5月20日,0.0291,0.0290,0.0296,0.0290,98.47M,-0.34%
2019年5月19日,0.0294,0.0291,0.0296,0.0291,82.59M,-0.99%
2019年5月18日,0.0303,0.0294,0.0307,0.0294,86.19M,-2.87%
2019年5月17日,0.0327,0.0303,0.0334,0.0302,87.70M,-7.25%
2019年5月16日,0.0323,0.0327,0.0359,0.0301,124.14M,1.04%
2019年5月15日,0.0300,0.0323,0.0432,0.0297,185.21M,7.67%
2019年5月14日,0.0337,0.0300,0.0347,0.0300,127.38M,-10.87%
2019年5月13日,0.0371,0.0337,0.0375,0.0335,141.23M,-9.28%
2019年5月12日,0.0366,0.0371,0.0380,0.0362,202.30M,1.36%
2019年5月11日,0.0367,0.0366,0.0381,0.0365,143.74M,-0.27%
2019年5月10日,0.0387,0.0367,0.0393,0.0367,130.76M,-5.05%
2019年5月9日,0.0455,0.0387,0.0455,0.0375,184.69M,-14.97%
2019年5月8日,0.0451,0.0455,0.0502,0.0385,358.69M,1.03%
2019年5月7日,0.0371,0.0451,0.0451,0.0355,301.29M,21.44%
2019年5月6日,0.0405,0.0371,0.0419,0.0330,206.95M,-8.35%
2019年5月5日,0.0471,0.0405,0.0471,0.0400,141.74M,-13.97%
2019年5月4日,0.0535,0.0471,0.0535,0.0465,129.71M,-11.99%
2019年5月3日,0.0512,0.0535,0.0567,0.0455,232.96M,4.35%
2019年5月2日,0.0535,0.0512,0.0540,0.0503,140.46M,-4.32%
2019年5月1日,0.0531,0.0535,0.0551,0.0527,137.81M,0.75%
2019年4月30日,0.0552,0.0531,0.0556,0.0515,159.73M,-3.78%
2019年4月29日,0.0590,0.0552,0.0590,0.0550,132.33M,-6.37%
2019年4月28日,0.0592,0.0590,0.0623,0.0567,43.78M,-0.26%
2019年4月27日,0.0687,0.0592,0.0698,0.0570,90.43M,-13.84%
2019年4月26日,0.0505,0.0687,0.0691,0.0452,222.65M,36.03%
2019年4月25日,0.0581,0.0505,0.0584,0.0500,153.96M,-12.98%
2019年4月24日,0.0659,0.0580,0.0666,0.0575,240.01M,-11.93%
2019年4月23日,0.0650,0.0659,0.0720,0.0607,273.56M,1.54%
2019年4月22日,0.0708,0.0649,0.0716,0.0637,246.04M,-8.70%
2019年4月21日,0.0769,0.0710,0.0773,0.0700,247.45M,-7.61%
2019年4月20日,0.0739,0.0769,0.0804,0.0729,304.19M,4.11%
2019年4月19日,0.0706,0.0739,0.0814,0.0680,265.69M,4.55%
2019年4月18日,0.0832,0.0706,0.0835,0.0620,278.67M,-15.13%
2019年4月17日,0.0840,0.0832,0.0854,0.0814,257.67M,-0.97%
2019年4月16日,0.0796,0.0840,0.0860,0.0795,183.56M,5.52%
2019年4月15日,0.0734,0.0796,0.0809,0.0716,274.96M,8.56%
2019年4月14日,0.0624,0.0734,0.0734,0.0624,236.56M,17.61%
2019年4月13日,0.0548,0.0624,0.0667,0.0502,284.07M,13.83%
2019年4月12日,0.0657,0.0548,0.0670,0.0540,313.95M,-16.53%
2019年4月11日,0.0709,0.0657,0.0718,0.0650,143.88M,-7.40%
2019年4月10日,0.0753,0.0709,0.0770,0.0690,216.49M,-6.09%
2019年4月9日,0.0710,0.0755,0.0820,0.0680,281.51M,6.35%
2019年4月8日,0.0795,0.0710,0.0880,0.0680,300.38M,-10.71%
2019年4月7日,0.0908,0.0795,0.0927,0.0770,155.88M,-12.43%
2019年4月6日,0.1032,0.0908,0.1032,0.0889,138.72M,-12.03%
2019年4月5日,0.0911,0.1032,0.1042,0.0860,174.38M,13.28%
2019年4月4日,0.0761,0.0911,0.1110,0.0450,328.57M,19.69%
2019年4月3日,0.1467,0.0761,0.1488,0.0243,256.96M,-48.11%
2019年4月2日,0.1469,0.1467,0.1488,0.1430,116.38M,0.11%
2019年4月1日,0.1393,0.1465,0.1480,0.1380,112.48M,5.14%
2019年3月31日,0.1380,0.1393,0.1397,0.1355,169.36M,0.97%
2019年3月30日,0.1346,0.1380,0.1380,0.1335,127.69M,2.53%
2019年3月29日,0.1107,0.1346,0.1346,0.1106,221.22M,21.55%
2019年3月28日,0.1043,0.1107,0.1107,0.0993,120.61M,6.13%
2019年3月27日,0.0975,0.1043,0.1043,0.0964,183.77M,7.03%
2019年3月26日,0.0959,0.0975,0.0980,0.0939,160.20M,1.65%
2019年3月25日,0.0740,0.0959,0.0981,0.0725,178.38M,29.60%
2019年3月24日,0.0709,0.0740,0.0741,0.0698,159.35M,4.36%
2019年3月23日,0.0592,0.0709,0.0710,0.0590,142.76M,19.79%
2019年3月22日,0.0559,0.0592,0.0617,0.0559,177.16M,5.81%
2019年3月21日,0.0499,0.0559,0.0560,0.0498,134.98M,12.18%
2019年3月20日,0.0464,0.0499,0.0500,0.0464,163.25M,7.53%
2019年3月19日,0.0430,0.0464,0.0477,0.0420,136.87M,7.89%
2019年3月18日,0.0380,0.0430,0.0430,0.0380,160.37M,13.06%
2019年3月17日,0.0370,0.0380,0.0387,0.0362,121.02M,2.77%
2019年3月16日,0.0340,0.0370,0.0375,0.0338,84.07M,8.79%
2019年3月15日,0.0337,0.0340,0.0342,0.0318,90.97M,0.90%
2019年3月14日,0.0330,0.0337,0.0342,0.0330,56.41M,2.13%
2019年3月13日,0.0322,0.0330,0.0344,0.0317,120.40M,2.56%
2019年3月12日,0.0255,0.0322,0.0360,0.0241,145.73M,26.12%
2019年3月11日,0.0252,0.0255,0.0256,0.0248,77.50M,1.11%
2019年3月10日,0.0226,0.0252,0.0256,0.0224,111.22M,11.90%
2019年3月9日,0.0198,0.0225,0.0228,0.0198,126.18M,13.77%
2019年3月8日,0.0196,0.0198,0.0202,0.0196,73.17M,1.12%
2019年3月7日,0.0201,0.0196,0.0206,0.0193,104.57M,-2.57%
2019年3月6日,0.0179,0.0201,0.0205,0.0178,117.89M,12.39%
2019年3月5日,0.0158,0.0179,0.0181,0.0158,86.90M,13.19%
2019年3月4日,0.0150,0.0158,0.0166,0.0148,113.86M,5.41%
2019年3月3日,0.0128,0.0150,0.0156,0.0127,149.30M,17.21%
2019年3月2日,0.0122,0.0128,0.0130,0.0122,86.68M,4.86%
2019年3月1日,0.0118,0.0122,0.0128,0.0118,112.82M,3.16%
2019年2月28日,0.0119,0.0118,0.0121,0.0114,107.83M,-0.49%
2019年2月27日,0.0117,0.0119,0.0123,0.0117,106.27M,1.42%
2019年2月26日,0.0118,0.0117,0.0121,0.0114,106.89M,0.00%
2019年2月25日,0.0114,0.0118,0.0120,0.0114,99.79M,3.08%
2019年2月24日,0.0114,0.0114,0.0118,0.0113,87.60M,0.00%
2019年2月23日,0.0113,0.0114,0.0115,0.0110,84.54M,0.89%
2019年2月22日,0.0113,0.0113,0.0117,0.0113,52.04M,0.00%
2019年2月21日,0.0113,0.0113,0.0118,0.0113,72.05M,0.00%
2019年2月20日,0.0115,0.0113,0.0116,0.0113,45.11M,-1.32%
2019年2月19日,0.0116,0.0115,0.0118,0.0112,66.95M,-0.94%
2019年2月18日,0.0112,0.0116,0.0122,0.0112,144.80M,2.95%
2019年2月17日,0.0100,0.0112,0.0117,0.0100,130.94M,12.17%
2019年2月16日,0.0112,0.0100,0.0112,0.0094,91.43M,-10.38%
2019年2月15日,0.0098,0.0112,0.0119,0.0094,210.50M,14.02%
2019年2月14日,0.0072,0.0098,0.0098,0.0072,138.96M,35.45%
2019年2月13日,0.0057,0.0072,0.0077,0.0057,179.53M,26.78%
2019年2月12日,0.0048,0.0057,0.0057,0.0045,105.22M,19.18%
2019年2月11日,0.0052,0.0048,0.0052,0.0029,173.25M,-7.23%
2019年2月10日,0.0053,0.0052,0.0055,0.0046,121.69M,-2.62%
2019年2月9日,0.0060,0.0053,0.0062,0.0047,126.73M,-11.24%
2019年2月8日,0.0066,0.0060,0.0072,0.0055,87.61M,-8.85%
2019年2月7日,0.0067,0.0066,0.0087,0.0065,60.49M,-2.25%
2019年2月6日,0.0102,0.0067,0.0103,0.0045,95.17M,-34.41%
2019年2月5日,0.0102,0.0102,0.0103,0.0102,15.46M,0.00%
2019年2月4日,0.0103,0.0102,0.0105,0.0102,39.82M,-0.76%
2019年2月3日,0.0101,0.0103,0.0105,0.0099,87.51M,2.02%
2019年2月2日,0.0102,0.0101,0.0105,0.0099,94.21M,-0.82%
2019年2月1日,0.0100,0.0102,0.0104,0.0099,85.38M,1.46%
2019年1月31日,0.0103,0.0100,0.0106,0.0100,89.07M,-2.32%
2019年1月30日,0.0101,0.0103,0.0108,0.0099,74.88M,1.33%
2019年1月29日,0.0103,0.0101,0.0108,0.0101,70.15M,-1.96%
2019年1月28日,0.0106,0.0103,0.0110,0.0103,84.94M,-2.52%
2019年1月27日,0.0108,0.0106,0.0112,0.0102,83.21M,-1.56%
2019年1月26日,0.0107,0.0108,0.0112,0.0102,79.27M,0.62%
2019年1月25日,0.0106,0.0107,0.0116,0.0102,53.92M,1.03%
2019年1月24日,0.0114,0.0106,0.0118,0.0101,86.56M,-7.13%
2019年1月23日,0.0119,0.0114,0.0119,0.0113,64.77M,-4.41%
2019年1月22日,0.0118,0.0119,0.0120,0.0117,66.62M,1.10%
2019年1月21日,0.0117,0.0118,0.0118,0.0117,67.37M,1.02%
2019年1月20日,0.0115,0.0117,0.0119,0.0114,66.24M,1.25%
2019年1月19日,0.0114,0.0115,0.0116,0.0113,40.24M,1.56%
2019年1月18日,0.0111,0.0114,0.0116,0.0110,46.30M,2.01%
2019年1月17日,0.0107,0.0111,0.0113,0.0107,49.11M,4.17%
2019年1月16日,0.0104,0.0107,0.0109,0.0104,38.89M,2.78%
2019年1月15日,0.0106,0.0104,0.0106,0.0104,33.25M,-2.09%
2019年1月14日,0.0104,0.0106,0.0109,0.0104,45.71M,2.17%
2019年1月13日,0.0104,0.0104,0.0106,0.0104,27.19M,0.00%
2019年1月12日,0.0104,0.0104,0.0109,0.0104,29.71M,0.00%
2019年1月11日,0.0104,0.0104,0.0109,0.0104,31.31M,0.00%
最高: ,差价: ,最低: ,平均: ,涨跌幅: ,,
