日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,1.57456,1.64320,1.65165,1.54156,666.17K,4.36%
2019年6月10日,1.40498,1.57456,1.66681,1.37322,692.85K,12.07%
2019年6月9日,1.41304,1.40497,1.47846,1.37906,250.82K,-0.57%
2019年6月8日,1.41923,1.41301,1.44785,1.35196,220.02K,-0.44%
2019年6月7日,1.26676,1.41923,1.46667,1.23300,317.98K,12.03%
2019年6月6日,1.16093,1.26677,1.32951,1.14046,550.42K,9.12%
2019年6月5日,1.27837,1.16093,1.34369,1.15830,216.18K,-7.88%
2019年6月4日,1.33904,1.26029,1.34039,1.13174,474.58K,-5.88%
2019年6月3日,1.12344,1.33904,1.39940,1.09685,1.05M,19.19%
2019年6月2日,1.16557,1.12344,1.17400,1.10516,114.17K,-3.61%
2019年6月1日,1.19799,1.16556,1.20918,1.11032,175.80K,-2.71%
2019年5月31日,1.15946,1.19799,1.22170,1.12761,138.25K,3.32%
2019年5月30日,1.32437,1.15946,1.35861,1.05167,656.17K,-12.45%
2019年5月29日,1.21953,1.32438,1.36321,1.16566,831.06K,8.60%
2019年5月28日,1.04876,1.21954,1.22567,1.04184,870.60K,16.28%
2019年5月27日,0.96202,1.04876,1.09814,0.92819,819.73K,9.02%
2019年5月26日,0.86267,0.96201,1.03552,0.80118,766.17K,11.52%
2019年5月25日,0.77715,0.86267,0.87937,0.73354,522.73K,11.01%
2019年5月24日,0.74239,0.77710,0.82387,0.70996,204.06K,4.68%
2019年5月23日,0.76872,0.74239,0.77834,0.70000,312.07K,-3.40%
2019年5月22日,0.81800,0.76851,0.82380,0.73059,255.34K,-6.05%
2019年5月21日,0.78919,0.81800,0.86344,0.76585,247.58K,3.65%
2019年5月20日,0.81879,0.78919,0.82766,0.73790,314.42K,-3.62%
2019年5月19日,0.73528,0.81879,0.82450,0.72622,359.68K,11.36%
2019年5月18日,0.75179,0.73528,0.77095,0.70744,222.28K,-2.20%
2019年5月17日,0.78243,0.75179,0.78257,0.65381,443.69K,-3.91%
2019年5月16日,0.84425,0.78243,0.93878,0.75601,683.58K,-7.32%
2019年5月15日,0.79383,0.84425,0.87873,0.78212,482.72K,6.35%
2019年5月14日,0.76377,0.79383,0.84479,0.75035,663.30K,3.94%
2019年5月13日,0.74119,0.76377,0.80694,0.74115,401.62K,3.05%
2019年5月12日,0.81526,0.74119,0.83768,0.73454,636.55K,-9.09%
2019年5月11日,0.78377,0.81526,0.85914,0.74026,669.07K,4.02%
2019年5月10日,0.69826,0.78377,0.78377,0.69826,721.34K,12.25%
2019年5月9日,0.64856,0.69826,0.71249,0.64626,364.00K,7.66%
2019年5月8日,0.61969,0.64856,0.67243,0.60531,301.39K,4.66%
2019年5月7日,0.60376,0.61969,0.65159,0.60253,308.62K,2.64%
2019年5月6日,0.57394,0.60376,0.62452,0.55949,217.80K,5.20%
2019年5月5日,0.58540,0.57394,0.59310,0.56355,93.72K,-1.96%
2019年5月4日,0.59818,0.58540,0.61094,0.57395,174.66K,-2.14%
2019年5月3日,0.57854,0.59818,0.61796,0.56511,252.73K,3.39%
2019年5月2日,0.58294,0.57854,0.58880,0.56354,168.59K,-0.42%
2019年5月1日,0.59892,0.58098,0.60915,0.57820,93.21K,-3.00%
2019年4月30日,0.58200,0.59892,0.60093,0.57382,75.89K,2.91%
2019年4月29日,0.57447,0.58200,0.60121,0.57115,102.76K,1.31%
2019年4月28日,0.57713,0.57447,0.60477,0.56561,152.56K,-0.46%
2019年4月27日,0.55573,0.57713,0.59901,0.55053,194.80K,3.85%
2019年4月26日,0.54086,0.55572,0.57315,0.50099,412.40K,2.75%
2019年4月25日,0.58961,0.54086,0.61560,0.50335,348.84K,-8.27%
2019年4月24日,0.57994,0.58961,0.62605,0.57631,303.63K,1.67%
2019年4月23日,0.63464,0.57994,0.65920,0.57994,292.42K,-8.62%
2019年4月22日,0.61451,0.63464,0.63936,0.59085,251.66K,3.27%
2019年4月21日,0.62332,0.61451,0.63057,0.57291,568.59K,-1.41%
2019年4月20日,0.64880,0.62332,0.64912,0.62121,217.12K,-3.93%
2019年4月19日,0.64550,0.64880,0.65931,0.62138,256.97K,0.51%
2019年4月18日,0.61851,0.64550,0.64582,0.61682,299.92K,4.36%
2019年4月17日,0.61998,0.61851,0.63942,0.61726,168.49K,-0.24%
2019年4月16日,0.58003,0.61998,0.63950,0.54990,1.07M,6.89%
2019年4月15日,0.62328,0.58003,0.62938,0.56033,894.67K,-6.94%
2019年4月14日,0.64132,0.62329,0.64331,0.60095,592.54K,-2.81%
2019年4月13日,0.67079,0.64132,0.67389,0.61067,687.97K,-4.39%
2019年4月12日,0.70856,0.67080,0.71322,0.66811,412.30K,-5.33%
2019年4月11日,0.75300,0.70855,0.76209,0.69954,440.33K,-5.90%
2019年4月10日,0.77029,0.75300,0.79559,0.71513,755.98K,-2.24%
2019年4月9日,0.83139,0.77029,0.86733,0.76059,976.62K,-7.35%
2019年4月8日,0.84343,0.83139,0.86706,0.81377,352.30K,-1.43%
2019年4月7日,0.83801,0.84343,0.88949,0.82122,324.67K,0.65%
2019年4月6日,0.83944,0.83800,0.86177,0.81988,220.87K,-0.17%
2019年4月5日,0.85284,0.83944,0.88385,0.82668,344.33K,-1.57%
2019年4月4日,0.91907,0.85284,1.00414,0.82433,454.43K,-7.21%
2019年4月3日,0.88287,0.91906,1.01939,0.76827,1.24M,4.10%
2019年4月2日,0.66918,0.88287,0.94932,0.66898,1.71M,31.93%
2019年4月1日,0.67600,0.66919,0.68185,0.66809,106.99K,-1.01%
2019年3月31日,0.67596,0.67600,0.68325,0.66667,88.00K,0.01%
2019年3月30日,0.69242,0.67596,0.71654,0.67372,134.30K,-2.38%
2019年3月29日,0.69234,0.69242,0.71146,0.66746,244.09K,0.01%
2019年3月28日,0.70026,0.69234,0.70855,0.66762,326.02K,-1.13%
2019年3月27日,0.67018,0.70025,0.71066,0.65819,239.10K,4.42%
2019年3月26日,0.66155,0.67064,0.67460,0.64667,154.43K,1.37%
2019年3月25日,0.66155,0.66155,0.69140,0.66121,76.91K,0.00%
2019年3月24日,0.68718,0.66155,0.69162,0.65620,59.94K,-3.73%
2019年3月23日,0.68919,0.68718,0.69365,0.65175,73.62K,-0.29%
2019年3月22日,0.69346,0.68919,0.69577,0.67800,68.34K,-0.62%
2019年3月21日,0.71848,0.69346,0.72954,0.68000,187.12K,-3.48%
2019年3月20日,0.73057,0.71847,0.73057,0.69993,102.26K,-1.66%
2019年3月19日,0.71979,0.73057,0.73057,0.70900,39.55K,1.50%
2019年3月18日,0.75009,0.71979,0.76058,0.67795,181.24K,-4.04%
2019年3月17日,0.74347,0.75009,0.76681,0.73203,71.76K,0.89%
2019年3月16日,0.75993,0.74347,0.78709,0.73499,118.62K,-2.17%
2019年3月15日,0.75190,0.75993,0.77068,0.74366,168.37K,1.07%
2019年3月14日,0.71740,0.75190,0.75956,0.70444,331.47K,4.81%
2019年3月13日,0.67000,0.71740,0.74893,0.66215,407.43K,7.07%
2019年3月12日,0.66706,0.67001,0.69915,0.63000,329.42K,0.44%
2019年3月11日,0.68277,0.66706,0.69568,0.66046,41.70K,-2.30%
2019年3月10日,0.68962,0.68277,0.69989,0.65335,58.65K,-1.00%
2019年3月9日,0.67100,0.68964,0.72485,0.67100,119.86K,2.78%
2019年3月8日,0.66565,0.67100,0.69998,0.64284,132.04K,0.80%
2019年3月7日,0.66963,0.66565,0.69292,0.63258,112.14K,-0.59%
2019年3月6日,0.65524,0.66963,0.67982,0.64069,113.78K,2.19%
2019年3月5日,0.60747,0.65525,0.66969,0.59122,156.54K,7.86%
2019年3月4日,0.69106,0.60747,0.70273,0.50000,657.80K,-12.10%
2019年3月3日,0.68799,0.69106,0.73792,0.67592,170.20K,0.45%
2019年3月2日,0.68792,0.68799,0.70999,0.68789,88.45K,0.01%
2019年3月1日,0.69398,0.68792,0.69998,0.67669,25.65K,-0.88%
2019年2月28日,0.69869,0.69404,0.70987,0.67669,83.75K,-0.67%
2019年2月27日,0.69998,0.69869,0.70780,0.67497,108.94K,-0.18%
2019年2月26日,0.67875,0.69997,0.71963,0.66968,140.27K,3.13%
2019年2月25日,0.65000,0.67875,0.68969,0.65000,62.71K,4.42%
2019年2月24日,0.67613,0.65000,0.73498,0.64506,328.09K,-3.86%
2019年2月23日,0.64267,0.67612,0.69316,0.63266,155.40K,5.20%
2019年2月22日,0.62519,0.64267,0.64995,0.62497,75.98K,2.80%
2019年2月21日,0.62910,0.62519,0.64967,0.61920,51.52K,-0.62%
2019年2月20日,0.62001,0.62910,0.64977,0.61788,100.06K,1.47%
2019年2月19日,0.63023,0.62001,0.64311,0.59456,281.32K,-1.62%
2019年2月18日,0.58998,0.63023,0.64949,0.58136,176.41K,6.82%
2019年2月17日,0.57033,0.58999,0.60105,0.57004,47.68K,3.45%
2019年2月16日,0.56996,0.57033,0.58222,0.55900,16.35K,0.07%
2019年2月15日,0.57435,0.56996,0.59774,0.55717,65.98K,-0.77%
2019年2月14日,0.57659,0.57435,0.58675,0.56742,25.97K,-0.39%
2019年2月13日,0.59297,0.57659,0.59872,0.57659,52.38K,-2.76%
2019年2月12日,0.55302,0.59298,0.61293,0.55302,156.03K,7.23%
