日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,184.08,185.70,186.00,181.20,0.18K,0.88%
2019年6月10日,177.26,184.08,184.50,177.26,0.18K,3.85%
2019年6月9日,186.49,177.26,190.50,167.60,0.29K,-4.95%
2019年6月8日,189.81,186.49,192.06,176.00,0.65K,-1.68%
2019年6月7日,186.64,189.67,191.89,180.47,0.84K,1.62%
2019年6月6日,192.59,186.64,192.67,177.55,0.83K,-3.09%
2019年6月5日,186.88,192.59,192.75,170.00,1.07K,2.86%
2019年6月4日,203.23,187.23,203.23,179.51,0.96K,-7.87%
2019年6月3日,220.13,203.23,227.00,199.61,0.96K,-7.68%
2019年6月2日,227.29,220.13,242.96,213.05,0.73K,-3.15%
2019年6月1日,242.69,227.29,249.95,222.50,0.79K,-6.35%
2019年5月31日,223.49,242.69,242.82,223.27,0.37K,8.59%
2019年5月30日,245.62,223.49,255.19,220.00,0.78K,-9.01%
2019年5月29日,274.00,245.62,275.10,240.00,0.74K,-10.36%
2019年5月28日,262.21,274.00,277.00,236.35,0.99K,4.50%
2019年5月27日,232.05,262.21,281.86,228.00,1.05K,13.00%
2019年5月26日,202.52,232.05,244.68,202.16,1.02K,14.58%
2019年5月25日,178.83,202.52,229.60,175.14,1.72K,13.36%
2019年5月24日,179.17,178.65,180.90,175.02,0.78K,-0.27%
2019年5月23日,175.63,179.13,180.00,166.00,0.62K,1.99%
2019年5月22日,171.67,175.63,176.20,166.52,0.63K,2.31%
2019年5月21日,174.34,171.67,176.23,165.31,0.33K,-1.53%
2019年5月20日,179.37,174.34,179.38,168.90,0.83K,-2.80%
2019年5月19日,167.08,179.36,179.42,165.30,0.52K,7.35%
2019年5月18日,167.45,167.08,172.05,166.22,0.50K,-0.22%
2019年5月17日,178.90,167.45,179.02,164.30,0.35K,-6.41%
2019年5月16日,182.85,178.92,191.47,175.00,0.71K,-2.15%
2019年5月15日,180.89,182.86,188.90,176.90,1.04K,1.09%
2019年5月14日,187.96,180.89,191.43,175.83,0.52K,-3.76%
2019年5月13日,184.14,187.96,192.90,179.33,0.68K,2.07%
2019年5月12日,179.25,184.14,190.90,178.79,0.51K,2.73%
2019年5月11日,169.29,179.25,181.27,167.20,0.66K,5.88%
2019年5月10日,173.19,169.29,173.24,162.00,0.69K,-2.25%
2019年5月9日,176.23,173.19,178.15,171.14,0.17K,-1.91%
2019年5月8日,174.83,176.56,178.15,173.59,1.11K,0.99%
2019年5月7日,178.73,174.83,182.50,173.96,0.62K,-2.18%
2019年5月6日,175.94,178.73,179.14,170.61,0.57K,1.61%
2019年5月5日,178.42,175.89,181.16,175.52,0.59K,-1.42%
2019年5月4日,183.28,178.42,187.64,170.78,0.72K,-2.65%
2019年5月3日,173.61,183.28,189.15,172.86,0.37K,5.57%
2019年5月2日,172.34,173.61,175.00,169.47,0.19K,0.74%
2019年5月1日,172.94,172.34,174.50,170.50,0.46K,-0.38%
2019年4月30日,163.53,173.00,173.90,163.44,0.41K,5.69%
2019年4月29日,172.60,163.68,172.77,162.51,0.47K,-5.17%
2019年4月28日,172.29,172.60,174.91,169.50,0.60K,0.18%
2019年4月27日,172.83,172.29,180.35,170.69,0.60K,-0.31%
2019年4月26日,168.44,172.83,177.35,168.43,0.53K,2.61%
2019年4月25日,174.93,168.44,178.57,165.81,0.23K,-3.71%
2019年4月24日,193.89,174.93,193.91,172.40,0.55K,-9.78%
2019年4月23日,192.54,193.89,196.42,191.89,0.27K,0.70%
2019年4月22日,196.39,192.54,196.48,191.89,0.55K,-1.96%
2019年4月21日,204.85,196.39,205.00,186.76,0.57K,-4.13%
2019年4月20日,201.48,204.85,206.36,201.48,0.03K,1.67%
2019年4月19日,203.25,201.48,207.29,200.61,0.02K,-0.87%
2019年4月18日,203.06,203.25,211.29,198.89,1.03K,0.09%
2019年4月17日,206.64,203.06,209.99,200.02,1.22K,-1.73%
2019年4月16日,209.11,206.64,211.27,200.77,1.47K,-1.18%
2019年4月15日,207.35,209.11,222.18,202.12,1.42K,0.85%
2019年4月14日,205.96,207.35,216.92,199.02,1.42K,0.67%
2019年4月13日,203.68,205.96,209.16,197.98,1.54K,1.12%
2019年4月12日,196.01,203.68,205.89,192.10,1.56K,3.85%
2019年4月11日,214.83,196.13,216.65,191.91,1.56K,-8.70%
2019年4月10日,207.03,214.83,227.68,204.13,1.70K,3.77%
2019年4月9日,207.00,207.03,209.22,198.98,1.64K,0.01%
2019年4月8日,203.58,207.00,211.00,199.72,1.64K,1.68%
2019年4月7日,202.55,203.58,208.54,197.05,1.56K,0.51%
2019年4月6日,204.66,202.55,209.82,194.14,1.57K,-1.03%
2019年4月5日,194.94,204.66,208.90,189.88,1.56K,4.99%
2019年4月4日,170.82,194.94,235.86,168.65,1.86K,13.83%
2019年4月3日,168.35,171.26,186.77,168.30,1.86K,1.73%
2019年4月2日,157.85,168.35,169.77,153.48,1.77K,6.65%
2019年4月1日,153.10,157.85,159.79,152.71,1.55K,3.10%
2019年3月31日,156.93,153.10,156.93,151.75,1.66K,-2.44%
2019年3月30日,159.58,156.93,160.10,156.16,1.55K,-1.66%
2019年3月29日,158.23,159.58,160.10,154.14,1.56K,0.88%
2019年3月28日,155.10,158.19,158.95,153.48,1.69K,1.92%
2019年3月27日,146.43,155.21,155.50,146.13,1.88K,6.00%
2019年3月26日,144.42,146.43,146.55,143.47,1.56K,1.39%
2019年3月25日,145.26,144.42,148.76,143.00,1.79K,-0.58%
2019年3月24日,144.31,145.26,146.00,143.63,1.74K,0.66%
2019年3月23日,142.57,144.31,145.26,141.31,1.44K,1.22%
2019年3月22日,142.15,142.57,144.83,141.30,1.60K,0.30%
2019年3月21日,147.94,142.15,148.48,140.00,1.67K,-3.91%
2019年3月20日,148.19,147.94,149.69,143.37,1.70K,-0.17%
2019年3月19日,147.58,148.19,150.44,147.36,1.58K,0.41%
2019年3月18日,146.40,147.58,149.46,146.06,1.59K,0.81%
2019年3月17日,149.72,146.40,151.44,144.38,1.64K,-2.22%
2019年3月16日,146.03,149.72,150.89,146.02,1.56K,2.53%
2019年3月15日,140.95,146.03,146.05,140.88,1.66K,3.60%
2019年3月14日,139.33,140.95,143.11,138.50,1.68K,1.16%
2019年3月13日,142.03,139.33,143.36,138.50,1.07K,-1.90%
2019年3月12日,138.01,142.03,144.37,134.75,1.82K,2.91%
2019年3月11日,145.64,138.01,146.39,136.29,2.83K,-5.24%
2019年3月10日,142.68,145.64,150.10,141.85,2.87K,2.07%
2019年3月9日,142.13,142.68,146.40,141.88,2.16K,0.39%
2019年3月8日,146.04,142.13,161.90,127.50,2.00K,-2.68%
2019年3月7日,145.39,146.04,148.89,140.29,0.86K,0.45%
2019年3月6日,148.02,145.39,150.91,144.53,0.52K,-1.77%
2019年3月5日,134.46,148.02,149.44,131.30,0.70K,10.08%
2019年3月4日,145.44,134.46,146.06,132.00,0.75K,-7.55%
2019年3月3日,141.06,145.44,146.25,140.40,0.49K,3.11%
2019年3月2日,141.73,141.06,146.40,139.67,0.75K,-0.47%
2019年3月1日,145.85,141.73,146.06,139.58,0.88K,-2.87%
2019年2月28日,142.00,145.92,148.43,137.30,0.86K,2.76%
2019年2月27日,137.57,142.00,148.89,136.53,0.89K,3.22%
2019年2月26日,139.57,137.57,144.68,134.37,0.92K,-1.43%
2019年2月25日,138.81,139.57,146.87,130.00,2.11K,0.55%
2019年2月24日,162.50,138.81,166.98,127.50,2.12K,-14.58%
2019年2月23日,153.74,162.50,162.94,153.33,0.93K,5.70%
2019年2月22日,143.71,153.74,156.00,141.50,0.86K,6.98%
2019年2月21日,152.00,143.71,154.26,141.00,0.89K,-5.46%
2019年2月20日,148.06,152.00,154.56,141.00,1.00K,2.66%
2019年2月19日,139.79,148.06,151.60,137.00,0.97K,5.91%
2019年2月18日,124.30,139.79,145.21,124.30,0.98K,12.47%
2019年2月17日,119.91,124.30,127.94,118.00,0.89K,3.66%
2019年2月16日,114.63,119.91,125.00,113.64,0.85K,4.61%
2019年2月15日,118.00,114.63,120.00,112.00,0.73K,-2.85%
2019年2月14日,120.00,118.00,120.00,114.00,0.42K,-1.67%
2019年2月13日,118.97,120.00,120.00,113.00,0.55K,0.86%
2019年2月12日,107.39,118.97,120.00,105.60,1.02K,10.78%
2019年2月11日,105.12,107.39,115.00,101.88,0.70K,2.16%
2019年2月10日,106.18,105.12,106.99,100.30,2.14K,-1.00%
2019年2月9日,102.95,106.18,106.30,102.30,2.12K,3.13%
2019年2月8日,94.87,102.95,104.50,94.11,0.88K,8.52%
2019年2月7日,93.88,94.87,95.59,93.48,0.57K,1.05%
2019年2月6日,96.86,93.88,96.87,93.32,0.36K,-3.07%
2019年2月5日,97.25,96.86,97.90,96.27,0.42K,-0.40%
2019年2月4日,94.57,97.25,97.30,94.56,0.40K,2.83%
2019年2月3日,95.43,94.57,96.90,94.30,0.29K,-0.90%
2019年2月2日,93.50,95.43,96.10,93.32,0.16K,2.06%
2019年2月1日,93.22,93.50,94.50,91.30,3.20K,0.30%
2019年1月31日,92.82,93.22,93.45,91.58,13.52K,0.43%
2019年1月30日,93.14,92.82,93.75,91.29,5.36K,-0.34%
2019年1月29日,88.12,93.14,97.99,88.12,2.76K,5.70%
2019年1月28日,98.66,88.12,105.00,83.38,0.21K,-10.68%
2019年1月27日,92.80,98.66,105.97,90.19,0.21K,6.31%
2019年1月26日,98.81,92.80,112.34,92.50,0.28K,-6.08%
2019年1月25日,102.14,98.81,110.66,91.80,0.13K,-3.26%
2019年1月24日,92.05,102.14,116.57,91.93,0.44K,10.96%
2019年1月23日,120.00,92.05,127.18,91.00,0.59K,-23.29%
2019年1月22日,125.95,120.00,125.95,100.65,1.94K,-4.73%
2019年1月21日,92.81,125.95,145.53,92.50,2.05K,35.71%
2019年1月20日,99.22,92.81,111.00,91.80,0.49K,-5.90%
2019年1月19日,96.96,98.63,107.39,95.00,0.31K,1.72%
2019年1月18日,97.27,96.96,100.99,90.94,0.70K,-0.31%
2019年1月17日,93.00,97.27,101.00,88.43,0.56K,4.59%
2019年1月16日,93.00,93.00,93.00,90.02,0.19K,0.00%
2019年1月15日,104.00,93.00,104.00,93.00,0.44K,-10.58%
2019年1月14日,91.58,104.00,104.89,84.20,0.42K,13.11%
2019年1月13日,91.45,91.95,103.00,78.92,0.45K,0.55%
2019年1月12日,103.00,91.45,104.17,84.62,0.21K,-11.22%
2019年1月11日,99.47,103.00,107.13,89.50,0.38K,3.55%
2019年1月10日,111.40,99.47,111.40,84.76,0.35K,-10.71%
2019年1月9日,97.83,111.40,"2,568.51",90.51,0.43K,13.87%
2019年1月8日,97.83,97.83,97.83,97.83,-,0.00%
2019年1月7日,94.55,97.83,97.83,92.95,0.66K,4.29%
2019年1月6日,93.03,93.80,95.21,92.95,0.51K,0.83%
2019年1月5日,92.33,93.03,94.98,90.22,0.67K,0.76%
2019年1月4日,87.73,92.33,94.72,85.81,0.69K,5.25%
2019年1月3日,94.27,87.73,160.09,86.28,1.73K,-6.94%
2019年1月2日,84.42,94.27,98.49,83.67,7.89K,11.68%
2019年1月1日,81.55,84.42,90.16,80.55,11.84K,3.51%
2018年12月31日,82.10,81.55,89.82,79.40,8.88K,-0.67%
2018年12月30日,81.68,82.10,84.84,78.43,0.79K,0.52%
2018年12月29日,84.38,81.68,90.77,79.48,0.65K,-2.91%
2018年12月28日,72.76,84.13,90.16,70.66,0.53K,15.63%
2018年12月27日,82.91,72.76,84.80,70.67,0.67K,-12.24%
2018年12月26日,81.44,82.91,87.66,76.96,0.66K,1.80%
2018年12月25日,89.16,81.44,89.16,75.57,0.55K,-7.86%
2018年12月24日,91.15,88.39,99.70,86.47,0.55K,-2.25%
2018年12月23日,83.44,90.43,95.98,81.91,1.14K,8.38%
2018年12月22日,82.13,83.44,85.11,79.84,0.54K,1.59%
2018年12月21日,88.09,82.13,89.94,77.45,0.41K,-6.76%
2018年12月20日,84.58,88.09,88.33,77.90,-,4.15%
2018年12月19日,83.01,84.58,90.86,81.84,-,1.89%
2018年12月18日,78.92,83.01,85.13,78.56,0.24K,5.19%
2018年12月17日,66.33,78.92,82.01,66.28,-,18.98%
2018年12月16日,63.14,66.33,68.15,62.95,-,5.04%
2018年12月15日,63.47,63.14,64.25,61.84,-,-0.52%
2018年12月14日,63.10,63.47,65.88,60.71,-,0.59%
2018年12月13日,63.94,63.10,65.72,62.26,-,-1.32%
2018年12月12日,61.45,63.94,65.12,61.34,-,4.06%
2018年12月11日,63.20,61.45,63.51,60.45,-,-2.77%
2018年12月10日,64.42,63.20,68.79,61.30,-,-1.90%
2018年12月9日,62.22,64.42,70.43,59.39,-,3.54%
2018年12月8日,58.86,62.22,66.12,58.86,-,5.71%
2018年12月7日,64.60,58.86,64.61,54.95,-,-8.88%
2018年12月6日,70.81,64.60,73.62,64.16,-,-8.77%
2018年12月5日,76.10,70.81,76.39,70.81,-,-6.95%
2018年12月4日,74.97,76.10,80.19,72.29,-,1.51%
2018年12月3日,79.27,74.97,83.01,74.37,-,-5.43%
2018年12月2日,81.68,79.27,86.03,78.06,-,-2.94%
2018年12月1日,80.83,81.68,85.12,77.78,-,1.05%
2018年11月30日,82.06,80.83,82.92,75.50,-,-1.50%
2018年11月29日,87.74,82.06,88.29,78.46,-,-6.48%
2018年11月28日,81.28,87.74,89.53,80.03,-,7.95%
2018年11月27日,83.13,81.28,84.91,76.21,-,-2.23%
2018年11月26日,88.53,83.13,90.50,80.41,-,-6.10%
2018年11月25日,84.96,88.53,90.58,78.93,-,4.21%
2018年11月24日,92.80,84.96,98.68,82.77,-,-8.45%
2018年11月23日,97.83,92.80,98.04,90.58,-,-5.15%
2018年11月22日,102.48,97.83,106.50,96.49,-,-4.53%
2018年11月21日,92.65,102.48,104.31,87.23,-,10.62%
2018年11月20日,111.80,92.65,116.78,86.72,-,-17.13%
2018年11月19日,128.00,111.80,128.42,108.04,-,-12.66%
2018年11月18日,124.45,128.00,131.45,124.45,-,2.85%
2018年11月17日,128.02,124.45,128.97,121.99,-,-2.79%
2018年11月16日,132.64,128.02,134.85,126.21,-,-3.48%
2018年11月15日,132.10,132.64,134.58,125.56,-,0.41%
2018年11月14日,151.30,132.10,151.43,127.50,-,-12.69%
2018年11月13日,159.27,151.30,159.29,143.47,-,-5.01%
2018年11月12日,146.15,159.27,160.55,144.95,-,8.98%
2018年11月11日,141.81,146.15,146.80,141.06,-,3.06%
2018年11月10日,139.42,141.81,150.44,124.34,-,1.71%
2018年11月9日,143.11,139.42,144.64,135.64,-,-2.58%
2018年11月8日,147.48,143.11,148.25,138.21,-,-2.96%
2018年11月7日,140.46,147.48,153.05,139.66,-,5.00%
2018年11月6日,139.14,140.46,140.46,136.03,-,0.94%
2018年11月5日,134.24,139.14,145.74,132.12,-,3.65%
2018年11月4日,135.62,134.24,136.39,131.38,-,-1.02%
2018年11月3日,135.74,135.62,139.56,131.46,-,-0.09%
2018年11月2日,135.35,135.74,136.84,130.47,-,0.29%
2018年11月1日,128.64,135.35,139.85,127.40,-,5.22%
2018年10月31日,121.56,128.64,138.77,121.43,-,5.82%
2018年10月30日,125.16,121.56,126.61,121.22,-,-2.87%
2018年10月29日,128.44,125.16,128.65,124.10,-,-2.56%
2018年10月28日,128.93,128.44,129.82,126.80,-,-0.38%
2018年10月27日,129.39,128.93,129.93,126.76,-,-0.35%
2018年10月26日,130.13,129.39,130.49,129.05,-,-0.57%
2018年10月25日,129.11,130.13,130.44,127.17,-,0.79%
2018年10月24日,129.38,129.11,131.48,127.55,-,-0.21%
2018年10月23日,129.93,129.38,130.28,128.49,-,-0.42%
2018年10月22日,126.23,129.93,131.13,125.89,-,2.93%
2018年10月21日,124.94,126.23,130.31,124.90,-,1.03%
2018年10月20日,125.42,124.94,126.94,124.47,-,-0.39%
2018年10月19日,123.96,125.42,126.18,121.31,-,1.18%
2018年10月18日,124.20,123.96,127.17,123.19,-,-0.19%
2018年10月17日,126.37,124.20,129.85,123.84,-,-1.72%
2018年10月16日,128.30,126.37,132.65,125.81,-,-1.51%
2018年10月15日,122.01,128.30,145.46,121.35,-,5.16%
2018年10月14日,123.65,122.01,127.30,118.84,-,-1.32%
2018年10月13日,120.75,123.65,125.18,119.26,-,2.41%
2018年10月12日,119.89,120.75,126.87,117.20,-,0.71%
2018年10月11日,129.89,119.89,129.89,117.64,-,-7.70%
2018年10月10日,132.11,129.89,135.50,129.08,-,-1.69%
2018年10月9日,134.26,132.11,135.84,127.57,-,-1.59%
2018年10月8日,136.49,134.26,138.90,129.05,-,-1.63%
2018年10月7日,138.65,136.49,139.19,136.24,-,-1.56%
2018年10月6日,140.22,138.65,141.24,136.65,-,-1.12%
2018年10月5日,140.50,140.22,142.30,138.52,-,-0.20%
2018年10月4日,143.80,140.50,146.67,139.45,-,-2.29%
2018年10月3日,139.51,143.80,144.39,137.16,-,3.07%
2018年10月2日,143.22,139.51,143.58,139.17,-,-2.59%
2018年10月1日,146.73,143.22,149.11,140.42,-,-2.39%
2018年9月30日,146.99,146.73,149.62,143.79,-,-0.17%
2018年9月29日,145.18,146.99,148.60,142.48,-,1.24%
2018年9月28日,145.56,145.18,150.49,143.69,-,-0.26%
2018年9月27日,140.29,145.56,146.43,139.16,-,3.76%
2018年9月26日,134.39,140.29,145.41,133.43,-,4.39%
2018年9月25日,138.95,134.39,138.95,124.22,-,-3.28%
2018年9月24日,140.30,138.95,145.82,134.49,-,-0.96%
2018年9月23日,146.56,140.30,146.83,135.03,-,-4.27%
2018年9月22日,142.56,146.56,148.16,139.39,-,2.81%
2018年9月21日,132.29,142.56,146.31,131.68,-,7.76%
2018年9月20日,133.59,132.29,135.24,126.14,-,-0.97%
2018年9月19日,127.49,133.59,134.81,123.50,-,4.78%
2018年9月18日,131.68,127.49,136.26,118.55,-,-3.19%
2018年9月17日,171.32,131.68,172.20,112.24,-,-23.13%
2018年9月16日,170.29,171.32,173.50,164.56,-,0.60%
2018年9月15日,170.75,170.29,177.57,167.14,-,-0.27%
2018年9月14日,173.62,170.75,178.49,164.82,-,-1.66%
2018年9月13日,159.14,173.62,174.58,157.16,-,9.10%
2018年9月12日,169.17,159.14,169.32,155.19,-,-5.93%
2018年9月11日,170.08,169.17,172.23,167.13,-,-0.53%
2018年9月10日,168.51,170.08,175.86,167.07,-,0.93%
2018年9月9日,170.09,168.51,180.15,151.35,-,-0.93%
2018年9月8日,172.33,170.09,182.59,167.32,-,-1.30%
2018年9月7日,192.36,172.33,197.89,171.81,-,-10.41%
2018年9月6日,205.12,192.36,205.62,185.28,-,-6.22%
2018年9月5日,229.65,205.12,230.67,199.33,-,-10.68%
2018年9月4日,222.88,229.65,234.28,219.08,-,3.04%
2018年9月3日,223.39,222.88,230.05,216.72,-,-0.23%
2018年9月2日,219.56,223.39,227.58,212.41,-,1.74%
2018年9月1日,224.70,219.56,227.58,213.28,-,-2.29%
2018年8月31日,225.91,224.70,227.50,220.30,-,-0.53%
2018年8月30日,232.22,225.91,232.66,216.45,-,-2.72%
2018年8月29日,233.42,232.22,235.53,228.32,-,-0.51%
2018年8月28日,227.81,233.42,234.71,224.92,-,2.46%
2018年8月27日,220.86,227.81,228.08,219.17,-,3.15%
2018年8月26日,221.09,220.86,222.47,215.97,-,-0.11%
2018年8月25日,217.50,221.09,222.84,216.41,-,1.65%
2018年8月24日,215.40,217.50,218.51,210.88,-,0.98%
2018年8月23日,207.29,215.40,219.95,202.18,-,3.91%
2018年8月22日,211.92,207.29,225.70,203.97,-,-2.19%
2018年8月21日,216.29,211.92,218.91,206.49,-,-2.02%
2018年8月20日,220.48,216.29,235.15,212.55,-,-1.90%
2018年8月19日,223.50,220.48,223.56,215.19,-,-1.35%
2018年8月18日,229.91,223.50,241.34,221.05,-,-2.79%
2018年8月17日,218.83,229.91,233.08,218.17,-,5.06%
2018年8月16日,222.98,218.83,237.47,209.02,-,-1.86%
2018年8月15日,216.82,222.98,240.10,208.78,-,2.84%
2018年8月14日,228.45,216.82,238.00,171.96,-,-5.09%
