日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,2.2153,2.1227,2.2272,2.0982,-,-4.18%
2019年6月10日,2.2329,2.2153,2.2483,2.1478,-,-0.79%
2019年6月9日,2.4269,2.2329,2.4532,2.1455,-,-7.92%
2019年6月8日,2.2579,2.4249,2.6503,2.2178,-,7.81%
2019年6月7日,2.3136,2.2492,2.3136,2.0381,-,-2.78%
2019年6月6日,2.5747,2.3136,2.5747,2.0076,-,-10.14%
2019年6月5日,2.9275,2.5747,6.0464,2.4579,-,-12.05%
2019年6月4日,2.6649,2.9275,2.9829,2.4754,-,9.85%
2019年6月3日,2.9093,2.6649,3.0197,2.6222,-,-8.40%
2019年6月2日,3.6140,2.9093,3.7609,2.6473,-,-19.66%
2019年6月1日,2.1205,3.6213,3.7818,2.0986,-,71.95%
2019年5月31日,1.0808,2.1061,3.0088,1.0693,-,94.87%
2019年5月30日,1.1142,1.0808,1.1963,1.0631,-,-3.00%
2019年5月29日,1.0977,1.1142,1.1577,1.0811,-,1.51%
2019年5月28日,1.1056,1.0977,1.1149,1.0673,-,-0.72%
2019年5月27日,1.0731,1.1056,1.4141,1.0629,-,3.03%
2019年5月26日,1.0385,1.0731,1.0979,1.0188,-,3.33%
2019年5月25日,1.0505,1.0386,1.0534,1.0302,-,-1.13%
2019年5月24日,1.0179,1.0505,1.0786,1.0121,-,3.20%
2019年5月23日,1.0023,1.0179,1.0343,0.9742,-,1.56%
2019年5月22日,1.0500,1.0023,1.0599,0.9928,-,-4.55%
2019年5月21日,1.0652,1.0500,1.0781,1.0375,-,-1.43%
2019年5月20日,1.1119,1.0652,1.1119,1.0231,-,-4.20%
2019年5月19日,0.9963,1.1119,1.1500,0.9954,-,11.61%
2019年5月18日,1.0373,0.9963,1.0446,0.9879,-,-4.15%
2019年5月17日,1.0979,1.0394,1.1133,0.9895,-,-5.33%
2019年5月16日,1.0840,1.0979,1.1611,1.0390,-,1.28%
2019年5月15日,1.0607,1.0840,1.1160,1.0298,-,2.19%
2019年5月14日,0.9269,1.0607,1.1908,0.9214,-,14.44%
2019年5月13日,0.9328,0.9269,0.9694,0.9119,-,-0.64%
2019年5月12日,0.9377,0.9328,0.9625,0.9122,-,-1.26%
2019年5月11日,0.8788,0.9448,0.9798,0.8788,-,7.50%
2019年5月10日,0.9329,0.8788,0.9494,0.8497,-,-5.79%
