日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,83.44,84.22,84.87,82.42,250.33K,0.94%
2019年6月9日,87.14,83.44,87.69,82.06,232.42K,-4.27%
2019年6月8日,87.77,87.15,88.32,85.91,237.09K,-0.68%
2019年6月7日,86.65,87.75,89.32,85.27,267.68K,1.28%
2019年6月6日,84.76,86.65,87.06,83.11,257.71K,2.23%
2019年6月5日,83.31,84.76,86.69,82.95,85.01K,1.73%
2019年6月4日,89.07,83.32,89.09,81.34,76.65K,-6.46%
2019年6月3日,94.84,89.08,95.66,88.94,112.29K,-6.06%
2019年6月2日,92.58,94.83,95.98,92.44,73.57K,2.41%
2019年6月1日,93.10,92.60,93.71,91.02,50.20K,-0.54%
2019年5月31日,91.87,93.10,93.34,89.22,80.92K,1.33%
2019年5月30日,93.96,91.87,98.67,88.49,137.81K,-2.22%
2019年5月29日,95.75,93.96,95.77,90.44,133.37K,-1.87%
2019年5月28日,97.73,95.75,98.36,95.46,65.25K,-2.03%
2019年5月27日,91.54,97.73,98.63,91.44,100.12K,6.76%
2019年5月26日,86.77,91.54,92.29,85.13,91.97K,5.43%
2019年5月25日,85.28,86.82,87.19,85.16,71.52K,1.82%
2019年5月24日,84.49,85.28,86.74,83.41,69.56K,0.94%
2019年5月23日,83.15,84.48,85.08,80.78,47.68K,1.60%
2019年5月22日,88.73,83.15,91.13,83.11,109.59K,-6.39%
2019年5月21日,87.26,88.83,92.35,87.25,80.18K,1.75%
2019年5月20日,90.14,87.30,90.14,84.24,96.97K,-3.15%
2019年5月19日,79.71,90.14,90.42,79.52,120.54K,13.09%
2019年5月18日,82.64,79.71,83.17,79.04,62.23K,-3.54%
2019年5月17日,86.94,82.64,87.17,76.85,92.63K,-4.95%
2019年5月16日,93.88,86.94,96.96,84.68,107.77K,-7.45%
2019年5月15日,83.43,93.93,94.78,82.84,96.21K,12.54%
2019年5月14日,79.28,83.47,84.31,79.18,93.53K,5.27%
2019年5月13日,75.54,79.29,82.03,74.72,105.43K,4.96%
2019年5月12日,78.73,75.54,80.73,72.17,119.12K,-4.06%
2019年5月11日,68.97,78.73,81.51,68.97,154.13K,14.21%
2019年5月10日,65.66,68.94,69.25,65.22,88.06K,4.99%
2019年5月9日,68.19,65.66,69.25,64.47,113.32K,-3.71%
2019年5月8日,66.68,68.19,68.44,65.77,106.22K,2.27%
2019年5月7日,67.86,66.68,71.37,66.55,102.54K,-1.74%
2019年5月6日,66.86,67.86,68.54,65.22,97.74K,1.56%
2019年5月5日,68.77,66.82,69.42,66.23,101.84K,-2.84%
2019年5月4日,67.73,68.77,69.31,66.09,82.80K,1.53%
2019年5月3日,65.46,67.73,69.04,65.05,94.69K,3.46%
2019年5月2日,65.87,65.46,66.91,64.54,88.21K,-0.62%
2019年5月1日,62.87,65.87,65.91,62.87,63.83K,4.77%
2019年4月30日,61.15,62.87,62.97,60.95,90.14K,2.84%
2019年4月29日,62.05,61.14,62.50,60.42,112.74K,-1.48%
2019年4月28日,63.14,62.05,63.64,61.61,75.94K,-1.73%
2019年4月27日,62.52,63.14,64.41,62.19,88.04K,0.95%
2019年4月26日,61.41,62.55,65.15,60.22,124.70K,1.85%
2019年4月25日,67.49,61.41,67.49,61.41,115.02K,-9.01%
2019年4月24日,68.60,67.49,70.29,64.67,133.57K,-1.60%
2019年4月23日,68.25,68.59,70.53,67.73,110.22K,0.51%
2019年4月22日,68.31,68.24,68.99,67.65,82.20K,-0.10%
2019年4月21日,69.34,68.31,69.76,66.94,112.54K,-1.48%
2019年4月20日,68.22,69.34,69.89,67.77,112.38K,1.62%
2019年4月19日,68.93,68.23,69.31,67.26,92.33K,-1.03%
2019年4月18日,67.17,68.94,69.71,67.15,117.15K,2.63%
2019年4月17日,68.43,67.17,69.38,66.56,66.02K,-1.89%
2019年4月16日,64.05,68.47,69.69,63.57,98.91K,6.90%
2019年4月15日,66.26,64.05,66.79,63.41,101.39K,-3.33%
2019年4月14日,64.93,66.26,66.91,63.93,163.54K,2.04%
2019年4月13日,65.76,64.93,66.45,63.55,83.82K,-1.26%
2019年4月12日,66.07,65.76,68.34,64.73,139.25K,-0.48%
2019年4月11日,70.76,66.07,70.94,62.14,156.71K,-6.62%
2019年4月10日,67.93,70.76,71.31,67.79,129.64K,4.16%
2019年4月9日,70.67,67.93,70.72,67.37,96.75K,-3.87%
2019年4月8日,69.66,70.67,72.11,67.85,98.07K,1.45%
2019年4月7日,68.03,69.66,69.95,67.77,109.36K,2.39%
2019年4月6日,68.98,68.03,70.09,66.39,87.33K,-1.37%
2019年4月5日,63.67,68.98,68.98,63.55,108.48K,8.33%
2019年4月4日,63.69,63.67,66.30,61.88,137.83K,-0.03%
2019年4月3日,68.40,63.69,69.37,61.33,472.99K,-6.89%
2019年4月2日,59.87,68.41,69.09,58.69,423.26K,14.25%
2019年4月1日,55.92,59.87,59.89,55.72,264.93K,7.08%
2019年3月31日,53.37,55.92,56.57,52.80,223.47K,4.76%
2019年3月30日,53.52,53.37,53.96,52.76,172.74K,-0.28%
2019年3月29日,52.64,53.52,54.07,52.12,207.84K,1.69%
2019年3月28日,53.33,52.64,53.33,52.32,143.61K,-1.30%
2019年3月27日,51.65,53.33,53.49,51.47,144.82K,3.25%
2019年3月26日,51.11,51.65,51.89,49.92,140.48K,1.06%
2019年3月25日,52.28,51.11,52.36,50.26,136.14K,-2.25%
2019年3月24日,52.52,52.28,52.71,51.89,105.90K,-0.45%
2019年3月23日,52.72,52.52,53.14,52.06,107.50K,-0.37%
2019年3月22日,52.12,52.72,53.02,51.88,107.89K,1.14%
2019年3月21日,54.15,52.12,54.16,51.37,144.92K,-3.74%
2019年3月20日,52.83,54.15,54.24,52.16,126.15K,2.49%
2019年3月19日,51.77,52.83,53.33,51.63,80.47K,2.05%
2019年3月18日,52.42,51.77,53.06,51.43,74.55K,-1.23%
2019年3月17日,53.18,52.42,53.20,51.68,96.42K,-1.42%
2019年3月16日,51.68,53.18,54.02,51.67,100.05K,2.90%
2019年3月15日,50.82,51.68,51.98,50.79,121.90K,1.71%
2019年3月14日,50.22,50.81,51.73,49.56,151.09K,1.17%
2019年3月13日,50.07,50.22,50.80,49.67,96.92K,0.32%
2019年3月12日,49.24,50.07,50.07,48.25,86.46K,1.72%
2019年3月11日,49.58,49.22,49.80,48.28,60.88K,-0.72%
2019年3月10日,49.56,49.58,49.72,49.06,32.38K,0.03%
2019年3月9日,48.88,49.56,50.24,48.66,101.36K,1.40%
2019年3月8日,50.05,48.88,50.23,48.25,94.21K,-2.34%
2019年3月7日,49.45,50.05,50.78,49.45,88.98K,1.22%
2019年3月6日,49.12,49.44,49.47,48.39,90.53K,0.65%
2019年3月5日,47.28,49.12,49.23,46.70,107.86K,3.90%
2019年3月4日,48.80,47.28,49.29,46.30,98.73K,-3.10%
2019年3月3日,48.52,48.80,48.95,48.27,30.61K,0.56%
2019年3月2日,48.37,48.52,48.68,47.83,35.43K,0.32%
2019年3月1日,48.05,48.37,48.76,47.98,56.44K,0.73%
2019年2月28日,48.90,48.02,49.25,48.00,55.15K,-1.80%
2019年2月27日,48.05,48.90,48.90,47.50,53.62K,1.76%
2019年2月26日,49.00,48.05,49.02,47.86,47.02K,-1.83%
2019年2月25日,47.79,48.95,49.36,47.79,35.11K,2.42%
2019年2月24日,54.21,47.79,55.94,47.78,86.76K,-11.74%
2019年2月23日,51.73,54.14,54.66,50.96,52.73K,4.87%
2019年2月22日,49.77,51.63,51.74,49.77,32.21K,3.79%
2019年2月21日,51.89,49.75,52.12,49.61,43.22K,-4.08%
2019年2月20日,51.99,51.86,52.73,50.66,53.67K,-0.24%
2019年2月19日,51.41,51.99,53.40,51.19,61.34K,1.11%
2019年2月18日,47.96,51.42,52.12,47.87,53.08K,7.21%
2019年2月17日,46.74,47.96,48.06,46.61,33.23K,2.61%
2019年2月16日,47.36,46.74,48.45,46.74,35.93K,-1.05%
2019年2月15日,46.82,47.23,48.42,46.65,47.36K,0.87%
2019年2月14日,49.13,46.82,49.59,45.97,71.31K,-4.69%
2019年2月13日,48.81,49.13,50.78,48.79,66.13K,0.65%
2019年2月12日,48.16,48.81,49.26,47.42,37.95K,1.36%
2019年2月11日,49.75,48.16,49.83,47.14,46.91K,-3.20%
2019年2月10日,48.52,49.75,49.77,46.96,43.40K,2.52%
2019年2月9日,48.31,48.52,49.08,47.89,39.89K,0.45%
2019年2月8日,43.37,48.31,50.04,43.37,70.60K,11.40%
2019年2月7日,43.25,43.37,43.95,43.19,32.98K,0.26%
2019年2月6日,43.40,43.25,43.83,42.44,44.00K,-0.33%
2019年2月5日,42.85,43.40,43.60,42.80,39.24K,1.39%
2019年2月4日,43.05,42.81,43.13,42.28,33.36K,-0.56%
2019年2月3日,43.50,43.05,44.01,42.55,60.58K,-1.04%
2019年2月2日,43.73,43.50,43.86,41.85,51.76K,-0.46%
2019年2月1日,43.51,43.70,44.20,42.87,25.32K,0.44%
2019年1月31日,44.03,43.51,44.55,43.23,25.01K,-1.19%
2019年1月30日,43.20,44.03,44.63,42.83,33.43K,1.92%
2019年1月29日,43.58,43.20,43.93,42.66,44.40K,-0.86%
