日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,1.7242,1.7567,1.9721,1.6820,16.68M,1.89%
2019年6月10日,1.3675,1.7242,2.0605,1.3099,22.96M,26.08%
2019年6月9日,1.0995,1.3675,1.3792,1.0966,8.79M,24.36%
2019年6月8日,1.1224,1.0997,1.1282,1.0673,2.64M,-2.02%
2019年6月7日,1.0891,1.1224,1.1412,1.0839,1.75M,3.06%
2019年6月6日,1.0590,1.0891,1.0941,1.0241,1.76M,2.84%
2019年6月5日,1.0251,1.0590,1.0819,1.0211,2.16M,3.34%
2019年6月4日,1.0944,1.0248,1.1036,0.9980,2.29M,-6.36%
2019年6月3日,1.1901,1.0944,1.1909,1.0939,1.91M,-8.05%
2019年6月2日,1.1867,1.1901,1.2093,1.1715,1.81M,0.29%
2019年6月1日,1.1996,1.1867,1.2293,1.1712,2.33M,-1.08%
2019年5月31日,1.1276,1.1996,1.2072,1.0995,2.06M,6.33%
2019年5月30日,1.1528,1.1282,1.2909,1.1127,3.95M,-2.07%
2019年5月29日,1.1910,1.1521,1.2066,1.1230,2.29M,-3.26%
2019年5月28日,1.1869,1.1910,1.2159,1.1682,1.89M,0.34%
2019年5月27日,1.1786,1.1869,1.2490,1.1526,2.78M,0.71%
2019年5月26日,1.1225,1.1786,1.2152,1.1010,2.70M,5.00%
2019年5月25日,1.0999,1.1225,1.1624,1.0968,2.15M,2.06%
2019年5月24日,1.0817,1.0999,1.1319,1.0661,2.39M,1.68%
2019年5月23日,1.0826,1.0817,1.0963,1.0154,2.23M,-0.08%
2019年5月22日,1.1348,1.0826,1.1539,1.0737,2.19M,-4.60%
2019年5月21日,1.0862,1.1348,1.1535,1.0754,2.39M,4.47%
2019年5月20日,1.1661,1.0862,1.1661,1.0516,2.30M,-6.85%
2019年5月19日,1.1488,1.1661,1.2094,1.1169,2.61M,1.51%
2019年5月18日,1.1129,1.1488,1.1539,1.0722,2.12M,3.23%
2019年5月17日,1.1948,1.1129,1.2025,1.0129,2.88M,-6.86%
2019年5月16日,1.2634,1.1948,1.3923,1.1498,4.24M,-5.43%
2019年5月15日,1.1367,1.2634,1.2714,1.1309,3.78M,11.14%
2019年5月14日,1.0237,1.1367,1.1400,1.0195,2.83M,11.04%
2019年5月13日,0.9299,1.0237,1.0420,0.9281,1.97M,10.09%
2019年5月12日,0.9651,0.9299,1.0391,0.9128,3.04M,-3.65%
2019年5月11日,0.8897,0.9651,1.0016,0.8832,2.79M,8.47%
2019年5月10日,0.8776,0.8897,0.9106,0.8620,1.96M,1.38%
2019年5月9日,0.9162,0.8776,0.9247,0.8670,1.81M,-4.21%
2019年5月8日,0.9074,0.9162,0.9442,0.8710,2.12M,0.97%
2019年5月7日,0.9576,0.9074,0.9819,0.9034,2.26M,-5.17%
2019年5月6日,0.9636,0.9568,0.9824,0.9421,1.71M,-0.70%
2019年5月5日,0.9959,0.9636,1.0024,0.9517,1.74M,-3.25%
2019年5月4日,1.0058,0.9959,1.0527,0.9588,2.08M,-0.99%
2019年5月3日,1.0013,1.0059,1.0416,0.9793,2.26M,0.46%
2019年5月2日,1.0245,1.0013,1.0311,0.9994,1.64M,-2.26%
2019年5月1日,1.0205,1.0245,1.0466,0.9992,1.99M,0.40%
2019年4月30日,0.9764,1.0204,1.0235,0.9602,1.72M,4.50%
2019年4月29日,1.0296,0.9764,1.0663,0.9733,1.80M,-5.14%
2019年4月28日,1.0377,1.0293,1.0988,1.0230,1.86M,-0.82%
2019年4月27日,0.9887,1.0377,1.0650,0.9744,2.19M,4.96%
2019年4月26日,0.9967,0.9887,1.0655,0.9646,2.53M,-0.80%
2019年4月25日,1.0677,0.9967,1.0992,0.9902,2.44M,-6.65%
2019年4月24日,1.2020,1.0677,1.2020,1.0110,2.41M,-11.17%
2019年4月23日,1.2254,1.2020,1.2564,1.1812,1.12M,-1.94%
2019年4月22日,1.1989,1.2257,1.2583,1.1589,1.16M,2.23%
2019年4月21日,1.2648,1.1989,1.2712,1.1512,1.13M,-5.21%
2019年4月20日,1.3059,1.2648,1.3069,1.2514,686.88K,-3.14%
2019年4月19日,1.3084,1.3058,1.3322,1.2673,957.38K,-0.20%
2019年4月18日,1.3201,1.3084,1.3552,1.3004,796.76K,-0.88%
2019年4月17日,1.4043,1.3201,1.4096,1.3112,1.36M,-6.19%
2019年4月16日,1.2931,1.4072,1.4635,1.2420,3.57M,8.79%
2019年4月15日,1.3850,1.2935,1.4537,1.2912,2.32M,-6.61%
2019年4月14日,1.4063,1.3850,1.4216,1.3370,1.39M,-1.52%
2019年4月13日,1.4578,1.4063,1.4771,1.3277,2.83M,-3.53%
2019年4月12日,1.2465,1.4578,1.6229,1.1741,6.46M,16.95%
2019年4月11日,1.2685,1.2465,1.2898,1.1289,2.56M,-1.73%
2019年4月10日,1.1312,1.2685,1.2931,1.1259,2.76M,12.14%
2019年4月9日,1.1273,1.1312,1.1616,1.0317,1.55M,0.34%
2019年4月8日,1.2209,1.1273,1.2393,1.0668,1.87M,-7.67%
2019年4月7日,1.2214,1.2209,1.2470,1.1798,1.17M,-0.04%
2019年4月6日,1.2208,1.2214,1.2491,1.2057,1.00M,0.05%
2019年4月5日,1.2193,1.2208,1.2563,1.2083,1.39M,0.12%
2019年4月4日,1.1872,1.2193,1.2570,1.1450,1.96M,2.70%
2019年4月3日,1.1513,1.1872,1.2838,1.1040,3.07M,3.12%
2019年4月2日,1.0760,1.1513,1.1754,1.0441,3.04M,7.01%
2019年4月1日,0.9478,1.0759,1.1178,0.9378,2.63M,13.51%
2019年3月31日,0.9401,0.9478,0.9584,0.9266,970.58K,0.83%
2019年3月30日,0.9630,0.9401,0.9687,0.9205,1.18M,-2.38%
2019年3月29日,0.9244,0.9630,0.9685,0.9238,1.30M,4.17%
2019年3月28日,0.9349,0.9244,0.9410,0.9102,856.31K,-1.12%
2019年3月27日,0.8656,0.9349,0.9469,0.8635,1.10M,8.02%
2019年3月26日,0.8988,0.8656,0.9019,0.8283,1.44M,-3.70%
2019年3月25日,0.9357,0.8988,0.9537,0.8644,1.56M,-3.95%
2019年3月24日,0.9114,0.9357,0.9520,0.9074,1.99M,2.66%
2019年3月23日,0.8389,0.9114,0.9359,0.8345,1.61M,8.64%
