日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.08427,0.08354,0.08567,0.08299,44.15M,-0.87%
2019年6月10日,0.08119,0.08427,0.08483,0.08023,44.06M,3.80%
2019年6月9日,0.08523,0.08119,0.08549,0.07947,49.21M,-4.65%
2019年6月8日,0.08644,0.08515,0.08843,0.08400,52.95M,-1.58%
2019年6月7日,0.08353,0.08652,0.08799,0.08225,50.74M,3.58%
2019年6月6日,0.08319,0.08353,0.08392,0.07904,50.61M,0.41%
2019年6月5日,0.08180,0.08319,0.08467,0.08031,50.63M,1.70%
2019年6月4日,0.08695,0.08180,0.08911,0.07917,52.02M,-5.93%
2019年6月3日,0.09522,0.08695,0.09725,0.08694,54.49M,-8.68%
2019年6月2日,0.09301,0.09522,0.09615,0.09297,49.14M,2.38%
2019年6月1日,0.09724,0.09301,0.09740,0.09266,50.65M,-4.35%
2019年5月31日,0.08998,0.09724,0.10252,0.08565,54.36M,8.07%
2019年5月30日,0.09016,0.08998,0.10056,0.08570,58.51M,-0.20%
2019年5月29日,0.09142,0.09016,0.09282,0.08570,48.44M,-1.37%
2019年5月28日,0.09110,0.09142,0.09149,0.08754,47.88M,0.35%
2019年5月27日,0.08708,0.09110,0.09272,0.08702,45.27M,4.61%
2019年5月26日,0.08362,0.08708,0.08772,0.08008,47.03M,4.15%
2019年5月25日,0.08470,0.08362,0.08633,0.08263,47.70M,-1.28%
2019年5月24日,0.08021,0.08470,0.08636,0.07995,49.68M,5.40%
2019年5月23日,0.07911,0.08036,0.08125,0.07375,48.66M,1.58%
2019年5月22日,0.08654,0.07911,0.08754,0.07910,50.72M,-8.58%
2019年5月21日,0.08882,0.08654,0.09054,0.08560,52.65M,-2.57%
2019年5月20日,0.09349,0.08882,0.09349,0.08565,51.85M,-4.99%
2019年5月19日,0.08695,0.09349,0.09532,0.08646,52.48M,7.61%
2019年5月18日,0.09074,0.08688,0.09243,0.08644,46.02M,-4.26%
2019年5月17日,0.09934,0.09074,0.10002,0.08151,44.56M,-8.65%
2019年5月16日,0.07904,0.09934,0.11741,0.07680,68.11M,25.67%
2019年5月15日,0.06415,0.07904,0.07921,0.06415,48.99M,23.21%
2019年5月14日,0.05820,0.06415,0.06486,0.05765,35.86M,10.23%
2019年5月13日,0.05554,0.05820,0.05991,0.05511,35.01M,4.79%
2019年5月12日,0.06043,0.05554,0.06071,0.05497,39.46M,-8.10%
2019年5月11日,0.05293,0.06043,0.06129,0.05219,35.93M,14.17%
2019年5月10日,0.05076,0.05293,0.05312,0.05060,28.20M,4.28%
2019年5月9日,0.05275,0.05076,0.05316,0.05045,23.90M,-3.77%
2019年5月8日,0.05256,0.05275,0.05302,0.05190,23.71M,0.37%
2019年5月7日,0.05454,0.05256,0.05539,0.05253,28.97M,-3.65%
2019年5月6日,0.05372,0.05454,0.05490,0.05283,31.18M,1.54%
2019年5月5日,0.05498,0.05372,0.05507,0.05365,30.46M,-2.29%
2019年5月4日,0.05623,0.05498,0.17779,0.05318,29.65M,-2.22%
2019年5月3日,0.05551,0.05623,0.05676,0.05496,30.23M,1.29%
2019年5月2日,0.05531,0.05551,0.05586,0.05510,34.38M,0.36%
2019年5月1日,0.05600,0.05531,0.05642,0.05499,36.35M,-1.23%
2019年4月30日,0.05463,0.05600,0.05651,0.05449,33.93M,2.62%
2019年4月29日,0.05771,0.05457,0.05856,0.05457,34.16M,-5.44%
2019年4月28日,0.05911,0.05771,0.05933,0.05748,29.69M,-2.36%
2019年4月27日,0.05858,0.05911,0.06054,0.05858,32.71M,0.90%
2019年4月26日,0.05777,0.05858,0.05922,0.05680,38.60M,1.40%
2019年4月25日,0.05947,0.05777,0.16759,0.05773,38.17M,-2.86%
2019年4月24日,0.06446,0.05947,0.06455,0.05912,30.21M,-7.74%
2019年4月23日,0.06458,0.06446,0.06591,0.06433,25.96M,-0.17%
2019年4月22日,0.06396,0.06457,0.06494,0.06353,32.50M,0.95%
2019年4月21日,0.06500,0.06396,0.06673,0.06313,33.84M,-1.60%
2019年4月20日,0.06413,0.06500,0.06543,0.06413,30.42M,1.36%
2019年4月19日,0.06530,0.06413,0.06532,0.06389,37.96M,-1.79%
2019年4月18日,0.06485,0.06530,0.06591,0.06470,26.01M,0.70%
2019年4月17日,0.06542,0.06485,0.10178,0.06339,32.91M,-0.87%
2019年4月16日,0.06563,0.06542,0.06607,0.06326,36.73M,-0.31%
2019年4月15日,0.06788,0.06563,0.06854,0.06441,30.39M,-3.32%
