日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,11.479,12.123,12.387,11.368,19.16M,5.58%
2019年6月9日,11.969,11.482,12.030,11.252,18.04M,-4.07%
2019年6月8日,12.188,11.969,12.429,11.686,17.83M,-1.83%
2019年6月7日,11.612,12.191,12.607,11.456,20.69M,4.99%
2019年6月6日,11.527,11.611,11.831,11.050,17.40M,0.73%
2019年6月5日,11.471,11.527,11.763,11.191,24.16M,0.49%
2019年6月4日,12.525,11.471,12.525,11.052,26.49M,-8.41%
2019年6月3日,14.095,12.525,14.109,12.525,21.74M,-11.14%
2019年6月2日,13.724,14.095,14.156,13.623,16.52M,2.67%
2019年6月1日,13.562,13.729,14.355,13.306,23.73M,1.21%
2019年5月31日,12.611,13.564,13.615,12.236,23.59M,7.56%
2019年5月30日,13.581,12.611,15.119,12.220,33.75M,-7.11%
2019年5月29日,12.676,13.576,14.374,11.859,29.28M,7.10%
2019年5月28日,12.396,12.676,12.792,11.950,19.11M,2.23%
2019年5月27日,11.834,12.400,12.754,11.830,19.13M,4.77%
2019年5月26日,11.422,11.835,12.056,11.136,15.42M,3.61%
2019年5月25日,11.505,11.423,11.693,11.333,12.12M,-0.71%
2019年5月24日,11.410,11.505,11.887,11.070,15.84M,0.84%
2019年5月23日,11.157,11.409,11.463,10.734,17.47M,2.21%
2019年5月22日,12.095,11.163,12.299,11.115,18.56M,-7.70%
2019年5月21日,12.013,12.095,12.548,11.695,16.77M,0.68%
2019年5月20日,11.647,12.012,12.435,10.782,25.27M,3.21%
2019年5月19日,10.722,11.639,11.898,10.672,19.93M,8.56%
2019年5月18日,11.256,10.722,11.403,10.603,20.13M,-4.72%
2019年5月17日,12.088,11.253,12.242,10.483,26.80M,-6.90%
2019年5月16日,12.822,12.087,13.749,11.455,33.19M,-5.73%
2019年5月15日,11.093,12.822,12.916,10.993,22.31M,15.59%
2019年5月14日,9.734,11.092,11.118,9.684,25.79M,13.97%
2019年5月13日,9.321,9.733,9.991,9.260,19.15M,4.41%
2019年5月12日,9.781,9.322,10.157,9.046,21.68M,-4.74%
2019年5月11日,8.760,9.785,10.429,8.759,23.61M,11.70%
2019年5月10日,8.625,8.760,8.990,8.328,19.78M,1.56%
2019年5月9日,8.991,8.625,9.182,8.508,18.42M,-4.06%
2019年5月8日,8.932,8.991,9.072,8.740,14.40M,0.66%
2019年5月7日,9.132,8.932,9.440,8.913,17.99M,-2.19%
2019年5月6日,9.245,9.132,9.402,8.807,18.34M,-1.23%
2019年5月5日,9.493,9.245,9.616,9.198,16.89M,-2.40%
2019年5月4日,9.968,9.473,10.189,9.222,16.98M,-4.97%
2019年5月3日,9.884,9.968,10.174,9.710,17.90M,1.40%
2019年5月2日,9.665,9.831,10.125,9.585,14.35M,1.73%
2019年5月1日,9.729,9.664,9.884,9.431,14.39M,-0.67%
2019年4月30日,9.437,9.729,9.771,9.314,14.47M,3.10%
2019年4月29日,9.364,9.437,9.966,9.275,17.23M,0.78%
2019年4月28日,9.550,9.363,9.727,9.241,13.64M,-1.95%
2019年4月27日,9.507,9.550,9.770,9.307,13.05M,0.45%
2019年4月26日,9.600,9.507,9.959,9.165,16.62M,-0.75%
2019年4月25日,9.916,9.579,10.337,9.485,16.32M,-3.40%
2019年4月24日,10.234,9.916,10.349,9.354,17.93M,-3.11%
2019年4月23日,10.735,10.234,11.045,10.234,14.27M,-4.67%
2019年4月22日,10.475,10.735,10.926,10.368,12.71M,2.24%
2019年4月21日,10.894,10.501,11.011,10.106,12.68M,-3.61%
2019年4月20日,11.040,10.894,11.118,10.755,9.83M,-1.31%
2019年4月19日,11.282,11.039,11.295,10.856,10.80M,-2.16%
2019年4月18日,10.905,11.282,11.385,10.892,11.18M,3.44%
2019年4月17日,10.855,10.907,11.155,10.753,11.60M,0.48%
2019年4月16日,10.672,10.855,11.039,10.574,9.69M,1.70%
2019年4月15日,11.277,10.674,11.405,10.423,10.74M,-5.34%
2019年4月14日,11.026,11.276,11.321,10.750,9.88M,2.26%
2019年4月13日,11.258,11.027,11.323,10.878,10.07M,-2.05%
2019年4月12日,11.181,11.257,11.541,10.593,11.15M,0.68%
2019年4月11日,12.412,11.181,12.438,10.558,14.49M,-10.07%
2019年4月10日,12.076,12.433,12.662,12.032,11.16M,2.95%
2019年4月9日,12.623,12.077,12.630,11.789,10.76M,-4.31%
2019年4月8日,12.836,12.620,13.250,11.955,12.55M,-1.69%
2019年4月7日,13.055,12.836,13.264,12.578,10.94M,-1.67%
2019年4月6日,13.478,13.055,13.478,12.841,10.42M,-3.14%
2019年4月5日,12.775,13.478,13.683,12.648,12.81M,5.50%
2019年4月4日,12.160,12.775,13.574,11.759,19.45M,5.13%
2019年4月3日,11.526,12.152,13.417,11.385,25.27M,5.41%
2019年4月2日,10.043,11.528,11.643,10.040,20.24M,14.80%
2019年4月1日,10.118,10.042,10.162,9.888,9.63M,-0.73%
2019年3月31日,9.951,10.116,10.148,9.690,8.54M,1.66%
2019年3月30日,9.915,9.951,10.277,9.694,12.81M,0.36%
2019年3月29日,9.168,9.915,9.934,9.158,12.53M,8.14%
2019年3月28日,9.245,9.169,9.257,9.103,9.16M,-0.82%
2019年3月27日,8.896,9.245,9.301,8.875,12.99M,3.93%
2019年3月26日,8.932,8.895,8.994,8.652,11.85M,-0.40%
2019年3月25日,9.126,8.931,9.252,8.785,13.00M,-2.14%
2019年3月24日,9.352,9.126,9.359,9.023,11.98M,-2.41%
2019年3月23日,9.159,9.351,9.370,9.096,10.41M,2.09%
2019年3月22日,8.919,9.160,9.254,8.902,11.91M,2.71%
2019年3月21日,9.319,8.918,9.358,8.717,14.60M,-4.31%
2019年3月20日,9.189,9.319,9.323,8.942,13.33M,1.41%
2019年3月19日,9.117,9.189,9.214,8.987,11.72M,0.79%
2019年3月18日,9.202,9.117,9.292,9.012,12.91M,-0.92%
2019年3月17日,9.407,9.202,9.448,9.134,12.21M,-2.20%
2019年3月16日,9.225,9.408,9.701,9.215,14.04M,1.99%
2019年3月15日,9.257,9.225,9.320,9.092,12.55M,-0.34%
2019年3月14日,8.914,9.257,9.294,8.750,14.78M,3.86%
2019年3月13日,8.832,8.913,9.109,8.713,12.87M,0.92%
2019年3月12日,8.705,8.832,8.945,8.412,12.26M,1.46%
2019年3月11日,8.763,8.705,8.851,8.478,14.46M,-0.65%
2019年3月10日,8.980,8.762,9.031,8.675,13.37M,-2.42%
2019年3月9日,8.755,8.980,9.126,8.720,13.47M,2.56%
2019年3月8日,9.152,8.755,9.208,8.646,14.41M,-4.33%
2019年3月7日,8.689,9.152,9.229,8.652,15.03M,5.33%
2019年3月6日,8.742,8.689,8.873,8.589,12.78M,-0.61%
2019年3月5日,8.190,8.742,8.845,8.124,13.61M,6.75%
2019年3月4日,8.626,8.189,8.663,8.010,14.32M,-5.05%
2019年3月3日,8.714,8.625,8.811,8.596,12.80M,-1.05%
2019年3月2日,8.956,8.717,9.071,8.688,10.56M,-2.68%
2019年3月1日,8.845,8.956,9.170,8.795,11.33M,1.27%
2019年2月28日,8.873,8.845,9.009,8.768,12.20M,-0.33%
2019年2月27日,9.046,8.874,9.110,8.660,13.41M,-1.91%
2019年2月26日,9.230,9.046,9.252,8.886,12.55M,-1.99%
2019年2月25日,8.912,9.230,9.413,8.848,17.22M,3.63%
2019年2月24日,10.079,8.907,10.736,8.585,30.52M,-11.63%
2019年2月23日,8.695,10.079,10.146,8.542,18.81M,15.92%
2019年2月22日,8.590,8.695,8.780,8.576,10.52M,1.22%
2019年2月21日,9.122,8.590,9.134,8.509,13.16M,-5.84%
2019年2月20日,8.935,9.123,9.141,8.739,11.54M,2.11%
2019年2月19日,8.793,8.935,9.203,8.668,13.82M,1.59%
2019年2月18日,8.377,8.794,8.860,8.209,12.03M,5.00%
2019年2月17日,7.917,8.376,8.724,7.910,13.09M,5.80%
2019年2月16日,8.080,7.917,8.260,7.892,9.94M,-2.02%
2019年2月15日,7.895,8.080,8.379,7.846,9.57M,2.36%
2019年2月14日,8.250,7.893,8.250,7.762,8.16M,-4.33%
2019年2月13日,8.201,8.250,8.448,8.133,9.15M,0.60%
2019年2月12日,8.098,8.201,8.412,7.910,10.64M,1.19%
2019年2月11日,7.924,8.104,8.281,7.700,10.28M,2.29%
2019年2月10日,7.654,7.923,8.079,7.517,9.06M,3.52%
2019年2月9日,7.560,7.653,7.726,7.468,6.66M,1.24%
2019年2月8日,6.924,7.560,7.779,6.855,9.38M,9.17%
2019年2月7日,6.870,6.924,6.984,6.837,7.22M,0.79%
2019年2月6日,7.004,6.870,7.026,6.749,7.68M,-1.91%
2019年2月5日,7.054,7.004,7.160,6.961,6.54M,-0.71%
2019年2月4日,7.019,7.054,7.218,6.987,1.08M,0.49%
2019年2月3日,7.301,7.019,7.310,6.950,1.28M,-3.87%
2019年2月2日,7.022,7.302,7.317,6.853,1.42M,3.98%
2019年2月1日,6.922,7.022,7.079,6.734,1.23M,1.45%
2019年1月31日,7.126,6.922,7.244,6.802,1.36M,-2.87%
2019年1月30日,6.988,7.126,7.215,6.805,1.16M,1.98%
2019年1月29日,6.940,6.988,7.178,6.701,1.29M,0.74%
2019年1月28日,7.348,6.936,7.384,6.801,1.74M,-5.60%
2019年1月27日,7.448,7.348,7.612,7.218,1.43M,-1.36%
2019年1月26日,7.496,7.449,7.710,7.432,1.16M,-0.63%
2019年1月25日,7.649,7.496,7.700,7.420,2.10M,-2.00%
2019年1月24日,7.486,7.649,7.747,7.486,1.48M,2.17%
2019年1月23日,7.700,7.486,7.738,7.448,780.24K,-2.82%
2019年1月22日,7.432,7.703,7.816,7.203,1.25M,3.66%
2019年1月21日,7.481,7.432,7.619,7.312,844.99K,-0.60%
2019年1月20日,7.962,7.476,8.136,7.308,1.45M,-6.10%
2019年1月19日,7.534,7.962,8.308,7.534,1.49M,5.66%
2019年1月18日,7.710,7.535,7.797,7.443,1.03M,-2.29%
2019年1月17日,7.577,7.712,7.767,7.392,1.55M,1.82%
2019年1月16日,7.511,7.574,7.856,7.444,1.71M,0.84%
2019年1月15日,7.915,7.511,7.949,7.353,1.33M,-5.12%
2019年1月14日,7.097,7.916,7.935,7.097,1.67M,11.54%
2019年1月13日,7.632,7.097,7.804,6.992,1.32M,-7.00%
2019年1月12日,7.841,7.632,7.853,7.558,906.11K,-2.67%
2019年1月11日,7.861,7.841,7.987,7.624,1.37M,-0.26%
2019年1月10日,9.084,7.861,9.471,7.523,3.62M,-13.46%
2019年1月9日,9.099,9.084,9.743,8.999,3.23M,-0.17%
2019年1月8日,8.396,9.099,9.407,8.242,2.98M,8.38%
2019年1月7日,8.591,8.396,8.919,8.335,1.90M,-2.27%
2019年1月6日,7.854,8.591,8.794,7.666,2.18M,9.35%
2019年1月5日,7.617,7.856,7.973,7.617,888.70K,3.89%
2019年1月4日,7.649,7.562,7.766,7.423,782.20K,-1.12%
2019年1月3日,8.030,7.647,8.054,7.516,875.87K,-4.75%
