日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,2.0242,1.9810,2.0330,1.9665,12.24M,-2.13%
2019年6月10日,1.8877,2.0241,2.0252,1.8525,15.82M,7.23%
2019年6月9日,1.9939,1.8877,2.0132,1.8338,14.35M,-5.32%
2019年6月8日,2.0174,1.9939,2.0415,1.9539,16.22M,-1.18%
2019年6月7日,1.9912,2.0177,2.0710,1.9631,15.65M,1.32%
2019年6月6日,1.9720,1.9914,2.0073,1.8869,13.69M,0.98%
2019年6月5日,1.9627,1.9720,2.0211,1.9119,6.78M,0.46%
2019年6月4日,2.0839,1.9630,2.1011,1.9045,9.54M,-5.79%
2019年6月3日,2.3539,2.0835,2.3551,2.0552,14.95M,-11.49%
2019年6月2日,2.2210,2.3541,2.3672,2.2162,12.29M,5.99%
2019年6月1日,2.2593,2.2209,2.3392,2.2026,12.70M,-1.71%
2019年5月31日,2.1698,2.2597,2.2701,2.0975,9.44M,4.14%
2019年5月30日,2.2887,2.1699,2.4772,2.0916,17.87M,-5.19%
2019年5月29日,2.2624,2.2887,2.3424,2.1209,11.57M,1.17%
2019年5月28日,2.2103,2.2623,2.3021,2.1626,8.69M,2.34%
2019年5月27日,2.0720,2.2105,2.2636,2.0566,9.02M,6.69%
2019年5月26日,1.9686,2.0720,2.0832,1.9106,5.29M,5.23%
2019年5月25日,1.9664,1.9691,2.0014,1.9478,3.53M,0.16%
2019年5月24日,1.9060,1.9660,2.0369,1.9037,5.43M,3.08%
2019年5月23日,1.9151,1.9073,1.9639,1.8043,8.33M,-0.41%
2019年5月22日,2.1076,1.9152,2.1436,1.9150,10.71M,-9.13%
2019年5月21日,2.0254,2.1076,2.1370,1.9939,7.76M,4.06%
2019年5月20日,2.0945,2.0254,2.1229,1.8735,10.98M,-3.29%
2019年5月19日,1.8803,2.0944,2.0998,1.8776,8.38M,11.39%
2019年5月18日,1.9595,1.8801,2.0026,1.8679,5.33M,-4.00%
2019年5月17日,2.1609,1.9586,2.1819,1.8349,11.29M,-9.36%
2019年5月16日,2.1836,2.1609,2.4186,2.0554,20.62M,-1.00%
2019年5月15日,1.8728,2.1827,2.2009,1.8664,18.25M,16.55%
2019年5月14日,1.7194,1.8727,1.8834,1.7126,12.15M,8.92%
2019年5月13日,1.6427,1.7193,1.7979,1.6333,8.03M,4.66%
2019年5月12日,1.7545,1.6427,1.8435,1.5922,9.72M,-6.39%
2019年5月11日,1.5910,1.7549,1.8241,1.5884,9.73M,10.36%
2019年5月10日,1.5951,1.5902,1.6239,1.5500,5.11M,-0.30%
2019年5月9日,1.6550,1.5950,1.6762,1.5776,7.18M,-3.64%
2019年5月8日,1.6129,1.6553,1.6873,1.5718,10.21M,2.61%
2019年5月7日,1.6084,1.6131,1.6785,1.6084,9.21M,0.30%
2019年5月6日,1.5716,1.6083,1.6555,1.5117,8.48M,2.34%
2019年5月5日,1.6088,1.5715,1.6217,1.5679,6.96M,-2.33%
2019年5月4日,1.6966,1.6090,1.7746,1.5756,9.76M,-5.17%
2019年5月3日,1.6885,1.6967,1.7249,1.6401,10.36M,0.48%
2019年5月2日,1.6045,1.6886,1.7159,1.5715,9.65M,5.35%
2019年5月1日,1.5727,1.6029,1.6339,1.5703,10.16M,1.92%
2019年4月30日,1.4845,1.5727,1.5732,1.4845,9.87M,5.94%
2019年4月29日,1.5318,1.4845,1.5682,1.4633,10.52M,-3.10%
2019年4月28日,1.5793,1.5320,1.6080,1.5198,9.25M,-3.02%
2019年4月27日,1.5288,1.5797,1.6304,1.4882,11.30M,3.34%
2019年4月26日,1.5062,1.5287,1.5580,1.4418,12.23M,1.50%
2019年4月25日,1.6665,1.5062,1.6978,1.4083,13.01M,-9.62%
2019年4月24日,1.7452,1.6664,1.7529,1.5656,20.61M,-4.52%
2019年4月23日,1.8557,1.7452,1.8764,1.7449,20.69M,-5.99%
2019年4月22日,1.8475,1.8564,1.8761,1.8128,18.02M,0.47%
2019年4月21日,1.9545,1.8477,1.9648,1.7653,12.00M,-5.47%
2019年4月20日,1.9637,1.9546,1.9805,1.9239,8.77M,-0.46%
2019年4月19日,1.9735,1.9635,1.9814,1.9063,9.66M,-0.51%
2019年4月18日,1.9365,1.9735,1.9883,1.9160,8.68M,1.88%
2019年4月17日,1.9138,1.9372,1.9497,1.8780,8.53M,1.21%
2019年4月16日,1.8458,1.9140,1.9523,1.8183,6.05M,3.69%
2019年4月15日,1.9779,1.8459,2.0187,1.7897,11.47M,-6.67%
2019年4月14日,1.9164,1.9779,1.9781,1.8266,10.49M,3.21%
2019年4月13日,1.9684,1.9164,1.9973,1.8975,9.13M,-2.64%
2019年4月12日,1.9928,1.9683,2.0360,1.8607,11.51M,-1.23%
2019年4月11日,2.2271,1.9928,2.2350,1.8748,15.34M,-10.52%
2019年4月10日,2.2372,2.2271,2.3103,2.2045,10.50M,-0.44%
2019年4月9日,2.3298,2.2370,2.3302,2.1889,11.19M,-3.98%
2019年4月8日,2.3369,2.3298,2.4931,2.1914,17.61M,-0.30%
2019年4月7日,2.3337,2.3369,2.3677,2.2637,15.87M,0.19%
2019年4月6日,2.4557,2.3325,2.4563,2.3015,18.35M,-5.03%
2019年4月5日,2.1270,2.4559,2.4698,2.1270,22.07M,15.47%
2019年4月4日,1.9890,2.1269,2.2175,1.9611,21.72M,6.94%
2019年4月3日,2.0759,1.9890,2.2836,1.9490,27.62M,-4.18%
2019年4月2日,1.8362,2.0758,2.0939,1.8172,25.56M,13.05%
2019年4月1日,1.8519,1.8362,1.9162,1.7909,14.59M,-0.85%
2019年3月31日,1.8905,1.8519,1.9200,1.8422,10.76M,-2.04%
2019年3月30日,1.9945,1.8905,2.0229,1.8497,19.23M,-5.17%
2019年3月29日,1.7476,1.9935,2.0547,1.7448,19.92M,14.07%
2019年3月28日,1.7864,1.7476,1.7864,1.7186,12.89M,-2.17%
2019年3月27日,1.6267,1.7863,1.8019,1.6182,16.12M,9.81%
2019年3月26日,1.6651,1.6267,1.6699,1.5643,13.39M,-2.30%
2019年3月25日,1.7263,1.6650,1.7319,1.6070,15.31M,-3.55%
2019年3月24日,1.7885,1.7263,1.8381,1.7112,15.00M,-3.48%
2019年3月23日,1.6599,1.7885,1.7887,1.6361,15.35M,7.75%
2019年3月22日,1.5475,1.6599,1.6827,1.5365,11.55M,7.26%
2019年3月21日,1.5510,1.5475,1.6472,1.4711,18.09M,-0.22%
2019年3月20日,1.4871,1.5510,1.5518,1.4494,11.11M,4.30%
2019年3月19日,1.4881,1.4870,1.5022,1.4645,8.29M,-0.08%
2019年3月18日,1.5031,1.4882,1.5329,1.4389,4.97M,-0.99%
