日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,1.4111,1.4130,1.4342,1.3748,-,0.16%
2019年6月10日,1.3252,1.4107,1.4888,1.3157,-,6.42%
2019年6月9日,1.3239,1.3256,1.3513,1.2668,-,0.12%
2019年6月8日,1.3249,1.3240,1.3641,1.2858,-,-0.28%
2019年6月7日,1.3061,1.3277,1.3554,1.2862,-,1.74%
2019年6月6日,1.3039,1.3050,1.3278,1.2336,-,0.07%
2019年6月5日,1.2564,1.3040,1.3150,1.2402,-,3.96%
2019年6月4日,1.3433,1.2543,1.3480,1.2178,-,-7.02%
2019年6月3日,1.5034,1.3490,1.5034,1.3359,-,-10.33%
2019年6月2日,1.4667,1.5044,1.5417,1.4660,-,2.64%
2019年6月1日,1.5233,1.4657,1.5561,1.4348,-,-3.76%
2019年5月31日,1.4438,1.5230,1.5281,1.3946,-,5.50%
2019年5月30日,1.5341,1.4436,1.7131,1.3878,-,-5.68%
2019年5月29日,1.4806,1.5306,1.6041,1.3879,-,3.42%
2019年5月28日,1.5000,1.4799,1.5423,1.4311,-,-1.30%
2019年5月27日,1.4289,1.4994,1.5414,1.4075,-,5.00%
2019年5月26日,1.3532,1.4280,1.4452,1.3106,-,5.53%
2019年5月25日,1.3427,1.3532,1.3817,1.3309,-,0.74%
2019年5月24日,1.3169,1.3432,1.4007,1.2995,-,2.14%
2019年5月23日,1.3146,1.3152,1.3247,1.2458,-,-0.23%
2019年5月22日,1.3873,1.3182,1.4178,1.2829,-,-5.19%
2019年5月21日,1.3806,1.3904,1.4170,1.3410,-,0.97%
2019年5月20日,1.4195,1.3771,1.4195,1.3050,-,-3.35%
2019年5月19日,1.3097,1.4249,1.4483,1.3074,-,8.75%
2019年5月18日,1.3881,1.3103,1.4013,1.2969,-,-5.82%
2019年5月17日,1.4336,1.3912,1.4614,1.2669,-,-2.98%
2019年5月16日,1.5833,1.4339,1.6646,1.3806,-,-9.45%
2019年5月15日,1.4652,1.5835,1.5967,1.4247,-,8.36%
2019年5月14日,1.2671,1.4613,1.4963,1.2560,-,15.05%
2019年5月13日,1.1559,1.2701,1.3085,1.1496,-,9.88%
2019年5月12日,1.1901,1.1559,1.2342,1.1376,-,-3.26%
2019年5月11日,1.0734,1.1948,1.2505,1.0570,-,11.33%
2019年5月10日,1.0320,1.0732,1.0974,0.9975,-,3.95%
2019年5月9日,1.0884,1.0324,1.1098,1.0312,-,-5.00%
2019年5月8日,1.0842,1.0867,1.1132,1.0642,-,-0.12%
2019年5月7日,1.1245,1.0881,1.1666,1.0876,-,-3.08%
2019年5月6日,1.1323,1.1227,1.1405,1.0714,-,-1.01%
2019年5月5日,1.1414,1.1342,1.1556,1.1103,-,-0.65%
2019年5月4日,1.1900,1.1416,1.2474,1.0866,-,-4.04%
2019年5月3日,1.1565,1.1897,1.2337,1.1465,-,2.79%
2019年5月2日,1.1664,1.1575,1.1866,1.1438,-,-0.74%
2019年5月1日,1.1667,1.1661,1.1850,1.1393,-,-0.04%
2019年4月30日,1.0970,1.1665,1.1719,1.0808,-,6.36%
2019年4月29日,1.1549,1.0968,1.1656,1.0492,-,-5.17%
2019年4月28日,1.1714,1.1565,1.2131,1.1365,-,-1.29%
2019年4月27日,1.0806,1.1716,1.1959,1.0633,-,8.48%
2019年4月26日,1.0319,1.0800,1.0855,0.9914,-,4.68%
2019年4月25日,1.1399,1.0317,1.1587,1.0027,-,-9.24%
2019年4月24日,1.1619,1.1367,1.1782,1.0469,-,-2.53%
2019年4月23日,1.2324,1.1662,1.2915,1.1584,-,-5.46%
2019年4月22日,1.2344,1.2335,1.2547,1.1878,-,-0.06%
2019年4月21日,1.3164,1.2342,1.3287,1.1974,-,-6.24%
2019年4月20日,1.3124,1.3164,1.3288,1.2961,-,0.08%
2019年4月19日,1.3429,1.3153,1.3429,1.2888,-,-2.02%
2019年4月18日,1.3347,1.3424,1.3712,1.3318,-,0.55%
2019年4月17日,1.3293,1.3350,1.3716,1.3182,-,0.53%
2019年4月16日,1.2997,1.3280,1.3376,1.2580,-,1.84%
2019年4月15日,1.3742,1.3040,1.3910,1.2668,-,-5.11%
2019年4月14日,1.3274,1.3742,1.3747,1.2958,-,3.46%
2019年4月13日,1.3494,1.3282,1.3698,1.3061,-,-1.81%
2019年4月12日,1.3273,1.3526,1.3924,1.2458,-,1.43%
