日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.9982,0.9967,0.9982,0.9965,32.62M,-0.14%
2019年6月9日,0.9959,0.9982,0.9983,0.9947,28.87M,0.23%
2019年6月8日,0.9968,0.9958,0.9974,0.9952,40.71M,-0.09%
2019年6月7日,0.9971,0.9968,0.9980,0.9948,66.94M,-0.04%
2019年6月6日,0.9972,0.9971,0.9992,0.9966,59.11M,-0.01%
2019年6月5日,1.0021,0.9972,1.0023,0.9969,31.00M,-0.49%
2019年6月4日,1.0014,1.0021,1.0123,0.9985,45.88M,0.08%
2019年6月3日,0.9980,1.0014,1.0056,0.9969,50.48M,0.36%
2019年6月2日,0.9984,0.9978,0.9991,0.9957,32.63M,-0.04%
2019年6月1日,0.9994,0.9982,1.0017,0.9972,35.41M,-0.12%
2019年5月31日,1.0020,0.9994,1.0044,0.9984,39.91M,-0.26%
2019年5月30日,0.9971,1.0020,1.0209,0.9963,47.45M,0.50%
2019年5月29日,0.9986,0.9971,1.0022,0.9962,37.86M,-0.15%
2019年5月28日,0.9973,0.9986,0.9997,0.9930,36.02M,0.15%
2019年5月27日,0.9871,0.9971,0.9983,0.9863,43.39M,1.01%
2019年5月26日,0.9946,0.9871,0.9958,0.9680,41.54M,-0.75%
2019年5月25日,0.9960,0.9946,0.9972,0.9933,32.44M,-0.15%
2019年5月24日,0.9957,0.9960,0.9971,0.9925,43.91M,0.03%
2019年5月23日,1.0002,0.9957,1.0002,0.9931,38.65M,-0.45%
2019年5月22日,0.9938,1.0002,1.0008,0.9935,44.21M,0.65%
2019年5月21日,0.9926,0.9938,0.9995,0.9908,45.05M,0.12%
2019年5月20日,0.9943,0.9926,1.0011,0.9919,47.67M,-0.17%
2019年5月19日,0.9984,0.9943,0.9993,0.9908,48.10M,-0.42%
2019年5月18日,0.9981,0.9984,0.9992,0.9945,42.70M,0.04%
2019年5月17日,0.9986,0.9980,1.0192,0.9949,64.85M,-0.06%
2019年5月16日,0.9960,0.9986,1.0048,0.9926,47.32M,0.27%
2019年5月15日,0.9974,0.9960,0.9997,0.9931,37.65M,-0.14%
2019年5月14日,0.9980,0.9974,1.0032,0.9917,30.43M,-0.06%
2019年5月13日,1.0023,0.9980,1.0035,0.9925,31.96M,-0.44%
2019年5月12日,1.0033,1.0024,1.0085,0.9957,41.36M,-0.13%
2019年5月11日,1.0059,1.0038,1.0076,0.9973,49.28M,-0.21%
2019年5月10日,1.0069,1.0059,1.0105,1.0045,27.38M,-0.10%
2019年5月9日,1.0085,1.0069,1.0112,1.0047,31.43M,-0.17%
2019年5月8日,1.0164,1.0086,1.0199,1.0072,30.77M,-0.77%
2019年5月7日,1.0108,1.0164,1.0173,1.0059,36.16M,0.55%
2019年5月6日,1.0084,1.0108,1.0124,1.0081,34.95M,0.24%
2019年5月5日,1.0101,1.0084,1.0121,1.0077,24.29M,-0.16%
2019年5月4日,1.0195,1.0101,1.0197,1.0058,35.34M,-0.92%
2019年5月3日,1.0197,1.0195,1.0236,1.0076,51.54M,-0.02%
2019年5月2日,1.0129,1.0197,1.0223,1.0110,26.28M,0.67%
