日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.000842,0.000833,0.000845,0.000830,-,-1.06%
2019年6月10日,0.000800,0.000842,0.000845,0.000790,-,5.02%
2019年6月9日,0.000911,0.000802,0.000915,0.000788,-,-12.05%
2019年6月8日,0.000919,0.000912,0.000927,0.000820,-,-1.02%
2019年6月7日,0.000898,0.000921,0.000934,0.000894,-,2.59%
2019年6月6日,0.000893,0.000898,0.000905,0.000857,-,0.17%
2019年6月5日,0.000885,0.000896,0.000912,0.000798,-,1.22%
2019年6月4日,0.000930,0.000885,0.000930,0.000865,-,-5.29%
2019年6月3日,0.001005,0.000935,0.001005,0.000926,-,-7.00%
2019年6月2日,0.000983,0.001005,0.001092,0.000983,-,2.31%
2019年6月1日,0.000981,0.000983,0.001069,0.000972,-,0.14%
2019年5月31日,0.000951,0.000981,0.001051,0.000933,-,3.23%
2019年5月30日,0.001085,0.000951,0.001111,0.000926,-,-12.40%
2019年5月29日,0.001180,0.001085,0.001180,0.001061,-,-8.07%
2019年5月28日,0.000925,0.001180,0.001180,0.000912,-,27.82%
2019年5月27日,0.000830,0.000924,0.000937,0.000828,-,11.37%
2019年5月26日,0.000765,0.000829,0.000876,0.000756,-,8.45%
2019年5月25日,0.000839,0.000765,0.000854,0.000757,-,-8.90%
2019年5月24日,0.000827,0.000839,0.000855,0.000760,-,1.65%
2019年5月23日,0.000723,0.000826,0.000832,0.000711,-,13.83%
2019年5月22日,0.000833,0.000725,0.000840,0.000713,-,-13.12%
2019年5月21日,0.000759,0.000835,0.000849,0.000745,-,10.10%
2019年5月20日,0.000777,0.000758,0.000778,0.000655,-,-2.55%
2019年5月19日,0.000690,0.000778,0.000786,0.000689,-,12.79%
2019年5月18日,0.000704,0.000690,0.000781,0.000686,-,-2.22%
2019年5月17日,0.000747,0.000706,0.000751,0.000598,-,-5.53%
2019年5月16日,0.000692,0.000747,0.000790,0.000661,-,7.95%
2019年5月15日,0.000677,0.000692,0.000775,0.000668,-,2.30%
2019年5月14日,0.000660,0.000676,0.000696,0.000596,-,2.40%
2019年5月13日,0.000593,0.000661,0.000697,0.000585,-,11.29%
2019年5月12日,0.000678,0.000593,0.000703,0.000583,-,-12.94%
2019年5月11日,0.000612,0.000682,0.000691,0.000612,-,11.45%
2019年5月10日,0.000595,0.000612,0.000619,0.000590,-,2.72%
2019年5月9日,0.000652,0.000595,0.000665,0.000586,-,-8.60%
2019年5月8日,0.000640,0.000651,0.000653,0.000632,-,1.47%
2019年5月7日,0.000633,0.000642,0.000660,0.000633,-,1.39%
2019年5月6日,0.000634,0.000633,0.000699,0.000621,-,-0.34%
2019年5月5日,0.000701,0.000635,0.000702,0.000625,-,-9.41%
2019年5月4日,0.000692,0.000701,0.000709,0.000676,-,1.35%
2019年5月3日,0.000660,0.000692,0.000707,0.000657,-,4.79%
2019年5月2日,0.000704,0.000660,0.000717,0.000656,-,-6.15%
