日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,3.2079,3.1962,3.2736,3.1199,28.32M,-0.36%
2019年6月10日,2.9214,3.2079,3.3818,2.8701,53.71M,9.80%
2019年6月9日,2.9902,2.9214,3.0538,2.8468,26.78M,-2.28%
2019年6月8日,3.1311,2.9896,3.1994,2.9762,22.61M,-4.56%
2019年6月7日,2.9998,3.1323,3.2262,2.9685,22.71M,4.42%
2019年6月6日,3.0212,2.9998,3.0348,2.8731,16.88M,-0.71%
2019年6月5日,2.9603,3.0212,3.0615,2.9080,20.02M,2.06%
2019年6月4日,3.1607,2.9603,3.1755,2.8749,29.77M,-6.34%
2019年6月3日,3.6100,3.1607,3.6145,3.1311,34.05M,-12.45%
2019年6月2日,3.5089,3.6100,3.6673,3.4601,27.81M,2.89%
2019年6月1日,3.2990,3.5086,3.7915,3.2739,60.85M,6.35%
2019年5月31日,3.1175,3.2990,3.3298,3.0188,18.76M,5.82%
2019年5月30日,3.2953,3.1175,3.5641,3.0331,43.10M,-5.41%
2019年5月29日,3.2232,3.2959,3.4206,3.0188,28.88M,2.25%
2019年5月28日,3.2001,3.2232,3.2985,3.0824,25.42M,0.69%
2019年5月27日,3.0619,3.2012,3.2623,3.0214,20.07M,4.54%
2019年5月26日,2.8956,3.0623,3.0736,2.8151,22.12M,5.77%
2019年5月25日,2.9192,2.8953,2.9489,2.8657,20.29M,-0.82%
2019年5月24日,2.8733,2.9192,3.0373,2.8416,20.66M,1.60%
2019年5月23日,2.8579,2.8733,2.8999,2.7260,29.92M,0.48%
2019年5月22日,3.1542,2.8595,3.1724,2.8238,29.50M,-9.34%
2019年5月21日,3.0969,3.1542,3.2475,3.0258,24.52M,1.85%
2019年5月20日,3.1375,3.0968,3.1838,2.8908,43.72M,-1.30%
2019年5月19日,2.8190,3.1375,3.1985,2.8146,29.16M,11.31%
2019年5月18日,2.8852,2.8187,2.9314,2.7416,28.71M,-2.30%
2019年5月17日,3.1391,2.8852,3.1567,2.7109,39.30M,-8.09%
2019年5月16日,3.2565,3.1391,3.5204,2.9703,62.74M,-3.58%
2019年5月15日,2.7880,3.2555,3.2804,2.7803,33.16M,16.75%
2019年5月14日,2.4902,2.7884,2.8220,2.4833,30.44M,11.98%
2019年5月13日,2.4185,2.4902,2.5517,2.3846,20.91M,2.96%
2019年5月12日,2.5584,2.4185,2.6061,2.3582,31.23M,-5.49%
2019年5月11日,2.3557,2.5591,2.6700,2.3432,26.21M,8.64%
2019年5月10日,2.3482,2.3557,2.3797,2.3031,19.50M,0.32%
2019年5月9日,2.4220,2.3483,2.4831,2.3038,21.15M,-3.04%
2019年5月8日,2.3910,2.4220,2.4681,2.3496,15.57M,1.30%
2019年5月7日,2.4235,2.3910,2.5061,2.3777,19.30M,-1.28%
2019年5月6日,2.4547,2.4218,2.4560,2.3210,16.98M,-1.34%
2019年5月5日,2.4873,2.4547,2.5282,2.4168,20.21M,-1.30%
2019年5月4日,2.6114,2.4871,2.6974,2.3755,31.66M,-4.76%
2019年5月3日,2.6026,2.6114,2.6881,2.5349,28.18M,0.34%
2019年5月2日,2.4427,2.6026,2.7948,2.4197,46.72M,6.55%
2019年5月1日,2.4281,2.4427,2.4868,2.3656,20.97M,0.59%
2019年4月30日,2.3100,2.4283,2.4373,2.2782,13.73M,5.13%
2019年4月29日,2.3773,2.3099,2.4212,2.2621,22.68M,-2.84%
2019年4月28日,2.4009,2.3774,2.4092,2.3544,10.93M,-0.98%
2019年4月27日,2.3822,2.4009,2.4248,2.3412,22.17M,0.79%
2019年4月26日,2.3449,2.3822,2.4339,2.2811,28.83M,1.59%
2019年4月25日,2.4941,2.3448,2.5294,2.2904,20.45M,-5.99%
2019年4月24日,2.6413,2.4941,2.6670,2.3992,32.39M,-5.58%
2019年4月23日,2.7487,2.6415,2.8070,2.6408,35.90M,-3.90%
2019年4月22日,2.6985,2.7487,2.7726,2.6513,11.26M,1.86%
2019年4月21日,2.8456,2.6985,2.8714,2.5970,14.90M,-5.17%
2019年4月20日,2.8869,2.8456,2.9405,2.8184,20.34M,-1.43%
2019年4月19日,2.9298,2.8867,2.9327,2.8499,15.81M,-1.48%
2019年4月18日,2.8277,2.9300,2.9872,2.8270,13.75M,3.61%
2019年4月17日,2.8667,2.8278,2.8924,2.8005,14.13M,-1.36%
2019年4月16日,2.7865,2.8667,2.8764,2.7589,13.22M,2.83%
2019年4月15日,2.9310,2.7877,2.9843,2.7733,16.37M,-4.89%
2019年4月14日,2.8738,2.9309,2.9437,2.8109,15.07M,2.07%
2019年4月13日,2.9519,2.8715,2.9721,2.8592,18.42M,-2.72%
2019年4月12日,2.9135,2.9517,2.9955,2.7732,16.09M,1.32%
2019年4月11日,3.2868,2.9132,3.3361,2.7283,19.06M,-11.37%
2019年4月10日,3.2857,3.2868,3.4254,3.2707,18.65M,0.04%
2019年4月9日,3.4503,3.2855,3.4548,3.2320,16.33M,-4.77%
2019年4月8日,3.6136,3.4501,3.6661,3.2587,18.72M,-4.51%
2019年4月7日,3.2777,3.6133,3.6853,3.2657,30.80M,10.23%
2019年4月6日,3.3618,3.2778,3.3696,3.2298,19.42M,-2.58%
2019年4月5日,3.1803,3.3647,3.4330,3.1699,24.14M,5.80%
2019年4月4日,3.2039,3.1801,3.4020,3.0419,30.65M,-0.75%
2019年4月3日,3.2762,3.2040,3.5680,3.0796,70.76M,-2.22%
2019年4月2日,2.9672,3.2767,3.2922,2.8288,25.80M,10.32%
2019年4月1日,2.9309,2.9701,3.0705,2.8814,17.61M,1.34%
2019年3月31日,2.7884,2.9309,3.1080,2.7533,26.27M,5.11%
2019年3月30日,2.7085,2.7884,2.8517,2.6488,12.72M,3.00%
2019年3月29日,2.6448,2.7071,2.7197,2.6047,17.00M,2.41%
2019年3月28日,2.5909,2.6435,2.7484,2.5299,54.46M,2.03%
2019年3月27日,2.4724,2.5909,2.5981,2.4648,17.98M,4.79%
2019年3月26日,2.4765,2.4724,2.4958,2.3714,17.70M,-0.16%
2019年3月25日,2.5969,2.4764,2.6521,2.4255,16.55M,-4.63%
2019年3月24日,2.6740,2.5967,2.6741,2.5594,19.00M,-2.84%
2019年3月23日,2.5289,2.6726,2.7168,2.5190,21.20M,5.66%
2019年3月22日,2.4681,2.5294,2.5576,2.4194,23.96M,2.48%
2019年3月21日,2.5136,2.4681,2.5976,2.3182,30.50M,-1.80%
2019年3月20日,2.4930,2.5134,2.6271,2.4223,109.25M,0.82%
2019年3月19日,2.4614,2.4931,2.5353,2.4528,28.52M,1.28%
