日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.0669,0.0652,0.0671,0.0641,4.62M,-2.66%
2019年6月10日,0.0630,0.0669,0.0676,0.0616,5.07M,6.21%
2019年6月9日,0.0686,0.0630,0.0703,0.0610,5.67M,-8.13%
2019年6月8日,0.0650,0.0686,0.0700,0.0630,5.42M,5.55%
2019年6月7日,0.0632,0.0650,0.0658,0.0630,4.49M,2.78%
2019年6月6日,0.0647,0.0632,0.0658,0.0587,6.00M,-2.18%
2019年6月5日,0.0651,0.0647,0.0667,0.0617,5.00M,-0.65%
2019年6月4日,0.0740,0.0651,0.0757,0.0623,8.94M,-12.06%
2019年6月3日,0.0711,0.0740,0.0783,0.0690,10.16M,3.97%
2019年6月2日,0.0701,0.0712,0.0799,0.0674,9.43M,1.51%
2019年6月1日,0.0600,0.0701,0.0709,0.0597,8.88M,16.79%
2019年5月31日,0.0569,0.0600,0.0619,0.0547,6.83M,5.51%
2019年5月30日,0.0559,0.0569,0.0642,0.0546,9.55M,1.83%
2019年5月29日,0.0547,0.0559,0.0584,0.0527,7.06M,2.17%
2019年5月28日,0.0534,0.0547,0.0550,0.0524,5.53M,2.43%
2019年5月27日,0.0566,0.0534,0.0575,0.0524,5.23M,-5.67%
2019年5月26日,0.0515,0.0566,0.0586,0.0508,11.46M,9.96%
2019年5月25日,0.0521,0.0515,0.0529,0.0510,4.59M,-1.14%
2019年5月24日,0.0521,0.0521,0.0552,0.0515,4.68M,0.00%
2019年5月23日,0.0511,0.0521,0.0548,0.0485,4.45M,1.90%
2019年5月22日,0.0564,0.0512,0.0576,0.0511,4.63M,-9.34%
2019年5月21日,0.0552,0.0564,0.0600,0.0541,6.06M,2.12%
2019年5月20日,0.0553,0.0552,0.0564,0.0525,3.12M,0.00%
2019年5月19日,0.0544,0.0553,0.0577,0.0543,4.33M,1.57%
2019年5月18日,0.0571,0.0544,0.0572,0.0523,3.54M,-4.63%
2019年5月17日,0.0578,0.0570,0.0595,0.0482,5.58M,-1.40%
2019年5月16日,0.0622,0.0579,0.0643,0.0542,5.31M,-6.94%
2019年5月15日,0.0455,0.0622,0.0632,0.0453,6.10M,36.73%
2019年5月14日,0.0458,0.0455,0.0480,0.0439,6.38M,-0.76%
2019年5月13日,0.0477,0.0458,0.0487,0.0456,3.42M,-3.95%
2019年5月12日,0.0487,0.0477,0.0497,0.0471,3.37M,-1.95%
2019年5月11日,0.0467,0.0486,0.0499,0.0456,4.06M,4.15%
2019年5月10日,0.0413,0.0467,0.0490,0.0410,4.16M,13.12%
2019年5月9日,0.0455,0.0413,0.0466,0.0413,3.09M,-9.12%
2019年5月8日,0.0443,0.0454,0.0490,0.0435,2.62M,2.57%
2019年5月7日,0.0486,0.0443,0.0504,0.0441,2.93M,-8.88%
2019年5月6日,0.0496,0.0486,0.0496,0.0472,1.97M,-1.92%
2019年5月5日,0.0493,0.0496,0.0516,0.0481,1.61M,0.54%
2019年5月4日,0.0504,0.0493,0.0505,0.0465,307.54K,-2.10%
2019年5月3日,0.0510,0.0504,0.0525,0.0488,1.71M,-1.42%
2019年5月2日,0.0521,0.0511,0.0522,0.0496,2.33M,-1.96%
2019年5月1日,0.0505,0.0521,0.0552,0.0504,4.40M,3.23%
2019年4月30日,0.0471,0.0505,0.0505,0.0436,5.80M,7.15%
