日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.029740,0.029509,0.030861,0.029345,25.42M,-0.78%
2019年6月10日,0.028394,0.029740,0.029907,0.027688,31.26M,4.82%
2019年6月9日,0.028171,0.028372,0.029953,0.027437,48.37M,0.71%
2019年6月8日,0.029959,0.028171,0.031191,0.027360,19.88M,-5.97%
2019年6月7日,0.026455,0.029959,0.033049,0.026046,63.49M,13.25%
2019年6月6日,0.026363,0.026455,0.026866,0.025282,12.40M,-0.09%
2019年6月5日,0.025444,0.026479,0.028032,0.025311,16.63M,4.28%
2019年6月4日,0.027095,0.025392,0.027095,0.024926,10.01M,-6.29%
2019年6月3日,0.029280,0.027095,0.029925,0.026899,10.93M,-7.46%
2019年6月2日,0.028291,0.029280,0.029313,0.028209,7.02M,3.50%
2019年6月1日,0.028801,0.028291,0.029262,0.027910,8.13M,-1.77%
2019年5月31日,0.027346,0.028801,0.028827,0.026901,8.59M,5.32%
2019年5月30日,0.029689,0.027346,0.032164,0.026919,25.65M,-7.89%
2019年5月29日,0.030898,0.029689,0.030968,0.028469,13.31M,-3.91%
2019年5月28日,0.030275,0.030898,0.033142,0.029292,30.19M,2.06%
2019年5月27日,0.027951,0.030275,0.031379,0.027822,31.67M,8.31%
2019年5月26日,0.026475,0.027951,0.028513,0.026100,19.33M,5.58%
2019年5月25日,0.026593,0.026475,0.026747,0.025901,3.87M,-0.44%
2019年5月24日,0.025986,0.026593,0.026953,0.025834,9.04M,2.34%
2019年5月23日,0.025896,0.025986,0.026163,0.024771,5.65M,0.35%
2019年5月22日,0.026702,0.025896,0.027999,0.025753,10.15M,-3.02%
2019年5月21日,0.025889,0.026702,0.027732,0.025668,9.85M,3.03%
2019年5月20日,0.027037,0.025916,0.027054,0.024722,3.94M,-4.14%
2019年5月19日,0.025535,0.027037,0.027490,0.025403,7.95M,5.88%
2019年5月18日,0.025620,0.025535,0.026617,0.025177,4.41M,-0.33%
2019年5月17日,0.027452,0.025620,0.027895,0.023844,17.84M,-6.64%
2019年5月16日,0.028302,0.027444,0.032498,0.026537,32.08M,-3.03%
2019年5月15日,0.025937,0.028302,0.028430,0.025398,13.25M,9.31%
2019年5月14日,0.022249,0.025892,0.025892,0.022245,11.13M,16.38%
2019年5月13日,0.021784,0.022249,0.023265,0.021672,6.07M,2.13%
2019年5月12日,0.023404,0.021784,0.023647,0.021507,5.90M,-6.92%
2019年5月11日,0.021513,0.023404,0.024038,0.021459,8.34M,8.79%
2019年5月10日,0.021162,0.021513,0.021568,0.020621,4.22M,1.65%
2019年5月9日,0.021831,0.021163,0.022016,0.020882,3.13M,-3.06%
2019年5月8日,0.022139,0.021831,0.022139,0.021269,4.66M,-1.39%
2019年5月7日,0.022357,0.022139,0.023041,0.022024,5.39M,-0.97%
2019年5月6日,0.022007,0.022357,0.022656,0.021471,3.52M,1.59%
2019年5月5日,0.022283,0.022007,0.022448,0.021737,2.32M,-1.24%
2019年5月4日,0.022845,0.022283,0.023496,0.021910,4.45M,-2.42%
2019年5月3日,0.023079,0.022835,0.023493,0.022645,4.41M,-1.06%
2019年5月2日,0.022682,0.023079,0.023132,0.022518,1.86M,1.75%
2019年5月1日,0.022763,0.022682,0.023089,0.022399,2.10M,-0.36%
2019年4月30日,0.021915,0.022763,0.022770,0.021835,2.49M,3.87%
2019年4月29日,0.022848,0.021915,0.023054,0.021729,2.72M,-4.08%
2019年4月28日,0.023047,0.022848,0.023342,0.022717,2.25M,-0.88%
2019年4月27日,0.022748,0.023051,0.023318,0.022454,1.58M,1.33%
2019年4月26日,0.022400,0.022748,0.023176,0.021942,3.74M,1.55%
2019年4月25日,0.023317,0.022400,0.023880,0.022260,3.66M,-3.93%
2019年4月24日,0.024847,0.023317,0.024865,0.022832,8.13M,-6.16%
2019年4月23日,0.026169,0.024847,0.026204,0.024847,5.83M,-5.05%
2019年4月22日,0.025128,0.026169,0.026463,0.024637,5.35M,4.14%
2019年4月21日,0.026258,0.025128,0.026262,0.024297,7.06M,-4.31%
2019年4月20日,0.026414,0.026258,0.026750,0.026124,3.65M,-0.59%
2019年4月19日,0.026983,0.026414,0.027102,0.026287,4.31M,-2.11%
2019年4月18日,0.026275,0.026983,0.027362,0.026234,9.52M,2.69%
2019年4月17日,0.026447,0.026275,0.026813,0.025976,4.59M,-0.65%
2019年4月16日,0.024792,0.026447,0.027952,0.024520,14.94M,6.68%
2019年4月15日,0.026545,0.024792,0.026763,0.024306,10.37M,-6.61%
2019年4月14日,0.025266,0.026545,0.027183,0.025104,12.35M,5.06%
2019年4月13日,0.025143,0.025266,0.025773,0.024909,7.42M,0.49%
2019年4月12日,0.024598,0.025143,0.025375,0.023347,7.05M,2.21%
2019年4月11日,0.027873,0.024598,0.027873,0.023769,18.42M,-11.80%
2019年4月10日,0.027372,0.027890,0.028704,0.027158,9.83M,1.89%
2019年4月9日,0.028398,0.027372,0.028398,0.026461,7.21M,-3.61%
2019年4月8日,0.029107,0.028398,0.029705,0.026859,17.63M,-2.36%
2019年4月7日,0.028730,0.029086,0.029619,0.028374,16.43M,1.24%
2019年4月6日,0.029077,0.028730,0.029852,0.028486,15.28M,-1.19%
2019年4月5日,0.027781,0.029077,0.029175,0.027780,16.38M,4.66%
2019年4月4日,0.028381,0.027781,0.029148,0.027173,17.04M,-2.12%
2019年4月3日,0.027177,0.028381,0.031886,0.027172,46.32M,4.43%
2019年4月2日,0.025342,0.027177,0.027808,0.024706,28.90M,7.24%
2019年4月1日,0.025237,0.025342,0.026095,0.024996,13.14M,0.42%
2019年3月31日,0.025220,0.025237,0.025263,0.024672,8.04M,0.07%
2019年3月30日,0.024662,0.025220,0.026500,0.024500,23.89M,2.26%
2019年3月29日,0.023669,0.024662,0.024887,0.023252,9.96M,4.19%
2019年3月28日,0.022771,0.023669,0.024320,0.022665,10.87M,3.94%
2019年3月27日,0.022218,0.022771,0.023353,0.022046,7.16M,2.47%
2019年3月26日,0.022075,0.022222,0.022366,0.021241,8.43M,0.67%
2019年3月25日,0.022931,0.022075,0.022949,0.021673,8.12M,-3.73%
2019年3月24日,0.023172,0.022931,0.023193,0.022546,5.23M,-1.04%
2019年3月23日,0.022339,0.023172,0.023292,0.022226,12.08M,3.73%
2019年3月22日,0.021791,0.022339,0.022723,0.021645,10.49M,2.52%
2019年3月21日,0.022856,0.021791,0.023159,0.020705,13.50M,-4.66%
2019年3月20日,0.022261,0.022856,0.024000,0.022231,19.91M,2.67%
2019年3月19日,0.022184,0.022261,0.022426,0.021883,5.40M,0.35%
2019年3月18日,0.022344,0.022184,0.022605,0.021956,2.05M,-0.72%
2019年3月17日,0.022811,0.022344,0.022843,0.022181,1.46M,-2.22%
2019年3月16日,0.023151,0.022851,0.023259,0.022418,4.90M,-1.30%
2019年3月15日,0.022320,0.023151,0.023233,0.022286,5.25M,3.72%
2019年3月14日,0.022162,0.022320,0.022746,0.021900,5.13M,0.71%
2019年3月13日,0.022784,0.022162,0.023196,0.022071,10.29M,-2.73%
2019年3月12日,0.021554,0.022784,0.024379,0.020846,26.38M,5.71%
2019年3月11日,0.021324,0.021554,0.024051,0.020615,25.44M,1.15%
2019年3月10日,0.021424,0.021310,0.021590,0.020630,9.93M,-0.53%
2019年3月9日,0.019882,0.021424,0.021976,0.019814,15.14M,7.76%
2019年3月8日,0.020235,0.019882,0.020599,0.019800,5.56M,-1.75%
2019年3月7日,0.019909,0.020235,0.020580,0.019787,5.92M,1.65%
2019年3月6日,0.020021,0.019907,0.020089,0.019622,2.19M,-0.57%
2019年3月5日,0.019167,0.020021,0.020160,0.019015,4.51M,4.46%
2019年3月4日,0.020016,0.019167,0.020182,0.018754,3.92M,-4.24%
2019年3月3日,0.019903,0.020016,0.020379,0.019880,2.60M,0.57%
2019年3月2日,0.020180,0.019903,0.020382,0.019800,2.18M,-1.37%
2019年3月1日,0.020000,0.020180,0.020647,0.019975,7.45M,0.90%
2019年2月28日,0.020164,0.020000,0.020301,0.019768,3.53M,-0.81%
2019年2月27日,0.020351,0.020164,0.020550,0.019673,6.57M,-0.92%
2019年2月26日,0.020024,0.020351,0.020572,0.019626,4.95M,1.63%
2019年2月25日,0.019302,0.020024,0.020380,0.019266,6.61M,3.75%
2019年2月24日,0.022338,0.019301,0.023112,0.019078,14.67M,-13.59%
2019年2月23日,0.022031,0.022338,0.022549,0.021479,7.47M,1.39%
2019年2月22日,0.022438,0.022031,0.022675,0.021349,12.17M,-1.81%
2019年2月21日,0.020773,0.022438,0.022680,0.020007,11.31M,8.01%
2019年2月20日,0.020741,0.020773,0.021089,0.020258,5.37M,0.15%
2019年2月19日,0.020895,0.020741,0.021266,0.020033,13.22M,-0.74%
2019年2月18日,0.019684,0.020895,0.021361,0.019602,10.67M,6.16%
2019年2月17日,0.019194,0.019684,0.020009,0.019077,14.80M,2.55%
2019年2月16日,0.019047,0.019194,0.019348,0.018842,6.75M,0.77%
2019年2月15日,0.018822,0.019047,0.020318,0.018760,20.61M,1.05%
2019年2月14日,0.018628,0.018849,0.019021,0.018347,4.93M,1.10%
2019年2月13日,0.018493,0.018644,0.018874,0.018363,13.42M,0.81%
2019年2月12日,0.018572,0.018493,0.018734,0.018293,7.21M,-0.48%
2019年2月11日,0.018930,0.018583,0.018943,0.018366,6.32M,-1.83%
2019年2月10日,0.018999,0.018930,0.019618,0.018263,11.10M,-0.37%
2019年2月9日,0.019300,0.018999,0.019378,0.018820,2.85M,-1.56%
2019年2月8日,0.017937,0.019300,0.019734,0.017773,8.71M,7.60%
2019年2月7日,0.017563,0.017937,0.018519,0.017433,12.51M,2.13%
2019年2月6日,0.018008,0.017563,0.018268,0.017310,10.83M,-2.55%
2019年2月5日,0.018526,0.018022,0.018572,0.017854,12.49M,-2.72%
2019年2月4日,0.018421,0.018526,0.018995,0.018345,9.37M,0.57%
2019年2月3日,0.019203,0.018421,0.019611,0.018286,6.91M,-4.07%
2019年2月2日,0.018263,0.019203,0.019975,0.018044,11.85M,5.15%
2019年2月1日,0.018295,0.018263,0.018506,0.017400,4.36M,-0.08%
2019年1月31日,0.019220,0.018277,0.019499,0.018182,9.52M,-4.90%
2019年1月30日,0.018887,0.019220,0.019466,0.018676,6.38M,1.76%
2019年1月29日,0.018928,0.018887,0.019525,0.018343,6.14M,-0.22%
2019年1月28日,0.020328,0.018928,0.020419,0.018292,5.12M,-6.89%
2019年1月27日,0.021178,0.020328,0.021409,0.020035,5.73M,-4.01%
2019年1月26日,0.020731,0.021178,0.021932,0.020685,6.68M,2.16%
2019年1月25日,0.021356,0.020731,0.021494,0.020461,3.66M,-2.93%
2019年1月24日,0.021727,0.021356,0.022054,0.021202,3.49M,-1.71%
2019年1月23日,0.022364,0.021727,0.022379,0.021530,3.91M,-2.85%
2019年1月22日,0.023000,0.022364,0.023357,0.021363,11.66M,-2.77%
2019年1月21日,0.022952,0.023000,0.023634,0.022692,9.48M,0.21%
2019年1月20日,0.024364,0.022952,0.025413,0.021969,8.22M,-6.13%
2019年1月19日,0.022971,0.024450,0.026271,0.022851,8.12M,6.44%
2019年1月18日,0.024971,0.022971,0.025532,0.022100,15.35M,-8.01%
2019年1月17日,0.022371,0.024971,0.025288,0.022217,25.78M,11.62%
2019年1月16日,0.018249,0.022371,0.022594,0.018180,13.84M,22.59%
2019年1月15日,0.018835,0.018249,0.019625,0.018167,10.06M,-3.11%
2019年1月14日,0.017570,0.018835,0.019179,0.017503,7.76M,7.20%
2019年1月13日,0.019562,0.017570,0.019656,0.017442,7.66M,-10.18%
2019年1月12日,0.020197,0.019562,0.020249,0.019274,8.91M,-3.14%
2019年1月11日,0.021052,0.020197,0.022313,0.019701,14.44M,-4.06%
2019年1月10日,0.020342,0.021052,0.023099,0.018575,34.63M,3.49%
2019年1月9日,0.019003,0.020342,0.020700,0.018965,8.08M,7.04%
2019年1月8日,0.018874,0.019003,0.019221,0.018569,2.53M,0.69%
2019年1月7日,0.019187,0.018874,0.019399,0.018667,3.13M,-1.64%
2019年1月6日,0.018688,0.019187,0.019300,0.018070,4.59M,2.67%
2019年1月5日,0.017743,0.018688,0.019859,0.017684,9.76M,5.33%
2019年1月4日,0.017541,0.017743,0.017960,0.017156,9.75M,1.15%
2019年1月3日,0.018061,0.017541,0.018105,0.017348,3.92M,-2.65%
2019年1月2日,0.017534,0.018019,0.018374,0.017143,3.06M,2.77%
2019年1月1日,0.016991,0.017534,0.017558,0.016897,2.25M,3.20%
2018年12月31日,0.017742,0.016991,0.017821,0.016932,2.00M,-4.23%
2018年12月30日,0.017115,0.017742,0.018253,0.016999,4.65M,3.66%
2018年12月29日,0.017875,0.017115,0.018294,0.017115,4.64M,-4.25%
2018年12月28日,0.016282,0.017875,0.018512,0.015723,5.29M,9.78%
2018年12月27日,0.017615,0.016282,0.017802,0.016185,3.05M,-7.56%
2018年12月26日,0.017766,0.017615,0.018276,0.016661,5.80M,-0.85%
2018年12月25日,0.019535,0.017766,0.019543,0.016706,5.86M,-9.06%
2018年12月24日,0.019724,0.019535,0.021625,0.019406,11.32M,-0.85%
2018年12月23日,0.017931,0.019704,0.021062,0.017811,13.45M,9.89%
2018年12月22日,0.017386,0.017931,0.018178,0.016834,4.17M,3.39%
2018年12月21日,0.017696,0.017343,0.019532,0.017192,9.02M,-2.00%
2018年12月20日,0.015836,0.017696,0.018104,0.015691,7.09M,11.75%
2018年12月19日,0.015895,0.015836,0.017040,0.015673,5.06M,-0.37%
2018年12月18日,0.015329,0.015895,0.015987,0.014910,2.68M,3.70%
2018年12月17日,0.014025,0.015329,0.015464,0.013988,4.38M,9.30%
2018年12月16日,0.013931,0.014025,0.014965,0.013881,4.79M,0.67%
2018年12月15日,0.013358,0.013931,0.014189,0.013354,2.75M,4.29%
2018年12月14日,0.014120,0.013358,0.014176,0.013209,2.41M,-5.40%
2018年12月13日,0.014551,0.014120,0.014650,0.014012,6.17M,-3.06%
2018年12月12日,0.014178,0.014566,0.014795,0.014178,2.25M,2.74%
2018年12月11日,0.014419,0.014177,0.014758,0.013894,3.56M,-1.67%
2018年12月10日,0.015340,0.014419,0.015734,0.014201,4.18M,-6.00%
2018年12月9日,0.014909,0.015340,0.015858,0.014608,4.71M,2.89%
2018年12月8日,0.015240,0.014909,0.015763,0.014237,5.03M,-2.27%
2018年12月7日,0.016007,0.015255,0.016023,0.013791,9.51M,-4.70%
2018年12月6日,0.017575,0.016007,0.018191,0.015971,3.50M,-8.92%
2018年12月5日,0.018736,0.017575,0.018780,0.017499,3.21M,-6.20%
2018年12月4日,0.018384,0.018736,0.019220,0.017748,3.15M,1.86%
2018年12月3日,0.020248,0.018394,0.020302,0.018225,2.66M,-9.16%
2018年12月2日,0.020213,0.020248,0.020947,0.019838,2.54M,0.17%
2018年12月1日,0.019439,0.020213,0.020645,0.018774,3.11M,3.98%
2018年11月30日,0.021038,0.019439,0.021121,0.018156,5.29M,-7.89%
2018年11月29日,0.020919,0.021104,0.022009,0.019915,6.26M,0.88%
2018年11月28日,0.018868,0.020919,0.021336,0.018864,4.78M,10.90%
2018年11月27日,0.018060,0.018862,0.019956,0.017591,4.77M,4.44%
2018年11月26日,0.018958,0.018060,0.020464,0.017254,6.73M,-4.73%
2018年11月25日,0.019572,0.018958,0.019714,0.016723,9.81M,-3.14%
2018年11月24日,0.021769,0.019572,0.022738,0.018942,4.37M,-10.09%
