日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.41339,0.40843,0.41439,0.40576,-,-1.20%
2019年6月10日,0.37896,0.41339,0.41371,0.37553,-,9.08%
2019年6月9日,0.39234,0.37896,0.43610,0.37001,-,-3.39%
2019年6月8日,0.37569,0.39227,0.40568,0.36832,-,4.41%
2019年6月7日,0.35579,0.37569,0.38557,0.35129,-,5.59%
2019年6月6日,0.35722,0.35579,0.36019,0.33797,-,-0.40%
2019年6月5日,0.35016,0.35722,0.36936,0.34540,-,2.02%
2019年6月4日,0.37654,0.35016,0.37654,0.33984,-,-7.01%
2019年6月3日,0.41016,0.37654,0.41016,0.37654,-,-8.19%
2019年6月2日,0.39654,0.41016,0.41420,0.39345,-,3.46%
2019年6月1日,0.39824,0.39644,0.41035,0.38847,-,-0.45%
2019年5月31日,0.38269,0.39824,0.40415,0.36949,-,4.06%
2019年5月30日,0.41873,0.38269,0.43615,0.37324,-,-8.61%
2019年5月29日,0.42617,0.41873,0.43323,0.40268,-,-1.75%
2019年5月28日,0.42576,0.42617,0.44048,0.40808,-,0.10%
2019年5月27日,0.39988,0.42576,0.44061,0.39988,-,6.47%
2019年5月26日,0.39227,0.39988,0.40857,0.37967,-,1.93%
2019年5月25日,0.38805,0.39230,0.40152,0.38499,-,1.10%
2019年5月24日,0.37417,0.38805,0.39832,0.37397,-,3.71%
2019年5月23日,0.36481,0.37417,0.41245,0.36089,-,2.57%
2019年5月22日,0.39020,0.36481,0.40408,0.36079,-,-6.51%
2019年5月21日,0.35264,0.39020,0.39030,0.35135,-,10.65%
2019年5月20日,0.36688,0.35264,0.36688,0.33989,-,-3.88%
2019年5月19日,0.34500,0.36688,0.37183,0.34499,-,6.33%
2019年5月18日,0.35752,0.34503,0.36985,0.34161,-,-3.75%
2019年5月17日,0.38619,0.35846,0.39752,0.33130,-,-7.18%
2019年5月16日,0.39809,0.38619,0.44586,0.35935,-,-2.99%
2019年5月15日,0.35288,0.39809,0.39816,0.35156,-,12.81%
2019年5月14日,0.32388,0.35288,0.35571,0.32388,-,8.95%
2019年5月13日,0.31295,0.32388,0.33175,0.30974,-,3.49%
2019年5月12日,0.32883,0.31295,0.33488,0.30919,-,-5.77%
2019年5月11日,0.31180,0.33210,0.34026,0.30340,-,6.51%
2019年5月10日,0.30235,0.31180,0.31799,0.29578,-,3.12%
2019年5月9日,0.32496,0.30235,0.32643,0.30232,-,-6.96%
2019年5月8日,0.33755,0.32496,0.33755,0.32033,-,-3.73%
2019年5月7日,0.35044,0.33755,0.35955,0.33607,-,-3.68%
2019年5月6日,0.34866,0.35044,0.35601,0.34127,-,0.51%
2019年5月5日,0.36352,0.34866,0.36389,0.34354,-,-4.09%
2019年5月4日,0.37053,0.36352,0.37983,0.35328,-,-1.89%
2019年5月3日,0.37131,0.37051,0.38054,0.36178,-,-0.22%
2019年5月2日,0.36429,0.37131,0.37411,0.36135,-,1.93%
2019年5月1日,0.37280,0.36429,0.37587,0.35883,-,-2.28%
2019年4月30日,0.35172,0.37280,0.37370,0.34831,-,5.99%
2019年4月29日,0.36989,0.35172,0.37096,0.34412,-,-4.91%
2019年4月28日,0.36082,0.36989,0.38850,0.36081,-,2.51%
2019年4月27日,0.35344,0.36082,0.36400,0.35008,-,2.09%
2019年4月26日,0.34305,0.35344,0.35353,0.33160,-,3.03%
2019年4月25日,0.36624,0.34305,0.37766,0.34116,-,-6.33%
2019年4月24日,0.39851,0.36624,0.40041,0.35628,-,-8.10%
2019年4月23日,0.41731,0.39851,0.41806,0.39572,-,-4.51%
2019年4月22日,0.41658,0.41731,0.42453,0.40835,-,0.18%
2019年4月21日,0.44830,0.41658,0.44831,0.40919,-,-7.07%
2019年4月20日,0.42988,0.44827,0.45467,0.42988,-,4.20%
2019年4月19日,0.42823,0.43021,0.43659,0.41923,-,0.46%
2019年4月18日,0.42843,0.42823,0.43455,0.42543,-,-0.05%
2019年4月17日,0.41977,0.42843,0.43167,0.41383,-,2.06%
2019年4月16日,0.40924,0.41977,0.42359,0.40445,-,2.57%
2019年4月15日,0.43666,0.40924,0.44917,0.40415,-,-6.28%
2019年4月14日,0.42594,0.43666,0.43780,0.41911,-,2.41%
