日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.9213,0.9455,0.9455,0.9213,0.06K,2.63%
2019年6月9日,0.8943,0.9213,1.0000,0.8943,1.90K,3.02%
2019年6月8日,0.8514,0.8943,0.9764,0.8514,0.11K,5.03%
2019年6月7日,0.8601,0.8514,0.8930,0.8514,0.06K,-1.01%
2019年6月6日,0.8560,0.8601,0.8800,0.8450,1.21K,0.48%
2019年6月5日,0.9244,0.8560,0.9800,0.8441,0.23K,-7.40%
2019年6月4日,0.9459,0.9244,0.9459,0.8410,1.54K,-2.27%
2019年6月3日,0.9872,0.9459,0.9910,0.9459,0.19K,-4.18%
2019年6月2日,0.9858,0.9872,1.0123,0.9858,0.02K,0.15%
2019年6月1日,0.9895,0.9858,0.9895,0.9737,0.04K,-0.38%
2019年5月31日,0.9864,0.9895,0.9895,0.9198,1.06K,0.31%
2019年5月30日,1.0313,0.9864,1.1055,0.9290,1.95K,-4.36%
2019年5月29日,1.0420,1.0313,1.0918,1.0037,2.92K,-1.02%
2019年5月28日,1.0000,1.0420,1.0438,0.9855,0.48K,4.20%
2019年5月27日,0.9929,1.0000,1.0440,0.9929,1.16K,0.71%
2019年5月26日,1.0681,0.9929,1.0681,0.9929,0.77K,-7.04%
2019年5月25日,0.9521,1.0681,1.1100,0.9521,0.99K,12.18%
2019年5月24日,0.9711,0.9521,1.0112,0.9454,0.27K,-1.95%
2019年5月23日,0.8951,0.9711,0.9711,0.8600,0.39K,8.49%
2019年5月22日,0.9067,0.8951,0.9978,0.8428,1.79K,-1.28%
2019年5月21日,0.8410,0.9067,0.9375,0.8392,0.54K,7.81%
2019年5月20日,0.8938,0.8410,0.8957,0.8027,0.03K,-5.91%
2019年5月19日,0.8762,0.8938,0.9631,0.8762,2.26K,2.01%
2019年5月18日,0.8395,0.8762,0.9010,0.8280,0.34K,4.38%
2019年5月17日,0.8822,0.8395,0.8980,0.7997,0.94K,-4.84%
2019年5月16日,0.9630,0.8822,1.0656,0.8704,4.89K,-8.40%
2019年5月15日,0.8458,0.9630,0.9916,0.8458,1.69K,13.86%
2019年5月14日,0.8266,0.8458,0.8630,0.8053,3.57K,2.32%
2019年5月13日,0.7992,0.8266,0.8763,0.7992,0.77K,3.43%
2019年5月12日,0.8621,0.7992,0.9904,0.7989,0.33K,-7.30%
2019年5月11日,0.8190,0.8621,0.8622,0.7805,1.61K,5.27%
2019年5月10日,0.7472,0.8190,0.8205,0.7472,0.78K,9.61%
2019年5月9日,0.7920,0.7472,0.8198,0.7366,0.05K,-5.66%
2019年5月8日,0.8317,0.7920,0.8317,0.7661,0.14K,-4.77%
2019年5月7日,0.7948,0.8317,0.8317,0.7780,-,4.64%
2019年5月6日,0.7987,0.7948,0.8148,0.7884,0.01K,-0.49%
2019年5月5日,0.7896,0.7987,0.8028,0.7896,0.02K,1.15%
2019年5月4日,0.8430,0.7896,0.8485,0.7896,0.05K,-6.34%
2019年5月3日,0.8300,0.8430,0.8430,0.8190,0.27K,1.57%
2019年5月2日,0.8410,0.8300,1.1500,0.8300,0.09K,-1.31%
2019年5月1日,0.8436,0.8410,0.8436,0.8320,-,-0.30%
2019年4月30日,0.8012,0.8436,0.8436,0.7999,0.09K,5.29%
2019年4月29日,0.9000,0.8012,0.9000,0.8012,1.06K,-10.98%
2019年4月28日,0.9089,0.9000,0.9089,0.9000,0.17K,-0.98%
2019年4月27日,0.8329,0.9089,0.9089,0.8281,0.00K,9.12%
2019年4月26日,0.8708,0.8329,0.8780,0.8312,0.17K,-4.35%
2019年4月25日,0.9000,0.8708,0.9518,0.8678,0.12K,-3.25%
2019年4月24日,0.9776,0.9000,0.9776,0.8886,5.35K,-7.93%
2019年4月23日,1.0802,0.9776,1.0802,0.9776,0.84K,-9.50%
2019年4月22日,1.0461,1.0802,1.0802,1.0360,0.10K,3.26%
2019年4月21日,1.1335,1.0461,1.1840,1.0239,0.28K,-7.71%
2019年4月20日,1.1078,1.1335,1.1335,1.1071,0.02K,2.32%
2019年4月19日,1.1135,1.1078,1.1135,1.0928,0.94K,-0.51%
2019年4月18日,1.1054,1.1135,1.1154,1.0949,0.30K,0.73%
2019年4月17日,1.0942,1.1054,1.1054,1.0717,0.31K,1.02%
2019年4月16日,1.0757,1.0942,1.1080,1.0599,0.97K,1.72%
