日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,1.00393,1.00381,1.00423,1.00190,5.19M,-0.01%
2019年6月10日,1.00128,1.00391,1.00466,1.00072,6.37M,0.26%
2019年6月9日,1.00389,1.00127,1.00458,1.00078,5.83M,-0.26%
2019年6月8日,1.00242,1.00389,1.00408,1.00100,1.98M,0.15%
2019年6月7日,1.00242,1.00241,1.00404,1.00123,7.15M,-0.00%
2019年6月6日,1.00198,1.00242,1.00321,1.00059,5.90M,0.04%
2019年6月5日,0.99948,1.00198,1.00340,0.99948,7.74M,0.25%
2019年6月4日,0.99886,0.99948,1.00103,0.99584,15.08M,0.06%
2019年6月3日,1.00057,0.99885,1.00203,0.99678,15.94M,-0.17%
2019年6月2日,1.00023,1.00057,1.00328,0.99945,6.39M,0.03%
2019年6月1日,0.99880,1.00023,1.00227,0.99753,8.19M,0.14%
2019年5月31日,1.00029,0.99880,1.00088,0.99631,16.56M,-0.15%
2019年5月30日,1.00312,1.00034,1.00404,0.99953,25.00M,-0.28%
2019年5月29日,1.00141,1.00312,1.00400,1.00097,14.97M,0.18%
2019年5月28日,1.00362,1.00137,1.00494,1.00060,9.11M,-0.22%
2019年5月27日,1.00884,1.00362,1.01340,1.00148,19.30M,-0.54%
2019年5月26日,1.00297,1.00908,1.01417,1.00099,30.85M,0.61%
2019年5月25日,1.00301,1.00297,1.00485,1.00214,11.32M,-0.00%
2019年5月24日,1.00242,1.00301,1.00669,1.00189,8.90M,0.01%
2019年5月23日,1.00005,1.00292,1.00356,0.99883,6.47M,0.29%
2019年5月22日,1.00395,1.00005,1.00464,0.99911,10.32M,-0.39%
2019年5月21日,1.00557,1.00395,1.00701,1.00251,8.59M,-0.18%
2019年5月20日,1.00437,1.00572,1.00580,1.00005,12.48M,0.13%
2019年5月19日,1.00121,1.00438,1.00649,1.00002,14.31M,0.32%
2019年5月18日,1.00494,1.00121,1.00789,1.00044,5.74M,-0.37%
2019年5月17日,0.99938,1.00495,1.01010,0.99447,20.22M,0.56%
2019年5月16日,0.99556,0.99938,1.00223,0.99460,16.95M,0.16%
2019年5月15日,0.99659,0.99775,1.00265,0.99489,15.31M,0.12%
2019年5月14日,0.99894,0.99659,0.99941,0.99056,31.85M,-0.23%
2019年5月13日,1.00110,0.99894,1.01189,0.99695,40.11M,-0.22%
2019年5月12日,1.00001,1.00110,1.00773,0.99583,24.21M,0.11%
2019年5月11日,1.00811,1.00002,174.17635,0.99910,27.61M,-0.31%
2019年5月10日,1.00565,1.00314,1.01372,1.00310,11.97M,-0.25%
2019年5月9日,1.03063,1.00565,1.03151,1.00565,7.76M,-1.30%
2019年5月8日,1.02808,1.01885,1.04361,1.01765,5.38M,-0.90%
2019年5月7日,1.02133,1.02808,1.04924,1.02133,14.46M,0.66%
2019年5月6日,1.04569,1.02133,1.04956,1.02057,6.93M,-0.73%
2019年5月5日,1.01140,1.02880,1.03981,1.01140,3.79M,1.72%
2019年5月4日,1.01588,1.01140,1.04216,1.00731,5.37M,-0.44%
2019年5月3日,1.01663,1.01588,1.04014,1.01572,9.96M,-0.07%
2019年5月2日,1.01112,1.01663,1.04413,1.01112,6.59M,0.55%
2019年5月1日,1.02070,1.01112,1.04447,1.01069,6.96M,-0.94%
2019年4月30日,1.01523,1.02070,1.04199,1.01523,13.27M,0.54%
2019年4月29日,1.02581,1.01523,1.03119,1.00733,11.32M,2.00%
2019年4月28日,1.00689,0.99534,1.02339,0.99529,6.91M,-1.15%
2019年4月27日,0.99725,1.00689,1.01502,0.99671,8.55M,0.97%
2019年4月26日,0.98951,0.99726,1.00725,0.98951,24.76M,0.79%
2019年4月25日,1.00463,0.98949,1.01164,0.98669,22.64M,-1.51%
2019年4月24日,1.00935,1.00462,1.01062,1.00449,20.76M,-0.14%
2019年4月23日,1.00701,1.00604,1.01200,1.00423,12.47M,0.19%
2019年4月22日,1.00487,1.00409,1.01301,1.00332,8.02M,-0.08%
2019年4月21日,1.00335,1.00487,1.00695,1.00335,3.05M,0.15%
2019年4月20日,1.00350,1.00335,1.00577,1.00261,1.44M,-0.01%
2019年4月19日,1.00359,1.00350,1.00846,1.00228,4.18M,-0.01%
2019年4月18日,1.00290,1.00359,1.00990,1.00222,2.98M,0.07%
2019年4月17日,1.00345,1.00290,1.00704,1.00267,5.60M,-0.06%
2019年4月16日,1.00064,1.00345,1.00591,1.00064,4.14M,0.28%
2019年4月15日,1.00404,1.00064,1.01022,1.00062,5.87M,-0.34%
