日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,1.2913,1.2493,1.2945,1.2461,656.14K,-3.25%
2019年6月10日,1.2217,1.2913,1.3095,1.1994,974.08K,5.70%
2019年6月9日,1.2657,1.2216,1.2754,1.1844,692.40K,-3.48%
2019年6月8日,1.3114,1.2657,1.3155,1.2272,739.24K,-3.48%
2019年6月7日,1.3218,1.3114,1.4159,1.2849,1.19M,-0.79%
2019年6月6日,1.1890,1.3218,1.3780,1.1503,1.92M,11.17%
2019年6月5日,1.2132,1.1890,1.2426,1.1325,2.24M,-2.00%
2019年6月4日,1.3716,1.2132,1.3751,1.1350,2.66M,-11.55%
2019年6月3日,1.4967,1.3716,1.4968,1.3636,855.01K,-8.36%
2019年6月2日,1.4625,1.4967,1.5445,1.4541,688.57K,2.34%
2019年6月1日,1.5019,1.4625,1.5053,1.4554,863.63K,-2.54%
2019年5月31日,1.4834,1.5007,1.5160,1.4153,1.33M,1.17%
2019年5月30日,1.5852,1.4834,1.6840,1.4267,2.22M,-6.09%
2019年5月29日,1.5817,1.5796,1.5994,1.5595,1.40M,-0.13%
2019年5月28日,1.6340,1.5817,1.6388,1.5761,977.98K,-3.20%
2019年5月27日,1.6527,1.6340,1.6739,1.6094,787.57K,-1.13%
2019年5月26日,1.5596,1.6527,1.6746,1.4946,821.26K,5.97%
2019年5月25日,1.5416,1.5596,1.5978,1.5353,492.03K,-0.21%
2019年5月24日,1.6117,1.5630,1.6346,1.5477,709.16K,-3.02%
2019年5月23日,1.5476,1.6117,1.6259,1.4584,1.16M,4.15%
2019年5月22日,1.6491,1.5476,1.6491,1.5414,941.73K,-6.16%
2019年5月21日,1.6238,1.6491,1.6698,1.6051,705.01K,0.51%
2019年5月20日,1.8234,1.6408,1.8234,1.6140,969.52K,-10.01%
2019年5月19日,1.6342,1.8234,1.8332,1.6186,877.41K,11.41%
2019年5月18日,1.6656,1.6366,1.7363,1.6190,790.17K,-1.83%
2019年5月17日,1.7106,1.6672,1.7642,1.5322,2.53M,-2.54%
2019年5月16日,1.7875,1.7107,1.8459,1.6188,2.69M,-4.30%
2019年5月15日,1.4809,1.7875,1.7884,1.4626,2.64M,20.70%
2019年5月14日,1.3221,1.4809,1.4838,1.2951,1.68M,12.02%
2019年5月13日,1.2272,1.3221,1.3797,1.2238,1.97M,7.73%
2019年5月12日,1.2665,1.2272,1.3199,1.1924,1.43M,-3.02%
2019年5月11日,1.1131,1.2654,1.3253,1.1103,2.17M,13.69%
2019年5月10日,1.1134,1.1131,1.1726,1.0898,1.01M,0.45%
2019年5月9日,1.1707,1.1081,1.1983,1.0873,1.28M,-5.35%
2019年5月8日,1.2087,1.1707,1.2187,1.1490,1.18M,-3.15%
2019年5月7日,1.2482,1.2088,1.2975,1.2038,958.85K,-2.57%
2019年5月6日,1.1630,1.2408,1.2711,1.1437,952.97K,6.69%
