日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.14480,0.14330,0.14600,0.14040,10.19M,-1.04%
2019年6月10日,0.12910,0.14480,0.14660,0.12700,9.34M,12.16%
2019年6月9日,0.14070,0.12910,0.14490,0.12710,5.42M,-8.37%
2019年6月8日,0.13390,0.14090,0.14500,0.13020,3.99M,5.23%
2019年6月7日,0.13070,0.13390,0.13520,0.13040,2.43M,2.61%
2019年6月6日,0.12920,0.13050,0.13870,0.12370,3.89M,0.93%
2019年6月5日,0.12280,0.12930,0.13330,0.12220,4.32M,5.29%
2019年6月4日,0.13040,0.12280,0.13150,0.11980,4.10M,-6.04%
2019年6月3日,0.14140,0.13070,0.14260,0.12920,8.07M,-7.50%
2019年6月2日,0.13140,0.14130,0.14740,0.13090,8.73M,7.53%
2019年6月1日,0.13700,0.13140,0.13750,0.12780,6.86M,-3.95%
2019年5月31日,0.13110,0.13680,0.13830,0.12410,7.29M,4.35%
2019年5月30日,0.15070,0.13110,0.16490,0.12430,13.14M,-12.83%
2019年5月29日,0.13260,0.15040,0.16470,0.12380,23.51M,13.34%
2019年5月28日,0.12590,0.13270,0.13630,0.12370,7.54M,5.32%
2019年5月27日,0.12410,0.12600,0.13040,0.12210,9.46M,1.53%
2019年5月26日,0.13710,0.12410,0.13830,0.11910,8.22M,-9.55%
2019年5月25日,0.11830,0.13720,0.13810,0.11820,12.27M,15.59%
2019年5月24日,0.10880,0.11870,0.14270,0.10880,27.17M,9.10%
2019年5月23日,0.10540,0.10880,0.10940,0.10080,4.13M,3.23%
2019年5月22日,0.11400,0.10540,0.11780,0.10500,4.93M,-7.54%
2019年5月21日,0.11270,0.11400,0.11970,0.11040,5.62M,1.33%
2019年5月20日,0.11680,0.11250,0.11680,0.10880,4.37M,-3.76%
2019年5月19日,0.11940,0.11690,0.12390,0.11550,10.15M,-2.09%
2019年5月18日,0.11410,0.11940,0.12290,0.11030,10.36M,4.74%
2019年5月17日,0.11310,0.11400,0.11410,0.09620,12.48M,0.80%
2019年5月16日,0.11820,0.11310,0.12530,0.10630,20.50M,-4.40%
2019年5月15日,0.10210,0.11830,0.12000,0.10190,20.46M,15.98%
