日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,934.9036,947.1042,950.9226,922.8743,-,1.12%
2019年6月9日,973.9282,936.6170,978.3474,920.1741,-,-3.86%
2019年6月8日,982.1000,974.2370,991.1290,958.8828,-,-1.03%
2019年6月7日,958.3854,984.3813,997.1568,953.7684,-,2.74%
2019年6月6日,951.1418,958.1609,963.4904,915.0887,-,0.46%
2019年6月5日,943.5341,953.8090,970.6699,930.9663,-,1.00%
2019年6月4日,992.3942,944.4059,992.3942,922.8743,-,-5.29%
2019年6月3日,"1,071.4910",997.1545,"1,071.4910",987.3611,-,-6.94%
2019年6月2日,"1,047.8633","1,071.4910","1,080.6522","1,047.6842",-,2.28%
2019年6月1日,"1,035.4095","1,047.5946","1,055.0774","1,025.6952",-,1.17%
2019年5月31日,997.7258,"1,035.4979","1,037.5342",978.8641,-,3.79%
2019年5月30日,"1,047.2656",997.7258,"1,097.8706",971.2204,-,-4.76%
2019年5月29日,"1,068.6823","1,047.5385","1,068.6823","1,025.9801",-,-2.02%
2019年5月28日,"1,076.9637","1,069.1494","1,081.6309","1,045.7461",-,-0.61%
2019年5月27日,"1,055.2062","1,075.7323","1,091.6719","1,055.2062",-,2.02%
2019年5月26日,973.0165,"1,054.4692","1,064.8801",953.1324,-,8.36%
2019年5月25日,962.9837,973.0949,982.6731,957.6245,-,1.07%
2019年5月24日,949.0230,962.8297,982.7037,939.6942,-,1.58%
2019年5月23日,921.0927,947.8281,958.2339,901.2346,-,2.66%
2019年5月22日,957.5734,923.2705,970.5741,908.9203,-,-3.80%
2019年5月21日,961.8918,959.7043,976.3888,944.0176,-,-0.15%
2019年5月20日,988.1342,961.1240,988.3768,916.2164,-,-2.81%
2019年5月19日,873.7476,988.8625,998.5115,872.7972,-,13.14%
2019年5月18日,883.1381,874.0015,902.7153,868.7022,-,-1.23%
2019年5月17日,954.2525,884.9097,960.2911,839.7969,-,-7.29%
2019年5月16日,995.9817,954.4775,"1,018.3540",934.7809,-,-4.21%
2019年5月15日,975.5612,996.3871,"1,003.7405",961.2545,-,2.21%
2019年5月14日,925.0485,974.8628,"1,004.1790",922.2549,-,5.34%
2019年5月13日,838.4508,925.4799,958.3970,827.1945,-,10.32%
2019年5月12日,846.4174,838.9191,894.8387,824.2437,-,-1.44%
2019年5月11日,760.0927,851.1555,862.2319,760.0927,-,11.98%
2019年5月10日,761.4791,760.0927,776.7456,749.4762,-,-0.20%
2019年5月9日,755.4203,761.6221,770.0101,749.9778,-,1.02%
