日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月10日,0.029782,0.030666,0.031310,0.029150,8.33B,2.97%
2019年6月9日,0.032126,0.029783,0.032304,0.029177,6.98B,-7.29%
2019年6月8日,0.033535,0.032126,0.034316,0.031857,5.28B,-4.21%
2019年6月7日,0.032559,0.033539,0.034416,0.032244,6.20B,3.01%
2019年6月6日,0.033979,0.032559,0.034158,0.030776,7.87B,-4.18%
2019年6月5日,0.035085,0.033981,0.035799,0.032703,8.75B,-3.16%
2019年6月4日,0.033749,0.035089,0.036176,0.031480,11.14B,3.97%
2019年6月3日,0.038243,0.033749,0.039524,0.033198,11.45B,-11.73%
2019年6月2日,0.037537,0.038233,0.040890,0.036827,8.86B,1.78%
2019年6月1日,0.033042,0.037564,0.039184,0.032567,10.71B,13.68%
2019年5月31日,0.031034,0.033045,0.033045,0.030304,6.86B,6.48%
2019年5月30日,0.033608,0.031035,0.035705,0.029781,8.70B,-7.62%
2019年5月29日,0.034729,0.033593,0.034847,0.031966,6.88B,-3.28%
2019年5月28日,0.035096,0.034731,0.036884,0.032586,8.93B,-1.07%
2019年5月27日,0.030828,0.035106,0.036567,0.030785,11.20B,13.87%
2019年5月26日,0.027594,0.030829,0.031867,0.027030,8.96B,11.73%
2019年5月25日,0.027635,0.027593,0.028834,0.027332,5.37B,-0.17%
2019年5月24日,0.026988,0.027640,0.028283,0.026697,5.79B,2.42%
2019年5月23日,0.026652,0.026988,0.027255,0.025778,5.00B,1.54%
2019年5月22日,0.028301,0.026579,0.029006,0.026201,6.56B,-6.09%
2019年5月21日,0.027810,0.028301,0.029792,0.027329,6.08B,1.77%
2019年5月20日,0.028281,0.027810,0.028360,0.026366,6.64B,-1.67%
2019年5月19日,0.026467,0.028280,0.028850,0.026444,6.55B,6.85%
2019年5月18日,0.027019,0.026468,0.027755,0.026122,5.76B,-2.04%
2019年5月17日,0.028513,0.027018,0.028992,0.024697,9.17B,-5.25%
2019年5月16日,0.030974,0.028513,0.033264,0.027182,10.56B,-8.05%
2019年5月15日,0.027395,0.031008,0.031622,0.027124,8.87B,13.19%
2019年5月14日,0.024438,0.027395,0.027615,0.024287,8.37B,12.11%
2019年5月13日,0.023762,0.024435,0.025399,0.023653,6.33B,2.83%
2019年5月12日,0.025067,0.023762,0.025624,0.023188,6.95B,-5.20%
2019年5月11日,0.023587,0.025067,0.026549,0.023314,7.01B,6.27%
2019年5月10日,0.023186,0.023587,0.023724,0.022284,5.64B,1.73%
2019年5月9日,0.024546,0.023184,0.024551,0.022995,5.61B,-5.55%
2019年5月8日,0.023876,0.024547,0.025294,0.023446,6.56B,2.80%
2019年5月7日,0.023786,0.023879,0.024404,0.023658,6.34B,0.41%
2019年5月6日,0.023215,0.023780,0.024153,0.022734,6.07B,2.43%
2019年5月5日,0.023008,0.023215,0.023337,0.022842,5.80B,0.90%
2019年5月4日,0.023813,0.023008,0.024536,0.022608,5.85B,-3.38%
2019年5月3日,0.023410,0.023813,0.023957,0.023092,6.27B,1.72%
2019年5月2日,0.023488,0.023410,0.023605,0.023073,5.33B,-0.33%
2019年5月1日,0.023478,0.023488,0.023818,0.023013,4.99B,0.04%
2019年4月30日,0.022409,0.023478,0.023790,0.022205,5.55B,4.81%
2019年4月29日,0.023312,0.022400,0.023393,0.021924,5.91B,-3.91%
2019年4月28日,0.023474,0.023312,0.023635,0.023153,4.22B,-0.69%
2019年4月27日,0.023803,0.023474,0.023804,0.023167,3.89B,-1.38%
2019年4月26日,0.023093,0.023803,0.024231,0.022378,6.74B,3.08%
2019年4月25日,0.023271,0.023093,0.025238,0.022694,6.97B,-0.77%
2019年4月24日,0.024056,0.023272,0.024079,0.022640,4.91B,-3.26%
2019年4月23日,0.024933,0.024056,0.025125,0.024055,4.17B,-3.52%
2019年4月22日,0.024785,0.024933,0.025277,0.024356,4.72B,0.60%
2019年4月21日,0.025831,0.024785,0.026129,0.023977,4.77B,-4.06%
2019年4月20日,0.026283,0.025833,0.026349,0.025612,4.16B,-1.72%
2019年4月19日,0.026718,0.026284,0.026719,0.025945,4.12B,-1.62%
2019年4月18日,0.026495,0.026718,0.027068,0.026451,4.23B,0.84%
2019年4月17日,0.026670,0.026496,0.026811,0.026160,3.71B,-0.65%
2019年4月16日,0.026275,0.026670,0.026802,0.025884,4.00B,1.50%
2019年4月15日,0.026856,0.026275,0.027470,0.025790,4.83B,-2.16%
2019年4月14日,0.026050,0.026856,0.026980,0.025841,4.50B,3.09%
2019年4月13日,0.026281,0.026051,0.026758,0.025733,4.28B,-0.88%
2019年4月12日,0.026416,0.026282,0.026933,0.025227,4.75B,-0.51%
2019年4月11日,0.029936,0.026416,0.030021,0.025181,7.31B,-11.75%
2019年4月10日,0.029609,0.029933,0.030752,0.029428,5.34B,1.10%
2019年4月9日,0.030332,0.029609,0.030883,0.028602,7.59B,-2.40%
2019年4月8日,0.028863,0.030336,0.031535,0.027273,10.00B,5.11%
2019年4月7日,0.026673,0.028863,0.029500,0.026515,7.87B,8.20%
2019年4月6日,0.026980,0.026674,0.027296,0.026277,5.30B,-1.14%
2019年4月5日,0.025822,0.026981,0.027484,0.025797,6.09B,4.49%
2019年4月4日,0.025725,0.025821,0.026745,0.024952,6.45B,0.37%
2019年4月3日,0.026724,0.025725,0.029245,0.024979,9.38B,-3.74%
2019年4月2日,0.024273,0.026725,0.026994,0.024254,9.16B,10.11%
2019年4月1日,0.023449,0.024271,0.024985,0.023212,5.09B,3.59%
2019年3月31日,0.023198,0.023429,0.023575,0.023044,2.70B,1.00%
2019年3月30日,0.023349,0.023198,0.023583,0.022823,3.26B,-0.65%
2019年3月29日,0.023135,0.023349,0.023866,0.022923,4.73B,0.93%
2019年3月28日,0.023352,0.023135,0.023352,0.022813,3.23B,-0.93%
2019年3月27日,0.022445,0.023353,0.023477,0.022300,3.68B,4.04%
2019年3月26日,0.022599,0.022445,0.022738,0.021952,3.43B,-0.68%
2019年3月25日,0.023241,0.022599,0.023365,0.022172,3.73B,-2.76%
2019年3月24日,0.024289,0.023241,0.024385,0.022914,3.62B,-4.32%
2019年3月23日,0.022515,0.024289,0.024395,0.022425,5.06B,7.88%
2019年3月22日,0.022187,0.022515,0.022696,0.022093,2.73B,1.48%
2019年3月21日,0.022800,0.022188,0.022843,0.021961,2.95B,-2.69%
2019年3月20日,0.022738,0.022802,0.022826,0.022464,2.28B,0.28%
2019年3月19日,0.022751,0.022739,0.022833,0.022455,2.34B,-0.12%
2019年3月18日,0.022900,0.022766,0.023199,0.022456,2.38B,-0.58%
2019年3月17日,0.023114,0.022900,0.023144,0.022708,2.35B,-0.94%
2019年3月16日,0.022975,0.023118,0.023485,0.022853,2.92B,0.62%
2019年3月15日,0.022402,0.022975,0.023077,0.022340,2.51B,2.56%
2019年3月14日,0.022220,0.022402,0.022838,0.022093,2.13B,0.82%
2019年3月13日,0.022260,0.022220,0.022413,0.021827,1.46B,-0.18%
2019年3月12日,0.022092,0.022260,0.022575,0.021583,1.50B,0.76%
2019年3月11日,0.022839,0.022092,0.023019,0.021858,2.96B,-3.27%
2019年3月10日,0.022788,0.022839,0.023101,0.022304,2.49B,0.23%
2019年3月9日,0.022348,0.022788,0.022885,0.022027,2.60B,1.97%
2019年3月8日,0.022980,0.022348,0.023008,0.022263,2.75B,-2.76%
2019年3月7日,0.023175,0.022981,0.023497,0.022879,2.44B,-0.83%
2019年3月6日,0.023728,0.023173,0.023790,0.022875,2.65B,-2.34%
2019年3月5日,0.022736,0.023728,0.023900,0.022029,4.12B,4.36%
2019年3月4日,0.022475,0.022736,0.023007,0.020613,4.12B,1.16%
2019年3月3日,0.022658,0.022475,0.022975,0.022340,1.73B,-0.81%
2019年3月2日,0.023497,0.022658,0.023576,0.022242,4.38B,-3.56%
2019年3月1日,0.023676,0.023494,0.023743,0.023409,2.10B,-0.77%
2019年2月28日,0.023922,0.023676,0.024067,0.023406,2.63B,-1.03%
2019年2月27日,0.024158,0.023923,0.024186,0.023336,2.64B,-0.97%
2019年2月26日,0.024076,0.024158,0.024457,0.023612,2.68B,0.34%
2019年2月25日,0.023306,0.024076,0.024522,0.023304,3.42B,3.31%
2019年2月24日,0.025242,0.023306,0.027338,0.022479,6.41B,-7.67%
2019年2月23日,0.024887,0.025242,0.025326,0.024722,2.47B,1.42%
2019年2月22日,0.024706,0.024888,0.025005,0.024592,1.99B,0.74%
2019年2月21日,0.025003,0.024705,0.025251,0.024441,2.65B,-1.25%
2019年2月20日,0.024823,0.025017,0.025335,0.024196,2.37B,0.78%
2019年2月19日,0.024851,0.024823,0.025933,0.024672,3.13B,-0.11%
2019年2月18日,0.023777,0.024851,0.025004,0.023771,3.96B,4.52%
2019年2月17日,0.023562,0.023776,0.023980,0.023489,2.26B,0.91%
2019年2月16日,0.023712,0.023562,0.023866,0.023495,1.78B,-0.63%
2019年2月15日,0.023329,0.023711,0.024074,0.023309,2.01B,1.64%
2019年2月14日,0.024090,0.023329,0.024370,0.023181,1.89B,-3.16%
2019年2月13日,0.024407,0.024091,0.025245,0.023833,2.17B,-1.30%
2019年2月12日,0.024601,0.024407,0.024795,0.024101,1.81B,-0.78%
