日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.9951,0.9949,0.9956,0.9940,9.27M,-0.02%
2019年6月10日,0.9981,0.9951,0.9985,0.9928,10.18M,-0.30%
2019年6月9日,0.9963,0.9981,0.9989,0.9945,9.37M,0.21%
2019年6月8日,0.9969,0.9960,0.9978,0.9949,6.71M,-0.09%
2019年6月7日,0.9976,0.9969,1.0000,0.9950,12.93M,-0.07%
2019年6月6日,0.9978,0.9976,1.0010,0.9967,10.51M,-0.02%
2019年6月5日,1.0044,0.9978,1.0044,0.9978,11.97M,-0.59%
2019年6月4日,1.0009,1.0037,1.0100,0.9987,22.85M,0.25%
2019年6月3日,0.9977,1.0012,1.0054,0.9963,15.91M,0.37%
2019年6月2日,0.9978,0.9975,0.9995,0.9950,7.55M,-0.04%
2019年6月1日,0.9988,0.9979,1.0016,0.9967,10.58M,-0.06%
2019年5月31日,0.9986,0.9985,1.0044,0.9980,13.07M,-0.03%
2019年5月30日,0.9972,0.9988,1.0089,0.9957,24.62M,0.17%
2019年5月29日,0.9988,0.9971,1.0000,0.9961,10.54M,-0.15%
2019年5月28日,0.9977,0.9986,0.9994,0.9947,9.66M,0.14%
2019年5月27日,0.9867,0.9972,0.9989,0.9857,15.96M,1.07%
2019年5月26日,0.9944,0.9866,0.9965,0.9845,15.89M,-0.78%
2019年5月25日,0.9949,0.9944,0.9964,0.9928,8.77M,-0.15%
2019年5月24日,0.9965,0.9959,0.9975,0.9918,12.34M,0.02%
2019年5月23日,1.0008,0.9957,1.0012,0.9949,10.42M,-0.48%
2019年5月22日,0.9940,1.0005,1.0010,0.9937,13.09M,0.64%
2019年5月21日,0.9917,0.9941,0.9977,0.9905,14.10M,0.19%
2019年5月20日,0.9944,0.9922,0.9996,0.9915,16.00M,-0.17%
2019年5月19日,0.9983,0.9939,0.9997,0.9901,20.24M,-0.48%
2019年5月18日,0.9981,0.9987,1.0019,0.9952,10.53M,0.01%
2019年5月17日,0.9990,0.9986,1.0140,0.9955,24.37M,-0.04%
2019年5月16日,0.9959,0.9990,1.0037,0.9925,21.78M,0.34%
2019年5月15日,0.9970,0.9956,1.0010,0.9931,9.20M,-0.14%
2019年5月14日,0.9980,0.9970,1.0031,0.9910,15.08M,-0.10%
2019年5月13日,1.0033,0.9980,1.0098,0.9899,14.58M,-0.55%
2019年5月12日,1.0021,1.0035,1.0182,0.9929,18.91M,0.01%
2019年5月11日,1.0088,1.0034,1.0125,0.9980,16.85M,-0.53%
2019年5月10日,1.0102,1.0087,1.0138,1.0062,5.91M,-0.11%
2019年5月9日,1.0089,1.0098,1.0149,1.0070,5.23M,0.07%
2019年5月8日,1.0178,1.0091,1.0215,1.0070,4.39M,-0.83%
2019年5月7日,1.0103,1.0175,1.0186,1.0062,7.35M,0.71%
2019年5月6日,1.0099,1.0103,1.0142,1.0089,5.52M,0.05%
2019年5月5日,1.0106,1.0098,1.0128,1.0077,3.57M,-0.10%
2019年5月4日,1.0196,1.0108,1.0216,1.0065,6.59M,-0.82%
2019年5月3日,1.0201,1.0192,1.0281,1.0091,10.20M,-0.09%
2019年5月2日,1.0152,1.0201,1.0233,1.0107,8.75M,0.50%
2019年5月1日,1.0093,1.0150,1.0171,1.0056,6.28M,0.53%
2019年4月30日,1.0192,1.0096,1.0202,1.0082,5.77M,-1.00%
2019年4月29日,1.0311,1.0198,1.0315,1.0160,5.82M,-1.11%
2019年4月28日,1.0260,1.0312,1.0328,1.0249,4.25M,0.56%
2019年4月27日,1.0425,1.0255,1.0441,1.0249,5.71M,-1.64%
2019年4月26日,1.0188,1.0426,1.0540,1.0181,18.85M,2.43%
2019年4月25日,0.9941,1.0179,1.0392,0.9941,14.60M,2.34%
2019年4月24日,0.9934,0.9946,0.9953,0.9913,7.44M,0.12%
2019年4月23日,0.9942,0.9934,0.9960,0.9917,5.27M,-0.09%
2019年4月22日,0.9919,0.9943,0.9948,0.9912,4.11M,0.24%
2019年4月21日,0.9942,0.9919,0.9948,0.9910,5.84M,-0.21%
2019年4月20日,0.9944,0.9940,0.9960,0.9933,3.99M,-0.08%
2019年4月19日,0.9947,0.9948,0.9980,0.9942,4.00M,0.01%
2019年4月18日,0.9954,0.9947,0.9978,0.9938,2.84M,-0.08%
2019年4月17日,0.9943,0.9955,0.9971,0.9928,2.57M,0.14%
2019年4月16日,0.9991,0.9941,0.9998,0.9933,3.53M,-0.53%
2019年4月15日,0.9940,0.9994,1.0000,0.9936,5.62M,0.50%
2019年4月14日,0.9953,0.9944,0.9966,0.9930,2.27M,-0.09%
2019年4月13日,0.9943,0.9953,0.9959,0.9913,1.91M,0.09%
2019年4月12日,0.9944,0.9944,0.9964,0.9908,3.51M,0.00%
2019年4月11日,0.9960,0.9944,0.9976,0.9882,8.93M,-0.13%
2019年4月10日,0.9925,0.9957,0.9980,0.9891,5.36M,0.32%
2019年4月9日,0.9900,0.9925,0.9937,0.9842,5.61M,0.16%
2019年4月8日,0.9952,0.9909,0.9976,0.9821,8.70M,-0.52%
2019年4月7日,0.9996,0.9961,1.0000,0.9923,6.23M,-0.30%
2019年4月6日,0.9936,0.9991,1.0009,0.9920,6.08M,0.56%
2019年4月5日,0.9979,0.9935,1.0016,0.9923,5.59M,-0.40%
2019年4月4日,0.9927,0.9975,1.0000,0.9894,8.62M,0.46%
2019年4月3日,0.9908,0.9929,0.9990,0.9850,21.12M,0.11%
2019年4月2日,1.0017,0.9918,1.0124,0.9711,16.58M,-0.98%
2019年4月1日,1.0024,1.0016,1.0036,1.0000,4.73M,-0.07%
2019年3月31日,1.0026,1.0023,1.0036,1.0013,1.74M,-0.03%
2019年3月30日,1.0024,1.0026,1.0034,1.0015,1.76M,0.02%
2019年3月29日,1.0037,1.0024,1.0049,1.0018,2.65M,-0.13%
2019年3月28日,1.0025,1.0037,1.0045,1.0017,2.46M,0.11%
2019年3月27日,1.0053,1.0026,1.0069,1.0014,4.45M,-0.30%
2019年3月26日,1.0064,1.0056,1.0073,1.0034,3.04M,-0.07%
2019年3月25日,1.0042,1.0063,1.0069,1.0030,5.10M,0.18%
2019年3月24日,1.0046,1.0045,1.0058,1.0029,4.37M,-0.02%
2019年3月23日,1.0019,1.0047,1.0055,1.0009,4.29M,0.33%
2019年3月22日,1.0014,1.0014,1.0029,1.0008,3.89M,0.01%
2019年3月21日,1.0027,1.0013,1.0038,0.9960,7.93M,-0.14%
2019年3月20日,1.0047,1.0027,1.0058,1.0020,5.55M,-0.18%
2019年3月19日,1.0042,1.0045,1.0061,1.0034,4.90M,0.03%
2019年3月18日,1.0050,1.0042,1.0065,1.0030,3.82M,-0.08%
2019年3月17日,1.0053,1.0050,1.0076,1.0043,4.52M,-0.01%
2019年3月16日,1.0073,1.0051,1.0096,1.0040,5.76M,-0.21%
2019年3月15日,1.0069,1.0072,1.0103,1.0059,6.42M,0.01%
2019年3月14日,1.0035,1.0071,1.0083,1.0035,10.79M,0.36%
2019年3月13日,1.0051,1.0035,1.0062,1.0031,3.60M,-0.17%
2019年3月12日,1.0055,1.0052,1.0067,1.0031,4.51M,0.01%
2019年3月11日,1.0051,1.0051,1.0070,1.0035,3.82M,0.04%
2019年3月10日,1.0059,1.0047,1.0061,1.0034,2.49M,-0.11%
2019年3月9日,1.0062,1.0058,1.0075,1.0040,3.48M,-0.04%
2019年3月8日,1.0043,1.0062,1.0072,1.0032,5.41M,0.19%
2019年3月7日,1.0035,1.0043,1.0050,1.0020,4.92M,0.07%
2019年3月6日,1.0025,1.0036,1.0040,1.0000,6.57M,0.05%
2019年3月5日,1.0042,1.0031,1.0056,1.0009,8.58M,-0.09%
2019年3月4日,1.0053,1.0040,1.0059,1.0006,6.84M,-0.13%
2019年3月3日,1.0035,1.0053,1.0057,1.0025,2.57M,0.21%
2019年3月2日,1.0046,1.0032,1.0067,1.0011,3.99M,-0.12%
2019年3月1日,1.0058,1.0044,1.0077,1.0031,4.82M,-0.11%
2019年2月28日,1.0048,1.0055,1.0058,1.0014,5.19M,0.06%
2019年2月27日,1.0036,1.0049,1.0069,1.0019,6.13M,0.11%
2019年2月26日,1.0030,1.0038,1.0060,1.0012,6.15M,0.07%
2019年2月25日,1.0030,1.0031,1.0080,1.0011,11.29M,-0.05%
2019年2月24日,1.0006,1.0036,1.0083,0.9991,14.76M,0.22%
2019年2月23日,1.0061,1.0014,1.0073,0.9997,8.10M,-0.47%
2019年2月22日,1.0085,1.0061,1.0103,1.0057,3.65M,-0.26%
2019年2月21日,1.0071,1.0087,1.0105,1.0054,7.30M,0.15%
2019年2月20日,1.0048,1.0072,1.0101,1.0012,9.45M,0.24%
2019年2月19日,1.0082,1.0048,1.0100,1.0019,10.71M,-0.35%
2019年2月18日,1.0123,1.0083,1.0156,1.0010,15.46M,-0.42%
2019年2月17日,1.0102,1.0126,1.0135,1.0092,7.78M,0.33%
2019年2月16日,1.0096,1.0093,1.0110,1.0080,4.23M,-0.09%
2019年2月15日,1.0091,1.0102,1.0121,1.0064,7.22M,0.11%
2019年2月14日,1.0102,1.0091,1.0119,1.0076,5.86M,-0.16%
2019年2月13日,1.0112,1.0107,1.0125,1.0092,4.75M,-0.10%
2019年2月12日,1.0113,1.0117,1.0150,1.0098,7.03M,0.05%
2019年2月11日,1.0091,1.0112,1.0135,1.0080,3.17M,0.21%
2019年2月10日,1.0123,1.0091,1.0128,1.0086,4.05M,-0.30%
2019年2月9日,1.0115,1.0121,1.0187,1.0095,4.37M,0.09%
2019年2月8日,1.0114,1.0112,1.0162,1.0037,9.15M,-0.07%
2019年2月7日,1.0121,1.0119,1.0137,1.0111,2.79M,-0.02%
2019年2月6日,1.0118,1.0121,1.0146,1.0105,7.03M,0.05%
2019年2月5日,1.0146,1.0116,1.0155,1.0105,4.25M,-0.30%
2019年2月4日,1.0133,1.0146,1.0148,1.0109,3.61M,0.12%
2019年2月3日,1.0112,1.0134,1.0135,1.0095,3.03M,0.22%
2019年2月2日,1.0096,1.0112,1.0114,1.0083,3.25M,0.18%
2019年2月1日,1.0071,1.0094,1.0133,1.0058,5.38M,0.33%
2019年1月31日,1.0063,1.0061,1.0089,1.0044,4.75M,-0.02%
2019年1月30日,1.0049,1.0063,1.0081,1.0030,4.42M,0.14%
2019年1月29日,1.0021,1.0049,1.0062,1.0001,4.74M,0.25%
2019年1月28日,1.0054,1.0024,1.0076,1.0007,8.67M,-0.30%
2019年1月27日,1.0030,1.0054,1.0064,1.0019,4.78M,0.14%
2019年1月26日,1.0012,1.0040,1.0040,0.9995,3.13M,0.28%
2019年1月25日,1.0003,1.0012,1.0030,0.9997,2.70M,0.11%
2019年1月24日,1.0002,1.0001,1.0023,0.9988,2.43M,-0.01%
2019年1月23日,0.9991,1.0002,1.0014,0.9984,3.53M,0.08%
2019年1月22日,0.9999,0.9994,1.0025,0.9980,4.20M,-0.03%
2019年1月21日,1.0002,0.9997,1.0015,0.9975,4.03M,0.00%
2019年1月20日,0.9961,0.9997,1.0011,0.9950,4.04M,0.40%
2019年1月19日,0.9969,0.9957,0.9979,0.9931,3.84M,-0.07%
2019年1月18日,0.9954,0.9964,0.9982,0.9933,3.00M,0.16%
2019年1月17日,0.9959,0.9948,0.9981,0.9940,5.01M,-0.11%
2019年1月16日,0.9935,0.9959,0.9974,0.9908,3.97M,0.24%
2019年1月15日,0.9901,0.9935,0.9955,0.9881,6.06M,0.36%
2019年1月14日,0.9929,0.9899,0.9941,0.9864,6.20M,-0.28%
2019年1月13日,0.9915,0.9927,1.0022,0.9877,3.69M,0.13%
2019年1月12日,0.9921,0.9914,0.9932,0.9883,2.78M,-0.12%
2019年1月11日,0.9901,0.9926,0.9926,0.9863,5.40M,0.19%
2019年1月10日,0.9922,0.9907,0.9942,0.9831,9.05M,-0.13%
2019年1月9日,0.9913,0.9920,0.9941,0.9896,4.17M,0.07%
2019年1月8日,0.9924,0.9913,0.9938,0.9905,5.75M,-0.11%
