日期,开盘,收盘,高,低,交易量,涨跌幅
2019年6月11日,0.994228,0.994889,1.000001,0.993326,293.53K,-0.01%
2019年6月10日,0.985764,0.994990,0.997038,0.981463,351.74K,0.94%
2019年6月9日,0.990686,0.985764,0.997393,0.962980,208.80K,-0.50%
2019年6月8日,0.996318,0.990684,0.998821,0.987795,192.82K,-0.57%
2019年6月7日,0.994995,0.996316,0.999288,0.992024,329.36K,-0.05%
2019年6月6日,0.990176,0.996766,0.999936,0.978393,227.41K,0.67%
2019年6月5日,0.999751,0.990172,1.000687,0.988904,335.50K,-0.96%
2019年6月4日,0.999648,0.999751,1.008279,0.995574,750.10K,0.06%
2019年6月3日,0.998730,0.999189,1.003862,0.993892,540.97K,0.03%
2019年6月2日,1.000036,0.998865,1.004250,0.997650,206.18K,-0.12%
2019年6月1日,0.998170,1.000036,1.003563,0.995997,639.88K,0.23%
2019年5月31日,0.991973,0.997781,1.002380,0.991973,784.95K,0.59%
2019年5月30日,0.988119,0.991973,1.003459,0.984688,820.45K,0.25%
2019年5月29日,1.000038,0.989472,1.003217,0.986745,252.94K,-1.09%
2019年5月28日,0.995575,1.000382,1.003872,0.994696,283.44K,0.48%
2019年5月27日,0.994989,0.995574,0.998783,0.982809,835.75K,0.04%
2019年5月26日,1.020398,0.995197,1.021701,0.988128,842.65K,-2.47%
2019年5月25日,1.013349,1.020398,1.021614,1.009162,166.50K,0.69%
2019年5月24日,0.996637,1.013357,1.014018,0.994836,239.10K,1.81%
2019年5月23日,1.001712,0.995386,1.002420,0.991150,410.71K,-0.63%
2019年5月22日,0.996014,1.001713,1.005541,0.995170,953.03K,0.53%
2019年5月21日,0.995161,0.996457,1.000688,0.993384,872.55K,0.11%
2019年5月20日,0.997143,0.995332,1.001387,0.993878,900.83K,-0.18%
2019年5月19日,0.995812,0.997130,1.000267,0.991317,1.17M,0.13%
2019年5月18日,0.999986,0.995810,0.999986,0.994005,697.39K,-0.42%
2019年5月17日,0.999145,0.999986,1.036309,0.994425,2.06M,0.09%
2019年5月16日,0.997466,0.999085,1.010656,0.996102,1.83M,0.13%
2019年5月15日,1.001638,0.997798,1.003806,0.993391,1.91M,-0.38%
2019年5月14日,0.995556,1.001638,1.007354,0.993004,1.72M,0.61%
2019年5月13日,1.001872,0.995556,1.009388,0.990483,2.52M,-0.63%
